,index,#,Name,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Variant,Varieties,sprite_url
10,10,8,Wartortle,1,Common,Squirtle,False,Water,,405,59,63,80,65,80,58,,"[{'is_default': True, 'pokemon': {'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon/8/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
11,11,9,Blastoise,1,Common,Wartortle,False,Water,,530,79,83,100,85,105,78,,"[{'is_default': True, 'pokemon': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon/9/'}}, {'is_default': False, 'pokemon': {'name': 'blastoise-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10036/'}}, {'is_default': False, 'pokemon': {'name': 'blastoise-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10197/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
12,12,9,Blastoise,1,Common,Wartortle,False,Water,,630,79,103,120,135,115,78,Mega Blastoise,"[{'is_default': True, 'pokemon': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon/9/'}}, {'is_default': False, 'pokemon': {'name': 'blastoise-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10036/'}}, {'is_default': False, 'pokemon': {'name': 'blastoise-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10197/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png
13,13,10,Caterpie,1,Common,,False,Bug,,195,45,30,35,20,20,45,,"[{'is_default': True, 'pokemon': {'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon/10/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
14,14,11,Metapod,1,Common,Caterpie,False,Bug,,205,50,20,55,25,25,30,,"[{'is_default': True, 'pokemon': {'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon/11/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
15,15,12,Butterfree,1,Common,Metapod,True,Bug,Flying,395,60,45,50,90,80,70,,"[{'is_default': True, 'pokemon': {'name': 'butterfree', 'url': 'https://pokeapi.co/api/v2/pokemon/12/'}}, {'is_default': False, 'pokemon': {'name': 'butterfree-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10198/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
16,16,13,Weedle,1,Common,,False,Bug,Poison,195,40,35,30,20,20,50,,"[{'is_default': True, 'pokemon': {'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon/13/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
17,17,14,Kakuna,1,Common,Weedle,False,Bug,Poison,205,45,25,50,25,25,35,,"[{'is_default': True, 'pokemon': {'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon/14/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
18,18,15,Beedrill,1,Common,Kakuna,False,Bug,Poison,395,65,90,40,45,80,75,,"[{'is_default': True, 'pokemon': {'name': 'beedrill', 'url': 'https://pokeapi.co/api/v2/pokemon/15/'}}, {'is_default': False, 'pokemon': {'name': 'beedrill-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10090/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
19,19,15,Beedrill,1,Common,Kakuna,False,Bug,Poison,495,65,150,40,15,80,145,Mega Beedrill,"[{'is_default': True, 'pokemon': {'name': 'beedrill', 'url': 'https://pokeapi.co/api/v2/pokemon/15/'}}, {'is_default': False, 'pokemon': {'name': 'beedrill-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10090/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png
20,20,16,Pidgey,1,Common,,False,Normal,Flying,251,40,45,40,35,35,56,,"[{'is_default': True, 'pokemon': {'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon/16/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
21,21,17,Pidgeotto,1,Common,Pidgey,False,Normal,Flying,349,63,60,55,50,50,71,,"[{'is_default': True, 'pokemon': {'name': 'pidgeotto', 'url': 'https://pokeapi.co/api/v2/pokemon/17/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
22,22,18,Pidgeot,1,Common,Pidgeotto,False,Normal,Flying,479,83,80,75,70,70,101,,"[{'is_default': True, 'pokemon': {'name': 'pidgeot', 'url': 'https://pokeapi.co/api/v2/pokemon/18/'}}, {'is_default': False, 'pokemon': {'name': 'pidgeot-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10073/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
23,23,18,Pidgeot,1,Common,Pidgeotto,False,Normal,Flying,579,83,80,80,135,80,121,Mega Pidgeot,"[{'is_default': True, 'pokemon': {'name': 'pidgeot', 'url': 'https://pokeapi.co/api/v2/pokemon/18/'}}, {'is_default': False, 'pokemon': {'name': 'pidgeot-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10073/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png
24,24,19,Rattata,1,Common,,True,Normal,,253,30,56,35,25,35,72,,"[{'is_default': True, 'pokemon': {'name': 'rattata', 'url': 'https://pokeapi.co/api/v2/pokemon/19/'}}, {'is_default': False, 'pokemon': {'name': 'rattata-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10091/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
25,25,19,Rattata,1,Common,,True,Dark,Normal,253,30,56,35,25,35,72,Alolan Rattata,"[{'is_default': True, 'pokemon': {'name': 'rattata', 'url': 'https://pokeapi.co/api/v2/pokemon/19/'}}, {'is_default': False, 'pokemon': {'name': 'rattata-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10091/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
26,26,20,Raticate,1,Common,Rattata,True,Normal,,413,55,81,60,50,70,97,,"[{'is_default': True, 'pokemon': {'name': 'raticate', 'url': 'https://pokeapi.co/api/v2/pokemon/20/'}}, {'is_default': False, 'pokemon': {'name': 'raticate-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10092/'}}, {'is_default': False, 'pokemon': {'name': 'raticate-totem-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10093/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
27,27,20,Raticate,1,Common,Rattata,True,Dark,Normal,413,75,71,70,40,80,77,Alolan Raticate,"[{'is_default': True, 'pokemon': {'name': 'raticate', 'url': 'https://pokeapi.co/api/v2/pokemon/20/'}}, {'is_default': False, 'pokemon': {'name': 'raticate-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10092/'}}, {'is_default': False, 'pokemon': {'name': 'raticate-totem-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10093/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
28,28,21,Spearow,1,Common,,False,Normal,Flying,262,40,60,30,31,31,70,,"[{'is_default': True, 'pokemon': {'name': 'spearow', 'url': 'https://pokeapi.co/api/v2/pokemon/21/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
29,29,22,Fearow,1,Common,Spearow,False,Normal,Flying,442,65,90,65,61,61,100,,"[{'is_default': True, 'pokemon': {'name': 'fearow', 'url': 'https://pokeapi.co/api/v2/pokemon/22/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
30,30,23,Ekans,1,Common,,False,Poison,,288,35,60,44,40,54,55,,"[{'is_default': True, 'pokemon': {'name': 'ekans', 'url': 'https://pokeapi.co/api/v2/pokemon/23/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
31,31,24,Arbok,1,Common,Ekans,False,Poison,,448,60,95,69,65,79,80,,"[{'is_default': True, 'pokemon': {'name': 'arbok', 'url': 'https://pokeapi.co/api/v2/pokemon/24/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
32,32,25,Pikachu,1,Common,Pichu,True,Electric,,320,35,55,40,50,50,90,,"[{'is_default': True, 'pokemon': {'name': 'pikachu', 'url': 'https://pokeapi.co/api/v2/pokemon/25/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-rock-star', 'url': 'https://pokeapi.co/api/v2/pokemon/10080/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-belle', 'url': 'https://pokeapi.co/api/v2/pokemon/10081/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-pop-star', 'url': 'https://pokeapi.co/api/v2/pokemon/10082/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-phd', 'url': 'https://pokeapi.co/api/v2/pokemon/10083/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-libre', 'url': 'https://pokeapi.co/api/v2/pokemon/10084/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-cosplay', 'url': 'https://pokeapi.co/api/v2/pokemon/10085/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-original-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10094/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-hoenn-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10095/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-sinnoh-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10096/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-unova-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10097/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-kalos-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10098/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-alola-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10099/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-partner-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10148/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-starter', 'url': 'https://pokeapi.co/api/v2/pokemon/10158/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-world-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10160/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10199/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
33,33,25,Pikachu,1,Common,Pichu,True,Electric,,430,45,80,50,75,60,120,Partner Pikachu,"[{'is_default': True, 'pokemon': {'name': 'pikachu', 'url': 'https://pokeapi.co/api/v2/pokemon/25/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-rock-star', 'url': 'https://pokeapi.co/api/v2/pokemon/10080/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-belle', 'url': 'https://pokeapi.co/api/v2/pokemon/10081/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-pop-star', 'url': 'https://pokeapi.co/api/v2/pokemon/10082/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-phd', 'url': 'https://pokeapi.co/api/v2/pokemon/10083/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-libre', 'url': 'https://pokeapi.co/api/v2/pokemon/10084/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-cosplay', 'url': 'https://pokeapi.co/api/v2/pokemon/10085/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-original-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10094/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-hoenn-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10095/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-sinnoh-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10096/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-unova-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10097/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-kalos-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10098/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-alola-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10099/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-partner-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10148/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-starter', 'url': 'https://pokeapi.co/api/v2/pokemon/10158/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-world-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10160/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10199/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
34,34,26,Raichu,1,Common,Pikachu,True,Electric,,485,60,90,55,90,80,110,,"[{'is_default': True, 'pokemon': {'name': 'raichu', 'url': 'https://pokeapi.co/api/v2/pokemon/26/'}}, {'is_default': False, 'pokemon': {'name': 'raichu-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10100/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
35,35,26,Raichu,1,Common,Pikachu,True,Electric,Psychic,485,60,85,50,95,85,110,Alolan Raichu,"[{'is_default': True, 'pokemon': {'name': 'raichu', 'url': 'https://pokeapi.co/api/v2/pokemon/26/'}}, {'is_default': False, 'pokemon': {'name': 'raichu-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10100/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
36,36,27,Sandshrew,1,Common,,False,Ground,,300,50,75,85,20,30,40,,"[{'is_default': True, 'pokemon': {'name': 'sandshrew', 'url': 'https://pokeapi.co/api/v2/pokemon/27/'}}, {'is_default': False, 'pokemon': {'name': 'sandshrew-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10101/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
37,37,27,Sandshrew,1,Common,,False,Ice,Steel,300,50,75,90,10,35,40,Alolan Sandshrew,"[{'is_default': True, 'pokemon': {'name': 'sandshrew', 'url': 'https://pokeapi.co/api/v2/pokemon/27/'}}, {'is_default': False, 'pokemon': {'name': 'sandshrew-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10101/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
38,38,28,Sandslash,1,Common,Sandshrew,False,Ground,,450,75,100,110,45,55,65,,"[{'is_default': True, 'pokemon': {'name': 'sandslash', 'url': 'https://pokeapi.co/api/v2/pokemon/28/'}}, {'is_default': False, 'pokemon': {'name': 'sandslash-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10102/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
39,39,28,Sandslash,1,Common,Sandshrew,False,Ice,Steel,450,75,100,120,25,65,65,Alolan Sandslash,"[{'is_default': True, 'pokemon': {'name': 'sandslash', 'url': 'https://pokeapi.co/api/v2/pokemon/28/'}}, {'is_default': False, 'pokemon': {'name': 'sandslash-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10102/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
40,40,29,Nidoran♀,1,Common,,False,Poison,,275,55,47,52,40,40,41,,"[{'is_default': True, 'pokemon': {'name': 'nidoran-f', 'url': 'https://pokeapi.co/api/v2/pokemon/29/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
41,41,30,Nidorina,1,Common,Nidoran-f,False,Poison,,365,70,62,67,55,55,56,,"[{'is_default': True, 'pokemon': {'name': 'nidorina', 'url': 'https://pokeapi.co/api/v2/pokemon/30/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
42,43,31,Nidoqueen,1,Common,Nidorina,False,Poison,Ground,505,90,92,87,75,85,76,,"[{'is_default': True, 'pokemon': {'name': 'nidoqueen', 'url': 'https://pokeapi.co/api/v2/pokemon/31/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
43,44,32,Nidoran♂,1,Common,,False,Poison,,273,46,57,40,40,40,50,,"[{'is_default': True, 'pokemon': {'name': 'nidoran-m', 'url': 'https://pokeapi.co/api/v2/pokemon/32/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
44,46,33,Nidorino,1,Common,Nidoran-m,False,Poison,,365,61,72,57,55,55,65,,"[{'is_default': True, 'pokemon': {'name': 'nidorino', 'url': 'https://pokeapi.co/api/v2/pokemon/33/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
45,47,34,Nidoking,1,Common,Nidorino,False,Poison,Ground,505,81,102,77,85,75,85,,"[{'is_default': True, 'pokemon': {'name': 'nidoking', 'url': 'https://pokeapi.co/api/v2/pokemon/34/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
46,48,35,Clefairy,1,Common,Cleffa,False,Fairy,,323,70,45,48,60,65,35,,"[{'is_default': True, 'pokemon': {'name': 'clefairy', 'url': 'https://pokeapi.co/api/v2/pokemon/35/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
47,49,36,Clefable,1,Common,Clefairy,False,Fairy,,483,95,70,73,95,90,60,,"[{'is_default': True, 'pokemon': {'name': 'clefable', 'url': 'https://pokeapi.co/api/v2/pokemon/36/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
48,50,37,Vulpix,1,Common,,False,Fire,,299,38,41,40,50,65,65,,"[{'is_default': True, 'pokemon': {'name': 'vulpix', 'url': 'https://pokeapi.co/api/v2/pokemon/37/'}}, {'is_default': False, 'pokemon': {'name': 'vulpix-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10103/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
49,51,37,Vulpix,1,Common,,False,Ice,,299,38,41,40,50,65,65,Alolan Vulpix,"[{'is_default': True, 'pokemon': {'name': 'vulpix', 'url': 'https://pokeapi.co/api/v2/pokemon/37/'}}, {'is_default': False, 'pokemon': {'name': 'vulpix-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10103/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
50,52,38,Ninetales,1,Common,Vulpix,False,Fire,,505,73,76,75,81,100,100,,"[{'is_default': True, 'pokemon': {'name': 'ninetales', 'url': 'https://pokeapi.co/api/v2/pokemon/38/'}}, {'is_default': False, 'pokemon': {'name': 'ninetales-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10104/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
51,53,38,Ninetales,1,Common,Vulpix,False,Ice,Fairy,505,73,67,75,81,100,109,Alolan Ninetales,"[{'is_default': True, 'pokemon': {'name': 'ninetales', 'url': 'https://pokeapi.co/api/v2/pokemon/38/'}}, {'is_default': False, 'pokemon': {'name': 'ninetales-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10104/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
52,54,39,Jigglypuff,1,Common,Igglybuff,False,Normal,Fairy,270,115,45,20,45,25,20,,"[{'is_default': True, 'pokemon': {'name': 'jigglypuff', 'url': 'https://pokeapi.co/api/v2/pokemon/39/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
53,55,40,Wigglytuff,1,Common,Jigglypuff,False,Normal,Fairy,435,140,70,45,85,50,45,,"[{'is_default': True, 'pokemon': {'name': 'wigglytuff', 'url': 'https://pokeapi.co/api/v2/pokemon/40/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
54,56,41,Zubat,1,Common,,True,Poison,Flying,245,40,45,35,30,40,55,,"[{'is_default': True, 'pokemon': {'name': 'zubat', 'url': 'https://pokeapi.co/api/v2/pokemon/41/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
55,57,42,Golbat,1,Common,Zubat,True,Poison,Flying,455,75,80,70,65,75,90,,"[{'is_default': True, 'pokemon': {'name': 'golbat', 'url': 'https://pokeapi.co/api/v2/pokemon/42/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
56,58,43,Oddish,1,Common,,False,Grass,Poison,320,45,50,55,75,65,30,,"[{'is_default': True, 'pokemon': {'name': 'oddish', 'url': 'https://pokeapi.co/api/v2/pokemon/43/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
57,59,44,Gloom,1,Common,Oddish,True,Grass,Poison,395,60,65,70,85,75,40,,"[{'is_default': True, 'pokemon': {'name': 'gloom', 'url': 'https://pokeapi.co/api/v2/pokemon/44/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
58,60,45,Vileplume,1,Common,Gloom,True,Grass,Poison,490,75,80,85,110,90,50,,"[{'is_default': True, 'pokemon': {'name': 'vileplume', 'url': 'https://pokeapi.co/api/v2/pokemon/45/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
59,61,46,Paras,1,Common,,False,Bug,Grass,285,35,70,55,45,55,25,,"[{'is_default': True, 'pokemon': {'name': 'paras', 'url': 'https://pokeapi.co/api/v2/pokemon/46/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
60,62,47,Parasect,1,Common,Paras,False,Bug,Grass,405,60,95,80,60,80,30,,"[{'is_default': True, 'pokemon': {'name': 'parasect', 'url': 'https://pokeapi.co/api/v2/pokemon/47/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
61,63,48,Venonat,1,Common,,False,Bug,Poison,305,60,55,50,40,55,45,,"[{'is_default': True, 'pokemon': {'name': 'venonat', 'url': 'https://pokeapi.co/api/v2/pokemon/48/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
62,64,49,Venomoth,1,Common,Venonat,False,Bug,Poison,450,70,65,60,90,75,90,,"[{'is_default': True, 'pokemon': {'name': 'venomoth', 'url': 'https://pokeapi.co/api/v2/pokemon/49/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
63,65,50,Diglett,1,Common,,False,Ground,,265,10,55,25,35,45,95,,"[{'is_default': True, 'pokemon': {'name': 'diglett', 'url': 'https://pokeapi.co/api/v2/pokemon/50/'}}, {'is_default': False, 'pokemon': {'name': 'diglett-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10105/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
64,66,50,Diglett,1,Common,,False,Ground,Steel,265,10,55,30,35,45,90,Alolan Diglett,"[{'is_default': True, 'pokemon': {'name': 'diglett', 'url': 'https://pokeapi.co/api/v2/pokemon/50/'}}, {'is_default': False, 'pokemon': {'name': 'diglett-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10105/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
