Id,Label,timeset,index,nationalpokedexnumber,species,variant,generation,rarity,type1,type2,total,hp,attack,defense,spatk,spdef,speed,image_url,vgc2022rules,monthlyusagemarch2022,usagepercentmarch2022,monthlyrankmarch2022,introductedin,type,power,acc,pp,damageclass,effect,probpercentage,increases,decreases,likesberrie,dislikesberrie,alternativeeffect,usageattributes,specificcategory,generalcategory,description,indegree,outdegree,degree,clustering
Butterfree Gigantamax,Butterfree Gigantamax,,18,12,Butterfree,Gigantamax,8,,Bug,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/4/47/012GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,3,4,0.416667
Butterfree,Butterfree,,19,12,Butterfree,,1,Common,Bug,Flying,395,60,45,50,90,80,70,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Permitted,16,0,152,,,,,,,,,,,,,,,,,,2,132,134,0.020256
Weedle,Weedle,,20,13,Weedle,,1,Common,Bug,Poison,195,40,35,30,20,20,50,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,,,,,,,,,,,,,,,,,,,,,,0,9,9,0.138889
Kakuna,Kakuna,,21,14,Kakuna,,1,Common,Bug,Poison,205,45,25,50,25,25,35,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,,,,,,,,,,,,,,,,,,,,,,1,9,10,0.155556
Beedrill,Beedrill,,22,15,Beedrill,,1,Common,Bug,Poison,395,65,90,40,45,80,75,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,,,,,,,,,,,,,,,,,,,,,,1,85,86,0.012175
Mega Beedrill,Mega Beedrill,,23,15,Beedrill,Mega,6,Common,Bug,Poison,495,65,150,40,15,80,145,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Banned,,,,,,,,,,,,,,,,,,,,,1,67,68,0.017779
Pidgey,Pidgey,,24,16,Pidgey,,1,Common,Normal,Flying,251,40,45,40,35,35,56,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,,,,,,,,,,,,,,,,,,,,,,0,70,70,0.023395
Pidgeotto,Pidgeotto,,25,17,Pidgeotto,,1,Common,Normal,Flying,349,63,60,55,50,50,71,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,,,,,,,,,,,,,,,,,,,,,,1,66,67,0.039801
Pidgeot,Pidgeot,,26,18,Pidgeot,,1,Common,Normal,Flying,479,83,80,75,70,70,101,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,,,,,,,,,,,,,,,,,,,,,,1,69,70,0.033954
Mega Pidgeot,Mega Pidgeot,,27,18,Pidgeot,Mega,6,Common,Normal,Flying,579,83,80,80,135,80,121,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Banned,,,,,,,,,,,,,,,,,,,,,1,51,52,0.033183
Rattata,Rattata,,28,19,Rattata,,1,Common,Normal,,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,,,,,,,,,,,,,,,,,,,,,,0,87,87,0.030206
Alolan Rattata,Alolan Rattata,,29,19,Rattata,Alolan,7,Common,Dark,Normal,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,,,,,,,,,,,,,,,,,,,,,,1,68,69,0.0211
Raticate,Raticate,,30,20,Raticate,,1,Common,Normal,,413,55,81,60,50,70,97,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,,,,,,,,,,,,,,,,,,,,,,1,87,88,0.023903
Alolan Raticate,Alolan Raticate,,31,20,Raticate,Alolan,7,Common,Dark,Normal,413,75,71,70,40,80,77,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,,,,,,,,,,,,,,,,,,,,,,2,72,74,0.028878
Spearow,Spearow,,32,21,Spearow,,1,Common,Normal,Flying,262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,,,,,,,,,,,,,,,,,,,,,,0,73,73,0.022641
Fearow,Fearow,,33,22,Fearow,,1,Common,Normal,Flying,442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,,,,,,,,,,,,,,,,,,,,,,1,72,73,0.022831
Ekans,Ekans,,34,23,Ekans,,1,Common,Poison,,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,,,,,,,,,,,,,,,,,,,,,,0,87,87,0.01243
Arbok,Arbok,,35,24,Arbok,,1,Common,Poison,,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,,,,,,,,,,,,,,,,,,,,,,1,87,88,0.011886
Pikachu Gigantamax,Pikachu Gigantamax,,36,25,Pikachu,Gigantamax,8,,Electric,,,,,,,,,https://archives.bulbagarden.net/media/upload/b/be/025GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,2,3,0.333333
Pikachu,Pikachu,,37,25,Pikachu,,1,Common,Electric,,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Permitted,13,0,119,,,,,,,,,,,,,,,,,,5,146,151,0.040883
Partner Pikachu,Partner Pikachu,,38,25,Pikachu,Partner,1,Common,Electric,,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,,,,,,,,,,,,,,,,,,,,,,2,1,3,0.5
Alolan Raichu,Alolan Raichu,,39,26,Raichu,Alolan,7,Common,Electric,Psychic,485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,,,,,,,,,,,,,,,,,,,,,,2,143,145,0.033142
Raichu,Raichu,,40,26,Raichu,,1,Common,Electric,,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Permitted,93,3,35,,,,,,,,,,,,,,,,,,14,150,164,0.043593
Alolan Sandshrew,Alolan Sandshrew,,41,27,Sandshrew,Alolan,7,Common,Ice,Steel,300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,,,,,,,,,,,,,,,,,,,,,,1,87,88,0.011364
Sandshrew,Sandshrew,,42,27,Sandshrew,,1,Common,Ground,,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,97,97,0.024055
Sandslash,Sandslash,,43,28,Sandslash,,1,Common,Ground,,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Permitted,,,,,,,,,,,,,,,,,,,,,3,139,142,0.042603
Alolan Sandslash,Alolan Sandslash,,44,28,Sandslash,Alolan,7,Common,Ice,Steel,450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,,,,,,,,,,,,,,,,,,,,,,2,134,136,0.03061
Nidoran♀,Nidoran♀,,45,29,Nidoran♀,,1,Common,Poison,,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,0
Nidorina,Nidorina,,46,30,Nidorina,,1,Common,Poison,,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,82,83,0.012783
Nidoqueen,Nidoqueen,,47,31,Nidoqueen,,1,Common,Poison,Ground,505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,138,139,0.005265
Nidoran♂,Nidoran♂,,48,32,Nidoran♂,,1,Common,Poison,,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,0
Nidorino,Nidorino,,49,33,Nidorino,,1,Common,Poison,,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,81,82,0.012948
Nidoking,Nidoking,,50,34,Nidoking,,1,Common,Poison,Ground,505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,139,140,0.00519
Clefairy,Clefairy,,51,35,Clefairy,,1,Common,Fairy,,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Permitted,25,0,73,,,,,,,,,,,,,,,,,,11,193,204,0.026442
Clefable,Clefable,,52,36,Clefable,,1,Common,Fairy,,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7,0,180,,,,,,,,,,,,,,,,,,3,194,197,0.017818
Vulpix,Vulpix,,53,37,Vulpix,,1,Common,Fire,,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,86,86,0.026539
Alolan Vulpix,Alolan Vulpix,,54,37,Vulpix,Alolan,7,Common,Ice,,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,,,,,,,,,,,,,,,,,,,,,,1,75,76,0.011404
Ninetales,Ninetales,,55,38,Ninetales,,1,Common,Fire,,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Permitted,,,,,,,,,,,,,,,,,,,,,4,147,151,0.033819
Alolan Ninetales,Alolan Ninetales,,56,38,Ninetales,Alolan,7,Common,Ice,Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,,16,0,120,,,,,,,,,,,,,,,,,,8,126,134,0.042532
Jigglypuff,Jigglypuff,,57,39,Jigglypuff,,1,Common,Normal,Fairy,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,131,132,0.016308
Wigglytuff,Wigglytuff,,58,40,Wigglytuff,,1,Common,Normal,Fairy,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Permitted,,,,,,,,,,,,,,,,,,,,,3,186,189,0.029269
Zubat,Zubat,,59,41,Zubat,,1,Common,Poison,Flying,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,87,87,0.013633
Golbat,Golbat,,60,42,Golbat,,1,Common,Poison,Flying,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,86,87,0.02379
Oddish,Oddish,,61,43,Oddish,,1,Common,Grass,Poison,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,73,73,0.017504
Gloom,Gloom,,62,44,Gloom,,1,Common,Grass,Poison,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,71,72,0.042254
Vileplume,Vileplume,,63,45,Vileplume,,1,Common,Grass,Poison,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,117,118,0.038896
Paras,Paras,,64,46,Paras,,1,Common,Bug,Grass,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,,,,,,,,,,,,,,,,,,,,,,0,92,92,0.0129
Parasect,Parasect,,65,47,Parasect,,1,Common,Bug,Grass,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,,,,,,,,,,,,,,,,,,,,,,1,85,86,0.014501
Venonat,Venonat,,66,48,Venonat,,1,Common,Bug,Poison,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,,,,,,,,,,,,,,,,,,,,,,0,69,69,0.016411
Venomoth,Venomoth,,67,49,Venomoth,,1,Common,Bug,Poison,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,,,,,,,,,,,,,,,,,,,,,,1,84,85,0.011064
Alolan Diglett,Alolan Diglett,,68,50,Diglett,Alolan,7,Common,Ground,Steel,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,,,,,,,,,,,,,,,,,,,,,,1,71,72,0.015845
Diglett,Diglett,,69,50,Diglett,,1,Common,Ground,,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,77,77,0.034176
Alolan Dugtrio,Alolan Dugtrio,,70,51,Dugtrio,Alolan,7,Common,Ground,Steel,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,,,,,,,,,,,,,,,,,,,,,,2,72,74,0.026472
Dugtrio,Dugtrio,,71,51,Dugtrio,,1,Common,Ground,,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Permitted,3,0,212,,,,,,,,,,,,,,,,,,1,117,118,0.039113
Meowth,Meowth,,72,52,Meowth,,1,Common,Normal,,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,,,,,,,,,,,,,,,,,,,,,,0,106,106,0.030548
Alolan Meowth,Alolan Meowth,,73,52,Meowth,Alolan,7,Common,Dark,,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,,,,,,,,,,,,,,,,,,,,,,1,83,84,0.013913
Galarian Meowth,Galarian Meowth,,74,52,Meowth,Galarian,8,Common,Steel,,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Meowth Gigantamax,Meowth Gigantamax,,75,52,Meowth,Gigantamax,8,,Normal,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,2,3,0.333333
Persian,Persian,,76,53,Persian,,1,Common,Normal,,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,103,104,0.020818
Alolan Persian,Alolan Persian,,77,53,Persian,Alolan,7,Common,Dark,,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,,19,0,96,,,,,,,,,,,,,,,,,,2,129,131,0.030945
Psyduck,Psyduck,,78,54,Psyduck,,1,Common,Water,,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,104,104,0.010362
Golduck,Golduck,,79,55,Golduck,,1,Common,Water,,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Permitted,,,,,,,,,,,,,,,,,,,,,3,161,164,0.021586
Mankey,Mankey,,80,56,Mankey,,1,Common,Fighting,,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,,,,,,,,,,,,,,,,,,,,,,0,116,116,0.00952
Primeape,Primeape,,81,57,Primeape,,1,Common,Fighting,,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,,,,,,,,,,,,,,,,,,,,,,1,111,112,0.010055
Hisuian Growlithe,Hisuian Growlithe,,82,58,Growlithe,Hisuian,1,Common,Fire,Rock,350,60,75,45,65,50,55,https://img.pokemondb.net/s.png,,,,,,,,,,,,,,,,,,,,,,1,2,3,0.5
Growlithe,Growlithe,,83,58,Growlithe,,1,Common,Fire,,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,82,82,0.014152
Hisuian Arcanine,Hisuian Arcanine,,84,59,Arcanine,Hisuian,1,Common,Fire,Rock,555,95,115,80,95,80,90,https://img.pokemondb.net/s.png,,,,,,,,,,,,,,,,,,,,,,2,2,4,0.416667
Arcanine,Arcanine,,85,59,Arcanine,,1,Common,Fire,,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Permitted,23,0,71,,,,,,,,,,,,,,,,,,26,142,168,0.058014
Poliwag,Poliwag,,86,60,Poliwag,,1,Common,Water,,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,75,75,0.014595
Poliwhirl,Poliwhirl,,87,61,Poliwhirl,,1,Common,Water,,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,87,88,0.030434
Poliwrath,Poliwrath,,88,62,Poliwrath,,1,Common,Water,Fighting,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,155,156,0.026468
Abra,Abra,,89,63,Abra,,1,Common,Psychic,,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,101,101,0.012376
Kadabra,Kadabra,,90,64,Kadabra,,1,Common,Psychic,,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,107,108,0.020163
Alakazam,Alakazam,,91,65,Alakazam,,1,Common,Psychic,,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Permitted,,,,,,,,,,,,,,,,,,,,,4,163,167,0.032357
Mega Alakazam,Mega Alakazam,,92,65,Alakazam,Mega,6,Common,Psychic,,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Banned,,,,,,,,,,,,,,,,,,,,,1,83,84,0.015491
Machop,Machop,,93,66,Machop,,1,Common,Fighting,,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,101,101,0.011683
Machoke,Machoke,,94,67,Machoke,,1,Common,Fighting,,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,95,96,0.023026
Machamp Gigantamax,Machamp Gigantamax,,95,68,Machamp,Gigantamax,8,,Fighting,,,,,,,,,https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,2,3,0.333333
Machamp,Machamp,,96,68,Machamp,,1,Common,Fighting,,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Permitted,4,0,204,,,,,,,,,,,,,,,,,,1,148,149,0.020905
Bellsprout,Bellsprout,,97,69,Bellsprout,,1,Common,Grass,Poison,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,,,,,,,,,,,,,,,,,,,,,,0,77,77,0.016063
Weepinbell,Weepinbell,,98,70,Weepinbell,,1,Common,Grass,Poison,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,,,,,,,,,,,,,,,,,,,,,,1,67,68,0.033143
Victreebel,Victreebel,,99,71,Victreebel,,1,Common,Grass,Poison,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,,,,,,,,,,,,,,,,,,,,,,1,76,77,0.01555
Tentacool,Tentacool,,100,72,Tentacool,,1,Common,Water,Poison,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,89,89,0.01379
Tentacruel,Tentacruel,,101,73,Tentacruel,,1,Common,Water,Poison,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Permitted,,,,,,,,,,,,,,,,,,,,,3,136,139,0.033905
Geodude,Geodude,,102,74,Geodude,,1,Common,Rock,Ground,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,,,,,,,,,,,,,,,,,,,,,,0,89,89,0.027962
Alolan Geodude,Alolan Geodude,,103,74,Geodude,Alolan,7,Common,Rock,Electric,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,,,,,,,,,,,,,,,,,,,,,,1,76,77,0.014525
Graveler,Graveler,,104,75,Graveler,,1,Common,Rock,Ground,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,,,,,,,,,,,,,,,,,,,,,,1,86,87,0.032745
Alolan Graveler,Alolan Graveler,,105,75,Graveler,Alolan,7,Common,Rock,Electric,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,,,,,,,,,,,,,,,,,,,,,,2,71,73,0.025304
Golem,Golem,,106,76,Golem,,1,Common,Rock,Ground,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,,,,,,,,,,,,,,,,,,,,,,1,93,94,0.012354
Alolan Golem,Alolan Golem,,107,76,Golem,Alolan,7,Common,Rock,Electric,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,,,,,,,,,,,,,,,,,,,,,,2,2,4,0.416667
Ponyta,Ponyta,,108,77,Ponyta,,1,Common,Fire,,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,74,74,0.01555
Galarian Ponyta,Galarian Ponyta,,109,77,Ponyta,Galarian,8,Common,Psychic,,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Rapidash,Rapidash,,110,78,Rapidash,,1,Common,Fire,,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,82,83,0.012342
Galarian Rapidash,Galarian Rapidash,,111,78,Rapidash,Galarian,8,Common,Psychic,Fairy,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Permitted,,,,,,,,,,,,,,,,,,,,,2,2,4,0.25
Galarian Slowpoke,Galarian Slowpoke,,112,79,Slowpoke,Galarian,8,Common,Psychic,,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,1,2,0.5
