#,Name,Species,Variant,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image_url,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank
52,Meowth Gigantamax,Meowth,Gigantamax,8,,Meowth,,Normal,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png,Gigantamax Allowed,,,
53,Persian,Persian,,1,Common,Meowth,False,Normal,,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Permitted,,,
53,Alolan Persian,Persian,Alolan,7,Common,Meowth,False,Dark,,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,,19,0,96
54,Psyduck,Psyduck,,1,Common,,False,Water,,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Permitted,,,
55,Golduck,Golduck,,1,Common,Psyduck,False,Water,,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Permitted,-,-,-
56,Mankey,Mankey,,1,Common,,False,Fighting,,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,,,,
57,Primeape,Primeape,,1,Common,Mankey,False,Fighting,,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,,,,
58,Hisuian Growlithe,Growlithe,Hisuian,1,Common,,False,Fire,Rock,350,60,75,45,65,50,55,https://img.pokemondb.net/s.png,,,,
58,Growlithe,Growlithe,,1,Common,,False,Fire,,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Permitted,,,
59,Hisuian Arcanine,Arcanine,Hisuian,1,Common,Growlithe,False,Fire,Rock,555,95,115,80,95,80,90,https://img.pokemondb.net/s.png,,,,
59,Arcanine,Arcanine,,1,Common,Growlithe,False,Fire,,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Permitted,23,0,71
60,Poliwag,Poliwag,,1,Common,,False,Water,,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Permitted,,,
61,Poliwhirl,Poliwhirl,,1,Common,Poliwag,False,Water,,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Permitted,,,
62,Poliwrath,Poliwrath,,1,Common,Poliwhirl,False,Water,Fighting,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Permitted,-,-,-
63,Abra,Abra,,1,Common,,False,Psychic,,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Permitted,,,
64,Kadabra,Kadabra,,1,Common,Abra,True,Psychic,,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Permitted,,,
65,Alakazam,Alakazam,,1,Common,Kadabra,True,Psychic,,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Permitted,-,-,-
65,Mega Alakazam,Alakazam,Mega,6,Common,Alakazam,True,Psychic,,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Banned,,,
66,Machop,Machop,,1,Common,,False,Fighting,,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Permitted,,,
67,Machoke,Machoke,,1,Common,Machop,False,Fighting,,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Permitted,,,
68,Machamp Gigantamax,Machamp,Gigantamax,8,,Machamp,,Fighting,,,,,,,,,https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png,Gigantamax Allowed,,,
68,Machamp,Machamp,,1,Common,Machoke,False,Fighting,,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Permitted,4,0,204
69,Bellsprout,Bellsprout,,1,Common,,False,Grass,Poison,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,,,,
70,Weepinbell,Weepinbell,,1,Common,Bellsprout,False,Grass,Poison,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,,,,
71,Victreebel,Victreebel,,1,Common,Weepinbell,False,Grass,Poison,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,,,,
72,Tentacool,Tentacool,,1,Common,,False,Water,Poison,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Permitted,,,
73,Tentacruel,Tentacruel,,1,Common,Tentacool,False,Water,Poison,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Permitted,-,-,-
74,Geodude,Geodude,,1,Common,,False,Rock,Ground,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,,,,
74,Alolan Geodude,Geodude,Alolan,7,Common,,False,Rock,Electric,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,,,,
75,Graveler,Graveler,,1,Common,Geodude,False,Rock,Ground,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,,,,
75,Alolan Graveler,Graveler,Alolan,7,Common,Geodude,False,Rock,Electric,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,,,,
76,Golem,Golem,,1,Common,Graveler,False,Rock,Ground,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,,,,
76,Alolan Golem,Golem,Alolan,7,Common,Graveler,False,Rock,Electric,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,,,,
77,Ponyta,Ponyta,,1,Common,,False,Fire,,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Permitted,,,
77,Galarian Ponyta,Ponyta,Galarian,8,Common,,False,Psychic,,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Permitted,,,
78,Rapidash,Rapidash,,1,Common,Ponyta,False,Fire,,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Permitted,,,
78,Galarian Rapidash,Rapidash,Galarian,8,Common,Ponyta,False,Psychic,Fairy,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Permitted,,,
79,Galarian Slowpoke,Slowpoke,Galarian,8,Common,,False,Psychic,,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Permitted,,,
79,Slowpoke,Slowpoke,,1,Common,,False,Water,Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,,,,
80,Mega Slowbro,Slowbro,Mega,6,Common,Slowbro,False,Water,Psychic,590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Banned,,,
80,Galarian Slowbro,Slowbro,Galarian,8,Common,Slowpoke,False,Poison,Psychic,490,95,100,95,100,70,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Permitted,-,-,-
80,Slowbro,Slowbro,,1,Common,Slowpoke,False,Water,Psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,,4,0,122
81,Magnemite,Magnemite,,1,Common,,False,Electric,Steel,325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Permitted,,,
82,Magneton,Magneton,,1,Common,Magnemite,False,Electric,Steel,465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Permitted,-,-,-
83,Farfetch'd,Farfetch'd,,1,Common,,False,Normal,Flying,377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Permitted,,,
83,Galarian Farfetch'd,Farfetch'd,Galarian,8,Common,,False,Fighting,,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,,,,
84,Doduo,Doduo,,1,Common,,True,Normal,Flying,310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,,,,
85,Dodrio,Dodrio,,1,Common,Doduo,True,Normal,Flying,470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,,,,
86,Seel,Seel,,1,Common,,False,Water,,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,,,,
87,Dewgong,Dewgong,,1,Common,Seel,False,Water,Ice,475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,,,,
88,Grimer,Grimer,,1,Common,,False,Poison,,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,,,,
88,Alolan Grimer,Grimer,Alolan,7,Common,,False,Poison,Dark,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,,,,
89,Alolan Muk,Muk,Alolan,7,Common,Grimer,False,Poison,Dark,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,,,,
89,Muk,Muk,,1,Common,Grimer,False,Poison,,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,,,,
90,Shellder,Shellder,,1,Common,,False,Water,,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Permitted,,,
91,Cloyster,Cloyster,,1,Common,Shellder,False,Water,Ice,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Permitted,2,0,224
92,Gastly,Gastly,,1,Common,,False,Ghost,Poison,310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Permitted,,,
93,Haunter,Haunter,,1,Common,Gastly,False,Ghost,Poison,405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Permitted,,,
94,Gengar,Gengar,,1,Common,Haunter,False,Ghost,Poison,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Permitted,10,0,214
94,Gengar Gigantamax,Gengar,Gigantamax,8,,Gengar,,Ghost,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/094GiMS8.png,Gigantamax Allowed,,,
94,Mega Gengar,Gengar,Mega,6,Common,Gengar,False,Ghost,Poison,600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Banned,,,
95,Onix,Onix,,1,Common,,False,Rock,Ground,385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Permitted,,,
96,Drowzee,Drowzee,,1,Common,,False,Psychic,,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,,,,
97,Hypno,Hypno,,1,Common,Drowzee,True,Psychic,,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,,,,
98,Krabby,Krabby,,1,Common,,False,Water,,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Permitted,,,
99,Kingler Gigantamax,Kingler,Gigantamax,8,,Kingler,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/3/33/099GiMS8.png,Gigantamax Allowed,,,
99,Kingler,Kingler,,1,Common,Krabby,False,Water,,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Permitted,9,0,128
100,Hisuian Voltorb,Voltorb,Hisuian,1,Common,,False,Electric,Grass,330,40,30,50,55,55,100,https://img.pokemondb.net/s.png,,,,
100,Voltorb,Voltorb,,1,Common,,False,Electric,,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,,,,
101,Hisuian Electrode,Electrode,Hisuian,1,Common,Voltorb,False,Electric,Grass,490,60,50,70,80,80,150,https://img.pokemondb.net/s.png,,,,
101,Electrode,Electrode,,1,Common,Voltorb,False,Electric,,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,,,,
102,Exeggcute,Exeggcute,,1,Common,,False,Grass,Psychic,325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,Permitted,,,
103,Alolan Exeggutor,Exeggutor,Alolan,7,Common,Exeggcute,False,Grass,Dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,,6,0,166
103,Exeggutor,Exeggutor,,1,Common,Exeggcute,False,Grass,Psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Permitted,3,0,156
104,Cubone,Cubone,,1,Common,,False,Ground,,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,Permitted,,,
105,Alolan Marowak,Marowak,Alolan,7,Common,Cubone,False,Fire,Ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,,16,0,121
105,Marowak,Marowak,,1,Common,Cubone,False,Ground,,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,Permitted,-,-,-
106,Hitmonlee,Hitmonlee,,1,Common,Tyrogue,False,Fighting,,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,Permitted,-,-,-
107,Hitmonchan,Hitmonchan,,1,Common,Tyrogue,False,Fighting,,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,Permitted,,,
108,Lickitung,Lickitung,,1,Common,,False,Normal,,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,Permitted,,,
109,Koffing,Koffing,,1,Common,,False,Poison,,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,Permitted,,,
