Move,Use_Percentage (%),Pokemon,Name
Protect,47.416%,Hippowdon,Protect
Protect,53.210%,Alakazam,Protect
Protect,54.673%,Arctozolt,Protect
Protect,19.047%,Starmie,Protect
Protect,10.422%,Turtonator,Protect
Protect,95.309%,Sharpedo,Protect
Protect,7.267%,Salazzle,Protect
Protect,53.752%,Ninetales,Protect
Protect,16.429%,Sirfetch'd,Protect
Protect,12.220%,Ribombee,Protect
Protect,12.981%,Charjabug,Protect
Protect,49.377%,Toxtricity Low Key Form,Protect
Protect,90.257%,Vaporeon,Protect
Protect,59.983%,Mr. Mime,Protect
Protect,83.960%,Magnezone,Protect
Protect,8.359%,Gallade,Protect
Protect,4.948%,Lopunny,Protect
Protect,58.104%,Malamar,Protect
Protect,17.716%,Golisopod,Protect
Protect,17.609%,Golduck,Protect
Protect,83.578%,Shiinotic,Protect
Protect,72.383%,Lycanroc Dusk Form,Protect
Protect,8.383%,Unfezant,Protect
Protect,17.094%,Perrserker,Protect
Protect,16.763%,Galarian Slowbro,Protect
Protect,75.251%,Frost Rotom,Protect
Protect,90.387%,Roserade,Protect
Protect,12.745%,Tangrowth,Protect
Protect,79.327%,Sandaconda,Protect
Protect,13.081%,Polteageist,Protect
Protect,79.869%,Tangela,Protect
Protect,30.138%,Morpeko Full Belly Mode,Protect
Protect,6.521%,Miltank,Protect
Protect,35.299%,Crawdaunt,Protect
Protect,53.783%,Heracross,Protect
Protect,78.948%,Magneton,Protect
Protect,24.591%,Stoutland,Protect
Protect,9.047%,Noivern,Protect
Protect,32.156%,Jolteon,Protect
Protect,21.109%,Cursola,Protect
Protect,42.911%,Falinks,Protect
Protect,19.588%,Dedenne,Protect
Protect,77.894%,Flygon,Protect
Protect,25.085%,Reuniclus,Protect
Protect,46.477%,Drapion,Protect
Protect,33.522%,Exploud,Protect
Protect,64.885%,Wigglytuff,Protect
Protect,8.494%,Galarian Corsola,Protect
Protect,55.520%,Vanilluxe,Protect
Protect,89.139%,Seaking,Protect
Protect,3.754%,Sigilyph,Protect
Protect,25.005%,Decidueye,Protect
Protect,66.570%,Galvantula,Protect
Protect,98.319%,Arctovish,Protect
Protect,25.923%,Maractus,Protect
Protect,5.489%,Orbeetle,Protect
Protect,28.765%,Passimian,Protect
Protect,35.810%,Lycanroc Midday Form,Protect
Protect,9.791%,Beheeyem,Protect
Protect,33.582%,Marowak,Protect
Protect,85.918%,Tentacruel,Protect
Protect,92.448%,Dragalge,Protect
Protect,65.353%,Flareon,Protect
Protect,86.025%,Bewear,Protect
Protect,52.899%,Scyther,Protect
Protect,56.919%,Alolan Sandslash,Protect
Protect,52.147%,Poliwrath,Protect
Protect,54.432%,Lycanroc Midnight Form,Protect
Protect,82.856%,Golurk,Protect
Protect,11.821%,Lickilicky,Protect
Protect,95.162%,Fan Rotom,Protect
Protect,15.894%,Hitmonlee,Protect
Protect,70.405%,Scolipede,Protect
Protect,12.438%,Dunsparce,Protect
Protect,33.533%,Sandslash,Protect
Protect,93.523%,Steelix,Protect
Protect,87.569%,Noctowl,Protect
Protect,99.994%,Corsola,Protect
Protect,99.479%,Mime Jr.,Protect
Sacred Sword,84.154%,Zacian Crowned Sword,Sacred Sword
Sacred Sword,79.657%,Kartana,Sacred Sword
Sacred Sword,6.292%,Aegislash Shield Forme,Sacred Sword
Sacred Sword,34.585%,Terrakion,Sacred Sword
Sacred Sword,11.150%,Cobalion,Sacred Sword
Sacred Sword,23.068%,Virizion,Sacred Sword
Play Rough,64.487%,Zacian Crowned Sword,Play Rough
Play Rough,41.470%,Mimikyu,Play Rough
Play Rough,20.904%,Azumarill,Play Rough
Play Rough,7.758%,Klefki,Play Rough
Play Rough,51.433%,Beartic,Play Rough
Play Rough,30.973%,Copperajah,Play Rough
Play Rough,2.978%,Slurpuff,Play Rough
Play Rough,6.996%,Lopunny,Play Rough
Play Rough,8.374%,Lycanroc Dusk Form,Play Rough
Play Rough,35.295%,Perrserker,Play Rough
Play Rough,67.263%,Miltank,Play Rough
Play Rough,26.219%,Stoutland,Play Rough
Play Rough,39.747%,Lycanroc Midday Form,Play Rough
Play Rough,56.621%,Lycanroc Midnight Form,Play Rough
Substitute,30.274%,Zacian Crowned Sword,Substitute
Substitute,41.087%,Zygarde Complete Forme,Substitute
Substitute,50.252%,Landorus Incarnate Forme,Substitute
Substitute,28.355%,Dracovish,Substitute
Substitute,69.009%,Galarian Weezing,Substitute
Substitute,28.799%,Moltres,Substitute
Substitute,12.912%,Pincurchin,Substitute
Substitute,10.040%,Aegislash Shield Forme,Substitute
Substitute,9.630%,Darmanitan Standard Mode,Substitute
Substitute,6.989%,Heatran,Substitute
Substitute,84.634%,Swoobat,Substitute
Substitute,6.055%,Accelgor,Substitute
Substitute,78.517%,Manectric,Substitute
Substitute,35.652%,Magneton,Substitute
Substitute,9.566%,Dedenne,Substitute
Substitute,14.445%,Galarian Corsola,Substitute
Substitute,9.016%,Hitmonlee,Substitute
Quick Attack,8.491%,Zacian Crowned Sword,Quick Attack
Quick Attack,19.387%,Leafeon,Quick Attack
Quick Attack,66.087%,Sylveon,Quick Attack
Quick Attack,4.634%,Flareon,Quick Attack
Quick Attack,9.841%,Scyther,Quick Attack
Fake Out,99.796%,Incineroar,Fake Out
Fake Out,15.003%,Grimmsnarl,Fake Out
Fake Out,97.616%,Rillaboom,Fake Out
Fake Out,60.240%,Blastoise,Fake Out
Fake Out,98.544%,Raichu,Fake Out
Fake Out,60.813%,Sableye,Fake Out
Fake Out,93.331%,Gothitelle,Fake Out
Fake Out,98.840%,Mienshao,Fake Out
Fake Out,93.209%,Liepard,Fake Out
Fake Out,97.093%,Weavile,Fake Out
Fake Out,97.021%,Hitmontop,Fake Out
Fake Out,32.010%,Meowstic Male,Fake Out
Fake Out,94.099%,Alolan Persian,Fake Out
Fake Out,82.690%,Sneasel,Fake Out
Fake Out,61.956%,Ludicolo,Fake Out
Fake Out,97.760%,Pikachu,Fake Out
Fake Out,17.459%,Togedemaru,Fake Out
Fake Out,99.887%,Kangaskhan,Fake Out
Fake Out,73.333%,Shiftry,Fake Out
Fake Out,90.086%,Toxicroak,Fake Out
Fake Out,96.795%,Scrafty,Fake Out
Fake Out,98.966%,Mr. Rime,Fake Out
Fake Out,94.730%,Mime Galarian Mr. Mime,Fake Out
Fake Out,43.195%,Alolan Raichu,Fake Out
Fake Out,98.395%,Torracat,Fake Out
Fake Out,76.824%,Salazzle,Fake Out
Fake Out,92.115%,Mr. Mime,Fake Out
Fake Out,68.360%,Lopunny,Fake Out
Fake Out,79.867%,Perrserker,Fake Out
Fake Out,90.552%,Morpeko Full Belly Mode,Fake Out
Fake Out,46.212%,Hitmonlee,Fake Out
Flare Blitz,98.840%,Incineroar,Flare Blitz
Flare Blitz,57.003%,Entei,Flare Blitz
Flare Blitz,10.669%,Cinderace,Flare Blitz
Flare Blitz,4.520%,Coalossal,Flare Blitz
Flare Blitz,18.755%,Arcanine,Flare Blitz
Flare Blitz,99.507%,Darmanitan Galarian Standard Mode,Flare Blitz
Flare Blitz,27.480%,Talonflame,Flare Blitz
Flare Blitz,99.748%,Alolan Marowak,Flare Blitz
Flare Blitz,94.147%,Centiskorch,Flare Blitz
Flare Blitz,97.886%,Darmanitan Standard Mode,Flare Blitz
Flare Blitz,25.729%,Blaziken,Flare Blitz
Flare Blitz,98.294%,Flareon,Flare Blitz
Parting Shot,96.074%,Incineroar,Parting Shot
Parting Shot,9.867%,Alolan Persian,Parting Shot
Parting Shot,20.607%,Obstagoon,Parting Shot
Parting Shot,43.151%,Silvally,Parting Shot
Parting Shot,99.999%,Torracat,Parting Shot
Parting Shot,54.022%,Thievul,Parting Shot
Parting Shot,94.834%,Morpeko Full Belly Mode,Parting Shot
Darkest Lariat,40.006%,Incineroar,Darkest Lariat
Darkest Lariat,15.461%,Regigigas,Darkest Lariat
Darkest Lariat,41.896%,Snorlax,Darkest Lariat
Darkest Lariat,25.322%,Krookodile,Darkest Lariat
Darkest Lariat,95.840%,Electivire,Darkest Lariat
Darkest Lariat,23.038%,Dusknoir,Darkest Lariat
Darkest Lariat,91.567%,Bewear,Darkest Lariat
Darkest Lariat,16.886%,Poliwrath,Darkest Lariat
Throat Chop,21.099%,Incineroar,Throat Chop
Throat Chop,55.040%,Barraskewda,Throat Chop
Throat Chop,9.203%,Pheromosa,Throat Chop
Throat Chop,13.146%,Weavile,Throat Chop
Throat Chop,17.004%,Galarian Zapdos,Throat Chop
Throat Chop,68.177%,Shiftry,Throat Chop
Throat Chop,6.455%,Obstagoon,Throat Chop
Throat Chop,26.954%,Scrafty,Throat Chop
Throat Chop,8.382%,Tauros,Throat Chop
Throat Chop,84.021%,Luxray,Throat Chop
Throat Chop,8.365%,Beartic,Throat Chop
Throat Chop,4.192%,Gallade,Throat Chop
Throat Chop,75.328%,Malamar,Throat Chop
Throat Chop,7.187%,Perrserker,Throat Chop
Throat Chop,13.113%,Heracross,Throat Chop
Throat Chop,29.027%,Falinks,Throat Chop
Throat Chop,34.112%,Hitmonlee,Throat Chop
Throat Chop,94.336%,Corsola,Throat Chop
Taunt,20.389%,Incineroar,Taunt
Taunt,17.885%,Thundurus Incarnate Forme,Taunt
Taunt,27.545%,Whimsicott,Taunt
Taunt,24.366%,Tornadus Incarnate Forme,Taunt
Taunt,66.251%,Dusclops,Taunt
Taunt,97.786%,Weezing,Taunt
Taunt,30.703%,Tapu Lele,Taunt
Taunt,43.916%,Mimikyu,Taunt
Taunt,9.664%,Gothitelle,Taunt
Taunt,17.898%,Umbreon,Taunt
Taunt,47.284%,Spectrier,Taunt
Taunt,41.363%,Tsareena,Taunt
Taunt,9.719%,Galarian Zapdos,Taunt
Taunt,6.348%,Alolan Persian,Taunt
Taunt,10.039%,Galarian Moltres,Taunt
Taunt,17.313%,Talonflame,Taunt
Taunt,13.294%,Sneasel,Taunt
Taunt,28.552%,Galarian Weezing,Taunt
Taunt,21.789%,Gyarados,Taunt
Taunt,51.843%,Tapu Bulu,Taunt
Taunt,30.023%,Froslass,Taunt
Taunt,3.904%,Jellicent,Taunt
Taunt,62.001%,Mandibuzz,Taunt
Taunt,44.258%,Obstagoon,Taunt
Taunt,8.244%,Scrafty,Taunt
Taunt,6.800%,Aerodactyl,Taunt
Taunt,12.859%,Heatran,Taunt
Taunt,23.932%,Bisharp,Taunt
Taunt,10.710%,Corviknight,Taunt
Taunt,3.658%,Gengar,Taunt
Taunt,25.832%,Crobat,Taunt
Taunt,20.838%,Zoroark,Taunt
Taunt,4.292%,Virizion,Taunt
Taunt,7.572%,Alakazam,Taunt
Taunt,91.691%,Torracat,Taunt
Taunt,15.534%,Thievul,Taunt
Taunt,36.166%,Salazzle,Taunt
Taunt,48.955%,Emolga,Taunt
Taunt,26.599%,Toxtricity Low Key Form,Taunt
Taunt,27.722%,Mr. Mime,Taunt
Taunt,17.463%,Unfezant,Taunt
Taunt,11.065%,Perrserker,Taunt
Taunt,18.154%,Morpeko Full Belly Mode,Taunt
Taunt,22.837%,Noivern,Taunt
Taunt,60.279%,Drapion,Taunt
Taunt,75.360%,Vanilluxe,Taunt
Taunt,96.890%,Mime Jr.,Taunt
Snarl,9.495%,Incineroar,Snarl
Snarl,22.241%,Calyrex Shadow Rider,Snarl
Snarl,45.445%,Yveltal,Snarl
Snarl,28.703%,Entei,Snarl
Snarl,90.784%,Umbreon,Snarl
Snarl,85.823%,Spectrier,Snarl
Snarl,66.137%,Arcanine,Snarl
Snarl,62.251%,Zamazenta Crowned Shield,Snarl
Snarl,85.882%,Suicune,Snarl
Snarl,21.064%,Liepard,Snarl
Snarl,16.880%,Hydreigon,Snarl
Snarl,9.429%,Glastrier,Snarl
Snarl,37.830%,Galarian Moltres,Snarl
Snarl,7.901%,Tyranitar,Snarl
Snarl,22.824%,Raikou,Snarl
Snarl,29.799%,Krookodile,Snarl
Snarl,36.582%,Mandibuzz,Snarl
Snarl,56.413%,Scrafty,Snarl
Snarl,50.590%,Boltund,Snarl
Snarl,81.685%,Manectric,Snarl
Snarl,47.343%,Drampa,Snarl
Snarl,55.109%,Zoroark,Snarl
Snarl,81.397%,Haxorus,Snarl
Snarl,81.578%,Thievul,Snarl
Snarl,45.062%,Toxtricity Low Key Form,Snarl
Snarl,13.481%,Stoutland,Snarl
Snarl,11.199%,Drapion,Snarl
Water Spout,93.603%,Kyogre,Water Spout
Water Spout,8.226%,Blastoise,Water Spout
Water Spout,57.229%,Jellicent,Water Spout
Origin Pulse,77.789%,Kyogre,Origin Pulse
Ice Beam,77.355%,Kyogre,Ice Beam
Ice Beam,79.866%,Gastrodon,Ice Beam
Ice Beam,28.395%,Porygon2,Ice Beam
Ice Beam,15.366%,Blastoise,Ice Beam
Ice Beam,9.322%,White Kyurem,Ice Beam
Ice Beam,17.659%,Milotic,Ice Beam
Ice Beam,9.049%,Mewtwo,Ice Beam
Ice Beam,10.220%,Inteleon,Ice Beam
Ice Beam,6.014%,Politoed,Ice Beam
Ice Beam,34.866%,Ludicolo,Ice Beam
Ice Beam,10.837%,Primarina,Ice Beam
Ice Beam,7.909%,Latias,Ice Beam
Ice Beam,6.454%,Cresselia,Ice Beam
Ice Beam,93.187%,Wishiwashi Solo Form,Ice Beam
Ice Beam,82.954%,Mantine,Ice Beam
Ice Beam,5.947%,Goodra,Ice Beam
Ice Beam,38.335%,Silvally,Ice Beam
Ice Beam,13.248%,Starmie,Ice Beam
Ice Beam,10.988%,Vaporeon,Ice Beam
Ice Beam,2.911%,Lopunny,Ice Beam
Ice Beam,25.410%,Golduck,Ice Beam
Ice Beam,16.545%,Cursola,Ice Beam
Ice Beam,50.262%,Exploud,Ice Beam
Ice Beam,81.730%,Seaking,Ice Beam
Ice Beam,3.503%,Tentacruel,Ice Beam
Thunder,54.061%,Kyogre,Thunder
Thunder,25.838%,Zapdos,Thunder
Thunder,19.911%,Lapras,Thunder
Thunder,11.256%,Tapu Koko,Thunder
Thunder,40.022%,Thundurus Therian Forme,Thunder
Thunder,10.649%,Wash Rotom,Thunder
Thunder,14.286%,Pikachu,Thunder
Thunder,30.286%,Raikou,Thunder
Thunder,77.345%,Heliolisk,Thunder
Thunder,36.405%,Porygon-Z,Thunder
Thunder,28.627%,Duraludon,Thunder
Thunder,17.204%,Vikavolt,Thunder
Thunder,16.446%,Xurkitree,Thunder
Thunder,12.932%,Mow Rotom,Thunder
Thunder,86.412%,Manectric,Thunder
Thunder,8.394%,Magnezone,Thunder
Thunder,39.983%,Frost Rotom,Thunder
Thunder,37.509%,Jolteon,Thunder
Thunder,21.356%,Reuniclus,Thunder
Thunder,39.960%,Galvantula,Thunder
Thunder,12.558%,Dragalge,Thunder
Blizzard,12.518%,Kyogre,Blizzard
Blizzard,52.957%,Blastoise,Blizzard
Blizzard,24.820%,Dialga,Blizzard
Blizzard,57.734%,White Kyurem,Blizzard
Blizzard,19.520%,Tapu Fini,Blizzard
Blizzard,19.916%,Lapras,Blizzard
Blizzard,44.307%,Milotic,Blizzard
Blizzard,14.876%,Mewtwo,Blizzard
Blizzard,4.901%,Ludicolo,Blizzard
Blizzard,75.578%,Alolan Ninetales,Blizzard
Blizzard,13.382%,Porygon-Z,Blizzard
Blizzard,74.712%,Abomasnow,Blizzard
Blizzard,11.584%,Glaceon,Blizzard
Blizzard,3.582%,Vaporeon,Blizzard
Blizzard,99.999%,Frost Rotom,Blizzard
Blizzard,8.443%,Cursola,Blizzard
Blizzard,15.210%,Exploud,Blizzard
Blizzard,99.833%,Vanilluxe,Blizzard
Blizzard,30.075%,Tentacruel,Blizzard
Blizzard,12.533%,Dunsparce,Blizzard
Reflect,75.872%,Grimmsnarl,Reflect
Reflect,7.178%,Tapu Lele,Reflect
Reflect,4.686%,Dragapult,Reflect
Reflect,74.018%,Meowstic Male,Reflect
Reflect,47.943%,Raikou,Reflect
Reflect,55.960%,Togedemaru,Reflect
Reflect,78.803%,Klefki,Reflect
Reflect,29.119%,Articuno,Reflect
Reflect,4.840%,Togetic,Reflect
Reflect,8.773%,Ribombee,Reflect
Reflect,13.174%,Aromatisse,Reflect
Reflect,12.454%,Magneton,Reflect
Reflect,9.675%,Claydol,Reflect
Light Screen,63.992%,Grimmsnarl,Light Screen
Light Screen,4.519%,Raichu,Light Screen
Light Screen,5.232%,Tapu Fini,Light Screen
Light Screen,8.997%,Dragapult,Light Screen
Light Screen,7.671%,Tapu Koko,Light Screen
Light Screen,80.128%,Meowstic Male,Light Screen
Light Screen,44.365%,Raikou,Light Screen
Light Screen,78.689%,Klefki,Light Screen
Light Screen,94.869%,Charjabug,Light Screen
Light Screen,13.208%,Aromatisse,Light Screen
Light Screen,9.695%,Claydol,Light Screen
Light Screen,9.362%,Reuniclus,Light Screen
Light Screen,11.406%,Galarian Corsola,Light Screen
Light Screen,3.514%,Orbeetle,Light Screen
Thunder Wave,55.346%,Grimmsnarl,Thunder Wave
Thunder Wave,11.828%,Thundurus Incarnate Forme,Thunder Wave
Thunder Wave,7.192%,Liepard,Thunder Wave
Thunder Wave,18.483%,Meowstic Male,Thunder Wave
Thunder Wave,5.380%,Tyranitar,Thunder Wave
Thunder Wave,43.625%,Raikou,Thunder Wave
Thunder Wave,92.238%,Klefki,Thunder Wave
Thunder Wave,13.820%,Cresselia,Thunder Wave
Thunder Wave,46.664%,Boltund,Thunder Wave
Thunder Wave,8.948%,Manectric,Thunder Wave
Thunder Wave,14.468%,Cinccino,Thunder Wave
Thunder Wave,12.305%,Togetic,Thunder Wave
Thunder Wave,5.439%,Salazzle,Thunder Wave
Thunder Wave,25.247%,Mr. Mime,Thunder Wave
Thunder Wave,49.450%,Lopunny,Thunder Wave
Thunder Wave,8.807%,Miltank,Thunder Wave
Thunder Wave,5.819%,Stoutland,Thunder Wave
Thunder Wave,28.580%,Jolteon,Thunder Wave
Spirit Break,52.745%,Grimmsnarl,Spirit Break
Foul Play,38.453%,Grimmsnarl,Foul Play
Foul Play,19.228%,Thundurus Incarnate Forme,Foul Play
Foul Play,10.868%,Amoonguss,Foul Play
Foul Play,60.609%,Yveltal,Foul Play
Foul Play,44.718%,Porygon2,Foul Play
Foul Play,13.929%,Sableye,Foul Play
Foul Play,98.973%,Umbreon,Foul Play
Foul Play,53.759%,Liepard,Foul Play
Foul Play,33.373%,Weavile,Foul Play
Foul Play,98.558%,Alolan Persian,Foul Play
Foul Play,16.399%,Galarian Moltres,Foul Play
Foul Play,4.420%,Sneasel,Foul Play
Foul Play,15.684%,Wash Rotom,Foul Play
Foul Play,14.817%,Tyranitar,Foul Play
Foul Play,20.003%,Oranguru,Foul Play
Foul Play,29.338%,Krookodile,Foul Play
Foul Play,17.150%,Shiftry,Foul Play
Foul Play,95.490%,Toxicroak,Foul Play
Foul Play,13.299%,Porygon-Z,Foul Play
Foul Play,24.454%,Klefki,Foul Play
Foul Play,62.585%,Mandibuzz,Foul Play
Foul Play,42.228%,Scrafty,Foul Play
Foul Play,99.644%,Diggersby,Foul Play
Foul Play,23.157%,Thievul,Foul Play
Scary Face,34.624%,Grimmsnarl,Scary Face
Scary Face,14.578%,Thundurus Incarnate Forme,Scary Face
Scary Face,26.494%,Drapion,Scary Face
Trick,32.650%,Grimmsnarl,Trick
Trick,4.837%,Calyrex Shadow Rider,Trick
Trick,20.679%,Sableye,Trick
Trick,16.369%,Indeedee Male,Trick
Trick,16.273%,Meowstic Male,Trick
Trick,64.784%,Blacephalon,Trick
Trick,22.267%,Espeon,Trick
Trick,16.646%,Starmie,Trick
Trick,4.564%,Gallade,Trick
Trick,11.083%,Frost Rotom,Trick
Fake Tears,17.558%,Grimmsnarl,Fake Tears
Fake Tears,7.076%,Whimsicott,Fake Tears
Fake Tears,55.942%,Liepard,Fake Tears
Fake Tears,68.219%,Weavile,Fake Tears
Fake Tears,82.176%,Alolan Persian,Fake Tears
