,#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
107,80,Slowbro,NA,NA,2.0,NA,NA,NA
108,80,Slowbro Mega Slowbro,NA,NA,2.0,NA,NA,NA
109,80,Slowbro Galarian Slowbro,NA,2.0,NA,NA,NA,NA
110,81,Magnemite,NA,NA,NA,1.0,NA,NA
111,82,Magneton,NA,NA,NA,2.0,NA,NA
112,83,Farfetch'd,NA,1.0,NA,NA,NA,NA
113,83,Farfetch'd Galarian Farfetch'd,NA,1.0,NA,NA,NA,NA
114,84,Doduo,NA,1.0,NA,NA,NA,NA
115,85,Dodrio,NA,2.0,NA,NA,NA,NA
116,86,Seel,NA,NA,NA,NA,1.0,NA
117,87,Dewgong,NA,NA,NA,NA,2.0,NA
118,88,Grimer,1.0,NA,NA,NA,NA,NA
119,88,Grimer Alolan Grimer,1.0,NA,NA,NA,NA,NA
120,89,Muk,1.0,1.0,NA,NA,NA,NA
121,89,Muk Alolan Muk,1.0,1.0,NA,NA,NA,NA
122,90,Shellder,NA,NA,1.0,NA,NA,NA
123,91,Cloyster,NA,NA,2.0,NA,NA,NA
124,92,Gastly,NA,NA,NA,1.0,NA,NA
125,93,Haunter,NA,NA,NA,2.0,NA,NA
126,94,Gengar,NA,NA,NA,3.0,NA,NA
127,94,Gengar Mega Gengar,NA,NA,NA,3.0,NA,NA
128,95,Onix,NA,NA,1.0,NA,NA,NA
129,96,Drowzee,NA,NA,NA,NA,1.0,NA
130,97,Hypno,NA,NA,NA,NA,2.0,NA
131,98,Krabby,NA,1.0,NA,NA,NA,NA
132,99,Kingler,NA,2.0,NA,NA,NA,NA
133,100,Voltorb,NA,NA,NA,NA,NA,1.0
134,100,Voltorb Hisuian Voltorb,NA,NA,NA,NA,NA,NA
135,101,Electrode,NA,NA,NA,NA,NA,2.0
136,101,Electrode Hisuian Electrode,NA,NA,NA,NA,NA,NA
137,102,Exeggcute,NA,NA,1.0,NA,NA,NA
138,103,Exeggutor,NA,NA,NA,2.0,NA,NA
139,103,Exeggutor Alolan Exeggutor,NA,NA,NA,2.0,NA,NA
140,104,Cubone,NA,NA,1.0,NA,NA,NA
141,105,Marowak,NA,NA,2.0,NA,NA,NA
142,105,Marowak Alolan Marowak,NA,NA,2.0,NA,NA,NA
143,106,Hitmonlee,NA,2.0,NA,NA,NA,NA
144,107,Hitmonchan,NA,NA,NA,NA,2.0,NA
145,108,Lickitung,2.0,NA,NA,NA,NA,NA
146,109,Koffing,NA,NA,1.0,NA,NA,NA
147,110,Weezing,NA,NA,2.0,NA,NA,NA
148,110,Weezing Galarian Weezing,NA,NA,2.0,NA,NA,NA
149,111,Rhyhorn,NA,NA,1.0,NA,NA,NA
150,112,Rhydon,NA,2.0,NA,NA,NA,NA
151,113,Chansey,2.0,NA,NA,NA,NA,NA
152,114,Tangela,NA,NA,1.0,NA,NA,NA
153,115,Kangaskhan,2.0,NA,NA,NA,NA,NA
154,115,Kangaskhan Mega Kangaskhan,2.0,NA,NA,NA,NA,NA
155,116,Horsea,NA,NA,NA,1.0,NA,NA
156,117,Seadra,NA,NA,1.0,1.0,NA,NA
157,118,Goldeen,NA,1.0,NA,NA,NA,NA
158,119,Seaking,NA,2.0,NA,NA,NA,NA
159,120,Staryu,NA,NA,NA,NA,NA,1.0
160,121,Starmie,NA,NA,NA,NA,NA,2.0
161,122,Mr. Mime,NA,NA,NA,NA,2.0,NA
162,122,Mr. Mime Galarian Mr. Mime,NA,NA,NA,NA,NA,2.0
163,123,Scyther,NA,1.0,NA,NA,NA,NA
164,124,Jynx,NA,NA,NA,2.0,NA,NA
165,125,Electabuzz,NA,NA,NA,NA,NA,2.0
166,126,Magmar,NA,NA,NA,2.0,NA,NA
167,127,Pinsir,NA,2.0,NA,NA,NA,NA
168,127,Pinsir Mega Pinsir,NA,2.0,NA,NA,NA,NA
169,128,Tauros,NA,1.0,NA,NA,NA,1.0
170,129,Magikarp,NA,NA,NA,NA,NA,1.0
171,130,Gyarados,NA,2.0,NA,NA,NA,NA
172,130,Gyarados Mega Gyarados,NA,2.0,NA,NA,NA,NA
173,131,Lapras,2.0,NA,NA,NA,NA,NA
174,132,Ditto,1.0,NA,NA,NA,NA,NA
175,133,Eevee,NA,NA,NA,NA,1.0,NA
176,133,Eevee Partner Eevee,NA,NA,NA,NA,1.0,NA
177,134,Vaporeon,2.0,NA,NA,NA,NA,NA
178,135,Jolteon,NA,NA,NA,NA,NA,2.0
179,136,Flareon,NA,2.0,NA,NA,NA,NA
180,137,Porygon,NA,NA,NA,1.0,NA,NA
181,138,Omanyte,NA,NA,1.0,NA,NA,NA
182,139,Omastar,NA,NA,2.0,NA,NA,NA
183,140,Kabuto,NA,NA,1.0,NA,NA,NA
184,141,Kabutops,NA,2.0,NA,NA,NA,NA
185,142,Aerodactyl,NA,NA,NA,NA,NA,2.0
186,142,Aerodactyl Mega Aerodactyl,NA,NA,NA,NA,NA,2.0
187,143,Snorlax,2.0,NA,NA,NA,NA,NA
188,144,Articuno,NA,NA,NA,NA,3.0,NA
189,144,Articuno Galarian Articuno,NA,NA,NA,3.0,NA,NA
190,145,Zapdos,NA,NA,NA,3.0,NA,NA
191,145,Zapdos Galarian Zapdos,NA,3.0,NA,NA,NA,NA
192,146,Moltres,NA,NA,NA,3.0,NA,NA
193,146,Moltres Galarian Moltres,NA,NA,NA,NA,3.0,NA
194,147,Dratini,NA,1.0,NA,NA,NA,NA
195,148,Dragonair,NA,2.0,NA,NA,NA,NA
196,149,Dragonite,NA,3.0,NA,NA,NA,NA
197,150,Mewtwo,NA,NA,NA,3.0,NA,NA
198,150,Mewtwo Mega Mewtwo X,NA,NA,NA,3.0,NA,NA
199,150,Mewtwo Mega Mewtwo Y,NA,NA,NA,3.0,NA,NA
200,151,Mew,3.0,NA,NA,NA,NA,NA
201,152,Chikorita,NA,NA,NA,NA,1.0,NA
202,153,Bayleef,NA,NA,1.0,NA,1.0,NA
203,154,Meganium,NA,NA,1.0,NA,2.0,NA
204,155,Cyndaquil,NA,NA,NA,NA,NA,1.0
205,156,Quilava,NA,NA,NA,1.0,NA,1.0
206,157,Typhlosion,NA,NA,NA,3.0,NA,NA
207,157,Typhlosion Hisuian Typhlosion,NA,NA,NA,NA,NA,NA
208,158,Totodile,NA,1.0,NA,NA,NA,NA
209,159,Croconaw,NA,1.0,1.0,NA,NA,NA
210,160,Feraligatr,NA,2.0,1.0,NA,NA,NA
211,161,Sentret,NA,1.0,NA,NA,NA,NA
212,162,Furret,NA,NA,NA,NA,NA,2.0
213,163,Hoothoot,1.0,NA,NA,NA,NA,NA
214,164,Noctowl,2.0,NA,NA,NA,NA,NA
215,165,Ledyba,NA,NA,NA,NA,1.0,NA
216,166,Ledian,NA,NA,NA,NA,2.0,NA
217,167,Spinarak,NA,1.0,NA,NA,NA,NA
218,168,Ariados,NA,2.0,NA,NA,NA,NA
219,169,Crobat,NA,NA,NA,NA,NA,3.0
220,170,Chinchou,1.0,NA,NA,NA,NA,NA
221,171,Lanturn,2.0,NA,NA,NA,NA,NA
222,172,Pichu,NA,NA,NA,NA,NA,1.0
223,173,Cleffa,NA,NA,NA,NA,1.0,NA
224,174,Igglybuff,1.0,NA,NA,NA,NA,NA
225,175,Togepi,NA,NA,NA,NA,1.0,NA
226,176,Togetic,NA,NA,NA,NA,2.0,NA
227,177,Natu,NA,NA,NA,1.0,NA,NA
228,178,Xatu,NA,NA,NA,1.0,NA,1.0
229,179,Mareep,NA,NA,NA,1.0,NA,NA
230,180,Flaaffy,NA,NA,NA,2.0,NA,NA
231,181,Ampharos,NA,NA,NA,3.0,NA,NA
232,181,Ampharos Mega Ampharos,NA,NA,NA,3.0,NA,NA
233,182,Bellossom,NA,NA,NA,NA,3.0,NA
234,183,Marill,2.0,NA,NA,NA,NA,NA
235,184,Azumarill,3.0,NA,NA,NA,NA,NA
236,185,Sudowoodo,NA,NA,2.0,NA,NA,NA
237,186,Politoed,NA,NA,NA,NA,3.0,NA
238,187,Hoppip,NA,NA,NA,NA,1.0,NA
239,188,Skiploom,NA,NA,NA,NA,NA,2.0
240,189,Jumpluff,NA,NA,NA,NA,NA,3.0
241,190,Aipom,NA,NA,NA,NA,NA,1.0
242,191,Sunkern,NA,NA,NA,1.0,NA,NA
243,192,Sunflora,NA,NA,NA,2.0,NA,NA
244,193,Yanma,NA,NA,NA,NA,NA,1.0
245,194,Wooper,1.0,NA,NA,NA,NA,NA
246,195,Quagsire,2.0,NA,NA,NA,NA,NA
247,196,Espeon,NA,NA,NA,2.0,NA,NA
248,197,Umbreon,NA,NA,NA,NA,2.0,NA
249,198,Murkrow,NA,NA,NA,NA,NA,1.0
250,199,Slowking,NA,NA,NA,NA,2.0,NA
251,199,Slowking Galarian Slowking,NA,NA,NA,NA,2.0,NA
252,200,Misdreavus,NA,NA,NA,NA,1.0,NA
253,201,Unown,NA,1.0,NA,1.0,NA,NA
254,202,Wobbuffet,2.0,NA,NA,NA,NA,NA
255,203,Girafarig,NA,NA,NA,2.0,NA,NA
256,204,Pineco,NA,NA,1.0,NA,NA,NA
257,205,Forretress,NA,NA,2.0,NA,NA,NA
258,206,Dunsparce,1.0,NA,NA,NA,NA,NA
259,207,Gligar,NA,NA,1.0,NA,NA,NA
260,208,Steelix,NA,NA,2.0,NA,NA,NA
261,208,Steelix Mega Steelix,NA,NA,2.0,NA,NA,NA
262,209,Snubbull,NA,1.0,NA,NA,NA,NA
263,210,Granbull,NA,2.0,NA,NA,NA,NA
264,211,Qwilfish,NA,1.0,NA,NA,NA,NA
265,211,Qwilfish Hisuian Qwilfish,NA,NA,NA,NA,NA,NA
266,212,Scizor,NA,2.0,NA,NA,NA,NA
267,212,Scizor Mega Scizor,NA,2.0,NA,NA,NA,NA
268,213,Shuckle,NA,NA,1.0,NA,1.0,NA
269,214,Heracross,NA,2.0,NA,NA,NA,NA
270,214,Heracross Mega Heracross,NA,2.0,NA,NA,NA,NA
271,215,Sneasel,NA,NA,NA,NA,NA,1.0
272,215,Sneasel Hisuian Sneasel,NA,NA,NA,NA,NA,NA
273,216,Teddiursa,NA,1.0,NA,NA,NA,NA
274,217,Ursaring,NA,2.0,NA,NA,NA,NA
275,218,Slugma,NA,NA,NA,1.0,NA,NA
276,219,Magcargo,NA,NA,2.0,NA,NA,NA
277,220,Swinub,NA,1.0,NA,NA,NA,NA
278,221,Piloswine,1.0,1.0,NA,NA,NA,NA
279,222,Corsola,NA,NA,1.0,NA,1.0,NA
280,222,Corsola Galarian Corsola,NA,NA,NA,NA,1.0,NA
281,223,Remoraid,NA,NA,NA,1.0,NA,NA
282,224,Octillery,NA,1.0,NA,1.0,NA,NA
283,225,Delibird,NA,NA,NA,NA,NA,1.0
284,226,Mantine,NA,NA,NA,NA,2.0,NA
285,227,Skarmory,NA,NA,2.0,NA,NA,NA
286,228,Houndour,NA,NA,NA,1.0,NA,NA
287,229,Houndoom,NA,NA,NA,2.0,NA,NA
288,229,Houndoom Mega Houndoom,NA,NA,NA,2.0,NA,NA
289,230,Kingdra,NA,1.0,NA,1.0,1.0,NA
290,231,Phanpy,1.0,NA,NA,NA,NA,NA
291,232,Donphan,NA,1.0,1.0,NA,NA,NA
292,233,Porygon2,NA,NA,NA,2.0,NA,NA
293,234,Stantler,NA,1.0,NA,NA,NA,NA
294,235,Smeargle,NA,NA,NA,NA,NA,1.0
295,236,Tyrogue,NA,1.0,NA,NA,NA,NA
296,237,Hitmontop,NA,NA,NA,NA,2.0,NA
297,238,Smoochum,NA,NA,NA,1.0,NA,NA
298,239,Elekid,NA,NA,NA,NA,NA,1.0
299,240,Magby,NA,NA,NA,NA,NA,1.0
300,241,Miltank,NA,NA,2.0,NA,NA,NA
301,242,Blissey,3.0,NA,NA,NA,NA,NA
302,243,Raikou,NA,NA,NA,1.0,NA,2.0
303,244,Entei,1.0,2.0,NA,NA,NA,NA
304,245,Suicune,NA,NA,1.0,NA,2.0,NA
305,246,Larvitar,NA,1.0,NA,NA,NA,NA
306,247,Pupitar,NA,2.0,NA,NA,NA,NA
307,248,Tyranitar,NA,3.0,NA,NA,NA,NA
308,248,Tyranitar Mega Tyranitar,NA,3.0,NA,NA,NA,NA
309,249,Lugia,NA,NA,NA,NA,3.0,NA
310,250,Ho-oh,NA,NA,NA,NA,3.0,NA
311,251,Celebi,3.0,NA,NA,NA,NA,NA
312,252,Treecko,NA,NA,NA,NA,NA,1.0
313,253,Grovyle,NA,NA,NA,NA,NA,2.0
314,254,Sceptile,NA,NA,NA,NA,NA,3.0
315,254,Sceptile Mega Sceptile,NA,NA,NA,NA,NA,3.0
316,255,Torchic,NA,NA,NA,1.0,NA,NA
317,256,Combusken,NA,1.0,NA,1.0,NA,NA
318,257,Blaziken,NA,3.0,NA,NA,NA,NA
319,257,Blaziken Mega Blaziken,NA,3.0,NA,NA,NA,NA
320,258,Mudkip,NA,1.0,NA,NA,NA,NA
321,259,Marshtomp,NA,2.0,NA,NA,NA,NA
322,260,Swampert,NA,3.0,NA,NA,NA,NA
323,260,Swampert Mega Swampert,NA,3.0,NA,NA,NA,NA
324,261,Poochyena,NA,1.0,NA,NA,NA,NA
325,262,Mightyena,NA,2.0,NA,NA,NA,NA
326,263,Zigzagoon,NA,NA,NA,NA,NA,1.0
327,263,Zigzagoon Galarian Zigzagoon,NA,NA,NA,NA,NA,1.0
328,264,Linoone,NA,NA,NA,NA,NA,2.0
329,264,Linoone Galarian Linoone,NA,NA,NA,NA,NA,2.0
330,265,Wurmple,1.0,NA,NA,NA,NA,NA
331,266,Silcoon,NA,NA,2.0,NA,NA,NA
332,267,Beautifly,NA,NA,NA,3.0,NA,NA
333,268,Cascoon,NA,NA,2.0,NA,NA,NA
334,269,Dustox,NA,NA,NA,NA,3.0,NA
335,270,Lotad,NA,NA,NA,NA,1.0,NA
336,271,Lombre,NA,NA,NA,NA,2.0,NA
337,272,Ludicolo,NA,NA,NA,NA,3.0,NA
338,273,Seedot,NA,NA,1.0,NA,NA,NA
339,274,Nuzleaf,NA,2.0,NA,NA,NA,NA
340,275,Shiftry,NA,3.0,NA,NA,NA,NA
341,276,Taillow,NA,NA,NA,NA,NA,1.0
342,277,Swellow,NA,NA,NA,NA,NA,2.0
343,278,Wingull,NA,NA,NA,NA,NA,1.0
344,279,Pelipper,NA,NA,2.0,NA,NA,NA
345,280,Ralts,NA,NA,NA,1.0,NA,NA
346,281,Kirlia,NA,NA,NA,2.0,NA,NA
347,282,Gardevoir,NA,NA,NA,3.0,NA,NA
348,282,Gardevoir Mega Gardevoir,NA,NA,NA,3.0,NA,NA
349,283,Surskit,NA,NA,NA,NA,NA,1.0
350,284,Masquerain,NA,NA,NA,1.0,1.0,NA
351,285,Shroomish,1.0,NA,NA,NA,NA,NA
352,286,Breloom,NA,2.0,NA,NA,NA,NA
353,287,Slakoth,1.0,NA,NA,NA,NA,NA
354,288,Vigoroth,NA,NA,NA,NA,NA,2.0
355,289,Slaking,3.0,NA,NA,NA,NA,NA
356,290,Nincada,NA,NA,1.0,NA,NA,NA
357,291,Ninjask,NA,NA,NA,NA,NA,2.0
358,292,Shedinja,2.0,NA,NA,NA,NA,NA
359,293,Whismur,1.0,NA,NA,NA,NA,NA
360,294,Loudred,2.0,NA,NA,NA,NA,NA
361,295,Exploud,3.0,NA,NA,NA,NA,NA
362,296,Makuhita,1.0,NA,NA,NA,NA,NA
363,297,Hariyama,2.0,NA,NA,NA,NA,NA
364,298,Azurill,1.0,NA,NA,NA,NA,NA
365,299,Nosepass,NA,NA,1.0,NA,NA,NA
366,300,Skitty,NA,NA,NA,NA,NA,1.0
367,301,Delcatty,1.0,NA,NA,NA,NA,1.0
368,302,Sableye,NA,1.0,1.0,NA,NA,NA
369,302,Sableye Mega Sableye,NA,1.0,1.0,NA,NA,NA
370,303,Mawile,NA,1.0,1.0,NA,NA,NA
371,303,Mawile Mega Mawile,NA,1.0,1.0,NA,NA,NA
372,304,Aron,NA,NA,1.0,NA,NA,NA
373,305,Lairon,NA,NA,2.0,NA,NA,NA
374,306,Aggron,NA,NA,3.0,NA,NA,NA
375,306,Aggron Mega Aggron,NA,NA,3.0,NA,NA,NA
376,307,Meditite,NA,NA,NA,NA,NA,1.0
377,308,Medicham,NA,NA,NA,NA,NA,2.0
378,308,Medicham Mega Medicham,NA,NA,NA,NA,NA,2.0
379,309,Electrike,NA,NA,NA,NA,NA,1.0
380,310,Manectric,NA,NA,NA,NA,NA,2.0
381,310,Manectric Mega Manectric,NA,NA,NA,NA,NA,2.0
382,311,Plusle,NA,NA,NA,NA,NA,1.0
383,312,Minun,NA,NA,NA,NA,NA,1.0
384,313,Volbeat,NA,NA,NA,NA,NA,1.0
385,314,Illumise,NA,NA,NA,NA,NA,1.0
386,315,Roselia,NA,NA,NA,2.0,NA,NA
387,316,Gulpin,1.0,NA,NA,NA,NA,NA
388,317,Swalot,2.0,NA,NA,NA,NA,NA
389,318,Carvanha,NA,1.0,NA,NA,NA,NA
390,319,Sharpedo,NA,2.0,NA,NA,NA,NA
391,319,Sharpedo Mega Sharpedo,NA,2.0,NA,NA,NA,NA
392,320,Wailmer,1.0,NA,NA,NA,NA,NA
393,321,Wailord,2.0,NA,NA,NA,NA,NA
394,322,Numel,NA,NA,NA,1.0,NA,NA
395,323,Camerupt,NA,1.0,NA,1.0,NA,NA
396,323,Camerupt Mega Camerupt,NA,1.0,NA,1.0,NA,NA
397,324,Torkoal,NA,NA,2.0,NA,NA,NA
398,325,Spoink,NA,NA,NA,NA,1.0,NA
399,326,Grumpig,NA,NA,NA,NA,2.0,NA
400,327,Spinda,NA,NA,NA,1.0,NA,NA
401,328,Trapinch,NA,1.0,NA,NA,NA,NA
402,329,Vibrava,NA,1.0,NA,NA,NA,1.0
403,330,Flygon,NA,1.0,NA,NA,NA,2.0
404,331,Cacnea,NA,NA,NA,1.0,NA,NA
405,332,Cacturne,NA,1.0,NA,1.0,NA,NA
406,333,Swablu,NA,NA,NA,NA,1.0,NA
407,334,Altaria,NA,NA,NA,NA,2.0,NA
408,334,Altaria Mega Altaria,NA,NA,NA,NA,2.0,NA
409,335,Zangoose,NA,2.0,NA,NA,NA,NA
410,336,Seviper,NA,1.0,NA,1.0,NA,NA
411,337,Lunatone,NA,NA,NA,2.0,NA,NA
412,338,Solrock,NA,2.0,NA,NA,NA,NA
413,339,Barboach,1.0,NA,NA,NA,NA,NA
414,340,Whiscash,2.0,NA,NA,NA,NA,NA
415,341,Corphish,NA,1.0,NA,NA,NA,NA
416,342,Crawdaunt,NA,2.0,NA,NA,NA,NA
417,343,Baltoy,NA,NA,NA,NA,1.0,NA
418,344,Claydol,NA,NA,NA,NA,2.0,NA
419,345,Lileep,NA,NA,NA,NA,1.0,NA
420,346,Cradily,NA,NA,NA,NA,2.0,NA
421,347,Anorith,NA,1.0,NA,NA,NA,NA
422,348,Armaldo,NA,2.0,NA,NA,NA,NA
423,349,Feebas,NA,NA,NA,NA,NA,1.0
424,350,Milotic,NA,NA,NA,NA,2.0,NA
425,351,Castform,1.0,NA,NA,NA,NA,NA
426,351,Castform Sunny Form,1.0,NA,NA,NA,NA,NA
427,351,Castform Rainy Form,1.0,NA,NA,NA,NA,NA
428,351,Castform Snowy Form,1.0,NA,NA,NA,NA,NA
429,352,Kecleon,NA,NA,NA,NA,1.0,NA
430,353,Shuppet,NA,1.0,NA,NA,NA,NA
431,354,Banette,NA,2.0,NA,NA,NA,NA
432,354,Banette Mega Banette,NA,2.0,NA,NA,NA,NA
433,355,Duskull,NA,NA,NA,NA,1.0,NA
434,356,Dusclops,NA,NA,1.0,NA,1.0,NA
435,357,Tropius,2.0,NA,NA,NA,NA,NA
436,358,Chimecho,NA,NA,NA,1.0,1.0,NA
437,359,Absol,NA,2.0,NA,NA,NA,NA
438,359,Absol Mega Absol,NA,2.0,NA,NA,NA,NA
439,360,Wynaut,1.0,NA,NA,NA,NA,NA
440,361,Snorunt,1.0,NA,NA,NA,NA,NA
441,362,Glalie,2.0,NA,NA,NA,NA,NA
442,362,Glalie Mega Glalie,2.0,NA,NA,NA,NA,NA
443,363,Spheal,1.0,NA,NA,NA,NA,NA
444,364,Sealeo,2.0,NA,NA,NA,NA,NA
445,365,Walrein,3.0,NA,NA,NA,NA,NA
446,366,Clamperl,NA,NA,1.0,NA,NA,NA
447,367,Huntail,NA,1.0,1.0,NA,NA,NA
448,368,Gorebyss,NA,NA,NA,2.0,NA,NA
449,369,Relicanth,1.0,NA,1.0,NA,NA,NA
450,370,Luvdisc,NA,NA,NA,NA,NA,1.0
451,371,Bagon,NA,1.0,NA,NA,NA,NA
452,372,Shelgon,NA,NA,2.0,NA,NA,NA
453,373,Salamence,NA,3.0,NA,NA,NA,NA
454,373,Salamence Mega Salamence,NA,3.0,NA,NA,NA,NA
455,374,Beldum,NA,NA,1.0,NA,NA,NA
456,375,Metang,NA,NA,2.0,NA,NA,NA
457,376,Metagross,NA,NA,3.0,NA,NA,NA
458,376,Metagross Mega Metagross,NA,NA,3.0,NA,NA,NA
459,377,Regirock,NA,NA,3.0,NA,NA,NA
