index;Label;Generation;Description;id
39;Ability;6;Raises power of Dark type moves for all Pokémon in battle.;Dark Aura
40;Ability;8;Boosts Defense in battle.;Dauntless Shield
41;Ability;7;Protects the Pokémon from high-priority moves.;Dazzling
42;Ability;5;Lowers stats when HP drops below half.;Defeatist
43;Ability;5;Sharply raises Attack when the Pokémon's stats are lowered.;Defiant
44;Ability;6;Creates strong winds when the ability activates.;Delta Stream
45;Ability;6;Turns the sunlight extremely harsh when the ability activates.;Desolate Land
46;Ability;7;Avoids damage for one turn.;Disguise
47;Ability;4;Adjusts power according to a foe's defenses.;Download
48;Ability;8;Signature ability of Regidrago. Powers up Dragon-type moves.;Dragons Maw
49;Ability;3;The Pokémon makes it rain when it enters a battle.;Drizzle
50;Ability;3;Turns the sunlight harsh when the Pokémon enters a battle.;Drought
51;Ability;4;Reduces HP if it is hot. Water restores HP.;Dry Skin
52;Ability;3;The Pokémon awakens quickly from sleep.;Early Bird
53;Ability;3;Contact may poison or cause paralysis or sleep.;Effect Spore
54;Ability;7;The Pokémon creates an Electric Terrain when it enters a battle.;Electric Surge
55;Ability;7;Switches out when HP falls below 50%.;Emergency Exit
56;Ability;6;Raises power of Fairy type moves for all Pokémon in battle.;Fairy Aura
57;Ability;4;Reduces damage from super-effective attacks.;Filter
58;Ability;3;Contact with the Pokémon may burn the attacker.;Flame Body
59;Ability;5;Powers up special attacks when burned.;Flare Boost
60;Ability;3;It powers up Fire-type moves if it's hit by one.;Flash Fire
61;Ability;4;Powers up party Pokémon when it is sunny.;Flower Gift
62;Ability;6;Prevents lowering of ally Grass-type Pokémon's stats.;Flower Veil
63;Ability;7;Halves damage from contact moves, but doubles damage from Fire-type moves.;Fluffy
64;Ability;3;Castform transforms with the weather.;Forecast
65;Ability;4;Determines what moves a foe has.;Forewarn
66;Ability;5;Reduces damage done to allies.;Friend Guard
67;Ability;4;The Pokémon can check a foe's held item.;Frisk
68;Ability;7;Prevents other Pokémon from lowering its stats.;Full Metal Body
69;Ability;6;Reduces damage from physical moves.;Fur Coat
70;Ability;6;Gives priority to Flying-type moves.;Gale Wings
71;Ability;7;Normal-type moves become Electric-type moves and their power boosted.;Galvanize
72;Ability;4;Encourages the early use of a held Berry.;Gluttony
73;Ability;6;Contact with the Pokémon lowers the attacker's Speed stat.;Gooey
74;Ability;8;Boosts the Pokémon's Attack stat but only allows the use of the first selected move.;Gorilla Tactics
75;Ability;6;Boosts the Defense stat in Grassy Terrain.;Grass Pelt
76;Ability;7;The Pokémon creates a Grassy Terrain when it enters a battle.;Grassy Surge
77;Ability;8;Boosts Special Attack after knocking out a Pokémon.;Grim Neigh
78;Ability;8;Returns with a catch in its mouth after using Surf or Dive.;Gulp Missile
79;Ability;3;Boosts Attack if there is a status problem.;Guts
80;Ability;5;May create another Berry after one is used.;Harvest
81;Ability;5;May heal an ally's status conditions.;Healer
82;Ability;4;Weakens the power of Fire-type moves.;Heatproof
83;Ability;5;Doubles the Pokémon's weight.;Heavy Metal
84;Ability;4;The Pokémon may gather Honey from somewhere.;Honey Gather
85;Ability;3;Raises the Pokémon's Attack stat.;Huge Power
86;Ability;8;Changes forms each turn.;Hunger Switch
87;Ability;3;Boosts the Attack stat, but lowers accuracy.;Hustle
88;Ability;4;Heals status problems if it is raining.;Hydration
89;Ability;3;Prevents other Pokémon from lowering Attack stat.;Hyper Cutter
90;Ability;4;The Pokémon gradually regains HP in a hailstorm.;Ice Body
91;Ability;8;Avoids damage from Physical moves for one turn.;Ice Face
92;Ability;8;Halves damage from Special moves.;Ice Scales
93;Ability;3;Raises the likelihood of meeting wild Pokémon.;Illuminate
94;Ability;5;Enters battle disguised as the last Pokémon in the party.;Illusion
95;Ability;3;Prevents the Pokémon from getting poisoned.;Immunity
96;Ability;5;It transforms itself into the Pokémon it is facing.;Imposter
97;Ability;5;Passes through the foe's barrier and strikes.;Infiltrator
98;Ability;7;Deals damage upon fainting.;Innards Out
99;Ability;3;The Pokémon is protected from flinching.;Inner Focus
100;Ability;3;Prevents the Pokémon from falling asleep.;Insomnia
101;Ability;3;Lowers the foe's Attack stat.;Intimidate
102;Ability;8;Boosts Attack in battle.;Intrepid Sword
103;Ability;5;Inflicts damage to the Pokémon on contact.;Iron Barbs
104;Ability;4;Boosts the power of punching moves.;Iron Fist
105;Ability;5;Raises Attack when hit by a Dark-type move.;Justified
106;Ability;3;Prevents other Pokémon from lowering accuracy.;Keen Eye
107;Ability;4;The Pokémon can't use any held items.;Klutz
108;Ability;4;Prevents problems with status in sunny weather.;Leaf Guard
109;Ability;3;Gives immunity to Ground type moves.;Levitate
110;Ability;8;Changes the Pokémon's type to its last used move.;Libero
111;Ability;5;Halves the Pokémon's weight.;Light Metal
112;Ability;3;Draws in all Electric-type moves to up Sp. Attack.;Lightning Rod
113;Ability;3;The Pokémon is protected from paralysis.;Limber
114;Ability;3;Damages attackers using any draining move.;Liquid Ooze
115;Ability;7;All sound-based moves become Water-type moves.;Liquid Voice
116;Ability;7;The Pokémon uses its moves without making contact with the target.;Long Reach
117;Ability;5;Reflects status- changing moves.;Magic Bounce
118;Ability;4;Protects the Pokémon from indirect damage.;Magic Guard
119;Ability;6;The Pokémon steals the held item of a Pokémon it hits with a move.;Magician
120;Ability;3;Prevents the Pokémon from becoming frozen.;Magma Armor
121;Ability;3;Prevents Steel-type Pokémon from escaping.;Magnet Pull
122;Ability;3;Ups Defense if there is a status problem.;Marvel Scale
123;Ability;6;Boosts the power of aura and pulse moves.;Mega Launcher
124;Ability;7;The Pokémon's attacks become critical hits if the target is poisoned.;Merciless
125;Ability;8;Changes type depending on the terrain.;Mimicry
126;Ability;3;Ups Sp. Atk if another Pokémon has Plus or Minus.;Minus
127;Ability;8;Reflects any stat-lowering effects.;Mirror Armor
128;Ability;7;The Pokémon creates a Misty Terrain when it enters a battle.;Misty Surge
129;Ability;4;Moves can be used regardless of Abilities.;Mold Breaker
130;Ability;5;Raises one stat and lowers another.;Moody
131;Ability;4;Raises Speed if hit by an Electric-type move.;Motor Drive
132;Ability;5;Boosts Attack after knocking out any Pokémon.;Moxie
133;Ability;5;Reduces damage when HP is full.;Multiscale
134;Ability;4;Changes type to match the held Plate.;Multitype
135;Ability;5;Contact with this Pokémon spreads this Ability.;Mummy
136;Ability;3;All status problems heal when it switches out.;Natural Cure
137;Ability;7;Powers up moves that are super effective.;Neuroforce
138;Ability;8;Neutralizes abilities of all Pokémon in battle.;Neutralizing Gas
139;Ability;4;Ensures attacks by or against the Pokémon land.;No Guard
140;Ability;4;All the Pokémon's moves become the Normal type.;Normalize
141;Ability;3;Prevents it from becoming infatuated.;Oblivious
142;Ability;5;Protects the Pokémon from weather damage.;Overcoat
143;Ability;3;Powers up Grass-type moves in a pinch.;Overgrow
144;Ability;3;Prevents the Pokémon from becoming confused.;Own Tempo
145;Ability;6;Allows the Pokémon to attack twice.;Parental Bond
146;Ability;8;Prevents the Pokémon and its allies from being poisoned.;Pastel Veil
147;Ability;8;When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.;Perish Body
148;Ability;5;Steals an item when hit by another Pokémon.;Pickpocket
149;Ability;3;The Pokémon may pick up items.;Pickup
150;Ability;6;Turns Normal-type moves into Fairy-type moves.;Pixilate
151;Ability;3;Ups Sp. Atk if another Pokémon has Plus or Minus.;Plus
152;Ability;4;Restores HP if the Pokémon is poisoned.;Poison Heal
153;Ability;3;Contact with the Pokémon may poison the attacker.;Poison Point
154;Ability;5;May poison targets when a Pokémon makes contact.;Poison Touch
155;Ability;7;Changes form when HP drops below half.;Power Construct
156;Ability;7;The Pokémon copies the Ability of a defeated ally.;Power Of Alchemy
157;Ability;8;Just being next to the Pokémon powers up moves.;Power Spot
158;Ability;5;Gives priority to a status move.;Prankster
159;Ability;3;The Pokémon raises the foe's PP usage.;Pressure
160;Ability;6;Makes it rain heavily when the ability activates.;Primordial Sea
161;Ability;7;Reduces damage from super-effective attacks.;Prism Armor
162;Ability;8;Ignores moves and abilities that draw in moves.;Propeller Tail
163;Ability;6;Changes the Pokémon's type to its last used move.;Protean
164;Ability;7;The Pokémon creates a Psychic Terrain when it enters a battle.;Psychic Surge
165;Ability;8;Boosts sound-based moves and halves damage from the same moves.;Punk Rock
166;Ability;3;Raises the Pokémon's Attack stat.;Pure Power
167;Ability;7;Prevents use of priority moves.;Queenly Majesty
168;Ability;8;;Quick Draw
169;Ability;4;Boosts Speed if there is a status problem.;Quick Feet
170;Ability;3;The Pokémon gradually regains HP in rain.;Rain Dish
171;Ability;5;Bug, Ghost or Dark type moves scare it and boost its Speed.;Rattled
172;Ability;7;Inherits an ally's ability when it faints.;Receiver
173;Ability;4;Powers up moves that have recoil damage.;Reckless
174;Ability;6;Turns Normal-type moves into Ice-type moves.;Refrigerate
175;Ability;5;Restores a little HP when withdrawn from battle.;Regenerator
176;Ability;8;Doubles the effect of berries.;Ripen
177;Ability;4;Deals more damage to a Pokémon of same gender.;Rivalry
178;Ability;7;Changes type depending on held item.;Rks System
179;Ability;3;Protects the Pokémon from recoil damage.;Rock Head
180;Ability;3;Inflicts damage to the attacker on contact.;Rough Skin
181;Ability;3;Enables a sure getaway from wild Pokémon.;Run Away
182;Ability;5;Boosts certain moves' power in a sandstorm.;Sand Force
183;Ability;5;Boosts the Pokémon's Speed in a sandstorm.;Sand Rush
184;Ability;8;Creates a sandstorm when hit by an attack.;Sand Spit
185;Ability;3;The Pokémon summons a sandstorm in battle.;Sand Stream
186;Ability;3;Boosts the Pokémon's evasion in a sandstorm.;Sand Veil
187;Ability;5;Boosts Attack when hit by a Grass-type move.;Sap Sipper
188;Ability;7;Changes Wishiwashi to School Form.;Schooling
189;Ability;4;Enables moves to hit Ghost-type Pokémon.;Scrappy
190;Ability;8;Nullifies effects of Light Screen, Reflect, and Aurora Veil.;Screen Cleaner
191;Ability;3;Boosts the likelihood of added effects appearing.;Serene Grace
192;Ability;7;Reduces damage when HP is full.;Shadow Shield
193;Ability;3;Prevents the foe from escaping.;Shadow Tag
194;Ability;3;The Pokémon may heal its own status problems.;Shed Skin
195;Ability;5;Removes added effects to increase move damage.;Sheer Force
196;Ability;3;The Pokémon is protected against critical hits.;Shell Armor
197;Ability;3;Blocks the added effects of attacks taken.;Shield Dust
198;Ability;7;Changes stats when HP drops below half.;Shields Down
199;Ability;4;Doubles all stat changes.;Simple
200;Ability;4;Increases the frequency of multi-strike moves.;Skill Link
201;Ability;4;Temporarily halves Attack and Speed.;Slow Start
202;Ability;7;Boosts the Pokémon's Speed stat in a hailstorm.;Slush Rush
203;Ability;4;Powers up moves if they become critical hits.;Sniper
204;Ability;4;Raises evasion in a hailstorm.;Snow Cloak
205;Ability;4;The Pokémon summons a hailstorm in battle.;Snow Warning
206;Ability;4;In sunshine, Sp. Atk is boosted but HP decreases.;Solar Power
207;Ability;4;Reduces damage from super-effective attacks.;Solid Rock
208;Ability;7;Raises Special Attack when an ally faints.;Soul Heart
209;Ability;3;Gives immunity to sound-based moves.;Soundproof
210;Ability;3;Its Speed stat is gradually boosted.;Speed Boost
211;Ability;7;Deals double damage to Pokémon switching in.;Stakeout
212;Ability;4;The Pokémon moves after all other Pokémon do.;Stall
213;Ability;8;Ignores moves and abilities that draw in moves.;Stalwart
214;Ability;7;Raises Defense when attacked.;Stamina
215;Ability;6;Changes form depending on moves used.;Stance Change
216;Ability;3;Contact with the Pokémon may cause paralysis.;Static
217;Ability;4;Raises Speed each time the Pokémon flinches.;Steadfast
218;Ability;8;Drastically raises Speed when hit by a Fire- or Water-type move.;Steam Engine
219;Ability;7;Powers up Steel-type moves.;Steelworker
220;Ability;8;Powers up ally Pokémon's Steel-type moves.;Steely Spirit
221;Ability;3;The stench may cause the target to flinch.;Stench
222;Ability;3;Protects the Pokémon from item theft.;Sticky Hold
223;Ability;4;Draws in all Water-type moves to up Sp. Attack.;Storm Drain
224;Ability;6;Boosts the power of biting moves.;Strong Jaw
225;Ability;3;It cannot be knocked out with one hit.;Sturdy
226;Ability;3;Negates all moves that force switching out.;Suction Cups
227;Ability;4;Heightens the critical-hit ratios of moves.;Super Luck
228;Ability;7;Doubles Speed during Electric Terrain.;Surge Surfer
229;Ability;3;Powers up Bug-type moves in a pinch.;Swarm
230;Ability;6;Prevents the Pokémon and allies from falling asleep.;Sweet Veil
231;Ability;3;Boosts the Pokémon's Speed in rain.;Swift Swim
232;Ability;6;The Pokémon can pass an item to an ally.;Symbiosis
233;Ability;3;Passes a burn, poison, or paralysis to the foe.;Synchronize
234;Ability;4;Raises evasion if the Pokémon is confused.;Tangled Feet
235;Ability;7;Contact with the Pokémon lowers the attacker's Speed stat.;Tangling Hair
236;Ability;4;Powers up the Pokémon's weaker moves.;Technician
237;Ability;5;Anticipates an ally's attack and dodges it.;Telepathy
238;Ability;5;Moves can be used regardless of Abilities.;Teravolt
239;Ability;3;Ups resistance to Fire- and Ice-type moves.;Thick Fat
240;Ability;4;Powers up “not very effective” moves.;Tinted Lens
241;Ability;3;Powers up Water-type moves in a pinch.;Torrent
242;Ability;6;Boosts the power of contact moves.;Tough Claws
243;Ability;5;Powers up physical attacks when poisoned.;Toxic Boost
244;Ability;3;The Pokémon copies a foe's Ability.;Trace
245;Ability;8;Signature ability of Regieleki. Powers up Electric-type moves.;Transistor
246;Ability;7;Gives priority to restorative moves.;Triage
247;Ability;3;Pokémon can't attack on consecutive turns.;Truant
248;Ability;5;Moves can be used regardless of Abilities.;Turboblaze
249;Ability;4;Ignores any stat changes in the Pokémon.;Unaware
250;Ability;4;Raises Speed if a held item is used.;Unburden
251;Ability;5;Makes the foe nervous and unable to eat Berries.;Unnerve
252;Ability;8;Contact moves can strike through Protect/Detect.;Unseen Fist
253;Ability;5;Boosts the accuracy of its allies and itself.;Victory Star
254;Ability;3;Prevents the Pokémon from falling asleep.;Vital Spirit
255;Ability;3;Restores HP if hit by an Electric-type move.;Volt Absorb
256;Ability;8;Swaps abilities with opponents on contact.;Wandering Spirit
257;Ability;3;Restores HP if hit by a Water-type move.;Water Absorb
258;Ability;7;Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.;Water Bubble
259;Ability;7;Sharply raises Defense when hit by a Water-type move.;Water Compaction
260;Ability;3;Prevents the Pokémon from getting a burn.;Water Veil
261;Ability;5;Physical attacks lower Defense and raise Speed.;Weak Armor
262;Ability;3;Prevents other Pokémon from lowering its stats.;White Smoke
263;Ability;7;Switches out when HP drops below half.;Wimp Out
264;Ability;3;Only supereffective moves will hit.;Wonder Guard
265;Ability;5;Makes status-changing moves more likely to miss.;Wonder Skin
266;Ability;5;Changes form when HP drops below half.;Zen Mode
