,index,Name,Generation,Description,Pokemon
10,10,As One Spectrier,8,Combines Unnerve and Grim Neigh.,"[{'is_hidden': False, 'pokemon': {'name': 'calyrex-shadow', 'url': 'https://pokeapi.co/api/v2/pokemon/10194/'}, 'slot': 1}]"
11,9,Aura Break,6,Reduces power of Dark- and Fairy-type moves.,"[{'is_hidden': False, 'pokemon': {'name': 'zygarde-50', 'url': 'https://pokeapi.co/api/v2/pokemon/718/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'zygarde-10', 'url': 'https://pokeapi.co/api/v2/pokemon/10181/'}, 'slot': 1}]"
12,10,Bad Dreams,4,Reduces a sleeping foe's HP.,"[{'is_hidden': False, 'pokemon': {'name': 'darkrai', 'url': 'https://pokeapi.co/api/v2/pokemon/491/'}, 'slot': 1}]"
13,11,Ball Fetch,8,Retrieves a Poké Ball from a failed throw.,"[{'is_hidden': False, 'pokemon': {'name': 'yamper', 'url': 'https://pokeapi.co/api/v2/pokemon/835/'}, 'slot': 1}]"
14,12,Battery,7,Raises power of teammates' Special moves.,"[{'is_hidden': False, 'pokemon': {'name': 'charjabug', 'url': 'https://pokeapi.co/api/v2/pokemon/737/'}, 'slot': 1}]"
15,13,Battle Armor,3,The Pokémon is protected against critical hits.,"[{'is_hidden': True, 'pokemon': {'name': 'cubone', 'url': 'https://pokeapi.co/api/v2/pokemon/104/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'marowak', 'url': 'https://pokeapi.co/api/v2/pokemon/105/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'kabuto', 'url': 'https://pokeapi.co/api/v2/pokemon/140/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'kabutops', 'url': 'https://pokeapi.co/api/v2/pokemon/141/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'anorith', 'url': 'https://pokeapi.co/api/v2/pokemon/347/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'armaldo', 'url': 'https://pokeapi.co/api/v2/pokemon/348/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'skorupi', 'url': 'https://pokeapi.co/api/v2/pokemon/451/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'drapion', 'url': 'https://pokeapi.co/api/v2/pokemon/452/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'type-null', 'url': 'https://pokeapi.co/api/v2/pokemon/772/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'perrserker', 'url': 'https://pokeapi.co/api/v2/pokemon/863/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'falinks', 'url': 'https://pokeapi.co/api/v2/pokemon/870/'}, 'slot': 1}]"
16,14,Battle Bond,7,Transform into Ash-Greninja after causing opponent to faint.,"[{'is_hidden': False, 'pokemon': {'name': 'greninja-battle-bond', 'url': 'https://pokeapi.co/api/v2/pokemon/10116/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'greninja-ash', 'url': 'https://pokeapi.co/api/v2/pokemon/10117/'}, 'slot': 1}]"
17,15,Beast Boost,7,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,"[{'is_hidden': False, 'pokemon': {'name': 'nihilego', 'url': 'https://pokeapi.co/api/v2/pokemon/793/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'buzzwole', 'url': 'https://pokeapi.co/api/v2/pokemon/794/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'pheromosa', 'url': 'https://pokeapi.co/api/v2/pokemon/795/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'xurkitree', 'url': 'https://pokeapi.co/api/v2/pokemon/796/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'celesteela', 'url': 'https://pokeapi.co/api/v2/pokemon/797/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'kartana', 'url': 'https://pokeapi.co/api/v2/pokemon/798/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'guzzlord', 'url': 'https://pokeapi.co/api/v2/pokemon/799/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'poipole', 'url': 'https://pokeapi.co/api/v2/pokemon/803/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'naganadel', 'url': 'https://pokeapi.co/api/v2/pokemon/804/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'stakataka', 'url': 'https://pokeapi.co/api/v2/pokemon/805/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'blacephalon', 'url': 'https://pokeapi.co/api/v2/pokemon/806/'}, 'slot': 1}]"
18,16,Berserk,7,Raises Special Attack when HP drops below half.,"[{'is_hidden': False, 'pokemon': {'name': 'drampa', 'url': 'https://pokeapi.co/api/v2/pokemon/780/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'moltres-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10171/'}, 'slot': 1}]"
19,17,Big Pecks,5,Protects the Pokémon from Defense-lowering attacks.,"[{'is_hidden': True, 'pokemon': {'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon/16/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'pidgeotto', 'url': 'https://pokeapi.co/api/v2/pokemon/17/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'pidgeot', 'url': 'https://pokeapi.co/api/v2/pokemon/18/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'chatot', 'url': 'https://pokeapi.co/api/v2/pokemon/441/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'pidove', 'url': 'https://pokeapi.co/api/v2/pokemon/519/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'tranquill', 'url': 'https://pokeapi.co/api/v2/pokemon/520/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'unfezant', 'url': 'https://pokeapi.co/api/v2/pokemon/521/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'ducklett', 'url': 'https://pokeapi.co/api/v2/pokemon/580/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'swanna', 'url': 'https://pokeapi.co/api/v2/pokemon/581/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'vullaby', 'url': 'https://pokeapi.co/api/v2/pokemon/629/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'mandibuzz', 'url': 'https://pokeapi.co/api/v2/pokemon/630/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'fletchling', 'url': 'https://pokeapi.co/api/v2/pokemon/661/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'rookidee', 'url': 'https://pokeapi.co/api/v2/pokemon/821/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'corvisquire', 'url': 'https://pokeapi.co/api/v2/pokemon/822/'}, 'slot': 3}]"
20,18,Blaze,3,Powers up Fire-type moves in a pinch.,"[{'is_hidden': False, 'pokemon': {'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon/4/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon/5/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon/6/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'cyndaquil', 'url': 'https://pokeapi.co/api/v2/pokemon/155/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'quilava', 'url': 'https://pokeapi.co/api/v2/pokemon/156/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'typhlosion', 'url': 'https://pokeapi.co/api/v2/pokemon/157/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'torchic', 'url': 'https://pokeapi.co/api/v2/pokemon/255/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'combusken', 'url': 'https://pokeapi.co/api/v2/pokemon/256/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'blaziken', 'url': 'https://pokeapi.co/api/v2/pokemon/257/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'chimchar', 'url': 'https://pokeapi.co/api/v2/pokemon/390/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'monferno', 'url': 'https://pokeapi.co/api/v2/pokemon/391/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'infernape', 'url': 'https://pokeapi.co/api/v2/pokemon/392/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'tepig', 'url': 'https://pokeapi.co/api/v2/pokemon/498/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'pignite', 'url': 'https://pokeapi.co/api/v2/pokemon/499/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'emboar', 'url': 'https://pokeapi.co/api/v2/pokemon/500/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'pansear', 'url': 'https://pokeapi.co/api/v2/pokemon/513/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'simisear', 'url': 'https://pokeapi.co/api/v2/pokemon/514/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'fennekin', 'url': 'https://pokeapi.co/api/v2/pokemon/653/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'braixen', 'url': 'https://pokeapi.co/api/v2/pokemon/654/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'delphox', 'url': 'https://pokeapi.co/api/v2/pokemon/655/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'litten', 'url': 'https://pokeapi.co/api/v2/pokemon/725/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'torracat', 'url': 'https://pokeapi.co/api/v2/pokemon/726/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'incineroar', 'url': 'https://pokeapi.co/api/v2/pokemon/727/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'scorbunny', 'url': 'https://pokeapi.co/api/v2/pokemon/813/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'raboot', 'url': 'https://pokeapi.co/api/v2/pokemon/814/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'cinderace', 'url': 'https://pokeapi.co/api/v2/pokemon/815/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'charizard-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10196/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'cinderace-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10210/'}, 'slot': 1}]"
21,19,Bulletproof,6,Protects the Pokémon from ball and bomb moves.,"[{'is_hidden': True, 'pokemon': {'name': 'chespin', 'url': 'https://pokeapi.co/api/v2/pokemon/650/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'quilladin', 'url': 'https://pokeapi.co/api/v2/pokemon/651/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'chesnaught', 'url': 'https://pokeapi.co/api/v2/pokemon/652/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'jangmo-o', 'url': 'https://pokeapi.co/api/v2/pokemon/782/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'hakamo-o', 'url': 'https://pokeapi.co/api/v2/pokemon/783/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'kommo-o', 'url': 'https://pokeapi.co/api/v2/pokemon/784/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'wooloo', 'url': 'https://pokeapi.co/api/v2/pokemon/831/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'dubwool', 'url': 'https://pokeapi.co/api/v2/pokemon/832/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'applin', 'url': 'https://pokeapi.co/api/v2/pokemon/840/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'kommo-o-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10146/'}, 'slot': 1}]"
22,20,Cheek Pouch,6,Restores additional HP when a Berry is consumed.,"[{'is_hidden': False, 'pokemon': {'name': 'bunnelby', 'url': 'https://pokeapi.co/api/v2/pokemon/659/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'diggersby', 'url': 'https://pokeapi.co/api/v2/pokemon/660/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'dedenne', 'url': 'https://pokeapi.co/api/v2/pokemon/702/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'skwovet', 'url': 'https://pokeapi.co/api/v2/pokemon/819/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'greedent', 'url': 'https://pokeapi.co/api/v2/pokemon/820/'}, 'slot': 1}]"
23,21,Chilling Neigh,8,Boosts Attack after knocking out a Pokémon.,"[{'is_hidden': False, 'pokemon': {'name': 'glastrier', 'url': 'https://pokeapi.co/api/v2/pokemon/896/'}, 'slot': 1}]"
