,level_0,level_1,Name_x,Exact,Score,Name_y,Attributes,Category_x,Effect_x,Name,Category_y,Effect_y,sprite_url
10,14,11,1.0,1,2.0,Aggronite,[],Mega Stones,Held: Allows Aggron to Mega Evolve into Mega Aggron.,Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/aggronite.png
11,15,12,1.0,1,2.0,Aguav Berry,['holdable-active'],Picky Healing,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.,Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/aguav-berry.png
12,16,13,1.0,1,2.0,Air Balloon,[],Held Items,"Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move.",Air Balloon,Hold items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.",https://img.pokemondb.net/sprites/items/air-balloon.png
13,18,14,1.0,1,2.0,Alakazite,[],Mega Stones,Held: Allows Alakazam to Mega Evolve into Mega Alakazam.,Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/alakazite.png
14,21,16,1.0,1,2.0,Altarianite,[],Mega Stones,Held: Allows Altaria to Mega Evolve into Mega Altaria.,Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/altarianite.png
15,23,17,1.0,1,2.0,Ampharosite,[],Mega Stones,Held: Allows Ampharos to Mega Evolve into Mega Ampharos.,Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/ampharosite.png
16,24,18,1.0,1,2.0,Amulet Coin,"['holdable', 'holdable-active']",Training,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.,Amulet Coin,Hold items,Doubles prize money if held.,https://img.pokemondb.net/sprites/items/amulet-coin.png
17,25,19,1.0,1,2.0,Antidote,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Cures poison.,Antidote,Medicine,A spray-type medicine. It lifts the effect of poison from one Pokémon.,https://img.pokemondb.net/sprites/items/antidote.png
18,26,20,1.0,1,2.0,Apicot Berry,['holdable-active'],In A Pinch,Held: Consumed at 1/4 max HP to boost Special Defense.,Apicot Berry,Berries,Raises Special Defense when HP is low.,https://img.pokemondb.net/sprites/items/apicot-berry.png
19,29,22,1.0,1,2.0,Armor Fossil,['underground'],Dex Completion,Can be revived into a Shieldon.,Armor Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,https://img.pokemondb.net/sprites/items/armor-fossil.png
20,31,23,1.0,1,2.0,Armorite Ore,[],Collectibles,,Armorite Ore,General items,,https://img.pokemondb.net/s.png
21,33,24,1.0,1,2.0,Aspear Berry,['holdable-active'],Medicine,Held: Consumed when frozen to cure frozen.,Aspear Berry,Berries,"If held by a Pokémon, it defrosts it.",https://img.pokemondb.net/sprites/items/aspear-berry.png
22,34,25,1.0,1,2.0,Assault Vest,[],Held Items,Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.,Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.,https://img.pokemondb.net/sprites/items/assault-vest.png
23,35,26,1.0,1,2.0,Audinite,[],Mega Stones,Held: Allows Audino to Mega Evolve into Mega Audino.,Audinite,Hold items,Enables Audino to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/audinite.png
24,38,31,1.0,1,2.0,Awakening,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Cures sleep.,Awakening,Medicine,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.,https://img.pokemondb.net/sprites/items/awakening.png
25,40,32,1.0,1,2.0,Babiri Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.,Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/babiri-berry.png
26,42,35,1.0,1,2.0,Balm Mushroom,[],Loot,Sell to Hungry Maid for 25000 Pokédollars.,Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/balm-mushroom.png
27,44,36,1.0,1,2.0,Banettite,[],Mega Stones,Held: Allows Banette to Mega Evolve into Mega Banette.,Banettite,Hold items,Enables Banette to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/banettite.png
28,49,37,1.0,1,2.0,Beach Glass,[],Loot,,Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.,https://img.pokemondb.net/sprites/items/beach-glass.png
29,51,39,1.0,1,2.0,Beast Ball,[],Special Balls,Tries to catch a wild Pokémon.  Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.,Beast Ball,Pokeballs,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.,https://img.pokemondb.net/sprites/items/beast-ball.png
30,52,40,1.0,1,2.0,Beedrillite,[],Mega Stones,Held: Allows Beedrill to Mega Evolve into Mega Beedrill.,Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/beedrillite.png
31,54,41,1.0,1,2.0,Belue Berry,[],Baking Only,Used for creating PokéBlocks and Poffins.,Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/belue-berry.png
32,55,42,1.0,1,2.0,Berry Juice,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Restores 20 HP.,Berry Juice,Medicine,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.,https://img.pokemondb.net/sprites/items/berry-juice.png
33,58,43,1.0,1,2.0,Berry Sweet,[],Evolution,,Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.,https://img.pokemondb.net/s.png
34,60,44,1.0,1,2.0,Big Malasada,[],Status Cures,Cures major status ailments and confusion.,Big Malasada,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/big-malasada.png
35,61,45,1.0,1,2.0,Big Mushroom,[],Loot,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.",Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.,https://img.pokemondb.net/sprites/items/big-mushroom.png
36,62,46,1.0,1,2.0,Big Nugget,[],Loot,Sell to Ore Collector for 30000 Pokédollars.,Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/big-nugget.png
37,63,47,1.0,1,2.0,Big Pearl,[],Loot,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.",Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,https://img.pokemondb.net/sprites/items/big-pearl.png
38,64,48,1.0,1,2.0,Big Root,"['holdable', 'holdable-active']",Held Items,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).",Big Root,Hold items,Recovers more HP from HP-stealing moves.,https://img.pokemondb.net/sprites/items/big-root.png
39,68,49,1.0,1,2.0,Binding Band,[],Held Items,Held: Doubles the per-turn damage of multi-turn trapping moves.,Binding Band,Hold items,A band that increases the power of binding moves when held.,https://img.pokemondb.net/sprites/items/binding-band.png
40,69,50,1.0,1,2.0,Black Apricorn,[],Apricorn Box,Used to make a Heavy Ball.,Black Apricorn,General items,A black Apricorn It has an indescribable scent.,https://img.pokemondb.net/sprites/items/black-apricorn.png
41,70,52,1.0,1,2.0,Black Belt,"['holdable', 'holdable-active']",Type Enhancement,Held: Fighting-Type moves from holder do 20% more damage.,Black Belt,Hold items,Increases the power of Fighting-type moves.,https://img.pokemondb.net/sprites/items/black-belt.png
42,71,53,1.0,1,2.0,Black Flute,"['countable', 'consumable', 'usable-overworld', 'holdable']",Spelunking,Halves the wild Pokémon encounter rate.,Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/black-flute.png
43,72,54,1.0,1,2.0,Black Glasses,"['holdable', 'holdable-active']",Type Enhancement,Held: Dark-Type moves from holder do 20% more damage.,Black Glasses,Hold items,Increases the power of Dark-type moves.,https://img.pokemondb.net/sprites/items/black-glasses.png
44,74,55,1.0,1,2.0,Black Sludge,"['holdable', 'holdable-active']",Held Items,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.,Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,https://img.pokemondb.net/sprites/items/black-sludge.png
45,75,58,1.0,1,2.0,Blastoisinite,[],Mega Stones,Held: Allows Blastoise to Mega Evolve into Mega Blastoise.,Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/blastoisinite.png
46,76,59,1.0,1,2.0,Blazikenite,[],Mega Stones,Held: Allows Blaziken to Mega Evolve into Mega Blaziken.,Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/blazikenite.png
47,78,60,1.0,1,2.0,Blue Apricorn,[],Apricorn Box,Used to make a Lure Ball.,Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.,https://img.pokemondb.net/sprites/items/blue-apricorn.png
48,80,61,1.0,1,2.0,Blue Flute,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Flutes,Cures sleep.,Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/blue-flute.png
49,83,62,1.0,1,2.0,Blue Scarf,['holdable-active'],Scarves,Raises the holder's Beauty while in a contest.,Blue Scarf,General items,Raises holder's Beauty aspect in a Contest.,https://img.pokemondb.net/sprites/items/blue-scarf.png
50,84,63,1.0,1,2.0,Blue Shard,['underground'],Collectibles,No effect. Can be traded for items or moves.,Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/blue-shard.png
51,85,64,1.0,1,2.0,Bluk Berry,[],Baking Only,Used for creating PokéBlocks and Poffins.,Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/bluk-berry.png
52,86,65,1.0,1,2.0,Blunder Policy,[],Held Items,,Blunder Policy,Hold items,Raises Speed sharply if its attack misses.,https://img.pokemondb.net/s.png
53,88,67,1.0,1,2.0,Boiled Egg,[],Curry Ingredients,,Boiled Egg,General items,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.,https://img.pokemondb.net/s.png
54,89,68,1.0,1,2.0,Bold Mint,[],Nature Mints,,Bold Mint,Battle items,Changes the Pokémon's stats to match the Bold nature.,https://img.pokemondb.net/s.png
55,91,69,1.0,1,2.0,Bottle Cap,[],Loot,Trade to Mr. Hyper to maximize one of a Pokémon's genes.,Bottle Cap,General items,Maximizes one IV stat in Hyper Training.,https://img.pokemondb.net/sprites/items/bottle-cap.png
56,92,70,1.0,1,2.0,Brave Mint,[],Nature Mints,,Brave Mint,Battle items,Changes the Pokémon's stats to match the Brave nature.,https://img.pokemondb.net/s.png
57,93,71,1.0,1,2.0,Bread,[],Curry Ingredients,,Bread,General items,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.,https://img.pokemondb.net/s.png
58,100,72,1.0,1,2.0,Bright Powder,"['holdable', 'holdable-active']",Held Items,Held: Increases the holder's evasion by 1/9 (11 1/9%).,Bright Powder,Hold items,Lowers the opponent's accuracy.,https://img.pokemondb.net/sprites/items/bright-powder.png
59,101,73,1.0,1,2.0,Brittle Bones,[],Curry Ingredients,,Brittle Bones,General items,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.,https://img.pokemondb.net/s.png
60,103,74,1.0,1,2.0,Bug Gem,[],Jewels,"Held: When the holder uses a damaging bug-type move, the move has 1.5× power and this item is consumed.",Bug Gem,Hold items,Increases the power of a Bug-type move only once.,https://img.pokemondb.net/sprites/items/bug-gem.png
61,104,75,1.0,1,2.0,Bug Memory,[],Memories,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.,Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.,https://img.pokemondb.net/sprites/items/bug-memory.png
62,108,78,1.0,1,2.0,Burn Drive,[],Species Specific,"Grants Genesect a red, Fire-type Techno Blast.",Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/burn-drive.png
63,109,79,1.0,1,2.0,Burn Heal,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Cures a burn.,Burn Heal,Medicine,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.,https://img.pokemondb.net/sprites/items/burn-heal.png
64,110,81,1.0,1,2.0,Calcium,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Raises Special Attack effort and happiness.,Calcium,Medicine,Increases Special Attack EVs by 10.,https://img.pokemondb.net/sprites/items/calcium.png
65,111,82,1.0,1,2.0,Calm Mint,[],Nature Mints,,Calm Mint,Battle items,Changes the Pokémon's stats to match the Calm nature.,https://img.pokemondb.net/s.png
66,112,83,1.0,1,2.0,Cameruptite,[],Mega Stones,Held: Allows Camerupt to Mega Evolve into Mega Camerupt.,Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/cameruptite.png
67,115,85,1.0,1,2.0,Carbos,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Raises Speed effort and happiness.,Carbos,Medicine,Increases Speed EVs by 10.,https://img.pokemondb.net/sprites/items/carbos.png
68,118,86,1.0,1,2.0,Careful Mint,[],Nature Mints,,Careful Mint,Battle items,Changes the Pokémon's stats to match the Careful nature.,https://img.pokemondb.net/s.png
69,119,87,1.0,1,2.0,Carrot Seeds,[],Plot Advancement,,Carrot Seeds,General items,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.,https://img.pokemondb.net/s.png
70,120,88,1.0,1,2.0,Casteliacone,[],Status Cures,Cures any status ailment and confusion.,Casteliacone,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/casteliacone.png
71,124,90,1.0,1,2.0,Cell Battery,[],Held Items,Held: Raises the holder's Attack by one stage when it takes Electric-type damage.,Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",https://img.pokemondb.net/sprites/items/cell-battery.png
72,125,91,1.0,1,2.0,Chalky Stone,[],Loot,,Chalky Stone,General items,A small whitish stone picked up at the edge of the road.,https://img.pokemondb.net/sprites/items/chalky-stone.png
73,127,92,1.0,1,2.0,Charcoal,"['holdable', 'holdable-active']",Type Enhancement,Held: Fire-Type moves from holder do 20% more damage.,Charcoal,Hold items,Increases the power of Fire-type moves.,https://img.pokemondb.net/sprites/items/charcoal.png
74,128,93,1.0,1,2.0,Charizardite X,[],Mega Stones,Held: Allows Charizard to Mega Evolve into Mega Charizard X.,Charizardite X,Hold items,Enables Charizard to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/charizardite-x.png
77,129,94,1.0,1,2.0,Charizardite Y,[],Mega Stones,Held: Allows Charizard to Mega Evolve into Mega Charizard Y.,Charizardite Y,Hold items,Enables Charizard to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/charizardite-y.png
78,131,95,1.0,1,2.0,Charti Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.,Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/charti-berry.png
79,132,96,1.0,1,2.0,Cheri Berry,['holdable-active'],Medicine,Held: Consumed when paralyzed to cure paralysis.,Cheri Berry,Berries,"If held by a Pokémon, it recovers from paralysis.",https://img.pokemondb.net/sprites/items/cheri-berry.png
80,133,97,1.0,1,2.0,Cherish Ball,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Tries to catch a wild Pokémon.,Cherish Ball,Pokeballs,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.,https://img.pokemondb.net/sprites/items/cherish-ball.png
81,134,98,1.0,1,2.0,Chesto Berry,['holdable-active'],Medicine,Held: Consumed when asleep to cure sleep.,Chesto Berry,Berries,"If held by a Pokémon, it recovers from sleep.",https://img.pokemondb.net/sprites/items/chesto-berry.png
82,135,99,1.0,1,2.0,Chilan Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a Normal-type attack to halve the damage.,Chilan Berry,Berries,Weakens a Normal-type attack against the Pokémon holding this berry.,https://img.pokemondb.net/sprites/items/chilan-berry.png
83,136,100,1.0,1,2.0,Chill Drive,[],Species Specific,"Grants Genesect a white, Ice-type Techno Blast.",Chill Drive,Hold items,Changes Techno Blast to an Ice-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/chill-drive.png
84,137,101,1.0,1,2.0,Chipped Pot,[],Evolution,,Chipped Pot,Hold items,Evolves Sinistea into Polteageist.,https://img.pokemondb.net/s.png
85,138,102,1.0,1,2.0,Choice Band,"['holdable', 'holdable-active']",Choice,"Held: Increases Attack by 50%, but restricts the holder to only one move.",Choice Band,Hold items,"Raises Attack, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-band.png
86,139,104,1.0,1,2.0,Choice Scarf,"['holdable', 'holdable-active']",Choice,"Held: Increases Speed by 50%, but restricts the holder to only one move.",Choice Scarf,Hold items,"Raises Speed, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-scarf.png
87,140,105,1.0,1,2.0,Choice Specs,"['holdable', 'holdable-active']",Choice,"Held: Increases Special Attack by 50%, but restricts the holder to only one move.",Choice Specs,Hold items,"Raises Special Attack, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-specs.png
88,141,106,1.0,1,2.0,Chople Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.,Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/chople-berry.png
89,142,107,1.0,1,2.0,Claw Fossil,['underground'],Dex Completion,Can be revived into an Anorith.,Claw Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,https://img.pokemondb.net/sprites/items/claw-fossil.png
90,143,108,1.0,1,2.0,Cleanse Tag,['holdable'],Training,Prevents wild encounters of level lower than your party's lead Pokémon.,Cleanse Tag,Hold items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,https://img.pokemondb.net/sprites/items/cleanse-tag.png
91,146,109,1.0,1,2.0,Clever Wing,[],Vitamins,Increases Special Defense effort by 1.,Clever Wing,Medicine,Increases Special Defense EVs by 1.,https://img.pokemondb.net/sprites/items/clever-wing.png
92,148,110,1.0,1,2.0,Clover Sweet,[],Evolution,,Clover Sweet,Hold items,Evolves Milcery into Clover Flavor Alcremie.,https://img.pokemondb.net/s.png
93,149,111,1.0,1,2.0,Coba Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.,Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/coba-berry.png
94,150,112,1.0,1,2.0,Coconut Milk,[],Curry Ingredients,,Coconut Milk,General items,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.,https://img.pokemondb.net/s.png
95,152,113,1.0,1,2.0,Colbur Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.,Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/colbur-berry.png
96,154,114,1.0,1,2.0,Comet Shard,[],Loot,Sell to Ore Collector for 60000 Pokédollars.,Comet Shard,General items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/comet-shard.png
97,159,115,1.0,1,2.0,Cornn Berry,[],Baking Only,Used for creating PokéBlocks and Poffins.,Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/cornn-berry.png
98,163,116,1.0,1,2.0,Courage Candy,[],Vitamins,,Courage Candy,Medicine,Increases a Pokémon's Special Defense stat by 1.,https://img.pokemondb.net/sprites/items/courage-candy.png
99,164,117,1.0,1,2.0,Courage Candy L,[],Vitamins,,Courage Candy L,Medicine,Increases a Pokémon's Special Defense stat.,https://img.pokemondb.net/sprites/items/courage-candy-l.png
100,165,118,1.0,1,2.0,Courage Candy Xl,[],Vitamins,,Courage Candy Xl,Medicine,Increases a Pokémon's Special Defense stat.,https://img.pokemondb.net/sprites/items/courage-candy-xl.png
101,166,119,1.0,1,2.0,Cover Fossil,[],Dex Completion,Can be revived into a tirtouga.,Cover Fossil,General items,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.,https://img.pokemondb.net/sprites/items/cover-fossil.png
102,167,120,1.0,1,2.0,Cracked Pot,[],Evolution,,Cracked Pot,Hold items,Evolves Sinistea into Polteageist.,https://img.pokemondb.net/s.png
103,170,123,1.0,1,2.0,Custap Berry,['holdable-active'],In A Pinch,Held: Consumed at 1/4 max HP when using a move to go first.,Custap Berry,Berries,Holder can move first when HP is low.,https://img.pokemondb.net/sprites/items/custap-berry.png
104,171,124,1.0,1,2.0,Damp Mulch,[],Mulch,"Growing time of berries is increased, but the soil dries out slower.",Damp Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/damp-mulch.png
105,172,125,1.0,1,2.0,Damp Rock,"['holdable', 'holdable-active', 'underground']",Held Items,Held: Rain Dance by the holder lasts 8 rounds instead of 5.,Damp Rock,Hold items,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,https://img.pokemondb.net/sprites/items/damp-rock.png
106,173,126,1.0,1,2.0,Dark Gem,[],Jewels,"Held: When the holder uses a damaging dark-type move, the move has 1.5× power and this item is consumed.",Dark Gem,Hold items,Increases the power of a Dark-type move only once.,https://img.pokemondb.net/sprites/items/dark-gem.png
107,174,127,1.0,1,2.0,Dark Memory,[],Memories,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.,Dark Memory,Hold items,Changes Silvally and its move Multi-Attack to Dark type.,https://img.pokemondb.net/sprites/items/dark-memory.png
108,205,129,1.0,1,2.0,Dawn Stone,[],Evolution,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.,Dawn Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/dawn-stone.png
109,208,132,1.0,1,2.0,Deep Sea Scale,['holdable'],Species Specific,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.,Deep Sea Scale,Hold items,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.,https://img.pokemondb.net/sprites/items/deep-sea-scale.png
110,209,133,1.0,1,2.0,Deep Sea Tooth,['holdable'],Species Specific,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.,Deep Sea Tooth,Hold items,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.,https://img.pokemondb.net/sprites/items/deep-sea-tooth.png
111,210,134,1.0,1,2.0,Destiny Knot,"['holdable', 'holdable-active']",Held Items,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.,Destiny Knot,Hold items,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.",https://img.pokemondb.net/sprites/items/destiny-knot.png
112,215,135,1.0,1,2.0,Diancite,[],Mega Stones,Held: Allows Diancie to Mega Evolve into Mega Diancie.,Diancite,Hold items,Enables Diancie to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/diancite.png
113,217,136,1.0,1,2.0,Dire Hit,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Stat Boosts,Increases the chance of a critical hit in battle.  Raises happiness.,Dire Hit,Battle items,Raises critical-hit ratio of a Pokémon in battle.,https://img.pokemondb.net/sprites/items/dire-hit.png
114,218,137,1.0,1,2.0,Dire Hit 2,[],Miracle Shooter,Raises critical hit rate by two stages in battle.  Wonder Launcher only.,Dire Hit 2,Battle items,Raises a Pokémon's critical-hit ratio in battle.,https://img.pokemondb.net/sprites/items/dire-hit-2.png
117,219,138,1.0,1,2.0,Dire Hit 3,[],Miracle Shooter,Raises critical hit rate by three stages in battle.  Wonder Launcher only.,Dire Hit 3,Battle items,Greatly raises a Pokémon's critical-hit ratio in battle.,https://img.pokemondb.net/sprites/items/dire-hit-3.png
118,220,140,1.0,1,2.0,Discount Coupon,[],Loot,Can be used at a boutique for a 50% discount.  Consumed once used.,Discount Coupon,General items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.,https://img.pokemondb.net/sprites/items/discount-coupon.png
