,Name,Category,Effect,sprite_url
47,Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,https://img.pokemondb.net/sprites/items/big-pearl.png
48,Big Root,Hold items,Recovers more HP from HP-stealing moves.,https://img.pokemondb.net/sprites/items/big-root.png
49,Binding Band,Hold items,A band that increases the power of binding moves when held.,https://img.pokemondb.net/sprites/items/binding-band.png
50,Black Apricorn,General items,A black Apricorn It has an indescribable scent.,https://img.pokemondb.net/sprites/items/black-apricorn.png
51,Black Augurite,General items,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.,https://img.pokemondb.net/s.png
52,Black Belt,Hold items,Increases the power of Fighting-type moves.,https://img.pokemondb.net/sprites/items/black-belt.png
53,Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/black-flute.png
54,Black Glasses,Hold items,Increases the power of Dark-type moves.,https://img.pokemondb.net/sprites/items/black-glasses.png
55,Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,https://img.pokemondb.net/sprites/items/black-sludge.png
56,Black Tumblestone,General items,NA,https://img.pokemondb.net/s.png
57,Blank Plate,Hold items,NA,https://img.pokemondb.net/s.png
58,Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/blastoisinite.png
59,Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/blazikenite.png
60,Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.,https://img.pokemondb.net/sprites/items/blue-apricorn.png
61,Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/blue-flute.png
62,Blue Scarf,General items,Raises holder's Beauty aspect in a Contest.,https://img.pokemondb.net/sprites/items/blue-scarf.png
63,Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/blue-shard.png
64,Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/bluk-berry.png
65,Blunder Policy,Hold items,Raises Speed sharply if its attack misses.,https://img.pokemondb.net/s.png
66,Bob's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.,https://img.pokemondb.net/s.png
67,Boiled Egg,General items,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.,https://img.pokemondb.net/s.png
68,Bold Mint,Battle items,Changes the Pokémon's stats to match the Bold nature.,https://img.pokemondb.net/s.png
69,Bottle Cap,General items,Maximizes one IV stat in Hyper Training.,https://img.pokemondb.net/sprites/items/bottle-cap.png
70,Brave Mint,Battle items,Changes the Pokémon's stats to match the Brave nature.,https://img.pokemondb.net/s.png
71,Bread,General items,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.,https://img.pokemondb.net/s.png
72,Bright Powder,Hold items,Lowers the opponent's accuracy.,https://img.pokemondb.net/sprites/items/bright-powder.png
73,Brittle Bones,General items,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.,https://img.pokemondb.net/s.png
74,Bug Gem,Hold items,Increases the power of a Bug-type move only once.,https://img.pokemondb.net/sprites/items/bug-gem.png
75,Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.,https://img.pokemondb.net/sprites/items/bug-memory.png
76,Buginium Z,Hold items,"Allows the use of Savage Spin-Out, the Bug type Z-Move.",https://img.pokemondb.net/sprites/items/buginium-z.png
77,Bugwort,General items,NA,https://img.pokemondb.net/s.png
78,Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/burn-drive.png
79,Burn Heal,Medicine,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.,https://img.pokemondb.net/sprites/items/burn-heal.png
80,Cake-Lure Base,General items,NA,https://img.pokemondb.net/s.png
81,Calcium,Medicine,Increases Special Attack EVs by 10.,https://img.pokemondb.net/sprites/items/calcium.png
82,Calm Mint,Battle items,Changes the Pokémon's stats to match the Calm nature.,https://img.pokemondb.net/s.png
83,Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/cameruptite.png
84,Candy Truffle,General items,NA,https://img.pokemondb.net/s.png
85,Carbos,Medicine,Increases Speed EVs by 10.,https://img.pokemondb.net/sprites/items/carbos.png
86,Careful Mint,Battle items,Changes the Pokémon's stats to match the Careful nature.,https://img.pokemondb.net/s.png
87,Carrot Seeds,General items,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.,https://img.pokemondb.net/s.png
88,Casteliacone,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/casteliacone.png
89,Caster Fern,General items,NA,https://img.pokemondb.net/s.png
90,Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",https://img.pokemondb.net/sprites/items/cell-battery.png
91,Chalky Stone,General items,A small whitish stone picked up at the edge of the road.,https://img.pokemondb.net/sprites/items/chalky-stone.png
92,Charcoal,Hold items,Increases the power of Fire-type moves.,https://img.pokemondb.net/sprites/items/charcoal.png
93,Charizardite X,Hold items,Enables Charizard to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/charizardite-x.png
94,Charizardite Y,Hold items,Enables Charizard to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/charizardite-y.png
95,Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/charti-berry.png
96,Cheri Berry,Berries,"If held by a Pokémon, it recovers from paralysis.",https://img.pokemondb.net/sprites/items/cheri-berry.png
97,Cherish Ball,Pokeballs,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.,https://img.pokemondb.net/sprites/items/cherish-ball.png
98,Chesto Berry,Berries,"If held by a Pokémon, it recovers from sleep.",https://img.pokemondb.net/sprites/items/chesto-berry.png
99,Chilan Berry,Berries,Weakens a Normal-type attack against the Pokémon holding this berry.,https://img.pokemondb.net/sprites/items/chilan-berry.png
100,Chill Drive,Hold items,Changes Techno Blast to an Ice-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/chill-drive.png
101,Chipped Pot,Hold items,Evolves Sinistea into Polteageist.,https://img.pokemondb.net/s.png
102,Choice Band,Hold items,"Raises Attack, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-band.png
103,Choice Dumpling,General items,NA,https://img.pokemondb.net/s.png
104,Choice Scarf,Hold items,"Raises Speed, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-scarf.png
105,Choice Specs,Hold items,"Raises Special Attack, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-specs.png
106,Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/chople-berry.png
107,Claw Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,https://img.pokemondb.net/sprites/items/claw-fossil.png
108,Cleanse Tag,Hold items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,https://img.pokemondb.net/sprites/items/cleanse-tag.png
109,Clever Wing,Medicine,Increases Special Defense EVs by 1.,https://img.pokemondb.net/sprites/items/clever-wing.png
110,Clover Sweet,Hold items,Evolves Milcery into Clover Flavor Alcremie.,https://img.pokemondb.net/s.png
111,Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/coba-berry.png
112,Coconut Milk,General items,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.,https://img.pokemondb.net/s.png
113,Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/colbur-berry.png
114,Comet Shard,General items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/comet-shard.png
115,Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/cornn-berry.png
116,Courage Candy,Medicine,Increases a Pokémon's Special Defense stat by 1.,https://img.pokemondb.net/sprites/items/courage-candy.png
117,Courage Candy L,Medicine,Increases a Pokémon's Special Defense stat.,https://img.pokemondb.net/sprites/items/courage-candy-l.png
118,Courage Candy XL,Medicine,Increases a Pokémon's Special Defense stat.,https://img.pokemondb.net/sprites/items/courage-candy-xl.png
119,Cover Fossil,General items,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.,https://img.pokemondb.net/sprites/items/cover-fossil.png
120,Cracked Pot,Hold items,Evolves Sinistea into Polteageist.,https://img.pokemondb.net/s.png
121,Crafting Kit,General items,NA,https://img.pokemondb.net/s.png
122,Crunchy Salt,General items,NA,https://img.pokemondb.net/s.png
123,Custap Berry,Berries,Holder can move first when HP is low.,https://img.pokemondb.net/sprites/items/custap-berry.png
124,Damp Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/damp-mulch.png
125,Damp Rock,Hold items,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,https://img.pokemondb.net/sprites/items/damp-rock.png
126,Dark Gem,Hold items,Increases the power of a Dark-type move only once.,https://img.pokemondb.net/sprites/items/dark-gem.png
127,Dark Memory,Hold items,Changes Silvally and its move Multi-Attack to Dark type.,https://img.pokemondb.net/sprites/items/dark-memory.png
128,Darkinium Z,Hold items,"Allows the use of Black Hole Eclipse, the Dark type Z-Move.",https://img.pokemondb.net/sprites/items/darkinium-z.png
129,Dawn Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/dawn-stone.png
130,Dazzling Honey,General items,NA,https://img.pokemondb.net/s.png
131,Decidium Z,Hold items,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid.",https://img.pokemondb.net/sprites/items/decidium-z.png
132,Deep Sea Scale,Hold items,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.,https://img.pokemondb.net/sprites/items/deep-sea-scale.png
133,Deep Sea Tooth,Hold items,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.,https://img.pokemondb.net/sprites/items/deep-sea-tooth.png
134,Destiny Knot,Hold items,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.",https://img.pokemondb.net/sprites/items/destiny-knot.png
135,Diancite,Hold items,Enables Diancie to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/diancite.png
136,Dire Hit,Battle items,Raises critical-hit ratio of a Pokémon in battle.,https://img.pokemondb.net/sprites/items/dire-hit.png
137,Dire Hit 2,Battle items,Raises a Pokémon's critical-hit ratio in battle.,https://img.pokemondb.net/sprites/items/dire-hit-2.png
138,Dire Hit 3,Battle items,Greatly raises a Pokémon's critical-hit ratio in battle.,https://img.pokemondb.net/sprites/items/dire-hit-3.png
139,Direshroom,General items,NA,https://img.pokemondb.net/s.png
140,Discount Coupon,General items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.,https://img.pokemondb.net/sprites/items/discount-coupon.png
141,Dive Ball,Pokeballs,A somewhat different Poké Ball that works especially well on Pokémon that live underwater.,https://img.pokemondb.net/sprites/items/dive-ball.png
142,DNA Splicers,General items,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.,https://img.pokemondb.net/sprites/items/dna-splicers.png
143,Dome Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.,https://img.pokemondb.net/sprites/items/dome-fossil.png
144,Doppel Bonnets,General items,NA,https://img.pokemondb.net/s.png
145,Douse Drive,Hold items,Changes Techno Blast to a Water-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/douse-drive.png
146,Draco Plate,Hold items,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.,https://img.pokemondb.net/sprites/items/draco-plate.png
147,Dragon Fang,Hold items,Increases the power of Dragon-type moves.,https://img.pokemondb.net/sprites/items/dragon-fang.png
148,Dragon Gem,Hold items,Increases the power of a Dragon-type move only once.,https://img.pokemondb.net/sprites/items/dragon-gem.png
149,Dragon Memory,Hold items,Changes Silvally and its move Multi-Attack to Dragon type.,https://img.pokemondb.net/sprites/items/dragon-memory.png
150,Dragon Scale,General items,Evolves Seadra when traded holding the item.,https://img.pokemondb.net/sprites/items/dragon-scale.png
151,Dragonium Z,Hold items,"Allows the use of Devastating Drake, the Dragon type Z-Move.",https://img.pokemondb.net/sprites/items/dragonium-z.png
152,Dread Plate,Hold items,Increases power of Dark-type moves. Changes Arceus' type to Dark.,https://img.pokemondb.net/sprites/items/dread-plate.png
153,Dream Ball,Pokeballs,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.,https://img.pokemondb.net/sprites/items/dream-ball.png
154,Dropped Item,Hold items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.,https://img.pokemondb.net/sprites/items/xtransceiver.png
155,Dubious Disc,General items,Evolves Porygon2 when traded holding the item.,https://img.pokemondb.net/sprites/items/dubious-disc.png
156,Durin Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/durin-berry.png
157,Dusk Ball,Pokeballs,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.,https://img.pokemondb.net/sprites/items/dusk-ball.png
158,Dusk Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/dusk-stone.png
159,Dynamax Candy,Medicine,Raises Dynamax Level.,https://img.pokemondb.net/s.png
160,Dynite Ore,General items,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.,https://img.pokemondb.net/s.png
161,Earth Plate,Hold items,Increases power of Ground-type moves. Changes Arceus' type to Ground.,https://img.pokemondb.net/sprites/items/earth-plate.png
162,Eevium Z,Hold items,"Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost.",https://img.pokemondb.net/sprites/items/eevium-z.png
163,Eject Button,Hold items,"If the holder is hit by an attack, it will switch with another Pokémon in your party.",https://img.pokemondb.net/sprites/items/eject-button.png
164,Eject Pack,Hold items,The Pokémon switches out if its stats are lowered.,https://img.pokemondb.net/s.png
165,Electirizer,General items,Evolves Electabuzz when traded holding the item.,https://img.pokemondb.net/sprites/items/electirizer.png
166,Electric Gem,Hold items,Increases the power of an Electric-type move only once.,https://img.pokemondb.net/sprites/items/electric-gem.png
167,Electric Memory,Hold items,Changes Silvally and its move Multi-Attack to Electric type.,https://img.pokemondb.net/sprites/items/electric-memory.png
168,Electric Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.,https://img.pokemondb.net/sprites/items/electric-seed.png
169,Electrium Z,Hold items,"Allows the use of Gigavolt Havoc, the Electric type Z-Move.",https://img.pokemondb.net/sprites/items/electrium-z.png
170,Elevator Key,Hold items,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.,https://img.pokemondb.net/sprites/items/elevator-key.png
171,Elixir,Medicine,It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.,https://img.pokemondb.net/sprites/items/elixir.png
172,Energy Powder,Medicine,Restores 60 HP but lowers Friendship.,https://img.pokemondb.net/sprites/items/energy-powder.png
173,Energy Root,Medicine,Restores 120 HP but lowers Friendship.,https://img.pokemondb.net/sprites/items/energy-root.png
174,Enigma Berry,Berries,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack.",https://img.pokemondb.net/sprites/items/enigma-berry.png
175,Escape Rope,General items,"A long, durable rope. Use it to escape instantly from a cave or a dungeon.",https://img.pokemondb.net/sprites/items/escape-rope.png
176,Ether,Medicine,It restores the PP of a Pokémon's selected move by a maximum of 10 points.,https://img.pokemondb.net/sprites/items/ether.png
177,Everstone,Hold items,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.,https://img.pokemondb.net/sprites/items/everstone.png
178,Eviolite,Hold items,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.",https://img.pokemondb.net/sprites/items/eviolite.png
179,Exp. Candy L,Medicine,NA,https://img.pokemondb.net/s.png
180,Exp. Candy M,Medicine,NA,https://img.pokemondb.net/s.png
181,Exp. Candy S,Medicine,NA,https://img.pokemondb.net/s.png
182,Exp. Candy XL,Medicine,"Increases the Pokémon's Exp points by 30,000.",https://img.pokemondb.net/s.png
183,Exp. Candy XS,Medicine,NA,https://img.pokemondb.net/s.png
184,Exp. Share,Hold items,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.,https://img.pokemondb.net/sprites/items/exp-share.png
185,Expert Belt,Hold items,Increases the power of super-effective moves.,https://img.pokemondb.net/sprites/items/expert-belt.png
186,Fairium Z,Hold items,"Allows the use of Twinkle Tackle, the Fairy type Z-Move.",https://img.pokemondb.net/sprites/items/fairium-z.png
187,Fairy Gem,General items,Increases the power of a Fairy-type move only once.,https://img.pokemondb.net/sprites/items/fairy-gem.png
188,Fairy Memory,Hold items,Changes Silvally and its move Multi-Attack to Fairy type.,https://img.pokemondb.net/sprites/items/fairy-memory.png
189,Fancy Apple,General items,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.,https://img.pokemondb.net/s.png
190,Fast Ball,Pokeballs,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.,https://img.pokemondb.net/sprites/items/fast-ball.png
191,Feather Ball,Pokeballs,NA,https://img.pokemondb.net/s.png
192,Festival Ticket,General items,A ticket that allows you to host a mission in Festival Plaza.,https://img.pokemondb.net/sprites/items/festival-ticket.png
193,Fighting Gem,Hold items,Increases the power of a Fighting-type move only once.,https://img.pokemondb.net/sprites/items/fighting-gem.png
194,Fighting Memory,Hold items,Changes Silvally and its move Multi-Attack to Fighting type.,https://img.pokemondb.net/sprites/items/fighting-memory.png
195,Fightinium Z,Hold items,"Allows the use of All-Out Pummeling, the Fighting type Z-Move.",https://img.pokemondb.net/sprites/items/fightinium-z.png
196,Figy Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/figy-berry.png
197,Fine Remedy,Medicine,NA,https://img.pokemondb.net/s.png
198,Fire Gem,Hold items,Increases the power of a Fire-type move only once.,https://img.pokemondb.net/sprites/items/fire-gem.png
199,Fire Memory,Hold items,Changes Silvally and its move Multi-Attack to Fire type.,https://img.pokemondb.net/sprites/items/fire-memory.png
200,Fire Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/fire-stone.png
201,Firium Z,Hold items,"Allows the use of Inferno Overdrive, the Fire type Z-Move.",https://img.pokemondb.net/sprites/items/firium-z.png
202,Fist Plate,Hold items,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.,https://img.pokemondb.net/sprites/items/fist-plate.png
203,Flame Orb,Hold items,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.,https://img.pokemondb.net/sprites/items/flame-orb.png
204,Flame Plate,Hold items,Increases power of Fire-type moves. Changes Arceus' type to Fire.,https://img.pokemondb.net/sprites/items/flame-plate.png
205,Float Stone,Hold items,A very light stone. It reduces the weight of a Pokémon when held.,https://img.pokemondb.net/sprites/items/float-stone.png
206,Flower Sweet,Hold items,Evolves Milcery into Flower Flavor Alcremie.,https://img.pokemondb.net/s.png
207,Fluffy Tail,General items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,https://img.pokemondb.net/sprites/items/fluffy-tail.png
208,Flying Gem,Hold items,Increases the power of a Flying-type move only once.,https://img.pokemondb.net/sprites/items/flying-gem.png
209,Flying Memory,Hold items,Changes Silvally and its move Multi-Attack to Flying type.,https://img.pokemondb.net/sprites/items/flying-memory.png
210,Flyinium Z,Hold items,"Allows the use of Supersonic Skystrike, the Flying type Z-Move.",https://img.pokemondb.net/sprites/items/flyinium-z.png
211,Focus Band,Hold items,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.",https://img.pokemondb.net/sprites/items/focus-band.png
212,Focus Sash,Hold items,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.",https://img.pokemondb.net/sprites/items/focus-sash.png
213,Fossilized Bird,General items,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.,https://img.pokemondb.net/s.png
214,Fossilized Dino,General items,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.,https://img.pokemondb.net/s.png
215,Fossilized Drake,General items,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.,https://img.pokemondb.net/s.png
216,Fossilized Fish,General items,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.,https://img.pokemondb.net/s.png
217,Fresh Cream,General items,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.,https://img.pokemondb.net/s.png
218,Fresh Water,Medicine,Restores 30 HP.,https://img.pokemondb.net/sprites/items/fresh-water.png
219,Fried Food,General items,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy.",https://img.pokemondb.net/s.png
220,Friend Ball,Pokeballs,A Poké Ball that makes caught Pokémon more friendly.,https://img.pokemondb.net/sprites/items/friend-ball.png
221,Fruit Bunch,General items,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.,https://img.pokemondb.net/s.png
222,Full Heal,Medicine,A spray-type medicine. It heals all the status problems of a single Pokémon.,https://img.pokemondb.net/sprites/items/full-heal.png
223,Full Incense,Hold items,Holder always attacks last. Breeding Snorlax produces Munchlax when held.,https://img.pokemondb.net/sprites/items/full-incense.png
224,Full Restore,Medicine,A medicine that fully restores the HP and heals any status problems of a single Pokémon.,https://img.pokemondb.net/sprites/items/full-restore.png
