,#,Name,Type1,Type2,Variant,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,sprite_url
16,13,Weedle,Bug,Poison,NA,195,40,35,30,20,20,50,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
17,14,Kakuna,Bug,Poison,NA,205,45,25,50,25,25,35,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
18,15,Beedrill,Bug,Poison,NA,395,65,90,40,45,80,75,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
19,15,Beedrill,Bug,Poison,Mega Beedrill,495,65,150,40,15,80,145,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png
20,16,Pidgey,Normal,Flying,NA,251,40,45,40,35,35,56,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
21,17,Pidgeotto,Normal,Flying,NA,349,63,60,55,50,50,71,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
22,18,Pidgeot,Normal,Flying,NA,479,83,80,75,70,70,101,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
23,18,Pidgeot,Normal,Flying,Mega Pidgeot,579,83,80,80,135,80,121,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png
24,19,Rattata,Normal,NA,NA,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
25,19,Rattata,Dark,Normal,Alolan Rattata,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png
26,20,Raticate,Normal,NA,NA,413,55,81,60,50,70,97,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
27,20,Raticate,Dark,Normal,Alolan Raticate,413,75,71,70,40,80,77,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png
28,21,Spearow,Normal,Flying,NA,262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
29,22,Fearow,Normal,Flying,NA,442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
30,23,Ekans,Poison,NA,NA,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
31,24,Arbok,Poison,NA,NA,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
32,25,Pikachu,Electric,NA,NA,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
33,25,Pikachu,Electric,NA,Partner Pikachu,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png
34,26,Raichu,Electric,NA,NA,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
35,26,Raichu,Electric,Psychic,Alolan Raichu,485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png
36,27,Sandshrew,Ground,NA,NA,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
37,27,Sandshrew,Ice,Steel,Alolan Sandshrew,300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png
38,28,Sandslash,Ground,NA,NA,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
39,28,Sandslash,Ice,Steel,Alolan Sandslash,450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png
40,29,Nidoran♀,Poison,NA,NA,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
41,30,Nidorina,Poison,NA,NA,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
42,31,Nidoqueen,Poison,Ground,NA,505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
43,32,Nidoran♂,Poison,NA,NA,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
44,33,Nidorino,Poison,NA,NA,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
45,34,Nidoking,Poison,Ground,NA,505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
46,35,Clefairy,Fairy,NA,NA,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
47,36,Clefable,Fairy,NA,NA,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
48,37,Vulpix,Fire,NA,NA,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
49,37,Vulpix,Ice,NA,Alolan Vulpix,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
50,38,Ninetales,Fire,NA,NA,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
51,38,Ninetales,Ice,Fairy,Alolan Ninetales,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
52,39,Jigglypuff,Normal,Fairy,NA,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
53,40,Wigglytuff,Normal,Fairy,NA,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
54,41,Zubat,Poison,Flying,NA,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
55,42,Golbat,Poison,Flying,NA,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
56,43,Oddish,Grass,Poison,NA,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
57,44,Gloom,Grass,Poison,NA,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
58,45,Vileplume,Grass,Poison,NA,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
59,46,Paras,Bug,Grass,NA,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
60,47,Parasect,Bug,Grass,NA,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
61,48,Venonat,Bug,Poison,NA,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
62,49,Venomoth,Bug,Poison,NA,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
63,50,Diglett,Ground,NA,NA,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
64,50,Diglett,Ground,Steel,Alolan Diglett,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
65,51,Dugtrio,Ground,NA,NA,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
66,51,Dugtrio,Ground,Steel,Alolan Dugtrio,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
67,52,Meowth,Normal,NA,NA,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
68,52,Meowth,Dark,NA,Alolan Meowth,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
69,52,Meowth,Steel,NA,Galarian Meowth,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
70,53,Persian,Normal,NA,NA,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
71,53,Persian,Dark,NA,Alolan Persian,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
72,54,Psyduck,Water,NA,NA,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
73,55,Golduck,Water,NA,NA,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
74,56,Mankey,Fighting,NA,NA,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
75,57,Primeape,Fighting,NA,NA,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
76,58,Growlithe,Fire,NA,NA,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
77,58,Growlithe,Fire,Rock,Hisuian Growlithe,350,60,75,45,65,50,55,https://img.pokemondb.net/s.png
78,59,Arcanine,Fire,NA,NA,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
79,59,Arcanine,Fire,Rock,Hisuian Arcanine,555,95,115,80,95,80,90,https://img.pokemondb.net/s.png
80,60,Poliwag,Water,NA,NA,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
81,61,Poliwhirl,Water,NA,NA,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
82,62,Poliwrath,Water,Fighting,NA,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
83,63,Abra,Psychic,NA,NA,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
84,64,Kadabra,Psychic,NA,NA,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
85,65,Alakazam,Psychic,NA,NA,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
86,65,Alakazam,Psychic,NA,Mega Alakazam,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
87,66,Machop,Fighting,NA,NA,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
88,67,Machoke,Fighting,NA,NA,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
89,68,Machamp,Fighting,NA,NA,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
90,69,Bellsprout,Grass,Poison,NA,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
91,70,Weepinbell,Grass,Poison,NA,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
92,71,Victreebel,Grass,Poison,NA,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
93,72,Tentacool,Water,Poison,NA,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
94,73,Tentacruel,Water,Poison,NA,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
95,74,Geodude,Rock,Ground,NA,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
96,74,Geodude,Rock,Electric,Alolan Geodude,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
97,75,Graveler,Rock,Ground,NA,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
98,75,Graveler,Rock,Electric,Alolan Graveler,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
99,76,Golem,Rock,Ground,NA,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
100,76,Golem,Rock,Electric,Alolan Golem,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
101,77,Ponyta,Fire,NA,NA,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
102,77,Ponyta,Psychic,NA,Galarian Ponyta,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
103,78,Rapidash,Fire,NA,NA,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
104,78,Rapidash,Psychic,Fairy,Galarian Rapidash,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
105,79,Slowpoke,Water,Psychic,NA,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
106,79,Slowpoke,Psychic,NA,Galarian Slowpoke,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png
107,80,Slowbro,Water,Psychic,NA,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
108,80,Slowbro,Water,Psychic,Mega Slowbro,590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
109,80,Slowbro,Poison,Psychic,Galarian Slowbro,490,95,100,95,100,70,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png
110,81,Magnemite,Electric,Steel,NA,325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
111,82,Magneton,Electric,Steel,NA,465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
112,83,Farfetch'd,Normal,Flying,NA,377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
113,83,Farfetch'd,Fighting,NA,Galarian Farfetch'd,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
114,84,Doduo,Normal,Flying,NA,310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
115,85,Dodrio,Normal,Flying,NA,470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
116,86,Seel,Water,NA,NA,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
117,87,Dewgong,Water,Ice,NA,475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
118,88,Grimer,Poison,NA,NA,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
119,88,Grimer,Poison,Dark,Alolan Grimer,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
120,89,Muk,Poison,NA,NA,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
121,89,Muk,Poison,Dark,Alolan Muk,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png
122,90,Shellder,Water,NA,NA,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
123,91,Cloyster,Water,Ice,NA,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
124,92,Gastly,Ghost,Poison,NA,310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
125,93,Haunter,Ghost,Poison,NA,405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
126,94,Gengar,Ghost,Poison,NA,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
127,94,Gengar,Ghost,Poison,Mega Gengar,600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
128,95,Onix,Rock,Ground,NA,385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
129,96,Drowzee,Psychic,NA,NA,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
130,97,Hypno,Psychic,NA,NA,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
131,98,Krabby,Water,NA,NA,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
132,99,Kingler,Water,NA,NA,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
133,100,Voltorb,Electric,NA,NA,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
134,100,Voltorb,Electric,Grass,Hisuian Voltorb,330,40,30,50,55,55,100,https://img.pokemondb.net/s.png
135,101,Electrode,Electric,NA,NA,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
136,101,Electrode,Electric,Grass,Hisuian Electrode,490,60,50,70,80,80,150,https://img.pokemondb.net/s.png
137,102,Exeggcute,Grass,Psychic,NA,325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
138,103,Exeggutor,Grass,Psychic,NA,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
139,103,Exeggutor,Grass,Dragon,Alolan Exeggutor,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
140,104,Cubone,Ground,NA,NA,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
141,105,Marowak,Ground,NA,NA,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
142,105,Marowak,Fire,Ghost,Alolan Marowak,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
143,106,Hitmonlee,Fighting,NA,NA,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
144,107,Hitmonchan,Fighting,NA,NA,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
145,108,Lickitung,Normal,NA,NA,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
146,109,Koffing,Poison,NA,NA,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
147,110,Weezing,Poison,NA,NA,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
148,110,Weezing,Poison,Fairy,Galarian Weezing,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
149,111,Rhyhorn,Ground,Rock,NA,345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
150,112,Rhydon,Ground,Rock,NA,485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
151,113,Chansey,Normal,NA,NA,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
152,114,Tangela,Grass,NA,NA,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
153,115,Kangaskhan,Normal,NA,NA,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
154,115,Kangaskhan,Normal,NA,Mega Kangaskhan,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
155,116,Horsea,Water,NA,NA,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
156,117,Seadra,Water,NA,NA,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
157,118,Goldeen,Water,NA,NA,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
158,119,Seaking,Water,NA,NA,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
159,120,Staryu,Water,NA,NA,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
160,121,Starmie,Water,Psychic,NA,520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
161,122,Mr.,Psychic,Fairy,Mime,460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
162,122,Mr.,Ice,Psychic,Mime Galarian Mr. Mime,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
163,123,Scyther,Bug,Flying,NA,500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
164,124,Jynx,Ice,Psychic,NA,455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
165,125,Electabuzz,Electric,NA,NA,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
166,126,Magmar,Fire,NA,NA,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
167,127,Pinsir,Bug,NA,NA,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
168,127,Pinsir,Bug,Flying,Mega Pinsir,600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
169,128,Tauros,Normal,NA,NA,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
170,129,Magikarp,Water,NA,NA,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
171,130,Gyarados,Water,Flying,NA,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
172,130,Gyarados,Water,Dark,Mega Gyarados,640,95,155,109,70,130,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
173,131,Lapras,Water,Ice,NA,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
174,132,Ditto,Normal,NA,NA,288,48,48,48,48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
175,133,Eevee,Normal,NA,NA,325,55,55,50,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
176,133,Eevee,Normal,NA,Partner Eevee,435,65,75,70,65,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
177,134,Vaporeon,Water,NA,NA,525,130,65,60,110,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
178,135,Jolteon,Electric,NA,NA,525,65,65,60,110,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
179,136,Flareon,Fire,NA,NA,525,65,130,60,95,110,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
180,137,Porygon,Normal,NA,NA,395,65,60,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
181,138,Omanyte,Rock,Water,NA,355,35,40,100,90,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
182,139,Omastar,Rock,Water,NA,495,70,60,125,115,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
183,140,Kabuto,Rock,Water,NA,355,30,80,90,55,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
184,141,Kabutops,Rock,Water,NA,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
185,142,Aerodactyl,Rock,Flying,NA,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
186,142,Aerodactyl,Rock,Flying,Mega Aerodactyl,615,80,135,85,70,95,150,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
187,143,Snorlax,Normal,NA,NA,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
188,144,Articuno,Ice,Flying,NA,580,90,85,100,95,125,85,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
189,144,Articuno,Psychic,Flying,Galarian Articuno,580,90,85,85,125,100,95,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png
190,145,Zapdos,Electric,Flying,NA,580,90,90,85,125,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
191,145,Zapdos,Fighting,Flying,Galarian Zapdos,580,90,125,90,85,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png
192,146,Moltres,Fire,Flying,NA,580,90,100,90,125,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
193,146,Moltres,Dark,Flying,Galarian Moltres,580,90,85,90,100,125,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png
194,147,Dratini,Dragon,NA,NA,300,41,64,45,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
195,148,Dragonair,Dragon,NA,NA,420,61,84,65,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
196,149,Dragonite,Dragon,Flying,NA,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
197,150,Mewtwo,Psychic,NA,NA,680,106,110,90,154,90,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
198,150,Mewtwo,Psychic,Fighting,Mega Mewtwo X,780,106,190,100,154,100,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
199,150,Mewtwo,Psychic,NA,Mega Mewtwo Y,780,106,150,70,194,120,140,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
200,151,Mew,Psychic,NA,NA,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
201,152,Chikorita,Grass,NA,NA,318,45,49,65,49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
202,153,Bayleef,Grass,NA,NA,405,60,62,80,63,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
