,Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
46,Beak Blast,Flying,NA,100,100,15,NA,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",—
47,Beat Up,Dark,NA,—,100,10,NA,Each Pokémon in user's party attacks.,—
48,Behemoth Bash,Steel,NA,100,100,5,NA,Damage doubles if target is Dynamaxed.,—
49,Behemoth Blade,Steel,NA,100,100,5,NA,Damage doubles if target is Dynamaxed.,—
50,Belch,Poison,NA,120,90,10,NA,User must have consumed a Berry.,—
51,Belly Drum,Normal,NA,—,—,10,NA,"User loses 50% of its max HP, but Attack raises to maximum.",—
52,Bestow,Normal,NA,—,—,15,NA,Gives the user's held item to the target.,—
53,Bide,Normal,NA,—,—,10,NA,User takes damage for two turns then strikes back double.,—
54,Bind,Normal,NA,15,85,20,NA,"Traps opponent, damaging them for 4-5 turns.",100
55,Bite,Dark,NA,60,100,25,NA,May cause flinching.,30
56,Bitter Malice,Ghost,NA,60,100,15,NA,NA,—
57,Black Hole Eclipse,Dark,—,—,—,1,NA,Dark type Z-Move.,—
58,Blast Burn,Fire,NA,150,90,5,NA,User must recharge next turn.,—
59,Blaze Kick,Fire,NA,85,90,10,NA,High critical hit ratio. May burn opponent.,10
60,Bleakwind Storm,Ice,NA,95,80,5,NA,NA,—
61,Blizzard,Ice,NA,110,70,5,NA,May freeze opponent.,10
62,Block,Normal,NA,—,—,5,NA,Opponent cannot flee or switch.,—
63,Bloom Doom,Grass,—,—,—,1,NA,Grass type Z-Move.,—
64,Blue Flare,Fire,NA,130,85,5,NA,May burn opponent.,20
65,Body Press,Fighting,NA,80,100,10,NA,"The higher the user's Defense, the stronger the attack.",—
66,Body Slam,Normal,NA,85,100,15,NA,May paralyze opponent.,30
67,Bolt Beak,Electric,NA,85,100,10,NA,"If the user attacks before the target, the power of this move is doubled.",—
68,Bolt Strike,Electric,NA,130,85,5,NA,May paralyze opponent.,20
69,Bone Club,Ground,NA,65,85,20,NA,May cause flinching.,10
70,Bone Rush,Ground,NA,25,90,10,NA,Hits 2-5 times in one turn.,—
71,Bonemerang,Ground,NA,50,90,10,NA,Hits twice in one turn.,—
72,Boomburst,Normal,NA,140,100,10,NA,Hits all adjacent Pokémon.,—
73,Bounce,Flying,NA,85,85,5,NA,"Springs up on first turn, attacks on second. May paralyze opponent.",30
74,Bouncy Bubble,Water,NA,90,100,15,NA,User recovers half the HP inflicted on opponent.,—
75,Branch Poke,Grass,NA,40,100,40,NA,NA,—
76,Brave Bird,Flying,NA,120,100,15,NA,User receives recoil damage.,—
77,Breaking Swipe,Dragon,NA,60,100,15,NA,Hits multiple opponents and lowers their attack.,100
78,Breakneck Blitz,Normal,—,—,—,1,NA,Normal type Z-Move.,—
79,Brick Break,Fighting,NA,75,100,15,NA,Breaks through Reflect and Light Screen barriers.,—
80,Brine,Water,NA,65,100,10,NA,Power doubles if opponent's HP is less than 50%.,—
81,Brutal Swing,Dark,NA,60,100,20,NA,The user swings its body around violently to inflict damage on everything in its vicinity.,—
82,Bubble,Water,NA,40,100,30,NA,May lower opponent's Speed.,10
83,Bubble Beam,Water,NA,65,100,20,NA,May lower opponent's Speed.,10
84,Bug Bite,Bug,NA,60,100,20,NA,Receives the effect from the opponent's held berry.,—
85,Bug Buzz,Bug,NA,90,100,10,NA,May lower opponent's Special Defense.,10
86,Bulk Up,Fighting,NA,—,—,20,NA,Raises user's Attack and Defense.,—
87,Bulldoze,Ground,NA,60,100,20,NA,Lowers opponent's Speed.,100
88,Bullet Punch,Steel,NA,40,100,30,NA,User attacks first.,—
89,Bullet Seed,Grass,NA,25,100,30,NA,Hits 2-5 times in one turn.,—
90,Burn Up,Fire,NA,130,100,5,NA,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",—
91,Burning Jealousy,Fire,NA,70,100,5,NA,"Hits all opponents, and burns any that have had their stats boosted.",—
92,Buzzy Buzz,Electric,NA,90,100,15,NA,Paralyzes the opponent.,100
93,Calm Mind,Psychic,NA,—,—,20,NA,Raises user's Special Attack and Special Defense.,—
94,Camouflage,Normal,NA,—,—,20,NA,Changes user's type according to the location.,—
95,Captivate,Normal,NA,—,100,20,NA,Sharply lowers opponent's Special Attack if opposite gender.,—
96,Catastropika,Electric,NA,210,—,1,NA,Pikachu-exclusive Z-Move.,—
97,Ceaseless Edge,Dark,NA,65,90,15,NA,NA,—
98,Celebrate,Normal,NA,—,—,40,NA,The Pokémon congratulates you on your special day. No battle effect.,—
99,Charge,Electric,NA,—,—,20,NA,Raises user's Special Defense and next Electric move's power increases.,—
100,Charge Beam,Electric,NA,50,90,10,NA,May raise user's Special Attack.,70
101,Charm,Fairy,NA,—,100,20,NA,Sharply lowers opponent's Attack.,—
102,Chatter,Flying,NA,65,100,20,NA,Confuses opponent.,100
103,Chip Away,Normal,NA,70,100,20,NA,Ignores opponent's stat changes.,—
104,Chloroblast,Grass,NA,120,95,5,NA,NA,—
105,Circle Throw,Fighting,NA,60,90,10,NA,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
106,Clamp,Water,NA,35,85,15,NA,"Traps opponent, damaging them for 4-5 turns.",100
107,Clanging Scales,Dragon,NA,110,100,5,NA,Lowers user's Defense.,100
108,Clangorous Soul,Dragon,NA,—,100,5,NA,Raises all user's stats but loses HP.,100
109,Clangorous Soulblaze,Dragon,NA,185,—,1,NA,Kommo-o exclusive Z-Move.,—
110,Clear Smog,Poison,NA,50,—,15,NA,Removes all of the target's stat changes.,—
111,Close Combat,Fighting,NA,120,100,5,NA,Lowers user's Defense and Special Defense.,100
112,Coaching,Fighting,NA,—,—,10,NA,Boosts Attack and Defense of a teammate.,—
113,Coil,Poison,NA,—,—,20,NA,"Raises user's Attack, Defense and Accuracy.",—
114,Comet Punch,Normal,NA,18,85,15,NA,Hits 2-5 times in one turn.,—
115,Confide,Normal,NA,—,—,20,NA,Lowers opponent's Special Attack.,100
116,Confuse Ray,Ghost,NA,—,100,10,NA,Confuses opponent.,—
117,Confusion,Psychic,NA,50,100,25,NA,May confuse opponent.,10
118,Constrict,Normal,NA,10,100,35,NA,May lower opponent's Speed by one stage.,10
119,Continental Crush,Rock,—,—,—,1,NA,Rock type Z-Move.,—
120,Conversion,Normal,NA,—,—,30,NA,Changes user's type to that of its first move.,—
121,Conversion 2,Normal,NA,—,—,30,NA,User changes type to become resistant to opponent's last move.,—
122,Copycat,Normal,NA,—,—,20,NA,Copies opponent's last move.,—
123,Core Enforcer,Dragon,NA,100,100,10,NA,Suppresses the target's ability if the target has already moved.,—
124,Corkscrew Crash,Steel,—,—,—,1,NA,Steel type Z-Move.,—
125,Corrosive Gas,Poison,NA,—,100,40,NA,Removes opponent's items.,—
126,Cosmic Power,Psychic,NA,—,—,20,NA,Raises user's Defense and Special Defense.,—
127,Cotton Guard,Grass,NA,—,—,10,NA,Drastically raises user's Defense.,—
128,Cotton Spore,Grass,NA,—,100,40,NA,Sharply lowers opponent's Speed.,—
129,Counter,Fighting,NA,—,100,20,NA,"When hit by a Physical Attack, user strikes back with 2x power.",—
130,Court Change,Normal,NA,—,100,10,NA,Swaps the effects on either side of the field.,—
131,Covet,Normal,NA,60,100,25,NA,Opponent's item is stolen by the user.,—
132,Crabhammer,Water,NA,100,90,10,NA,High critical hit ratio.,—
133,Crafty Shield,Fairy,NA,—,—,10,NA,Protects the Pokémon from status moves.,—
134,Cross Chop,Fighting,NA,100,80,5,NA,High critical hit ratio.,—
135,Cross Poison,Poison,NA,70,100,20,NA,High critical hit ratio. May poison opponent.,10
136,Crunch,Dark,NA,80,100,15,NA,May lower opponent's Defense.,20
137,Crush Claw,Normal,NA,75,95,10,NA,May lower opponent's Defense.,50
138,Crush Grip,Normal,NA,—,100,5,NA,More powerful when opponent has higher HP.,—
139,Curse,Ghost,NA,—,—,10,NA,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",—
140,Cut,Normal,NA,50,95,30,NA,NA,—
141,Dark Pulse,Dark,NA,80,100,15,NA,May cause flinching.,20
142,Dark Void,Dark,NA,—,50,10,NA,Puts all adjacent opponents to sleep.,—
143,Darkest Lariat,Dark,NA,85,100,10,NA,Ignores opponent's stat changes.,—
144,Dazzling Gleam,Fairy,NA,80,100,10,NA,Hits all adjacent opponents.,—
145,Decorate,Fairy,NA,—,—,15,NA,Sharply raises target's Attack and Special Attack.,100
146,Defend Order,Bug,NA,—,—,10,NA,Raises user's Defense and Special Defense.,—
147,Defense Curl,Normal,NA,—,—,40,NA,Raises user's Defense.,—
148,Defog,Flying,NA,—,—,15,NA,Lowers opponent's Evasiveness and clears fog.,—
149,Destiny Bond,Ghost,NA,—,—,5,NA,"If the user faints, the opponent also faints.",—
150,Detect,Fighting,NA,—,—,5,NA,"Protects the user, but may fail if used consecutively.",—
151,Devastating Drake,Dragon,—,—,—,1,NA,Dragon type Z-Move.,—
152,Diamond Storm,Rock,NA,100,95,5,NA,May sharply raise user's Defense.,50
153,Dig,Ground,NA,80,100,10,NA,"Digs underground on first turn, attacks on second. Can also escape from caves.",—
154,Dire Claw,NA,NA,60,100,15,NA,NA,—
155,Disable,Normal,NA,—,100,20,NA,Opponent can't use its last attack for a few turns.,—
156,Disarming Voice,Fairy,NA,40,∞,15,NA,Ignores Accuracy and Evasiveness.,—
157,Discharge,Electric,NA,80,100,15,NA,May paralyze opponent.,30
158,Dive,Water,NA,80,100,10,NA,"Dives underwater on first turn, attacks on second turn.",—
159,Dizzy Punch,Normal,NA,70,100,10,NA,May confuse opponent.,20
160,Doom Desire,Steel,NA,140,100,5,NA,Damage occurs 2 turns later.,—
161,Double Hit,Normal,NA,35,90,10,NA,Hits twice in one turn.,—
162,Double Iron Bash,Steel,NA,60,100,5,NA,Hits twice in one turn; may cause flinching.,30
163,Double Kick,Fighting,NA,30,100,30,NA,Hits twice in one turn.,—
164,Double Slap,Normal,NA,15,85,10,NA,Hits 2-5 times in one turn.,—
165,Double Team,Normal,NA,—,—,15,NA,Raises user's Evasiveness.,—
166,Double-Edge,Normal,NA,120,100,15,NA,User receives recoil damage.,—
167,Draco Meteor,Dragon,NA,130,90,5,NA,Sharply lowers user's Special Attack.,100
168,Dragon Ascent,Flying,NA,120,100,5,NA,Lowers user's Defense and Special Defense.,100
169,Dragon Breath,Dragon,NA,60,100,20,NA,May paralyze opponent.,30
170,Dragon Claw,Dragon,NA,80,100,15,NA,NA,—
171,Dragon Dance,Dragon,NA,—,—,20,NA,Raises user's Attack and Speed.,—
172,Dragon Darts,Dragon,NA,50,100,10,NA,User attacks twice.,—
173,Dragon Energy,Dragon,NA,150,100,5,NA,"The higher the user's HP, the higher the power.",—
174,Dragon Hammer,Dragon,NA,90,100,15,NA,The user uses its body like a hammer to attack the target and inflict damage.,—
175,Dragon Pulse,Dragon,NA,85,100,10,NA,NA,—
176,Dragon Rage,Dragon,NA,—,100,10,NA,Always inflicts 40 HP.,—
177,Dragon Rush,Dragon,NA,100,75,10,NA,May cause flinching.,20
178,Dragon Tail,Dragon,NA,60,90,10,NA,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
179,Drain Punch,Fighting,NA,75,100,10,NA,User recovers half the HP inflicted on opponent.,—
180,Draining Kiss,Fairy,NA,50,100,10,NA,User recovers most the HP inflicted on opponent.,—
181,Dream Eater,Psychic,NA,100,100,15,NA,User recovers half the HP inflicted on a sleeping opponent.,—
182,Drill Peck,Flying,NA,80,100,20,NA,NA,—
183,Drill Run,Ground,NA,80,95,10,NA,High critical hit ratio.,—
184,Drum Beating,Grass,NA,80,100,10,NA,Lowers opponent's Speed.,100
185,Dual Chop,Dragon,NA,40,90,15,NA,Hits twice in one turn.,—
186,Dual Wingbeat,Flying,NA,40,90,10,NA,The user slams the target with its wings. The target is hit twice in a row.,—
187,Dynamax Cannon,Dragon,NA,100,100,5,NA,Damage doubles if opponent is Dynamaxed.,—
188,Dynamic Punch,Fighting,NA,100,50,5,NA,Confuses opponent.,100
189,Earth Power,Ground,NA,90,100,10,NA,May lower opponent's Special Defense.,10
190,Earthquake,Ground,NA,100,100,10,NA,Power is doubled if opponent is underground from using Dig.,—
191,Echoed Voice,Normal,NA,40,100,15,NA,Power increases each turn.,—
192,Eerie Impulse,Electric,NA,—,100,15,NA,Sharply lowers opponent's Special Attack.,—
193,Eerie Spell,Psychic,NA,80,100,5,NA,Deals damage and reduces opponent's PP.,—
194,Egg Bomb,Normal,NA,100,75,10,NA,NA,—
195,Electric Terrain,Electric,NA,—,—,10,NA,Prevents all Pokémon from falling asleep for 5 turns.,—
196,Electrify,Electric,NA,—,—,20,NA,Changes the target's move to Electric type.,—
197,Electro Ball,Electric,NA,—,100,10,NA,"The faster the user, the stronger the attack.",—
198,Electroweb,Electric,NA,55,95,15,NA,Lowers opponent's Speed.,100
199,Embargo,Dark,NA,—,100,15,NA,Opponent cannot use items.,—
200,Ember,Fire,NA,40,100,25,NA,May burn opponent.,10
201,Encore,Normal,NA,—,100,5,NA,Forces opponent to keep using its last move for 3 turns.,—
202,Endeavor,Normal,NA,—,100,5,NA,Reduces opponent's HP to same as user's.,—
203,Endure,Normal,NA,—,—,10,NA,"Always left with at least 1 HP, but may fail if used consecutively.",—
204,Energy Ball,Grass,NA,90,100,10,NA,May lower opponent's Special Defense.,10
205,Entrainment,Normal,NA,—,100,15,NA,Makes target's ability same as user's.,—
206,Eruption,Fire,NA,150,100,5,NA,Stronger when the user's HP is higher.,—
207,Esper Wing,NA,NA,75,90,10,NA,NA,—
208,Eternabeam,Dragon,NA,160,90,5,NA,User can't move on the next turn.,—
209,Expanding Force,Psychic,NA,80,100,10,NA,Increases power and hits all opponents on Psychic Terrain.,—
210,Explosion,Normal,NA,250,100,5,NA,User faints.,—
211,Extrasensory,Psychic,NA,80,100,20,NA,May cause flinching.,10
212,Extreme Evoboost,Normal,NA,—,—,1,NA,Eevee-exclusive Z-Move. Sharply raises all stats.,100
213,Extreme Speed,Normal,NA,80,100,5,NA,User attacks first.,—
214,Facade,Normal,NA,70,100,20,NA,"Power doubles if user is burned, poisoned, or paralyzed.",—
215,Fairy Lock,Fairy,NA,—,—,10,NA,Prevents fleeing in the next turn.,—
216,Fairy Wind,Fairy,NA,40,100,30,NA,NA,—
217,Fake Out,Normal,NA,40,100,10,NA,"User attacks first, foe flinches. Only usable on first turn.",100
218,Fake Tears,Dark,NA,—,100,20,NA,Sharply lowers opponent's Special Defense.,—
219,False Surrender,Dark,NA,80,∞,10,NA,Ignores Accuracy and Evasiveness.,—
220,False Swipe,Normal,NA,40,100,40,NA,Always leaves opponent with at least 1 HP.,—
221,Feather Dance,Flying,NA,—,100,15,NA,Sharply lowers opponent's Attack.,—
222,Feint,Normal,NA,30,100,10,NA,Only hits if opponent uses Protect or Detect in the same turn.,—
223,Feint Attack,Dark,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
224,Fell Stinger,Bug,NA,50,100,25,NA,Drastically raises user's Attack if target is KO'd.,—
225,Fiery Dance,Fire,NA,80,100,10,NA,May raise user's Special Attack.,50
226,Fiery Wrath,Dark,NA,90,100,10,NA,May cause flinching.,20
227,Final Gambit,Fighting,NA,—,100,5,NA,Inflicts damage equal to the user's remaining HP. User faints.,—
228,Fire Blast,Fire,NA,110,85,5,NA,May burn opponent.,10
229,Fire Fang,Fire,NA,65,95,15,NA,May cause flinching and/or burn opponent.,10
230,Fire Lash,Fire,NA,80,100,15,NA,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
231,Fire Pledge,Fire,NA,80,100,10,NA,Added effects appear if combined with Grass Pledge or Water Pledge.,—
232,Fire Punch,Fire,NA,75,100,15,NA,May burn opponent.,10
233,Fire Spin,Fire,NA,35,85,15,NA,"Traps opponent, damaging them for 4-5 turns.",100
234,First Impression,Bug,NA,90,100,10,NA,"Although this move has great power, it only works the first turn the user is in battle.",—
235,Fishious Rend,Water,NA,85,100,10,NA,"If the user attacks before the target, the power of this move is doubled.",—
236,Fissure,Ground,NA,—,30,5,NA,"One-Hit-KO, if it hits.",—
237,Flail,Normal,NA,—,100,15,NA,"The lower the user's HP, the higher the power.",—
238,Flame Burst,Fire,NA,70,100,15,NA,May also injure nearby Pokémon.,—
239,Flame Charge,Fire,NA,50,100,20,NA,Raises user's Speed.,100
240,Flame Wheel,Fire,NA,60,100,25,NA,May burn opponent.,10
241,Flamethrower,Fire,NA,90,100,15,NA,May burn opponent.,10
242,Flare Blitz,Fire,NA,120,100,15,NA,User receives recoil damage. May burn opponent.,10
243,Flash,Normal,NA,—,100,20,NA,Lowers opponent's Accuracy.,—
244,Flash Cannon,Steel,NA,80,100,10,NA,May lower opponent's Special Defense.,10
245,Flatter,Dark,NA,—,100,15,NA,"Confuses opponent, but raises its Special Attack.",—
246,Fleur Cannon,Fairy,NA,130,90,5,NA,Sharply lowers user's Special Attack.,100
247,Fling,Dark,NA,—,100,10,NA,Power depends on held item.,—
248,Flip Turn,Water,NA,60,100,20,NA,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",—
249,Floaty Fall,Flying,NA,90,95,15,NA,May cause flinching.,30
250,Floral Healing,Fairy,NA,—,—,10,NA,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,—
251,Flower Shield,Fairy,NA,—,—,10,NA,Sharply raises Defense of all Grass-type Pokémon on the field.,100
252,Fly,Flying,NA,90,95,15,NA,"Flies up on first turn, attacks on second turn.",—
253,Flying Press,Fighting,NA,100,95,10,NA,Deals Fighting and Flying type damage.,—
254,Focus Blast,Fighting,NA,120,70,5,NA,May lower opponent's Special Defense.,10
255,Focus Energy,Normal,NA,—,—,30,NA,Increases critical hit ratio.,—
256,Focus Punch,Fighting,NA,150,100,20,NA,"If the user is hit before attacking, it flinches instead.",—
257,Follow Me,Normal,NA,—,—,20,NA,"In Double Battle, the user takes all the attacks.",—
258,Force Palm,Fighting,NA,60,100,10,NA,May paralyze opponent.,30
259,Foresight,Normal,NA,—,—,40,NA,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
260,Forest's Curse,Grass,NA,—,100,20,NA,Adds Grass type to opponent.,—
261,Foul Play,Dark,NA,95,100,15,NA,Uses the opponent's Attack stat.,—
262,Freeze Shock,Ice,NA,140,90,5,NA,"Charges on first turn, attacks on second. May paralyze opponent.",30
263,Freeze-Dry,Ice,NA,70,100,20,NA,May freeze opponent. Super-effective against Water types.,10
264,Freezing Glare,Psychic,NA,90,100,10,NA,May freeze opponent.,10
265,Freezy Frost,Ice,NA,90,100,15,NA,Resets all stat changes.,—
266,Frenzy Plant,Grass,NA,150,90,5,NA,User must recharge next turn.,—
267,Frost Breath,Ice,NA,60,90,10,NA,Always results in a critical hit.,100
268,Frustration,Normal,NA,—,100,20,NA,Power decreases with higher Friendship.,—
269,Fury Attack,Normal,NA,15,85,20,NA,Hits 2-5 times in one turn.,—
270,Fury Cutter,Bug,NA,40,95,20,NA,Power increases each turn.,—
271,Fury Swipes,Normal,NA,18,80,15,NA,Hits 2-5 times in one turn.,—
272,Fusion Bolt,Electric,NA,100,100,5,NA,Power increases if Fusion Flare is used in the same turn.,—
273,Fusion Flare,Fire,NA,100,100,5,NA,Power increases if Fusion Bolt is used in the same turn.,—
274,Future Sight,Psychic,NA,120,100,10,NA,Damage occurs 2 turns later.,—
275,G-Max Befuddle,Bug,—,—,∞,5,NA,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100
276,G-Max Cannonade,Water,—,—,∞,10,NA,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,—
277,G-Max Centiferno,Fire,—,—,∞,5,NA,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
278,G-Max Chi Strike,Fighting,—,—,∞,5,NA,Machamp-exclusive G-Max Move. Increases critical hit ratio.,—
279,G-Max Cuddle,Normal,—,—,∞,5,NA,Eevee-exclusive G-Max Move. Infatuates opponents.,100
280,G-Max Depletion,Dragon,—,—,∞,5,NA,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,—
281,G-Max Drum Solo,Grass,—,—,∞,5,NA,Rillaboom-exclusive G-Max Move. Ignores target's ability.,—
282,G-Max Finale,Fairy,—,—,∞,5,NA,Alcremie-exclusive G-Max Move. Heals the user's team.,—
283,G-Max Fireball,Fire,—,—,∞,5,NA,Cinderace-exclusive G-Max Move. Ignores target's ability.,—
284,G-Max Foam Burst,Water,—,—,∞,5,NA,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100
285,G-Max Gold Rush,Normal,—,—,∞,5,NA,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100
286,G-Max Gravitas,Psychic,—,—,∞,5,NA,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,—
287,G-Max Hydrosnipe,Water,—,—,∞,5,NA,Inteleon-exclusive G-Max Move. Ignores target's ability.,—
288,G-Max Malodor,Poison,—,—,∞,5,NA,Garbodor-exclusive G-Max Move. Poisons opponents.,100
289,G-Max Meltdown,Steel,—,—,∞,5,NA,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,—
290,G-Max One Blow,Dark,—,—,∞,5,NA,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,—
291,G-Max Rapid Flow,Water,—,—,∞,5,NA,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,—
292,G-Max Replenish,Normal,—,—,∞,5,NA,Snorlax-exclusive G-Max Move. Recycles Berries.,—
293,G-Max Resonance,Ice,—,—,∞,5,NA,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,—
294,G-Max Sandblast,Ground,—,—,∞,5,NA,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
295,G-Max Smite,Fairy,—,—,∞,5,NA,Hatterene-exclusive G-Max Move. Confuses opponents.,100
296,G-Max Snooze,Dark,—,—,∞,5,NA,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,—
297,G-Max Steelsurge,Steel,—,—,∞,5,NA,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,—
298,G-Max Stonesurge,Water,—,—,∞,5,NA,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,—
299,G-Max Stun Shock,Electric,—,—,∞,10,NA,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
300,G-Max Sweetness,Grass,—,—,∞,10,NA,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,—
301,G-Max Tartness,Grass,—,—,∞,10,NA,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
302,G-Max Terror,Ghost,—,—,∞,10,NA,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,—
303,G-Max Vine Lash,Grass,—,—,∞,10,NA,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,—
304,G-Max Volcalith,Rock,—,—,∞,10,NA,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
305,G-Max Volt Crash,Electric,—,—,∞,10,NA,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
306,G-Max Wildfire,Fire,—,—,∞,10,NA,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
307,G-Max Wind Rage,Flying,—,—,∞,10,NA,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,—
308,Gastro Acid,Poison,NA,—,100,10,NA,Cancels out the effect of the opponent's Ability.,—
309,Gear Grind,Steel,NA,50,85,15,NA,Hits twice in one turn.,—
310,Gear Up,Steel,NA,—,—,20,NA,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,—
311,Genesis Supernova,Psychic,NA,185,—,1,NA,Mew-exclusive Z-Move.,—
