index;NationalPokedexNumber;Name;Species;Variant;Generation;Rarity;Type1;Type2;Total;HP;Attack;Defense;SpAtk;SpDef;Speed;image_url;Vgc2022Rules;MonthlyUsageMarch2022;UsagePercentMarch2022;MonthlyRankMarch2022;id;Label
51;35;Clefairy;Clefairy;;1;Common;Fairy;;323.0;70.0;45.0;48.0;60.0;65.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png;Permitted;25;0;73;Clefairy;Pokemon
52;36;Clefable;Clefable;;1;Common;Fairy;;483.0;95.0;70.0;73.0;95.0;90.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png;Permitted;7;0;180;Clefable;Pokemon
53;37;Vulpix;Vulpix;;1;Common;Fire;;299.0;38.0;41.0;40.0;50.0;65.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png;Permitted;;;;Vulpix;Pokemon
54;37;Alolan Vulpix;Vulpix;Alolan;7;Common;Ice;;299.0;38.0;41.0;40.0;50.0;65.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png;;;;;Alolan Vulpix;Pokemon
55;38;Ninetales;Ninetales;;1;Common;Fire;;505.0;73.0;76.0;75.0;81.0;100.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png;Permitted;;;;Ninetales;Pokemon
56;38;Alolan Ninetales;Ninetales;Alolan;7;Common;Ice;Fairy;505.0;73.0;67.0;75.0;81.0;100.0;109.0;https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png;;16;0;120;Alolan Ninetales;Pokemon
57;39;Jigglypuff;Jigglypuff;;1;Common;Normal;Fairy;270.0;115.0;45.0;20.0;45.0;25.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png;Permitted;;;;Jigglypuff;Pokemon
58;40;Wigglytuff;Wigglytuff;;1;Common;Normal;Fairy;435.0;140.0;70.0;45.0;85.0;50.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png;Permitted;;;;Wigglytuff;Pokemon
59;41;Zubat;Zubat;;1;Common;Poison;Flying;245.0;40.0;45.0;35.0;30.0;40.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png;Permitted;;;;Zubat;Pokemon
60;42;Golbat;Golbat;;1;Common;Poison;Flying;455.0;75.0;80.0;70.0;65.0;75.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png;Permitted;;;;Golbat;Pokemon
61;43;Oddish;Oddish;;1;Common;Grass;Poison;320.0;45.0;50.0;55.0;75.0;65.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png;Permitted;;;;Oddish;Pokemon
62;44;Gloom;Gloom;;1;Common;Grass;Poison;395.0;60.0;65.0;70.0;85.0;75.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png;Permitted;;;;Gloom;Pokemon
63;45;Vileplume;Vileplume;;1;Common;Grass;Poison;490.0;75.0;80.0;85.0;110.0;90.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png;Permitted;;;;Vileplume;Pokemon
64;46;Paras;Paras;;1;Common;Bug;Grass;285.0;35.0;70.0;55.0;45.0;55.0;25.0;https://img.pokemondb.net/sprites/sword-shield/icon/paras.png;;;;;Paras;Pokemon
65;47;Parasect;Parasect;;1;Common;Bug;Grass;405.0;60.0;95.0;80.0;60.0;80.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png;;;;;Parasect;Pokemon
66;48;Venonat;Venonat;;1;Common;Bug;Poison;305.0;60.0;55.0;50.0;40.0;55.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png;;;;;Venonat;Pokemon
67;49;Venomoth;Venomoth;;1;Common;Bug;Poison;450.0;70.0;65.0;60.0;90.0;75.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png;;;;;Venomoth;Pokemon
68;50;Alolan Diglett;Diglett;Alolan;7;Common;Ground;Steel;265.0;10.0;55.0;30.0;35.0;45.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png;;;;;Alolan Diglett;Pokemon
69;50;Diglett;Diglett;;1;Common;Ground;;265.0;10.0;55.0;25.0;35.0;45.0;95.0;https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png;Permitted;;;;Diglett;Pokemon
70;51;Alolan Dugtrio;Dugtrio;Alolan;7;Common;Ground;Steel;425.0;35.0;100.0;60.0;50.0;70.0;110.0;https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png;;;;;Alolan Dugtrio;Pokemon
71;51;Dugtrio;Dugtrio;;1;Common;Ground;;425.0;35.0;100.0;50.0;50.0;70.0;120.0;https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png;Permitted;3;0;212;Dugtrio;Pokemon
72;52;Meowth;Meowth;;1;Common;Normal;;290.0;40.0;45.0;35.0;40.0;40.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png;;;;;Meowth;Pokemon
73;52;Alolan Meowth;Meowth;Alolan;7;Common;Dark;;290.0;40.0;35.0;35.0;50.0;40.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png;;;;;Alolan Meowth;Pokemon
74;52;Galarian Meowth;Meowth;Galarian;8;Common;Steel;;290.0;50.0;65.0;55.0;40.0;40.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png;Permitted;;;;Galarian Meowth;Pokemon
75;52;Meowth Gigantamax;Meowth;Gigantamax;8;;Normal;;;;;;;;;https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png;Gigantamax Allowed;;;;Meowth Gigantamax;Pokemon
76;53;Persian;Persian;;1;Common;Normal;;440.0;65.0;70.0;60.0;65.0;65.0;115.0;https://img.pokemondb.net/sprites/sword-shield/icon/persian.png;Permitted;;;;Persian;Pokemon
77;53;Alolan Persian;Persian;Alolan;7;Common;Dark;;440.0;65.0;60.0;60.0;75.0;65.0;115.0;https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png;;19;0;96;Alolan Persian;Pokemon
78;54;Psyduck;Psyduck;;1;Common;Water;;320.0;50.0;52.0;48.0;65.0;50.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png;Permitted;;;;Psyduck;Pokemon
79;55;Golduck;Golduck;;1;Common;Water;;500.0;80.0;82.0;78.0;95.0;80.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png;Permitted;;;;Golduck;Pokemon
80;56;Mankey;Mankey;;1;Common;Fighting;;305.0;40.0;80.0;35.0;35.0;45.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png;;;;;Mankey;Pokemon
81;57;Primeape;Primeape;;1;Common;Fighting;;455.0;65.0;105.0;60.0;60.0;70.0;95.0;https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png;;;;;Primeape;Pokemon
82;58;Hisuian Growlithe;Growlithe;Hisuian;1;Common;Fire;Rock;350.0;60.0;75.0;45.0;65.0;50.0;55.0;https://img.pokemondb.net/s.png;;;;;Hisuian Growlithe;Pokemon
83;58;Growlithe;Growlithe;;1;Common;Fire;;350.0;55.0;70.0;45.0;70.0;50.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png;Permitted;;;;Growlithe;Pokemon
84;59;Hisuian Arcanine;Arcanine;Hisuian;1;Common;Fire;Rock;555.0;95.0;115.0;80.0;95.0;80.0;90.0;https://img.pokemondb.net/s.png;;;;;Hisuian Arcanine;Pokemon
85;59;Arcanine;Arcanine;;1;Common;Fire;;555.0;90.0;110.0;80.0;100.0;80.0;95.0;https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png;Permitted;23;0;71;Arcanine;Pokemon
86;60;Poliwag;Poliwag;;1;Common;Water;;300.0;40.0;50.0;40.0;40.0;40.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png;Permitted;;;;Poliwag;Pokemon
87;61;Poliwhirl;Poliwhirl;;1;Common;Water;;385.0;65.0;65.0;65.0;50.0;50.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png;Permitted;;;;Poliwhirl;Pokemon
88;62;Poliwrath;Poliwrath;;1;Common;Water;Fighting;510.0;90.0;95.0;95.0;70.0;90.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png;Permitted;;;;Poliwrath;Pokemon
89;63;Abra;Abra;;1;Common;Psychic;;310.0;25.0;20.0;15.0;105.0;55.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/abra.png;Permitted;;;;Abra;Pokemon
90;64;Kadabra;Kadabra;;1;Common;Psychic;;400.0;40.0;35.0;30.0;120.0;70.0;105.0;https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png;Permitted;;;;Kadabra;Pokemon
91;65;Alakazam;Alakazam;;1;Common;Psychic;;500.0;55.0;50.0;45.0;135.0;95.0;120.0;https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png;Permitted;;;;Alakazam;Pokemon
92;65;Mega Alakazam;Alakazam;Mega;6;Common;Psychic;;600.0;55.0;50.0;65.0;175.0;105.0;150.0;https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png;Banned;;;;Mega Alakazam;Pokemon
93;66;Machop;Machop;;1;Common;Fighting;;305.0;70.0;80.0;50.0;35.0;35.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/machop.png;Permitted;;;;Machop;Pokemon
94;67;Machoke;Machoke;;1;Common;Fighting;;405.0;80.0;100.0;70.0;50.0;60.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png;Permitted;;;;Machoke;Pokemon
95;68;Machamp Gigantamax;Machamp;Gigantamax;8;;Fighting;;;;;;;;;https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png;Gigantamax Allowed;;;;Machamp Gigantamax;Pokemon
96;68;Machamp;Machamp;;1;Common;Fighting;;505.0;90.0;130.0;80.0;65.0;85.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png;Permitted;4;0;204;Machamp;Pokemon
97;69;Bellsprout;Bellsprout;;1;Common;Grass;Poison;300.0;50.0;75.0;35.0;70.0;30.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png;;;;;Bellsprout;Pokemon
98;70;Weepinbell;Weepinbell;;1;Common;Grass;Poison;390.0;65.0;90.0;50.0;85.0;45.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png;;;;;Weepinbell;Pokemon
99;71;Victreebel;Victreebel;;1;Common;Grass;Poison;490.0;80.0;105.0;65.0;100.0;70.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png;;;;;Victreebel;Pokemon
100;72;Tentacool;Tentacool;;1;Common;Water;Poison;335.0;40.0;40.0;35.0;50.0;100.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png;Permitted;;;;Tentacool;Pokemon
101;73;Tentacruel;Tentacruel;;1;Common;Water;Poison;515.0;80.0;70.0;65.0;80.0;120.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png;Permitted;;;;Tentacruel;Pokemon
102;74;Geodude;Geodude;;1;Common;Rock;Ground;300.0;40.0;80.0;100.0;30.0;30.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png;;;;;Geodude;Pokemon
103;74;Alolan Geodude;Geodude;Alolan;7;Common;Rock;Electric;300.0;40.0;80.0;100.0;30.0;30.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png;;;;;Alolan Geodude;Pokemon
104;75;Graveler;Graveler;;1;Common;Rock;Ground;390.0;55.0;95.0;115.0;45.0;45.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png;;;;;Graveler;Pokemon
105;75;Alolan Graveler;Graveler;Alolan;7;Common;Rock;Electric;390.0;55.0;95.0;115.0;45.0;45.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png;;;;;Alolan Graveler;Pokemon
106;76;Golem;Golem;;1;Common;Rock;Ground;495.0;80.0;120.0;130.0;55.0;65.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/golem.png;;;;;Golem;Pokemon
107;76;Alolan Golem;Golem;Alolan;7;Common;Rock;Electric;495.0;80.0;120.0;130.0;55.0;65.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png;;;;;Alolan Golem;Pokemon
108;77;Ponyta;Ponyta;;1;Common;Fire;;410.0;50.0;85.0;55.0;65.0;65.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png;Permitted;;;;Ponyta;Pokemon
109;77;Galarian Ponyta;Ponyta;Galarian;8;Common;Psychic;;410.0;50.0;85.0;55.0;65.0;65.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png;Permitted;;;;Galarian Ponyta;Pokemon
110;78;Rapidash;Rapidash;;1;Common;Fire;;500.0;65.0;100.0;70.0;80.0;80.0;105.0;https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png;Permitted;;;;Rapidash;Pokemon
111;78;Galarian Rapidash;Rapidash;Galarian;8;Common;Psychic;Fairy;500.0;65.0;100.0;70.0;80.0;80.0;105.0;https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png;Permitted;;;;Galarian Rapidash;Pokemon
112;79;Galarian Slowpoke;Slowpoke;Galarian;8;Common;Psychic;;315.0;90.0;65.0;65.0;40.0;40.0;15.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png;Permitted;;;;Galarian Slowpoke;Pokemon
113;79;Slowpoke;Slowpoke;;1;Common;Water;Psychic;315.0;90.0;65.0;65.0;40.0;40.0;15.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png;;;;;Slowpoke;Pokemon
114;80;Mega Slowbro;Slowbro;Mega;6;Common;Water;Psychic;590.0;95.0;75.0;180.0;130.0;80.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png;Banned;;;;Mega Slowbro;Pokemon
115;80;Galarian Slowbro;Slowbro;Galarian;8;Common;Poison;Psychic;490.0;95.0;100.0;95.0;100.0;70.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png;Permitted;;;;Galarian Slowbro;Pokemon
116;80;Slowbro;Slowbro;;1;Common;Water;Psychic;490.0;95.0;75.0;110.0;100.0;80.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png;;4;0;122;Slowbro;Pokemon
117;81;Magnemite;Magnemite;;1;Common;Electric;Steel;325.0;25.0;35.0;70.0;95.0;55.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png;Permitted;;;;Magnemite;Pokemon
118;82;Magneton;Magneton;;1;Common;Electric;Steel;465.0;50.0;60.0;95.0;120.0;70.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png;Permitted;;;;Magneton;Pokemon
119;83;Farfetch'd;Farfetch'd;;1;Common;Normal;Flying;377.0;52.0;90.0;55.0;58.0;62.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png;Permitted;;;;Farfetch'd;Pokemon
120;83;Galarian Farfetch'd;Farfetch'd;Galarian;8;Common;Fighting;;377.0;52.0;95.0;55.0;58.0;62.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png;;;;;Galarian Farfetch'd;Pokemon
121;84;Doduo;Doduo;;1;Common;Normal;Flying;310.0;35.0;85.0;45.0;35.0;35.0;75.0;https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png;;;;;Doduo;Pokemon
122;85;Dodrio;Dodrio;;1;Common;Normal;Flying;470.0;60.0;110.0;70.0;60.0;60.0;110.0;https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png;;;;;Dodrio;Pokemon
123;86;Seel;Seel;;1;Common;Water;;325.0;65.0;45.0;55.0;45.0;70.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/seel.png;;;;;Seel;Pokemon
