index;Name;IntroductedIn;Type;Power;Acc;PP;DamageClass;Effect;ProbPercentage;id;Label
32;Aurora Beam;1;Ice;65.0;100;20.0;Special;May lower opponent's Attack.;10.0;Aurora Beam;Move
33;Aurora Veil;7;Ice;;;20.0;Status;Halves damage from Physical and Special attacks for five turns.;;Aurora Veil;Move
34;Autotomize;5;Steel;;;15.0;Status;Reduces weight and sharply raises Speed.;;Autotomize;Move
35;Avalanche;4;Ice;60.0;100;10.0;Physical;Power doubles if user took damage first.;;Avalanche;Move
36;Baby Doll Eyes;6;Fairy;;100;30.0;Status;Always goes first. Lowers the target's attack.;;Baby Doll Eyes;Move
37;Baddy Bad;7;Dark;90.0;100;15.0;Special;Reduces damage from Physical attacks.;;Baddy Bad;Move
38;Baneful Bunker;7;Poison;;;10.0;Status;Protects the user and poisons opponent on contact.;;Baneful Bunker;Move
39;Barrage;1;Normal;15.0;85;20.0;Physical;Hits 2-5 times in one turn.;;Barrage;Move
40;Barrier;1;Psychic;;;20.0;Status;Sharply raises user's Defense.;;Barrier;Move
41;Baton Pass;2;Normal;;;40.0;Status;User switches out and gives stat changes to the incoming Pokémon.;;Baton Pass;Move
42;Beak Blast;7;Flying;100.0;100;15.0;Physical;The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.;;Beak Blast;Move
43;Beat Up;2;Dark;;100;10.0;Physical;Each Pokémon in user's party attacks.;;Beat Up;Move
44;Behemoth Bash;8;Steel;100.0;100;5.0;Physical;Damage doubles if target is Dynamaxed.;;Behemoth Bash;Move
45;Behemoth Blade;8;Steel;100.0;100;5.0;Physical;Damage doubles if target is Dynamaxed.;;Behemoth Blade;Move
46;Belch;6;Poison;120.0;90;10.0;Special;User must have consumed a Berry.;;Belch;Move
47;Belly Drum;2;Normal;;;10.0;Status;User loses 50% of its max HP, but Attack raises to maximum.;;Belly Drum;Move
48;Bestow;5;Normal;;;15.0;Status;Gives the user's held item to the target.;;Bestow;Move
49;Bide;1;Normal;;;10.0;Physical;User takes damage for two turns then strikes back double.;;Bide;Move
50;Bind;1;Normal;15.0;85;20.0;Physical;Traps opponent, damaging them for 4-5 turns.;100.0;Bind;Move
51;Bite;1;Dark;60.0;100;25.0;Physical;May cause flinching.;30.0;Bite;Move
52;Blast Burn;3;Fire;150.0;90;5.0;Special;User must recharge next turn.;;Blast Burn;Move
53;Blaze Kick;3;Fire;85.0;90;10.0;Physical;High critical hit ratio. May burn opponent.;10.0;Blaze Kick;Move
54;Blizzard;1;Ice;110.0;70;5.0;Special;May freeze opponent.;10.0;Blizzard;Move
55;Block;3;Normal;;;5.0;Status;Opponent cannot flee or switch.;;Block;Move
56;Blue Flare;5;Fire;130.0;85;5.0;Special;May burn opponent.;20.0;Blue Flare;Move
57;Body Press;8;Fighting;80.0;100;10.0;Physical;The higher the user's Defense, the stronger the attack.;;Body Press;Move
58;Body Slam;1;Normal;85.0;100;15.0;Physical;May paralyze opponent.;30.0;Body Slam;Move
59;Bolt Beak;8;Electric;85.0;100;10.0;Physical;If the user attacks before the target, the power of this move is doubled.;;Bolt Beak;Move
60;Bolt Strike;5;Electric;130.0;85;5.0;Physical;May paralyze opponent.;20.0;Bolt Strike;Move
61;Bone Club;1;Ground;65.0;85;20.0;Physical;May cause flinching.;10.0;Bone Club;Move
62;Bone Rush;2;Ground;25.0;90;10.0;Physical;Hits 2-5 times in one turn.;;Bone Rush;Move
63;Bonemerang;1;Ground;50.0;90;10.0;Physical;Hits twice in one turn.;;Bonemerang;Move
64;Boomburst;6;Normal;140.0;100;10.0;Special;Hits all adjacent Pokémon.;;Boomburst;Move
65;Bounce;3;Flying;85.0;85;5.0;Physical;Springs up on first turn, attacks on second. May paralyze opponent.;30.0;Bounce;Move
66;Bouncy Bubble;7;Water;90.0;100;15.0;Special;User recovers half the HP inflicted on opponent.;;Bouncy Bubble;Move
67;Branch Poke;8;Grass;40.0;100;40.0;Physical;;;Branch Poke;Move
68;Brave Bird;4;Flying;120.0;100;15.0;Physical;User receives recoil damage.;;Brave Bird;Move
69;Breaking Swipe;8;Dragon;60.0;100;15.0;Physical;Hits multiple opponents and lowers their attack.;100.0;Breaking Swipe;Move
70;Brick Break;3;Fighting;75.0;100;15.0;Physical;Breaks through Reflect and Light Screen barriers.;;Brick Break;Move
71;Brine;4;Water;65.0;100;10.0;Special;Power doubles if opponent's HP is less than 50%.;;Brine;Move
72;Brutal Swing;7;Dark;60.0;100;20.0;Physical;The user swings its body around violently to inflict damage on everything in its vicinity.;;Brutal Swing;Move
73;Bubble;1;Water;40.0;100;30.0;Special;May lower opponent's Speed.;10.0;Bubble;Move
74;Bubble Beam;1;Water;65.0;100;20.0;Special;May lower opponent's Speed.;10.0;Bubble Beam;Move
75;Bug Bite;4;Bug;60.0;100;20.0;Physical;Receives the effect from the opponent's held berry.;;Bug Bite;Move
76;Bug Buzz;4;Bug;90.0;100;10.0;Special;May lower opponent's Special Defense.;10.0;Bug Buzz;Move
77;Bulk Up;3;Fighting;;;20.0;Status;Raises user's Attack and Defense.;;Bulk Up;Move
78;Bulldoze;5;Ground;60.0;100;20.0;Physical;Lowers opponent's Speed.;100.0;Bulldoze;Move
79;Bullet Punch;4;Steel;40.0;100;30.0;Physical;User attacks first.;;Bullet Punch;Move
80;Bullet Seed;3;Grass;25.0;100;30.0;Physical;Hits 2-5 times in one turn.;;Bullet Seed;Move
81;Burn Up;7;Fire;130.0;100;5.0;Special;To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.;;Burn Up;Move
82;Burning Jealousy;8;Fire;70.0;100;5.0;Special;Hits all opponents, and burns any that have had their stats boosted.;;Burning Jealousy;Move
83;Buzzy Buzz;7;Electric;90.0;100;15.0;Special;Paralyzes the opponent.;100.0;Buzzy Buzz;Move
84;Calm Mind;3;Psychic;;;20.0;Status;Raises user's Special Attack and Special Defense.;;Calm Mind;Move
85;Camouflage;3;Normal;;;20.0;Status;Changes user's type according to the location.;;Camouflage;Move
86;Captivate;4;Normal;;100;20.0;Status;Sharply lowers opponent's Special Attack if opposite gender.;;Captivate;Move
87;Catastropika;7;Electric;210.0;;1.0;Physical;Pikachu-exclusive Z-Move.;;Catastropika;Move
88;Celebrate;6;Normal;;;40.0;Status;The Pokémon congratulates you on your special day. No battle effect.;;Celebrate;Move
89;Charge;3;Electric;;;20.0;Status;Raises user's Special Defense and next Electric move's power increases.;;Charge;Move
90;Charge Beam;4;Electric;50.0;90;10.0;Special;May raise user's Special Attack.;70.0;Charge Beam;Move
91;Charm;2;Fairy;;100;20.0;Status;Sharply lowers opponent's Attack.;;Charm;Move
92;Chatter;4;Flying;65.0;100;20.0;Special;Confuses opponent.;100.0;Chatter;Move
93;Chip Away;5;Normal;70.0;100;20.0;Physical;Ignores opponent's stat changes.;;Chip Away;Move
94;Circle Throw;5;Fighting;60.0;90;10.0;Physical;In battles, the opponent switches. In the wild, the Pokémon runs.;;Circle Throw;Move
95;Clamp;1;Water;35.0;85;15.0;Physical;Traps opponent, damaging them for 4-5 turns.;100.0;Clamp;Move
96;Clanging Scales;7;Dragon;110.0;100;5.0;Special;Lowers user's Defense.;100.0;Clanging Scales;Move
97;Clangorous Soul;8;Dragon;;100;5.0;Status;Raises all user's stats but loses HP.;100.0;Clangorous Soul;Move
98;Clangorous Soulblaze;7;Dragon;185.0;;1.0;Special;Kommo-o exclusive Z-Move.;;Clangorous Soulblaze;Move
99;Clear Smog;5;Poison;50.0;;15.0;Special;Removes all of the target's stat changes.;;Clear Smog;Move
100;Close Combat;4;Fighting;120.0;100;5.0;Physical;Lowers user's Defense and Special Defense.;100.0;Close Combat;Move
101;Coaching;8;Fighting;;;10.0;Status;Boosts Attack and Defense of a teammate.;;Coaching;Move
102;Coil;5;Poison;;;20.0;Status;Raises user's Attack, Defense and Accuracy.;;Coil;Move
103;Comet Punch;1;Normal;18.0;85;15.0;Physical;Hits 2-5 times in one turn.;;Comet Punch;Move
104;Confide;6;Normal;;;20.0;Status;Lowers opponent's Special Attack.;100.0;Confide;Move
105;Confuse Ray;1;Ghost;;100;10.0;Status;Confuses opponent.;;Confuse Ray;Move
106;Confusion;1;Psychic;50.0;100;25.0;Special;May confuse opponent.;10.0;Confusion;Move
107;Constrict;1;Normal;10.0;100;35.0;Physical;May lower opponent's Speed by one stage.;10.0;Constrict;Move
108;Conversion;1;Normal;;;30.0;Status;Changes user's type to that of its first move.;;Conversion;Move
109;Conversion 2;2;Normal;;;30.0;Status;User changes type to become resistant to opponent's last move.;;Conversion 2;Move
110;Copycat;4;Normal;;;20.0;Status;Copies opponent's last move.;;Copycat;Move
111;Core Enforcer;7;Dragon;100.0;100;10.0;Special;Suppresses the target's ability if the target has already moved.;;Core Enforcer;Move
112;Corrosive Gas;8;Poison;;100;40.0;Status;Removes opponent's items.;;Corrosive Gas;Move
113;Cosmic Power;3;Psychic;;;20.0;Status;Raises user's Defense and Special Defense.;;Cosmic Power;Move
114;Cotton Guard;5;Grass;;;10.0;Status;Drastically raises user's Defense.;;Cotton Guard;Move
115;Cotton Spore;2;Grass;;100;40.0;Status;Sharply lowers opponent's Speed.;;Cotton Spore;Move
116;Counter;1;Fighting;;100;20.0;Physical;When hit by a Physical Attack, user strikes back with 2x power.;;Counter;Move
117;Court Change;8;Normal;;100;10.0;Status;Swaps the effects on either side of the field.;;Court Change;Move
118;Covet;3;Normal;60.0;100;25.0;Physical;Opponent's item is stolen by the user.;;Covet;Move
119;Crabhammer;1;Water;100.0;90;10.0;Physical;High critical hit ratio.;;Crabhammer;Move
120;Crafty Shield;6;Fairy;;;10.0;Status;Protects the Pokémon from status moves.;;Crafty Shield;Move
121;Cross Chop;2;Fighting;100.0;80;5.0;Physical;High critical hit ratio.;;Cross Chop;Move
122;Cross Poison;4;Poison;70.0;100;20.0;Physical;High critical hit ratio. May poison opponent.;10.0;Cross Poison;Move
123;Crunch;2;Dark;80.0;100;15.0;Physical;May lower opponent's Defense.;20.0;Crunch;Move
124;Crush Claw;3;Normal;75.0;95;10.0;Physical;May lower opponent's Defense.;50.0;Crush Claw;Move
125;Crush Grip;4;Normal;;100;5.0;Physical;More powerful when opponent has higher HP.;;Crush Grip;Move
126;Curse;2;Ghost;;;10.0;Status;"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.";;Curse;Move
127;Cut;1;Normal;50.0;95;30.0;Physical;;;Cut;Move
128;Dark Pulse;4;Dark;80.0;100;15.0;Special;May cause flinching.;20.0;Dark Pulse;Move
129;Dark Void;4;Dark;;50;10.0;Status;Puts all adjacent opponents to sleep.;;Dark Void;Move
130;Darkest Lariat;7;Dark;85.0;100;10.0;Physical;Ignores opponent's stat changes.;;Darkest Lariat;Move
131;Dazzling Gleam;6;Fairy;80.0;100;10.0;Special;Hits all adjacent opponents.;;Dazzling Gleam;Move
132;Decorate;8;Fairy;;;15.0;Status;Sharply raises target's Attack and Special Attack.;100.0;Decorate;Move
133;Defend Order;4;Bug;;;10.0;Status;Raises user's Defense and Special Defense.;;Defend Order;Move
134;Defense Curl;1;Normal;;;40.0;Status;Raises user's Defense.;;Defense Curl;Move
135;Defog;4;Flying;;;15.0;Status;Lowers opponent's Evasiveness and clears fog.;;Defog;Move
136;Destiny Bond;2;Ghost;;;5.0;Status;If the user faints, the opponent also faints.;;Destiny Bond;Move
137;Detect;2;Fighting;;;5.0;Status;Protects the user, but may fail if used consecutively.;;Detect;Move
138;Diamond Storm;6;Rock;100.0;95;5.0;Physical;May sharply raise user's Defense.;50.0;Diamond Storm;Move
139;Dig;1;Ground;80.0;100;10.0;Physical;Digs underground on first turn, attacks on second. Can also escape from caves.;;Dig;Move
140;Disable;1;Normal;;100;20.0;Status;Opponent can't use its last attack for a few turns.;;Disable;Move
141;Disarming Voice;6;Fairy;40.0;∞;15.0;Special;Ignores Accuracy and Evasiveness.;;Disarming Voice;Move
142;Discharge;4;Electric;80.0;100;15.0;Special;May paralyze opponent.;30.0;Discharge;Move
143;Dive;3;Water;80.0;100;10.0;Physical;Dives underwater on first turn, attacks on second turn.;;Dive;Move
144;Dizzy Punch;1;Normal;70.0;100;10.0;Physical;May confuse opponent.;20.0;Dizzy Punch;Move
145;Doom Desire;3;Steel;140.0;100;5.0;Special;Damage occurs 2 turns later.;;Doom Desire;Move
146;Double Edge;1;Normal;120.0;100;15.0;Physical;User receives recoil damage.;;Double Edge;Move
147;Double Hit;4;Normal;35.0;90;10.0;Physical;Hits twice in one turn.;;Double Hit;Move
148;Double Iron Bash;7;Steel;60.0;100;5.0;Physical;"Hits twice in one turn; may cause flinching.";30.0;Double Iron Bash;Move
149;Double Kick;1;Fighting;30.0;100;30.0;Physical;Hits twice in one turn.;;Double Kick;Move
150;Double Slap;1;Normal;15.0;85;10.0;Physical;Hits 2-5 times in one turn.;;Double Slap;Move
151;Double Team;1;Normal;;;15.0;Status;Raises user's Evasiveness.;;Double Team;Move
152;Draco Meteor;4;Dragon;130.0;90;5.0;Special;Sharply lowers user's Special Attack.;100.0;Draco Meteor;Move
153;Dragon Ascent;6;Flying;120.0;100;5.0;Physical;Lowers user's Defense and Special Defense.;100.0;Dragon Ascent;Move
154;Dragon Breath;2;Dragon;60.0;100;20.0;Special;May paralyze opponent.;30.0;Dragon Breath;Move
155;Dragon Claw;3;Dragon;80.0;100;15.0;Physical;;;Dragon Claw;Move
156;Dragon Dance;3;Dragon;;;20.0;Status;Raises user's Attack and Speed.;;Dragon Dance;Move
157;Dragon Darts;8;Dragon;50.0;100;10.0;Physical;User attacks twice.;;Dragon Darts;Move
158;Dragon Energy;8;Dragon;150.0;100;5.0;Special;The higher the user's HP, the higher the power.;;Dragon Energy;Move
159;Dragon Hammer;7;Dragon;90.0;100;15.0;Physical;The user uses its body like a hammer to attack the target and inflict damage.;;Dragon Hammer;Move
160;Dragon Pulse;4;Dragon;85.0;100;10.0;Special;;;Dragon Pulse;Move
161;Dragon Rage;1;Dragon;;100;10.0;Special;Always inflicts 40 HP.;;Dragon Rage;Move
162;Dragon Rush;4;Dragon;100.0;75;10.0;Physical;May cause flinching.;20.0;Dragon Rush;Move
163;Dragon Tail;5;Dragon;60.0;90;10.0;Physical;In battles, the opponent switches. In the wild, the Pokémon runs.;;Dragon Tail;Move
164;Drain Punch;4;Fighting;75.0;100;10.0;Physical;User recovers half the HP inflicted on opponent.;;Drain Punch;Move
165;Draining Kiss;6;Fairy;50.0;100;10.0;Special;User recovers most the HP inflicted on opponent.;;Draining Kiss;Move
166;Dream Eater;1;Psychic;100.0;100;15.0;Special;User recovers half the HP inflicted on a sleeping opponent.;;Dream Eater;Move
167;Drill Peck;1;Flying;80.0;100;20.0;Physical;;;Drill Peck;Move
168;Drill Run;5;Ground;80.0;95;10.0;Physical;High critical hit ratio.;;Drill Run;Move
169;Drum Beating;8;Grass;80.0;100;10.0;Physical;Lowers opponent's Speed.;100.0;Drum Beating;Move
170;Dual Chop;5;Dragon;40.0;90;15.0;Physical;Hits twice in one turn.;;Dual Chop;Move
171;Dual Wingbeat;8;Flying;40.0;90;10.0;Physical;The user slams the target with its wings. The target is hit twice in a row.;;Dual Wingbeat;Move
172;Dynamax Cannon;8;Dragon;100.0;100;5.0;Special;Damage doubles if opponent is Dynamaxed.;;Dynamax Cannon;Move
173;Dynamic Punch;2;Fighting;100.0;50;5.0;Physical;Confuses opponent.;100.0;Dynamic Punch;Move
174;Earth Power;4;Ground;90.0;100;10.0;Special;May lower opponent's Special Defense.;10.0;Earth Power;Move
175;Earthquake;1;Ground;100.0;100;10.0;Physical;Power is doubled if opponent is underground from using Dig.;;Earthquake;Move
176;Echoed Voice;5;Normal;40.0;100;15.0;Special;Power increases each turn.;;Echoed Voice;Move
177;Eerie Impulse;6;Electric;;100;15.0;Status;Sharply lowers opponent's Special Attack.;;Eerie Impulse;Move
178;Eerie Spell;8;Psychic;80.0;100;5.0;Special;Deals damage and reduces opponent's PP.;;Eerie Spell;Move
179;Egg Bomb;1;Normal;100.0;75;10.0;Physical;;;Egg Bomb;Move
180;Electric Terrain;6;Electric;;;10.0;Status;Prevents all Pokémon from falling asleep for 5 turns.;;Electric Terrain;Move
181;Electrify;6;Electric;;;20.0;Status;Changes the target's move to Electric type.;;Electrify;Move
182;Electro Ball;5;Electric;;100;10.0;Special;The faster the user, the stronger the attack.;;Electro Ball;Move
183;Electroweb;5;Electric;55.0;95;15.0;Special;Lowers opponent's Speed.;100.0;Electroweb;Move
184;Embargo;4;Dark;;100;15.0;Status;Opponent cannot use items.;;Embargo;Move
185;Ember;1;Fire;40.0;100;25.0;Special;May burn opponent.;10.0;Ember;Move
186;Encore;2;Normal;;100;5.0;Status;Forces opponent to keep using its last move for 3 turns.;;Encore;Move
187;Endeavor;3;Normal;;100;5.0;Physical;Reduces opponent's HP to same as user's.;;Endeavor;Move
188;Endure;2;Normal;;;10.0;Status;Always left with at least 1 HP, but may fail if used consecutively.;;Endure;Move
189;Energy Ball;4;Grass;90.0;100;10.0;Special;May lower opponent's Special Defense.;10.0;Energy Ball;Move
190;Entrainment;5;Normal;;100;15.0;Status;Makes target's ability same as user's.;;Entrainment;Move
191;Eruption;3;Fire;150.0;100;5.0;Special;Stronger when the user's HP is higher.;;Eruption;Move
192;Eternabeam;8;Dragon;160.0;90;5.0;Special;User can't move on the next turn.;;Eternabeam;Move
193;Expanding Force;8;Psychic;80.0;100;10.0;Special;Increases power and hits all opponents on Psychic Terrain.;;Expanding Force;Move
194;Explosion;1;Normal;250.0;100;5.0;Physical;User faints.;;Explosion;Move
195;Extrasensory;3;Psychic;80.0;100;20.0;Special;May cause flinching.;10.0;Extrasensory;Move
196;Extreme Evoboost;7;Normal;;;1.0;Status;Eevee-exclusive Z-Move. Sharply raises all stats.;100.0;Extreme Evoboost;Move
197;Extreme Speed;2;Normal;80.0;100;5.0;Physical;User attacks first.;;Extreme Speed;Move
198;Facade;3;Normal;70.0;100;20.0;Physical;Power doubles if user is burned, poisoned, or paralyzed.;;Facade;Move
199;Fairy Lock;6;Fairy;;;10.0;Status;Prevents fleeing in the next turn.;;Fairy Lock;Move
200;Fairy Wind;6;Fairy;40.0;100;30.0;Special;;;Fairy Wind;Move
201;Fake Out;3;Normal;40.0;100;10.0;Physical;User attacks first, foe flinches. Only usable on first turn.;100.0;Fake Out;Move
202;Fake Tears;3;Dark;;100;20.0;Status;Sharply lowers opponent's Special Defense.;;Fake Tears;Move
203;False Surrender;8;Dark;80.0;∞;10.0;Physical;Ignores Accuracy and Evasiveness.;;False Surrender;Move
204;False Swipe;2;Normal;40.0;100;40.0;Physical;Always leaves opponent with at least 1 HP.;;False Swipe;Move
205;Feather Dance;3;Flying;;100;15.0;Status;Sharply lowers opponent's Attack.;;Feather Dance;Move
206;Feint;4;Normal;30.0;100;10.0;Physical;Only hits if opponent uses Protect or Detect in the same turn.;;Feint;Move
207;Feint Attack;2;Dark;60.0;∞;20.0;Physical;Ignores Accuracy and Evasiveness.;;Feint Attack;Move
208;Fell Stinger;6;Bug;50.0;100;25.0;Physical;Drastically raises user's Attack if target is KO'd.;;Fell Stinger;Move
209;Fiery Dance;5;Fire;80.0;100;10.0;Special;May raise user's Special Attack.;50.0;Fiery Dance;Move
210;Fiery Wrath;8;Dark;90.0;100;10.0;Special;May cause flinching.;20.0;Fiery Wrath;Move
211;Final Gambit;5;Fighting;;100;5.0;Special;Inflicts damage equal to the user's remaining HP. User faints.;;Final Gambit;Move
212;Fire Blast;1;Fire;110.0;85;5.0;Special;May burn opponent.;10.0;Fire Blast;Move
213;Fire Fang;4;Fire;65.0;95;15.0;Physical;May cause flinching and/or burn opponent.;10.0;Fire Fang;Move
214;Fire Lash;7;Fire;80.0;100;15.0;Physical;The user strikes the target with a burning lash. This also lowers the target's Defense stat.;100.0;Fire Lash;Move
215;Fire Pledge;5;Fire;80.0;100;10.0;Special;Added effects appear if combined with Grass Pledge or Water Pledge.;;Fire Pledge;Move
216;Fire Punch;1;Fire;75.0;100;15.0;Physical;May burn opponent.;10.0;Fire Punch;Move
217;Fire Spin;1;Fire;35.0;85;15.0;Special;Traps opponent, damaging them for 4-5 turns.;100.0;Fire Spin;Move
218;First Impression;7;Bug;90.0;100;10.0;Physical;Although this move has great power, it only works the first turn the user is in battle.;;First Impression;Move
219;Fishious Rend;8;Water;85.0;100;10.0;Physical;If the user attacks before the target, the power of this move is doubled.;;Fishious Rend;Move
220;Fissure;1;Ground;;30;5.0;Physical;One-Hit-KO, if it hits.;;Fissure;Move
221;Flail;2;Normal;;100;15.0;Physical;The lower the user's HP, the higher the power.;;Flail;Move
222;Flame Burst;5;Fire;70.0;100;15.0;Special;May also injure nearby Pokémon.;;Flame Burst;Move
223;Flame Charge;5;Fire;50.0;100;20.0;Physical;Raises user's Speed.;100.0;Flame Charge;Move
224;Flame Wheel;2;Fire;60.0;100;25.0;Physical;May burn opponent.;10.0;Flame Wheel;Move
225;Flamethrower;1;Fire;90.0;100;15.0;Special;May burn opponent.;10.0;Flamethrower;Move
226;Flare Blitz;4;Fire;120.0;100;15.0;Physical;User receives recoil damage. May burn opponent.;10.0;Flare Blitz;Move
227;Flash;1;Normal;;100;20.0;Status;Lowers opponent's Accuracy.;;Flash;Move
228;Flash Cannon;4;Steel;80.0;100;10.0;Special;May lower opponent's Special Defense.;10.0;Flash Cannon;Move
229;Flatter;3;Dark;;100;15.0;Status;Confuses opponent, but raises its Special Attack.;;Flatter;Move
230;Fleur Cannon;7;Fairy;130.0;90;5.0;Special;Sharply lowers user's Special Attack.;100.0;Fleur Cannon;Move
231;Fling;4;Dark;;100;10.0;Physical;Power depends on held item.;;Fling;Move
232;Flip Turn;8;Water;60.0;100;20.0;Physical;After making its attack, the user rushes back to switch places with a party Pokémon in waiting.;;Flip Turn;Move
233;Floaty Fall;7;Flying;90.0;95;15.0;Physical;May cause flinching.;30.0;Floaty Fall;Move
234;Floral Healing;7;Fairy;;;10.0;Status;The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.;;Floral Healing;Move
235;Flower Shield;6;Fairy;;;10.0;Status;Sharply raises Defense of all Grass-type Pokémon on the field.;100.0;Flower Shield;Move
236;Fly;1;Flying;90.0;95;15.0;Physical;Flies up on first turn, attacks on second turn.;;Fly;Move
237;Flying Press;6;Fighting;100.0;95;10.0;Physical;Deals Fighting and Flying type damage.;;Flying Press;Move
238;Focus Blast;4;Fighting;120.0;70;5.0;Special;May lower opponent's Special Defense.;10.0;Focus Blast;Move
239;Focus Energy;1;Normal;;;30.0;Status;Increases critical hit ratio.;;Focus Energy;Move
240;Focus Punch;3;Fighting;150.0;100;20.0;Physical;If the user is hit before attacking, it flinches instead.;;Focus Punch;Move
241;Follow Me;3;Normal;;;20.0;Status;In Double Battle, the user takes all the attacks.;;Follow Me;Move
242;Force Palm;4;Fighting;60.0;100;10.0;Physical;May paralyze opponent.;30.0;Force Palm;Move
243;Foresight;2;Normal;;;40.0;Status;Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.;;Foresight;Move
244;Forest'S Curse;6;Grass;;100;20.0;Status;Adds Grass type to opponent.;;Forest'S Curse;Move
245;Foul Play;5;Dark;95.0;100;15.0;Physical;Uses the opponent's Attack stat.;;Foul Play;Move
246;Freeze Dry;6;Ice;70.0;100;20.0;Special;May freeze opponent. Super-effective against Water types.;10.0;Freeze Dry;Move
247;Freeze Shock;5;Ice;140.0;90;5.0;Physical;Charges on first turn, attacks on second. May paralyze opponent.;30.0;Freeze Shock;Move
248;Freezing Glare;8;Psychic;90.0;100;10.0;Special;May freeze opponent.;10.0;Freezing Glare;Move
249;Freezy Frost;7;Ice;90.0;100;15.0;Special;Resets all stat changes.;;Freezy Frost;Move
250;Frenzy Plant;3;Grass;150.0;90;5.0;Special;User must recharge next turn.;;Frenzy Plant;Move
251;Frost Breath;5;Ice;60.0;90;10.0;Special;Always results in a critical hit.;100.0;Frost Breath;Move
252;Frustration;2;Normal;;100;20.0;Physical;Power decreases with higher Friendship.;;Frustration;Move
253;Fury Attack;1;Normal;15.0;85;20.0;Physical;Hits 2-5 times in one turn.;;Fury Attack;Move
254;Fury Cutter;2;Bug;40.0;95;20.0;Physical;Power increases each turn.;;Fury Cutter;Move
