index;Name;Generation;Description;id;Label
88;Hydration;4;Heals status problems if it is raining.;Hydration;Ability
89;Hyper Cutter;3;Prevents other Pokémon from lowering Attack stat.;Hyper Cutter;Ability
90;Ice Body;4;The Pokémon gradually regains HP in a hailstorm.;Ice Body;Ability
91;Ice Face;8;Avoids damage from Physical moves for one turn.;Ice Face;Ability
92;Ice Scales;8;Halves damage from Special moves.;Ice Scales;Ability
93;Illuminate;3;Raises the likelihood of meeting wild Pokémon.;Illuminate;Ability
94;Illusion;5;Enters battle disguised as the last Pokémon in the party.;Illusion;Ability
95;Immunity;3;Prevents the Pokémon from getting poisoned.;Immunity;Ability
96;Imposter;5;It transforms itself into the Pokémon it is facing.;Imposter;Ability
97;Infiltrator;5;Passes through the foe's barrier and strikes.;Infiltrator;Ability
98;Innards Out;7;Deals damage upon fainting.;Innards Out;Ability
99;Inner Focus;3;The Pokémon is protected from flinching.;Inner Focus;Ability
100;Insomnia;3;Prevents the Pokémon from falling asleep.;Insomnia;Ability
101;Intimidate;3;Lowers the foe's Attack stat.;Intimidate;Ability
102;Intrepid Sword;8;Boosts Attack in battle.;Intrepid Sword;Ability
103;Iron Barbs;5;Inflicts damage to the Pokémon on contact.;Iron Barbs;Ability
104;Iron Fist;4;Boosts the power of punching moves.;Iron Fist;Ability
105;Justified;5;Raises Attack when hit by a Dark-type move.;Justified;Ability
106;Keen Eye;3;Prevents other Pokémon from lowering accuracy.;Keen Eye;Ability
107;Klutz;4;The Pokémon can't use any held items.;Klutz;Ability
108;Leaf Guard;4;Prevents problems with status in sunny weather.;Leaf Guard;Ability
109;Levitate;3;Gives immunity to Ground type moves.;Levitate;Ability
110;Libero;8;Changes the Pokémon's type to its last used move.;Libero;Ability
111;Light Metal;5;Halves the Pokémon's weight.;Light Metal;Ability
112;Lightning Rod;3;Draws in all Electric-type moves to up Sp. Attack.;Lightning Rod;Ability
113;Limber;3;The Pokémon is protected from paralysis.;Limber;Ability
114;Liquid Ooze;3;Damages attackers using any draining move.;Liquid Ooze;Ability
115;Liquid Voice;7;All sound-based moves become Water-type moves.;Liquid Voice;Ability
116;Long Reach;7;The Pokémon uses its moves without making contact with the target.;Long Reach;Ability
117;Magic Bounce;5;Reflects status- changing moves.;Magic Bounce;Ability
118;Magic Guard;4;Protects the Pokémon from indirect damage.;Magic Guard;Ability
119;Magician;6;The Pokémon steals the held item of a Pokémon it hits with a move.;Magician;Ability
120;Magma Armor;3;Prevents the Pokémon from becoming frozen.;Magma Armor;Ability
121;Magnet Pull;3;Prevents Steel-type Pokémon from escaping.;Magnet Pull;Ability
122;Marvel Scale;3;Ups Defense if there is a status problem.;Marvel Scale;Ability
123;Mega Launcher;6;Boosts the power of aura and pulse moves.;Mega Launcher;Ability
124;Merciless;7;The Pokémon's attacks become critical hits if the target is poisoned.;Merciless;Ability
125;Mimicry;8;Changes type depending on the terrain.;Mimicry;Ability
126;Minus;3;Ups Sp. Atk if another Pokémon has Plus or Minus.;Minus;Ability
127;Mirror Armor;8;Reflects any stat-lowering effects.;Mirror Armor;Ability
128;Misty Surge;7;The Pokémon creates a Misty Terrain when it enters a battle.;Misty Surge;Ability
129;Mold Breaker;4;Moves can be used regardless of Abilities.;Mold Breaker;Ability
130;Moody;5;Raises one stat and lowers another.;Moody;Ability
131;Motor Drive;4;Raises Speed if hit by an Electric-type move.;Motor Drive;Ability
132;Moxie;5;Boosts Attack after knocking out any Pokémon.;Moxie;Ability
133;Multiscale;5;Reduces damage when HP is full.;Multiscale;Ability
134;Multitype;4;Changes type to match the held Plate.;Multitype;Ability
135;Mummy;5;Contact with this Pokémon spreads this Ability.;Mummy;Ability
136;Natural Cure;3;All status problems heal when it switches out.;Natural Cure;Ability
137;Neuroforce;7;Powers up moves that are super effective.;Neuroforce;Ability
138;Neutralizing Gas;8;Neutralizes abilities of all Pokémon in battle.;Neutralizing Gas;Ability
139;No Guard;4;Ensures attacks by or against the Pokémon land.;No Guard;Ability
140;Normalize;4;All the Pokémon's moves become the Normal type.;Normalize;Ability
141;Oblivious;3;Prevents it from becoming infatuated.;Oblivious;Ability
142;Overcoat;5;Protects the Pokémon from weather damage.;Overcoat;Ability
143;Overgrow;3;Powers up Grass-type moves in a pinch.;Overgrow;Ability
144;Own Tempo;3;Prevents the Pokémon from becoming confused.;Own Tempo;Ability
145;Parental Bond;6;Allows the Pokémon to attack twice.;Parental Bond;Ability
146;Pastel Veil;8;Prevents the Pokémon and its allies from being poisoned.;Pastel Veil;Ability
147;Perish Body;8;When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.;Perish Body;Ability
148;Pickpocket;5;Steals an item when hit by another Pokémon.;Pickpocket;Ability
149;Pickup;3;The Pokémon may pick up items.;Pickup;Ability
150;Pixilate;6;Turns Normal-type moves into Fairy-type moves.;Pixilate;Ability
151;Plus;3;Ups Sp. Atk if another Pokémon has Plus or Minus.;Plus;Ability
152;Poison Heal;4;Restores HP if the Pokémon is poisoned.;Poison Heal;Ability
153;Poison Point;3;Contact with the Pokémon may poison the attacker.;Poison Point;Ability
154;Poison Touch;5;May poison targets when a Pokémon makes contact.;Poison Touch;Ability
155;Power Construct;7;Changes form when HP drops below half.;Power Construct;Ability
156;Power Of Alchemy;7;The Pokémon copies the Ability of a defeated ally.;Power Of Alchemy;Ability
157;Power Spot;8;Just being next to the Pokémon powers up moves.;Power Spot;Ability
158;Prankster;5;Gives priority to a status move.;Prankster;Ability
159;Pressure;3;The Pokémon raises the foe's PP usage.;Pressure;Ability
160;Primordial Sea;6;Makes it rain heavily when the ability activates.;Primordial Sea;Ability
161;Prism Armor;7;Reduces damage from super-effective attacks.;Prism Armor;Ability
162;Propeller Tail;8;Ignores moves and abilities that draw in moves.;Propeller Tail;Ability
163;Protean;6;Changes the Pokémon's type to its last used move.;Protean;Ability
164;Psychic Surge;7;The Pokémon creates a Psychic Terrain when it enters a battle.;Psychic Surge;Ability
165;Punk Rock;8;Boosts sound-based moves and halves damage from the same moves.;Punk Rock;Ability
166;Pure Power;3;Raises the Pokémon's Attack stat.;Pure Power;Ability
167;Queenly Majesty;7;Prevents use of priority moves.;Queenly Majesty;Ability
168;Quick Draw;8;;Quick Draw;Ability
169;Quick Feet;4;Boosts Speed if there is a status problem.;Quick Feet;Ability
170;Rain Dish;3;The Pokémon gradually regains HP in rain.;Rain Dish;Ability
171;Rattled;5;Bug, Ghost or Dark type moves scare it and boost its Speed.;Rattled;Ability
172;Receiver;7;Inherits an ally's ability when it faints.;Receiver;Ability
173;Reckless;4;Powers up moves that have recoil damage.;Reckless;Ability
174;Refrigerate;6;Turns Normal-type moves into Ice-type moves.;Refrigerate;Ability
175;Regenerator;5;Restores a little HP when withdrawn from battle.;Regenerator;Ability
176;Ripen;8;Doubles the effect of berries.;Ripen;Ability
177;Rivalry;4;Deals more damage to a Pokémon of same gender.;Rivalry;Ability
178;Rks System;7;Changes type depending on held item.;Rks System;Ability
179;Rock Head;3;Protects the Pokémon from recoil damage.;Rock Head;Ability
180;Rough Skin;3;Inflicts damage to the attacker on contact.;Rough Skin;Ability
181;Run Away;3;Enables a sure getaway from wild Pokémon.;Run Away;Ability
182;Sand Force;5;Boosts certain moves' power in a sandstorm.;Sand Force;Ability
183;Sand Rush;5;Boosts the Pokémon's Speed in a sandstorm.;Sand Rush;Ability
184;Sand Spit;8;Creates a sandstorm when hit by an attack.;Sand Spit;Ability
185;Sand Stream;3;The Pokémon summons a sandstorm in battle.;Sand Stream;Ability
186;Sand Veil;3;Boosts the Pokémon's evasion in a sandstorm.;Sand Veil;Ability
187;Sap Sipper;5;Boosts Attack when hit by a Grass-type move.;Sap Sipper;Ability
188;Schooling;7;Changes Wishiwashi to School Form.;Schooling;Ability
189;Scrappy;4;Enables moves to hit Ghost-type Pokémon.;Scrappy;Ability
190;Screen Cleaner;8;Nullifies effects of Light Screen, Reflect, and Aurora Veil.;Screen Cleaner;Ability
191;Serene Grace;3;Boosts the likelihood of added effects appearing.;Serene Grace;Ability
192;Shadow Shield;7;Reduces damage when HP is full.;Shadow Shield;Ability
193;Shadow Tag;3;Prevents the foe from escaping.;Shadow Tag;Ability
194;Shed Skin;3;The Pokémon may heal its own status problems.;Shed Skin;Ability
195;Sheer Force;5;Removes added effects to increase move damage.;Sheer Force;Ability
196;Shell Armor;3;The Pokémon is protected against critical hits.;Shell Armor;Ability
197;Shield Dust;3;Blocks the added effects of attacks taken.;Shield Dust;Ability
198;Shields Down;7;Changes stats when HP drops below half.;Shields Down;Ability
199;Simple;4;Doubles all stat changes.;Simple;Ability
200;Skill Link;4;Increases the frequency of multi-strike moves.;Skill Link;Ability
201;Slow Start;4;Temporarily halves Attack and Speed.;Slow Start;Ability
202;Slush Rush;7;Boosts the Pokémon's Speed stat in a hailstorm.;Slush Rush;Ability
203;Sniper;4;Powers up moves if they become critical hits.;Sniper;Ability
204;Snow Cloak;4;Raises evasion in a hailstorm.;Snow Cloak;Ability
205;Snow Warning;4;The Pokémon summons a hailstorm in battle.;Snow Warning;Ability
206;Solar Power;4;In sunshine, Sp. Atk is boosted but HP decreases.;Solar Power;Ability
207;Solid Rock;4;Reduces damage from super-effective attacks.;Solid Rock;Ability
208;Soul Heart;7;Raises Special Attack when an ally faints.;Soul Heart;Ability
209;Soundproof;3;Gives immunity to sound-based moves.;Soundproof;Ability
210;Speed Boost;3;Its Speed stat is gradually boosted.;Speed Boost;Ability
211;Stakeout;7;Deals double damage to Pokémon switching in.;Stakeout;Ability
212;Stall;4;The Pokémon moves after all other Pokémon do.;Stall;Ability
213;Stalwart;8;Ignores moves and abilities that draw in moves.;Stalwart;Ability
214;Stamina;7;Raises Defense when attacked.;Stamina;Ability
215;Stance Change;6;Changes form depending on moves used.;Stance Change;Ability
216;Static;3;Contact with the Pokémon may cause paralysis.;Static;Ability
217;Steadfast;4;Raises Speed each time the Pokémon flinches.;Steadfast;Ability
218;Steam Engine;8;Drastically raises Speed when hit by a Fire- or Water-type move.;Steam Engine;Ability
219;Steelworker;7;Powers up Steel-type moves.;Steelworker;Ability
220;Steely Spirit;8;Powers up ally Pokémon's Steel-type moves.;Steely Spirit;Ability
221;Stench;3;The stench may cause the target to flinch.;Stench;Ability
222;Sticky Hold;3;Protects the Pokémon from item theft.;Sticky Hold;Ability
223;Storm Drain;4;Draws in all Water-type moves to up Sp. Attack.;Storm Drain;Ability
224;Strong Jaw;6;Boosts the power of biting moves.;Strong Jaw;Ability
225;Sturdy;3;It cannot be knocked out with one hit.;Sturdy;Ability
226;Suction Cups;3;Negates all moves that force switching out.;Suction Cups;Ability
227;Super Luck;4;Heightens the critical-hit ratios of moves.;Super Luck;Ability
228;Surge Surfer;7;Doubles Speed during Electric Terrain.;Surge Surfer;Ability
229;Swarm;3;Powers up Bug-type moves in a pinch.;Swarm;Ability
230;Sweet Veil;6;Prevents the Pokémon and allies from falling asleep.;Sweet Veil;Ability
231;Swift Swim;3;Boosts the Pokémon's Speed in rain.;Swift Swim;Ability
232;Symbiosis;6;The Pokémon can pass an item to an ally.;Symbiosis;Ability
233;Synchronize;3;Passes a burn, poison, or paralysis to the foe.;Synchronize;Ability
234;Tangled Feet;4;Raises evasion if the Pokémon is confused.;Tangled Feet;Ability
235;Tangling Hair;7;Contact with the Pokémon lowers the attacker's Speed stat.;Tangling Hair;Ability
236;Technician;4;Powers up the Pokémon's weaker moves.;Technician;Ability
237;Telepathy;5;Anticipates an ally's attack and dodges it.;Telepathy;Ability
238;Teravolt;5;Moves can be used regardless of Abilities.;Teravolt;Ability
239;Thick Fat;3;Ups resistance to Fire- and Ice-type moves.;Thick Fat;Ability
240;Tinted Lens;4;Powers up “not very effective” moves.;Tinted Lens;Ability
241;Torrent;3;Powers up Water-type moves in a pinch.;Torrent;Ability
242;Tough Claws;6;Boosts the power of contact moves.;Tough Claws;Ability
243;Toxic Boost;5;Powers up physical attacks when poisoned.;Toxic Boost;Ability
244;Trace;3;The Pokémon copies a foe's Ability.;Trace;Ability
245;Transistor;8;Signature ability of Regieleki. Powers up Electric-type moves.;Transistor;Ability
246;Triage;7;Gives priority to restorative moves.;Triage;Ability
247;Truant;3;Pokémon can't attack on consecutive turns.;Truant;Ability
248;Turboblaze;5;Moves can be used regardless of Abilities.;Turboblaze;Ability
249;Unaware;4;Ignores any stat changes in the Pokémon.;Unaware;Ability
250;Unburden;4;Raises Speed if a held item is used.;Unburden;Ability
251;Unnerve;5;Makes the foe nervous and unable to eat Berries.;Unnerve;Ability
252;Unseen Fist;8;Contact moves can strike through Protect/Detect.;Unseen Fist;Ability
253;Victory Star;5;Boosts the accuracy of its allies and itself.;Victory Star;Ability
254;Vital Spirit;3;Prevents the Pokémon from falling asleep.;Vital Spirit;Ability
255;Volt Absorb;3;Restores HP if hit by an Electric-type move.;Volt Absorb;Ability
256;Wandering Spirit;8;Swaps abilities with opponents on contact.;Wandering Spirit;Ability
257;Water Absorb;3;Restores HP if hit by a Water-type move.;Water Absorb;Ability
258;Water Bubble;7;Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.;Water Bubble;Ability
259;Water Compaction;7;Sharply raises Defense when hit by a Water-type move.;Water Compaction;Ability
260;Water Veil;3;Prevents the Pokémon from getting a burn.;Water Veil;Ability
261;Weak Armor;5;Physical attacks lower Defense and raise Speed.;Weak Armor;Ability
262;White Smoke;3;Prevents other Pokémon from lowering its stats.;White Smoke;Ability
263;Wimp Out;7;Switches out when HP drops below half.;Wimp Out;Ability
264;Wonder Guard;3;Only supereffective moves will hit.;Wonder Guard;Ability
265;Wonder Skin;5;Makes status-changing moves more likely to miss.;Wonder Skin;Ability
266;Zen Mode;5;Changes form when HP drops below half.;Zen Mode;Ability
