index;Name;AlternativeEffect;Effect;UsageAttributes;SpecificCategory;GeneralCategory;image_url;id;Label
20;Armorite Ore;;;;Collectibles;General items;https://img.pokemondb.net/s.png;Armorite Ore;Item
21;Aspear Berry;Held: Consumed when frozen to cure frozen.;If held by a Pokémon, it defrosts it.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/aspear-berry.png;Aspear Berry;Item
22;Assault Vest;Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.;Raises Special Defense but prevents the use of status moves.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/assault-vest.png;Assault Vest;Item
23;Audinite;Held: Allows Audino to Mega Evolve into Mega Audino.;Enables Audino to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/audinite.png;Audinite;Item
24;Awakening;Cures sleep.;A spray-type medicine. It awakens a Pokémon from the clutches of sleep.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Status Cures;Medicine;https://img.pokemondb.net/sprites/items/awakening.png;Awakening;Item
25;Babiri Berry;Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.;Weakens a supereffective Steel-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/babiri-berry.png;Babiri Berry;Item
26;Balm Mushroom;Sell to Hungry Maid for 25000 Pokédollars.;A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/balm-mushroom.png;Balm Mushroom;Item
27;Banettite;Held: Allows Banette to Mega Evolve into Mega Banette.;Enables Banette to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/banettite.png;Banettite;Item
28;Beach Glass;;A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.;;Loot;General items;https://img.pokemondb.net/sprites/items/beach-glass.png;Beach Glass;Item
29;Beast Ball;Tries to catch a wild Pokémon.  Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.;A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.;;Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/beast-ball.png;Beast Ball;Item
30;Beedrillite;Held: Allows Beedrill to Mega Evolve into Mega Beedrill.;Enables Beedrill to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/beedrillite.png;Beedrillite;Item
31;Belue Berry;Used for creating PokéBlocks and Poffins.;A Berry which is very rare in the Unova region. A maniac will buy it for a high price.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/belue-berry.png;Belue Berry;Item
32;Berry Juice;Restores 20 HP.;A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Healing;Medicine;https://img.pokemondb.net/sprites/items/berry-juice.png;Berry Juice;Item
33;Berry Sweet;;Evolves Milcery into Blueberry Flavor Alcremie.;;Evolution;Hold items;https://img.pokemondb.net/s.png;Berry Sweet;Item
34;Big Malasada;Cures major status ailments and confusion.;Heals all major status conditions.;;Status Cures;Medicine;https://img.pokemondb.net/sprites/items/big-malasada.png;Big Malasada;Item
35;Big Mushroom;Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.;A large and rare mushroom. It is sought after by collectors.;;Loot;General items;https://img.pokemondb.net/sprites/items/big-mushroom.png;Big Mushroom;Item
36;Big Nugget;Sell to Ore Collector for 30000 Pokédollars.;A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/big-nugget.png;Big Nugget;Item
37;Big Pearl;Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.;A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.;;Loot;General items;https://img.pokemondb.net/sprites/items/big-pearl.png;Big Pearl;Item
38;Big Root;Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).;Recovers more HP from HP-stealing moves.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/big-root.png;Big Root;Item
39;Binding Band;Held: Doubles the per-turn damage of multi-turn trapping moves.;A band that increases the power of binding moves when held.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/binding-band.png;Binding Band;Item
40;Black Apricorn;Used to make a Heavy Ball.;A black Apricorn It has an indescribable scent.;;Apricorn Box;General items;https://img.pokemondb.net/sprites/items/black-apricorn.png;Black Apricorn;Item
41;Black Belt;Held: Fighting-Type moves from holder do 20% more damage.;Increases the power of Fighting-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/black-belt.png;Black Belt;Item
42;Black Flute;Halves the wild Pokémon encounter rate.;A toy flute made from black glass. A maniac will buy it for a high price.;"countable; consumable; usable-overworld; holdable";Spelunking;General items;https://img.pokemondb.net/sprites/items/black-flute.png;Black Flute;Item
43;Black Glasses;Held: Dark-Type moves from holder do 20% more damage.;Increases the power of Dark-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/black-glasses.png;Black Glasses;Item
44;Black Sludge;Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.;A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/black-sludge.png;Black Sludge;Item
45;Blastoisinite;Held: Allows Blastoise to Mega Evolve into Mega Blastoise.;Enables Blastoise to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/blastoisinite.png;Blastoisinite;Item
46;Blazikenite;Held: Allows Blaziken to Mega Evolve into Mega Blaziken.;Enables Blaziken to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/blazikenite.png;Blazikenite;Item
47;Blue Apricorn;Used to make a Lure Ball.;A blue Apricorn. It smells a bit like grass.;;Apricorn Box;General items;https://img.pokemondb.net/sprites/items/blue-apricorn.png;Blue Apricorn;Item
48;Blue Flute;Cures sleep.;A toy flute made from blue glass. A maniac will buy it for a high price.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Flutes;General items;https://img.pokemondb.net/sprites/items/blue-flute.png;Blue Flute;Item
49;Blue Scarf;Raises the holder's Beauty while in a contest.;Raises holder's Beauty aspect in a Contest.;holdable-active;Scarves;General items;https://img.pokemondb.net/sprites/items/blue-scarf.png;Blue Scarf;Item
50;Blue Shard;No effect. Can be traded for items or moves.;A small blue shard. It appears to be from some sort of implement made long ago.;underground;Collectibles;General items;https://img.pokemondb.net/sprites/items/blue-shard.png;Blue Shard;Item
51;Bluk Berry;Used for creating PokéBlocks and Poffins.;A Berry which is very rare in the Unova region. A maniac will buy it for a high price.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/bluk-berry.png;Bluk Berry;Item
52;Blunder Policy;;Raises Speed sharply if its attack misses.;;Held Items;Hold items;https://img.pokemondb.net/s.png;Blunder Policy;Item
53;Boiled Egg;;One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Boiled Egg;Item
54;Bold Mint;;Changes the Pokémon's stats to match the Bold nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Bold Mint;Item
55;Bottle Cap;Trade to Mr. Hyper to maximize one of a Pokémon's genes.;Maximizes one IV stat in Hyper Training.;;Loot;General items;https://img.pokemondb.net/sprites/items/bottle-cap.png;Bottle Cap;Item
56;Brave Mint;;Changes the Pokémon's stats to match the Brave nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Brave Mint;Item
57;Bread;;One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Bread;Item
58;Bright Powder;Held: Increases the holder's evasion by 1/9 (11 1/9%).;Lowers the opponent's accuracy.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/bright-powder.png;Bright Powder;Item
59;Brittle Bones;;One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Brittle Bones;Item
60;Bug Gem;Held: When the holder uses a damaging bug-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Bug-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/bug-gem.png;Bug Gem;Item
61;Bug Memory;Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.;Changes Silvally and its move Multi-Attack to Bug type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/bug-memory.png;Bug Memory;Item
62;Burn Drive;Grants Genesect a red, Fire-type Techno Blast.;Changes Techno Blast to a Fire-type move when held by Genesect.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/burn-drive.png;Burn Drive;Item
63;Burn Heal;Cures a burn.;A spray-type medicine. It heals a single Pokémon that is suffering from a burn.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Status Cures;Medicine;https://img.pokemondb.net/sprites/items/burn-heal.png;Burn Heal;Item
64;Calcium;Raises Special Attack effort and happiness.;Increases Special Attack EVs by 10.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/calcium.png;Calcium;Item
65;Calm Mint;;Changes the Pokémon's stats to match the Calm nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Calm Mint;Item
66;Cameruptite;Held: Allows Camerupt to Mega Evolve into Mega Camerupt.;Enables Camerupt to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/cameruptite.png;Cameruptite;Item
67;Carbos;Raises Speed effort and happiness.;Increases Speed EVs by 10.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/carbos.png;Carbos;Item
68;Careful Mint;;Changes the Pokémon's stats to match the Careful nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Careful Mint;Item
69;Carrot Seeds;;Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.;;Plot Advancement;General items;https://img.pokemondb.net/s.png;Carrot Seeds;Item
70;Casteliacone;Cures any status ailment and confusion.;Heals all major status conditions.;;Status Cures;Medicine;https://img.pokemondb.net/sprites/items/casteliacone.png;Casteliacone;Item
71;Cell Battery;Held: Raises the holder's Attack by one stage when it takes Electric-type damage.;A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/cell-battery.png;Cell Battery;Item
72;Chalky Stone;;A small whitish stone picked up at the edge of the road.;;Loot;General items;https://img.pokemondb.net/sprites/items/chalky-stone.png;Chalky Stone;Item
73;Charcoal;Held: Fire-Type moves from holder do 20% more damage.;Increases the power of Fire-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/charcoal.png;Charcoal;Item
74;Charizardite X;Held: Allows Charizard to Mega Evolve into Mega Charizard X.;Enables Charizard to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/charizardite-x.png;Charizardite X;Item
75;Charizardite Y;Held: Allows Charizard to Mega Evolve into Mega Charizard Y.;Enables Charizard to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/charizardite-y.png;Charizardite Y;Item
76;Charti Berry;Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.;Weakens a supereffective Rock-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/charti-berry.png;Charti Berry;Item
77;Cheri Berry;Held: Consumed when paralyzed to cure paralysis.;If held by a Pokémon, it recovers from paralysis.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/cheri-berry.png;Cheri Berry;Item
78;Cherish Ball;Tries to catch a wild Pokémon.;A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/cherish-ball.png;Cherish Ball;Item
79;Chesto Berry;Held: Consumed when asleep to cure sleep.;If held by a Pokémon, it recovers from sleep.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/chesto-berry.png;Chesto Berry;Item
80;Chilan Berry;Held: Consumed when struck by a Normal-type attack to halve the damage.;Weakens a Normal-type attack against the Pokémon holding this berry.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/chilan-berry.png;Chilan Berry;Item
81;Chill Drive;Grants Genesect a white, Ice-type Techno Blast.;Changes Techno Blast to an Ice-type move when held by Genesect.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/chill-drive.png;Chill Drive;Item
82;Chipped Pot;;Evolves Sinistea into Polteageist.;;Evolution;Hold items;https://img.pokemondb.net/s.png;Chipped Pot;Item
83;Choice Band;Held: Increases Attack by 50%, but restricts the holder to only one move.;Raises Attack, but only one move can be used.;"holdable; holdable-active";Choice;Hold items;https://img.pokemondb.net/sprites/items/choice-band.png;Choice Band;Item
84;Choice Scarf;Held: Increases Speed by 50%, but restricts the holder to only one move.;Raises Speed, but only one move can be used.;"holdable; holdable-active";Choice;Hold items;https://img.pokemondb.net/sprites/items/choice-scarf.png;Choice Scarf;Item
85;Choice Specs;Held: Increases Special Attack by 50%, but restricts the holder to only one move.;Raises Special Attack, but only one move can be used.;"holdable; holdable-active";Choice;Hold items;https://img.pokemondb.net/sprites/items/choice-specs.png;Choice Specs;Item
86;Chople Berry;Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.;Weakens a supereffective Fighting-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/chople-berry.png;Chople Berry;Item
87;Claw Fossil;Can be revived into an Anorith.;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.;underground;Dex Completion;General items;https://img.pokemondb.net/sprites/items/claw-fossil.png;Claw Fossil;Item
88;Cleanse Tag;Prevents wild encounters of level lower than your party's lead Pokémon.;An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.;holdable;Training;Hold items;https://img.pokemondb.net/sprites/items/cleanse-tag.png;Cleanse Tag;Item
89;Clever Wing;Increases Special Defense effort by 1.;Increases Special Defense EVs by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/clever-wing.png;Clever Wing;Item
90;Clover Sweet;;Evolves Milcery into Clover Flavor Alcremie.;;Evolution;Hold items;https://img.pokemondb.net/s.png;Clover Sweet;Item
91;Coba Berry;Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.;Weakens a supereffective Flying-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/coba-berry.png;Coba Berry;Item
92;Coconut Milk;;One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Coconut Milk;Item
93;Colbur Berry;Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.;Weakens a supereffective Dark-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/colbur-berry.png;Colbur Berry;Item
94;Comet Shard;Sell to Ore Collector for 60000 Pokédollars.;A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.;;Loot;General items;https://img.pokemondb.net/sprites/items/comet-shard.png;Comet Shard;Item
95;Cornn Berry;Used for creating PokéBlocks and Poffins.;A Berry which is very rare in the Unova region. A maniac will buy it for a high price.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/cornn-berry.png;Cornn Berry;Item
96;Courage Candy;;Increases a Pokémon's Special Defense stat by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/courage-candy.png;Courage Candy;Item
97;Courage Candy L;;Increases a Pokémon's Special Defense stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/courage-candy-l.png;Courage Candy L;Item
98;Courage Candy Xl;;Increases a Pokémon's Special Defense stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/courage-candy-xl.png;Courage Candy Xl;Item
99;Cover Fossil;Can be revived into a tirtouga.;A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.;;Dex Completion;General items;https://img.pokemondb.net/sprites/items/cover-fossil.png;Cover Fossil;Item
100;Cracked Pot;;Evolves Sinistea into Polteageist.;;Evolution;Hold items;https://img.pokemondb.net/s.png;Cracked Pot;Item
101;Custap Berry;Held: Consumed at 1/4 max HP when using a move to go first.;Holder can move first when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/custap-berry.png;Custap Berry;Item
102;Damp Mulch;Growing time of berries is increased, but the soil dries out slower.;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;;Mulch;General items;https://img.pokemondb.net/sprites/items/damp-mulch.png;Damp Mulch;Item
103;Damp Rock;Held: Rain Dance by the holder lasts 8 rounds instead of 5.;A Pokémon held item that extends the duration of the move Rain Dance used by the holder.;"holdable; holdable-active; underground";Held Items;Hold items;https://img.pokemondb.net/sprites/items/damp-rock.png;Damp Rock;Item
104;Dark Gem;Held: When the holder uses a damaging dark-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Dark-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/dark-gem.png;Dark Gem;Item
105;Dark Memory;Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.;Changes Silvally and its move Multi-Attack to Dark type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/dark-memory.png;Dark Memory;Item
106;Dawn Stone;Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.;Evolves certain species of Pokémon.;;Evolution;General items;https://img.pokemondb.net/sprites/items/dawn-stone.png;Dawn Stone;Item
107;Deep Sea Scale;Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.;Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/deep-sea-scale.png;Deep Sea Scale;Item
108;Deep Sea Tooth;Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.;Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/deep-sea-tooth.png;Deep Sea Tooth;Item
109;Destiny Knot;Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.;A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/destiny-knot.png;Destiny Knot;Item
110;Diancite;Held: Allows Diancie to Mega Evolve into Mega Diancie.;Enables Diancie to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/diancite.png;Diancite;Item
111;Dire Hit;Increases the chance of a critical hit in battle.  Raises happiness.;Raises critical-hit ratio of a Pokémon in battle.;"countable; consumable; usable-in-battle; holdable";Stat Boosts;Battle items;https://img.pokemondb.net/sprites/items/dire-hit.png;Dire Hit;Item
112;Dire Hit 2;Raises critical hit rate by two stages in battle.  Wonder Launcher only.;Raises a Pokémon's critical-hit ratio in battle.;;Miracle Shooter;Battle items;https://img.pokemondb.net/sprites/items/dire-hit-2.png;Dire Hit 2;Item
113;Dire Hit 3;Raises critical hit rate by three stages in battle.  Wonder Launcher only.;Greatly raises a Pokémon's critical-hit ratio in battle.;;Miracle Shooter;Battle items;https://img.pokemondb.net/sprites/items/dire-hit-3.png;Dire Hit 3;Item
114;Discount Coupon;Can be used at a boutique for a 50% discount.  Consumed once used.;This special coupon allows you to buy items at a discount when you are shopping at a boutique.;;Loot;General items;https://img.pokemondb.net/sprites/items/discount-coupon.png;Discount Coupon;Item
115;Dive Ball;Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.;A somewhat different Poké Ball that works especially well on Pokémon that live underwater.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/dive-ball.png;Dive Ball;Item
116;Dna Splicers;Fuses Kyurem with Reshiram or Zekrom, or splits them apart again.;A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.;;Gameplay;General items;https://img.pokemondb.net/sprites/items/dna-splicers.png;Dna Splicers;Item
117;Dome Fossil;Can be revived into a Kabuto.;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.;underground;Dex Completion;General items;https://img.pokemondb.net/sprites/items/dome-fossil.png;Dome Fossil;Item
118;Douse Drive;Grants Genesect a blue, Water-type Techno Blast.;Changes Techno Blast to a Water-type move when held by Genesect.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/douse-drive.png;Douse Drive;Item
119;Draco Plate;Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dragon.;Increases power of Dragon-type moves. Changes Arceus' type to Dragon.;"holdable; holdable-active; underground";Plates;Hold items;https://img.pokemondb.net/sprites/items/draco-plate.png;Draco Plate;Item
120;Dragon Fang;Held: Dragon-Type moves from holder do 20% more damage.;Increases the power of Dragon-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/dragon-fang.png;Dragon Fang;Item
121;Dragon Gem;Held: When the holder uses a damaging dragon-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Dragon-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/dragon-gem.png;Dragon Gem;Item
122;Dragon Memory;Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.;Changes Silvally and its move Multi-Attack to Dragon type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/dragon-memory.png;Dragon Memory;Item
123;Dragon Scale;Traded on a Seadra: Holder evolves into Kingdra.;Evolves Seadra when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/dragon-scale.png;Dragon Scale;Item
124;Dread Plate;Held: Dark-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dark.;Increases power of Dark-type moves. Changes Arceus' type to Dark.;"holdable; holdable-active; underground";Plates;Hold items;https://img.pokemondb.net/sprites/items/dread-plate.png;Dread Plate;Item
125;Dream Ball;Catches Pokémon found in the Dream World.;A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.;;Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/dream-ball.png;Dream Ball;Item
126;Dropped Item;Returned to Curtis or Yancy as part of a sidequest.;The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/xtransceiver.png;Dropped Item;Item
127;Dubious Disc;Traded on a Porygon2: Holder evolves into Porygon-Z.;Evolves Porygon2 when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/dubious-disc.png;Dubious Disc;Item
