Name,Effect (alt.),Effect,Usage Attributes,Specific Category,General Category,image_url
Berry Sweet,,Evolves Milcery into Blueberry Flavor Alcremie.,,Evolution,Hold items,https://img.pokemondb.net/s.png
Big Malasada,Cures major status ailments and confusion.,Heals all major status conditions.,,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/big-malasada.png
Big Mushroom,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.",A large and rare mushroom. It is sought after by collectors.,,Loot,General items,https://img.pokemondb.net/sprites/items/big-mushroom.png
Big Nugget,Sell to Ore Collector for 30000 Pokédollars.,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.,,Loot,General items,https://img.pokemondb.net/sprites/items/big-nugget.png
Big Pearl,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.",A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,,Loot,General items,https://img.pokemondb.net/sprites/items/big-pearl.png
Big Root,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).",Recovers more HP from HP-stealing moves.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/big-root.png
Binding Band,Held: Doubles the per-turn damage of multi-turn trapping moves.,A band that increases the power of binding moves when held.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/binding-band.png
Black Apricorn,Used to make a Heavy Ball.,A black Apricorn It has an indescribable scent.,,Apricorn Box,General items,https://img.pokemondb.net/sprites/items/black-apricorn.png
Black Belt,Held: Fighting-Type moves from holder do 20% more damage.,Increases the power of Fighting-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/black-belt.png
Black Flute,Halves the wild Pokémon encounter rate.,A toy flute made from black glass. A maniac will buy it for a high price.,"['countable', 'consumable', 'usable-overworld', 'holdable']",Spelunking,General items,https://img.pokemondb.net/sprites/items/black-flute.png
Black Glasses,Held: Dark-Type moves from holder do 20% more damage.,Increases the power of Dark-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/black-glasses.png
Black Sludge,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/black-sludge.png
Blastoisinite,Held: Allows Blastoise to Mega Evolve into Mega Blastoise.,Enables Blastoise to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/blastoisinite.png
Blazikenite,Held: Allows Blaziken to Mega Evolve into Mega Blaziken.,Enables Blaziken to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/blazikenite.png
Blue Apricorn,Used to make a Lure Ball.,A blue Apricorn. It smells a bit like grass.,,Apricorn Box,General items,https://img.pokemondb.net/sprites/items/blue-apricorn.png
Blue Flute,Cures sleep.,A toy flute made from blue glass. A maniac will buy it for a high price.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Flutes,General items,https://img.pokemondb.net/sprites/items/blue-flute.png
Blue Scarf,Raises the holder's Beauty while in a contest.,Raises holder's Beauty aspect in a Contest.,['holdable-active'],Scarves,General items,https://img.pokemondb.net/sprites/items/blue-scarf.png
Blue Shard,No effect. Can be traded for items or moves.,A small blue shard. It appears to be from some sort of implement made long ago.,['underground'],Collectibles,General items,https://img.pokemondb.net/sprites/items/blue-shard.png
Bluk Berry,Used for creating PokéBlocks and Poffins.,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,,Baking Only,Berries,https://img.pokemondb.net/sprites/items/bluk-berry.png
Blunder Policy,,Raises Speed sharply if its attack misses.,,Held Items,Hold items,https://img.pokemondb.net/s.png
Boiled Egg,,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Bold Mint,,Changes the Pokémon's stats to match the Bold nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Bottle Cap,Trade to Mr. Hyper to maximize one of a Pokémon's genes.,Maximizes one IV stat in Hyper Training.,,Loot,General items,https://img.pokemondb.net/sprites/items/bottle-cap.png
Brave Mint,,Changes the Pokémon's stats to match the Brave nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Bread,,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Bright Powder,Held: Increases the holder's evasion by 1/9 (11 1/9%).,Lowers the opponent's accuracy.,"['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/bright-powder.png
Brittle Bones,,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Bug Gem,"Held: When the holder uses a damaging bug-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Bug-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/bug-gem.png
Bug Memory,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.,Changes Silvally and its move Multi-Attack to Bug type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/bug-memory.png
Burn Drive,"Grants Genesect a red, Fire-type Techno Blast.",Changes Techno Blast to a Fire-type move when held by Genesect.,,Species Specific,Hold items,https://img.pokemondb.net/sprites/items/burn-drive.png
Burn Heal,Cures a burn.,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Medicine,https://img.pokemondb.net/sprites/items/burn-heal.png
Calcium,Raises Special Attack effort and happiness.,Increases Special Attack EVs by 10.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Medicine,https://img.pokemondb.net/sprites/items/calcium.png
Calm Mint,,Changes the Pokémon's stats to match the Calm nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Cameruptite,Held: Allows Camerupt to Mega Evolve into Mega Camerupt.,Enables Camerupt to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/cameruptite.png
Carbos,Raises Speed effort and happiness.,Increases Speed EVs by 10.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Medicine,https://img.pokemondb.net/sprites/items/carbos.png
Careful Mint,,Changes the Pokémon's stats to match the Careful nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
Carrot Seeds,,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.,,Plot Advancement,General items,https://img.pokemondb.net/s.png
Casteliacone,Cures any status ailment and confusion.,Heals all major status conditions.,,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/casteliacone.png
Cell Battery,Held: Raises the holder's Attack by one stage when it takes Electric-type damage.,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/cell-battery.png
Chalky Stone,,A small whitish stone picked up at the edge of the road.,,Loot,General items,https://img.pokemondb.net/sprites/items/chalky-stone.png
Charcoal,Held: Fire-Type moves from holder do 20% more damage.,Increases the power of Fire-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/charcoal.png
Charizardite X,Held: Allows Charizard to Mega Evolve into Mega Charizard X.,Enables Charizard to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/charizardite-x.png
Charizardite Y,Held: Allows Charizard to Mega Evolve into Mega Charizard Y.,Enables Charizard to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/charizardite-y.png
Charti Berry,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.,Weakens a supereffective Rock-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/charti-berry.png
Cheri Berry,Held: Consumed when paralyzed to cure paralysis.,"If held by a Pokémon, it recovers from paralysis.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/cheri-berry.png
Cherish Ball,Tries to catch a wild Pokémon.,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/cherish-ball.png
Chesto Berry,Held: Consumed when asleep to cure sleep.,"If held by a Pokémon, it recovers from sleep.",['holdable-active'],Medicine,Berries,https://img.pokemondb.net/sprites/items/chesto-berry.png
Chilan Berry,Held: Consumed when struck by a Normal-type attack to halve the damage.,Weakens a Normal-type attack against the Pokémon holding this berry.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/chilan-berry.png
Chill Drive,"Grants Genesect a white, Ice-type Techno Blast.",Changes Techno Blast to an Ice-type move when held by Genesect.,,Species Specific,Hold items,https://img.pokemondb.net/sprites/items/chill-drive.png
Chipped Pot,,Evolves Sinistea into Polteageist.,,Evolution,Hold items,https://img.pokemondb.net/s.png
Choice Band,"Held: Increases Attack by 50%, but restricts the holder to only one move.","Raises Attack, but only one move can be used.","['holdable', 'holdable-active']",Choice,Hold items,https://img.pokemondb.net/sprites/items/choice-band.png
Choice Scarf,"Held: Increases Speed by 50%, but restricts the holder to only one move.","Raises Speed, but only one move can be used.","['holdable', 'holdable-active']",Choice,Hold items,https://img.pokemondb.net/sprites/items/choice-scarf.png
Choice Specs,"Held: Increases Special Attack by 50%, but restricts the holder to only one move.","Raises Special Attack, but only one move can be used.","['holdable', 'holdable-active']",Choice,Hold items,https://img.pokemondb.net/sprites/items/choice-specs.png
Chople Berry,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.,Weakens a supereffective Fighting-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/chople-berry.png
Claw Fossil,Can be revived into an Anorith.,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,['underground'],Dex Completion,General items,https://img.pokemondb.net/sprites/items/claw-fossil.png
Cleanse Tag,Prevents wild encounters of level lower than your party's lead Pokémon.,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,['holdable'],Training,Hold items,https://img.pokemondb.net/sprites/items/cleanse-tag.png
Clever Wing,Increases Special Defense effort by 1.,Increases Special Defense EVs by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/clever-wing.png
Clover Sweet,,Evolves Milcery into Clover Flavor Alcremie.,,Evolution,Hold items,https://img.pokemondb.net/s.png
Coba Berry,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.,Weakens a supereffective Flying-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/coba-berry.png
Coconut Milk,,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
Colbur Berry,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.,Weakens a supereffective Dark-type attack against the holding Pokémon.,['holdable-active'],Type Protection,Berries,https://img.pokemondb.net/sprites/items/colbur-berry.png
Comet Shard,Sell to Ore Collector for 60000 Pokédollars.,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.,,Loot,General items,https://img.pokemondb.net/sprites/items/comet-shard.png
Cornn Berry,Used for creating PokéBlocks and Poffins.,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,,Baking Only,Berries,https://img.pokemondb.net/sprites/items/cornn-berry.png
Courage Candy,,Increases a Pokémon's Special Defense stat by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/courage-candy.png
Courage Candy L,,Increases a Pokémon's Special Defense stat.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/courage-candy-l.png
Courage Candy Xl,,Increases a Pokémon's Special Defense stat.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/courage-candy-xl.png
Cover Fossil,Can be revived into a tirtouga.,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.,,Dex Completion,General items,https://img.pokemondb.net/sprites/items/cover-fossil.png
Cracked Pot,,Evolves Sinistea into Polteageist.,,Evolution,Hold items,https://img.pokemondb.net/s.png
Custap Berry,Held: Consumed at 1/4 max HP when using a move to go first.,Holder can move first when HP is low.,['holdable-active'],In A Pinch,Berries,https://img.pokemondb.net/sprites/items/custap-berry.png
Damp Mulch,"Growing time of berries is increased, but the soil dries out slower.",A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,,Mulch,General items,https://img.pokemondb.net/sprites/items/damp-mulch.png
Damp Rock,Held: Rain Dance by the holder lasts 8 rounds instead of 5.,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,"['holdable', 'holdable-active', 'underground']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/damp-rock.png
Dark Gem,"Held: When the holder uses a damaging dark-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Dark-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/dark-gem.png
Dark Memory,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.,Changes Silvally and its move Multi-Attack to Dark type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/dark-memory.png
Dawn Stone,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.,Evolves certain species of Pokémon.,,Evolution,General items,https://img.pokemondb.net/sprites/items/dawn-stone.png
Deep Sea Scale,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.,['holdable'],Species Specific,Hold items,https://img.pokemondb.net/sprites/items/deep-sea-scale.png
Deep Sea Tooth,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.,['holdable'],Species Specific,Hold items,https://img.pokemondb.net/sprites/items/deep-sea-tooth.png
Destiny Knot,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.","['holdable', 'holdable-active']",Held Items,Hold items,https://img.pokemondb.net/sprites/items/destiny-knot.png
Diancite,Held: Allows Diancie to Mega Evolve into Mega Diancie.,Enables Diancie to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/diancite.png
Dire Hit,Increases the chance of a critical hit in battle.  Raises happiness.,Raises critical-hit ratio of a Pokémon in battle.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Stat Boosts,Battle items,https://img.pokemondb.net/sprites/items/dire-hit.png
Dire Hit 2,Raises critical hit rate by two stages in battle.  Wonder Launcher only.,Raises a Pokémon's critical-hit ratio in battle.,,Miracle Shooter,Battle items,https://img.pokemondb.net/sprites/items/dire-hit-2.png
Dire Hit 3,Raises critical hit rate by three stages in battle.  Wonder Launcher only.,Greatly raises a Pokémon's critical-hit ratio in battle.,,Miracle Shooter,Battle items,https://img.pokemondb.net/sprites/items/dire-hit-3.png
Discount Coupon,Can be used at a boutique for a 50% discount.  Consumed once used.,This special coupon allows you to buy items at a discount when you are shopping at a boutique.,,Loot,General items,https://img.pokemondb.net/sprites/items/discount-coupon.png
Dive Ball,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.",A somewhat different Poké Ball that works especially well on Pokémon that live underwater.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/dive-ball.png
Dna Splicers,"Fuses Kyurem with Reshiram or Zekrom, or splits them apart again.",A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.,,Gameplay,General items,https://img.pokemondb.net/sprites/items/dna-splicers.png
Dome Fossil,Can be revived into a Kabuto.,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.,['underground'],Dex Completion,General items,https://img.pokemondb.net/sprites/items/dome-fossil.png
Douse Drive,"Grants Genesect a blue, Water-type Techno Blast.",Changes Techno Blast to a Water-type move when held by Genesect.,,Species Specific,Hold items,https://img.pokemondb.net/sprites/items/douse-drive.png
Draco Plate,Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dragon.,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.,"['holdable', 'holdable-active', 'underground']",Plates,Hold items,https://img.pokemondb.net/sprites/items/draco-plate.png
Dragon Fang,Held: Dragon-Type moves from holder do 20% more damage.,Increases the power of Dragon-type moves.,"['holdable', 'holdable-active']",Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/dragon-fang.png
Dragon Gem,"Held: When the holder uses a damaging dragon-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Dragon-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/dragon-gem.png
Dragon Memory,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.,Changes Silvally and its move Multi-Attack to Dragon type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/dragon-memory.png
Dragon Scale,Traded on a Seadra: Holder evolves into Kingdra.,Evolves Seadra when traded holding the item.,,Evolution,General items,https://img.pokemondb.net/sprites/items/dragon-scale.png
Dread Plate,Held: Dark-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dark.,Increases power of Dark-type moves. Changes Arceus' type to Dark.,"['holdable', 'holdable-active', 'underground']",Plates,Hold items,https://img.pokemondb.net/sprites/items/dread-plate.png
Dream Ball,Catches Pokémon found in the Dream World.,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.,,Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/dream-ball.png
Dropped Item,Returned to Curtis or Yancy as part of a sidequest.,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/xtransceiver.png
Dubious Disc,Traded on a Porygon2: Holder evolves into Porygon-Z.,Evolves Porygon2 when traded holding the item.,,Evolution,General items,https://img.pokemondb.net/sprites/items/dubious-disc.png
Durin Berry,Used for creating PokéBlocks and Poffins.,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,,Baking Only,Berries,https://img.pokemondb.net/sprites/items/durin-berry.png
Dusk Ball,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/dusk-ball.png
Dusk Stone,"Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow.",Evolves certain species of Pokémon.,,Evolution,General items,https://img.pokemondb.net/sprites/items/dusk-stone.png
Dynamax Candy,,Raises Dynamax Level.,,Vitamins,Medicine,https://img.pokemondb.net/s.png
Dynite Ore,,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.,,Collectibles,General items,https://img.pokemondb.net/s.png
Earth Plate,Held: Ground-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ground.,Increases power of Ground-type moves. Changes Arceus' type to Ground.,"['holdable', 'holdable-active', 'underground']",Plates,Hold items,https://img.pokemondb.net/sprites/items/earth-plate.png
Eject Button,"Held: When the holder takes damage from a move, it switches out for a party Pokémon of the Trainer's choice.","If the holder is hit by an attack, it will switch with another Pokémon in your party.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/eject-button.png
Eject Pack,,The Pokémon switches out if its stats are lowered.,,Held Items,Hold items,https://img.pokemondb.net/s.png
Electirizer,Traded on an Electabuzz: Holder evolves into Electivire.,Evolves Electabuzz when traded holding the item.,,Evolution,General items,https://img.pokemondb.net/sprites/items/electirizer.png
Electric Gem,"Held: When the holder uses a damaging electric-type move, the move has 1.5× power and this item is consumed.",Increases the power of an Electric-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/electric-gem.png
Electric Memory,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.,Changes Silvally and its move Multi-Attack to Electric type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/electric-memory.png
Electric Seed,Held: Consumed on Electric Terrain and raises the holder's Defense by one stage.,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/electric-seed.png
Elevator Key,Unlocks the elevator in Lysandre Labs.,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/elevator-key.png
Elixir,Restores 10 PP for each move.,It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Pp Recovery,Medicine,https://img.pokemondb.net/sprites/items/elixir.png
