Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%),Pokemon
Timid,0/0/4/252/0/252,5.911%,Kyogre
Modest,4/0/0/252/0/252,3.774%,Kyogre
Modest,0/0/4/252/0/252,3.227%,Kyogre
Modest,124/0/0/156/0/228,2.661%,Kyogre
Modest,0/0/0/252/4/252,1.870%,Kyogre
Modest,108/0/4/156/4/236,1.501%,Kyogre
Modest,132/0/0/252/0/124,1.274%,Kyogre
Timid,12/0/4/236/4/252,1.245%,Kyogre
Modest,244/0/0/252/0/12,1.173%,Kyogre
Timid,28/0/20/252/4/204,1.170%,Kyogre
Modest,124/0/44/252/4/84,1.137%,Kyogre
Timid,28/0/4/252/20/204,1.112%,Kyogre
Modest,204/0/60/156/12/76,1.091%,Kyogre
Modest,252/0/0/236/0/20,1.075%,Kyogre
Modest,108/0/4/164/4/228,1.055%,Kyogre
Timid,28/0/4/204/20/252,1.016%,Kyogre
Modest,188/0/148/156/4/12,1.010%,Kyogre
Modest,132/0/68/76/4/228,0.975%,Kyogre
Impish,164/0/188/0/156/0,6.755%,Grimmsnarl
Careful,252/0/140/0/116/0,6.611%,Grimmsnarl
Careful,220/4/156/0/116/12,6.246%,Grimmsnarl
Careful,228/4/140/0/116/20,5.590%,Grimmsnarl
Careful,252/4/204/0/36/12,5.117%,Grimmsnarl
Careful,220/4/140/0/116/28,3.473%,Grimmsnarl
Jolly,252/0/0/0/4/252,2.553%,Grimmsnarl
Calm,252/0/4/0/252/0,2.102%,Grimmsnarl
Careful,244/0/204/0/60/0,2.002%,Grimmsnarl
Careful,252/0/60/0/196/0,1.929%,Grimmsnarl
Careful,220/0/116/0/172/0,1.894%,Grimmsnarl
Careful,252/0/4/0/252/0,1.751%,Grimmsnarl
Careful,244/4/124/0/116/20,1.715%,Grimmsnarl
Careful,252/0/116/0/140/0,1.695%,Grimmsnarl
Calm,244/0/116/0/148/0,1.689%,Grimmsnarl
Careful,252/0/204/0/52/0,1.610%,Grimmsnarl
Careful,252/4/0/0/252/0,1.605%,Grimmsnarl
Jolly,4/252/0/0/0/252,1.551%,Grimmsnarl
Calm,252/0/140/0/116/0,1.362%,Grimmsnarl
Careful,220/4/220/0/60/4,1.256%,Grimmsnarl
Timid,0/0/0/252/4/252,21.474%,Regieleki
Timid,4/0/0/252/0/252,13.978%,Regieleki
Timid,0/0/4/252/0/252,4.264%,Regieleki
Jolly,28/252/52/0/108/68,4.209%,Regieleki
Jolly,4/252/0/0/0/252,2.820%,Regieleki
Jolly,188/252/0/0/0/68,2.430%,Regieleki
Jolly,0/252/0/0/4/252,2.216%,Regieleki
Adamant,4/188/196/0/4/116,2.118%,Regieleki
Jolly,52/252/4/0/116/84,2.047%,Regieleki
Adamant,52/252/84/0/4/116,1.778%,Regieleki
Timid,4/0/36/212/4/252,1.764%,Regieleki
Modest,16/0/116/252/0/124,1.371%,Regieleki
Modest,4/0/0/252/0/252,1.241%,Regieleki
Hasty,0/4/0/252/0/252,1.220%,Regieleki
Modest,0/0/0/252/4/252,1.142%,Regieleki
Jolly,0/252/4/0/0/252,1.082%,Regieleki
Adamant,20/212/148/0/4/124,0.927%,Regieleki
Modest,28/0/116/236/4/124,0.908%,Regieleki
Jolly,4/252/140/0/36/76,0.781%,Regieleki
Timid,100/0/4/148/4/252,0.770%,Regieleki
Adamant,244/196/4/0/60/4,13.944%,Rillaboom
Adamant,228/196/4/0/4/76,4.381%,Rillaboom
Adamant,252/252/0/0/4/0,3.924%,Rillaboom
Adamant,252/252/0/0/0/4,3.480%,Rillaboom
Adamant,132/116/68/0/188/4,2.530%,Rillaboom
Adamant,228/252/28/0/0/0,2.305%,Rillaboom
Adamant,220/252/36/0/0/0,2.095%,Rillaboom
Adamant,252/172/12/0/4/68,1.913%,Rillaboom
Adamant,236/116/4/0/148/4,1.860%,Rillaboom
Adamant,196/116/100/0/36/60,1.756%,Rillaboom
Careful,252/100/0/0/156/0,1.437%,Rillaboom
Adamant,252/148/12/0/4/92,1.393%,Rillaboom
Adamant,252/196/0/0/60/0,1.180%,Rillaboom
Adamant,188/196/12/0/108/4,1.147%,Rillaboom
Adamant,140/164/204/0/0/0,1.114%,Rillaboom
Brave,228/252/4/0/20/4,1.109%,Rillaboom
Adamant,220/116/28/0/76/68,1.052%,Rillaboom
Adamant,164/252/4/0/84/4,1.035%,Rillaboom
Adamant,132/252/4/0/68/52,0.962%,Rillaboom
Adamant,252/116/52/0/84/4,0.928%,Rillaboom
Adamant,164/204/4/0/108/28,12.989%,Groudon
Adamant,244/76/4/0/100/84,6.821%,Groudon
Jolly,0/252/0/0/4/252,4.918%,Groudon
Adamant,252/156/4/0/60/36,3.303%,Groudon
Jolly,60/164/4/0/28/252,2.654%,Groudon
Adamant,252/156/4/0/76/20,2.635%,Groudon
Brave,252/76/0/0/180/0,2.371%,Groudon
Adamant,252/4/4/0/116/132,2.050%,Groudon
Adamant,236/252/0/0/0/20,1.611%,Groudon
Adamant,196/180/4/0/92/36,1.586%,Groudon
Adamant,244/156/4/0/84/20,1.438%,Groudon
Adamant,244/156/4/0/28/76,1.428%,Groudon
Adamant,212/76/148/0/44/28,1.352%,Groudon
Adamant,252/236/0/0/0/20,1.327%,Groudon
Adamant,252/156/12/0/60/28,1.290%,Groudon
Adamant,228/156/20/0/28/76,1.285%,Groudon
Adamant,252/4/4/0/108/140,1.253%,Groudon
Careful,244/4/4/0/212/44,1.159%,Groudon
Adamant,212/156/4/0/100/36,1.115%,Groudon
Adamant,244/92/20/0/76/76,1.115%,Groudon
Timid,4/0/0/252/0/252,49.392%,Calyrex Shadow Rider
Timid,0/0/0/252/4/252,24.406%,Calyrex Shadow Rider
Timid,0/0/4/252/0/252,10.479%,Calyrex Shadow Rider
Timid,28/0/4/220/4/252,2.327%,Calyrex Shadow Rider
Timid,4/0/4/244/4/252,1.380%,Calyrex Shadow Rider
Timid,132/0/4/116/4/252,1.150%,Calyrex Shadow Rider
Timid,0/0/0/252/0/252,0.926%,Calyrex Shadow Rider
Modest,100/0/164/36/4/204,0.919%,Calyrex Shadow Rider
Timid,124/0/148/132/4/100,0.822%,Calyrex Shadow Rider
Timid,124/0/108/20/4/252,0.818%,Calyrex Shadow Rider
Timid,12/0/4/236/4/252,0.585%,Calyrex Shadow Rider
Timid,28/0/12/212/4/252,0.553%,Calyrex Shadow Rider
Timid,0/0/12/244/0/252,0.539%,Calyrex Shadow Rider
Modest,92/0/156/4/4/252,0.409%,Calyrex Shadow Rider
Modest,0/0/4/252/0/252,0.404%,Calyrex Shadow Rider
Timid,0/0/28/228/0/252,0.383%,Calyrex Shadow Rider
Timid,12/0/0/244/0/252,0.348%,Calyrex Shadow Rider
Timid,28/0/196/28/4/252,0.326%,Calyrex Shadow Rider
Modest,4/0/0/252/0/252,0.270%,Calyrex Shadow Rider
Timid,36/0/4/180/36/252,0.258%,Calyrex Shadow Rider
Jolly,4/252/0/0/0/252,14.442%,Thundurus Incarnate Forme
Calm,228/0/148/52/76/4,7.700%,Thundurus Incarnate Forme
Jolly,84/164/4/0/4/252,6.563%,Thundurus Incarnate Forme
Jolly,0/252/0/0/4/252,4.459%,Thundurus Incarnate Forme
Jolly,164/84/4/0/4/252,3.547%,Thundurus Incarnate Forme
Jolly,36/172/108/0/4/188,2.928%,Thundurus Incarnate Forme
Timid,252/0/156/4/76/20,2.792%,Thundurus Incarnate Forme
Jolly,148/180/4/0/4/172,2.699%,Thundurus Incarnate Forme
Jolly,84/252/0/0/0/172,2.609%,Thundurus Incarnate Forme
Adamant,0/252/0/0/4/252,2.559%,Thundurus Incarnate Forme
Timid,252/0/12/68/4/172,2.363%,Thundurus Incarnate Forme
Brave,252/252/4/0/0/0,2.158%,Thundurus Incarnate Forme
Jolly,36/148/28/0/44/252,1.762%,Thundurus Incarnate Forme
Jolly,164/4/84/0/4/252,1.712%,Thundurus Incarnate Forme
Jolly,92/148/4/0/12/252,1.610%,Thundurus Incarnate Forme
Jolly,36/212/4/0/4/252,1.597%,Thundurus Incarnate Forme
Jolly,52/164/0/36/4/252,1.518%,Thundurus Incarnate Forme
Calm,236/0/148/4/76/44,1.497%,Thundurus Incarnate Forme
Calm,252/0/164/4/76/12,1.462%,Thundurus Incarnate Forme
Jolly,0/252/4/0/0/252,1.366%,Thundurus Incarnate Forme
Jolly,4/252/0/0/0/252,24.569%,Landorus Therian Forme
Jolly,0/252/0/0/4/252,8.922%,Landorus Therian Forme
Jolly,36/220/0/0/0/252,7.815%,Landorus Therian Forme
Jolly,60/36/156/0/4/252,4.658%,Landorus Therian Forme
Adamant,252/36/20/0/20/180,3.446%,Landorus Therian Forme
Jolly,36/204/4/0/12/252,2.552%,Landorus Therian Forme
Jolly,124/116/4/0/12/252,2.372%,Landorus Therian Forme
Adamant,212/116/52/0/12/116,2.235%,Landorus Therian Forme
Jolly,68/252/0/0/0/188,2.026%,Landorus Therian Forme
Jolly,116/196/0/0/0/196,1.615%,Landorus Therian Forme
Naive,164/0/4/12/76/252,1.601%,Landorus Therian Forme
Adamant,252/36/28/0/188/4,1.394%,Landorus Therian Forme
Jolly,4/244/4/0/4/252,1.251%,Landorus Therian Forme
Jolly,4/196/52/0/4/252,1.237%,Landorus Therian Forme
Jolly,84/92/76/0/4/252,1.186%,Landorus Therian Forme
Adamant,212/36/28/0/108/124,1.137%,Landorus Therian Forme
Adamant,212/116/4/0/36/140,1.081%,Landorus Therian Forme
Adamant,164/36/76/0/4/228,0.960%,Landorus Therian Forme
Jolly,84/156/4/0/12/252,0.949%,Landorus Therian Forme
Jolly,44/252/4/0/4/204,0.924%,Landorus Therian Forme
Bold,180/0/204/0/124/0,17.042%,Gastrodon
Modest,244/0/172/60/28/4,8.543%,Gastrodon
Modest,180/0/252/60/12/4,5.769%,Gastrodon
Bold,180/0/204/4/116/4,5.223%,Gastrodon
Modest,172/0/100/140/92/4,4.814%,Gastrodon
Bold,220/0/252/0/0/36,4.054%,Gastrodon
Bold,172/0/204/0/132/0,2.639%,Gastrodon
Relaxed,180/0/204/0/124/0,2.590%,Gastrodon
Modest,172/0/172/4/156/4,2.377%,Gastrodon
Bold,172/0/204/4/124/4,2.113%,Gastrodon
Relaxed,172/0/148/44/140/0,2.080%,Gastrodon
Relaxed,180/0/148/52/124/0,1.777%,Gastrodon
Modest,212/0/156/28/108/4,1.466%,Gastrodon
Sassy,252/0/196/0/60/0,1.448%,Gastrodon
Bold,172/0/212/0/124/0,1.442%,Gastrodon
Calm,252/0/196/0/60/0,1.354%,Gastrodon
Modest,252/0/60/116/76/4,1.245%,Gastrodon
Bold,204/0/220/4/76/4,1.190%,Gastrodon
Calm,204/0/204/0/100/0,1.131%,Gastrodon
Calm,252/0/0/4/252/0,1.115%,Gastrodon
Timid,4/0/0/252/0/252,34.734%,Charizard
Timid,0/0/0/252/4/252,22.381%,Charizard
Timid,0/0/4/252/0/252,9.913%,Charizard
Timid,44/0/44/164/4/252,3.929%,Charizard
Timid,44/0/0/212/0/252,3.406%,Charizard
Timid,28/0/0/228/0/252,3.183%,Charizard
Quiet,252/0/4/252/0/0,2.920%,Charizard
Timid,44/0/12/196/4/252,2.555%,Charizard
Timid,12/0/44/196/4/252,2.244%,Charizard
Timid,36/0/4/212/4/252,1.932%,Charizard
Timid,36/0/0/220/0/252,1.477%,Charizard
Timid,44/0/4/204/4/252,1.417%,Charizard
Timid,4/0/4/244/4/252,1.203%,Charizard
Timid,4/0/12/236/4/252,0.983%,Charizard
Quiet,4/0/252/252/0/0,0.867%,Charizard
Timid,12/0/12/228/4/252,0.781%,Charizard
Timid,60/0/20/164/12/252,0.769%,Charizard
Timid,44/0/52/156/4/252,0.721%,Charizard
Quiet,172/0/84/252/0/0,0.412%,Charizard
Timid,0/0/0/252/0/252,0.401%,Charizard
Sassy,236/0/116/0/156/0,12.975%,Amoonguss
Sassy,252/0/100/0/156/0,6.631%,Amoonguss
Relaxed,252/0/156/0/100/0,6.104%,Amoonguss
Relaxed,236/0/252/0/20/0,5.527%,Amoonguss
Careful,236/0/172/0/100/0,4.212%,Amoonguss
Calm,236/0/116/0/156/0,4.080%,Amoonguss
Calm,236/0/172/0/100/0,3.842%,Amoonguss
Careful,236/0/116/0/156/0,3.313%,Amoonguss
Adamant,4/252/0/0/252/0,2.890%,Amoonguss
Sassy,252/0/164/0/92/0,2.277%,Amoonguss
Sassy,252/0/4/0/252/0,2.202%,Amoonguss
Sassy,236/0/172/0/100/0,1.971%,Amoonguss
Bold,236/0/156/0/116/0,1.931%,Amoonguss
Sassy,236/0/20/0/252/0,1.914%,Amoonguss
Sassy,252/0/180/0/76/0,1.767%,Amoonguss
Relaxed,236/0/156/0/116/0,1.454%,Amoonguss
Sassy,252/0/156/0/100/0,1.416%,Amoonguss
Careful,252/0/84/0/172/0,1.382%,Amoonguss
Sassy,188/0/188/0/132/0,1.345%,Amoonguss
Calm,252/0/20/0/236/0,1.302%,Amoonguss
Bold,252/0/252/0/4/0,21.561%,Indeedee Female
Relaxed,252/0/252/0/4/0,19.764%,Indeedee Female
Timid,0/0/0/252/4/252,9.702%,Indeedee Female
Bold,236/0/252/0/20/0,5.599%,Indeedee Female
Timid,4/0/0/252/0/252,4.027%,Indeedee Female
Bold,252/0/252/4/0/0,2.936%,Indeedee Female
Bold,252/0/244/0/12/0,2.629%,Indeedee Female
Relaxed,236/0/252/0/20/0,2.589%,Indeedee Female
Bold,252/0/236/0/20/0,2.224%,Indeedee Female
Timid,0/0/4/252/0/252,1.786%,Indeedee Female
Quiet,252/0/4/252/0/0,1.680%,Indeedee Female
Bold,244/0/252/0/12/0,1.573%,Indeedee Female
Bold,204/0/188/36/76/4,1.391%,Indeedee Female
Modest,252/0/4/252/0/0,1.339%,Indeedee Female
Bold,244/0/244/0/20/0,1.149%,Indeedee Female
Relaxed,252/0/244/0/12/0,1.101%,Indeedee Female
Sassy,252/0/4/0/252/0,1.006%,Indeedee Female
Relaxed,244/0/244/0/20/0,0.941%,Indeedee Female
Relaxed,252/0/252/4/0/0,0.751%,Indeedee Female
Bold,236/0/252/0/0/20,0.628%,Indeedee Female
Timid,4/0/0/252/0/252,49.006%,Whimsicott
Timid,0/0/0/252/4/252,15.275%,Whimsicott
Timid,12/0/0/244/0/252,4.665%,Whimsicott
Timid,252/0/0/4/0/252,4.120%,Whimsicott
Timid,0/0/0/252/0/252,4.015%,Whimsicott
Timid,244/0/4/4/4/252,2.470%,Whimsicott
Modest,4/0/0/252/0/252,1.895%,Whimsicott
Timid,0/0/4/252/0/252,1.625%,Whimsicott
Modest,252/0/4/116/116/20,1.568%,Whimsicott
Timid,252/0/0/0/4/252,1.434%,Whimsicott
Modest,0/0/0/252/4/252,1.267%,Whimsicott
Timid,4/0/4/244/4/252,0.953%,Whimsicott
Timid,60/0/4/100/92/252,0.791%,Whimsicott
Timid,124/0/4/140/20/220,0.730%,Whimsicott
Timid,164/0/0/0/92/252,0.651%,Whimsicott
Calm,228/0/0/100/180/0,0.624%,Whimsicott
Timid,252/0/4/0/0/252,0.614%,Whimsicott
Timid,60/0/4/140/52/252,0.591%,Whimsicott
Calm,252/0/4/0/252/0,0.547%,Whimsicott
Modest,252/0/4/252/0/0,0.522%,Whimsicott
Timid,4/0/0/252/0/252,13.167%,Yveltal
Modest,172/0/4/68/12/252,6.312%,Yveltal
Modest,172/0/20/68/12/236,6.094%,Yveltal
Timid,60/0/4/188/4/252,5.721%,Yveltal
Timid,0/0/0/252/4/252,5.598%,Yveltal
Modest,148/0/44/68/4/244,5.266%,Yveltal
Modest,28/0/4/228/4/244,4.404%,Yveltal
Timid,236/0/0/20/0/252,3.042%,Yveltal
Timid,20/0/28/204/4/252,2.589%,Yveltal
Adamant,20/252/0/0/0/236,1.712%,Yveltal
Modest,4/0/0/252/0/252,1.672%,Yveltal
Modest,36/0/4/204/12/252,1.486%,Yveltal
Modest,4/0/12/244/4/244,1.474%,Yveltal
Modest,4/0/12/252/4/236,1.321%,Yveltal
Jolly,172/0/68/12/4/252,1.147%,Yveltal
Timid,4/0/4/252/4/244,1.066%,Yveltal
Timid,124/0/116/20/4/244,1.029%,Yveltal
Mild,252/4/0/252/0/0,0.937%,Yveltal
Modest,44/0/196/4/12/252,0.921%,Yveltal
Modest,188/0/0/84/0/236,0.900%,Yveltal
Brave,252/252/0/0/4/0,22.715%,Calyrex Ice Rider
Adamant,252/252/0/0/4/0,11.137%,Calyrex Ice Rider
Impish,252/4/156/0/84/12,8.734%,Calyrex Ice Rider
Impish,252/4/156/0/76/20,5.513%,Calyrex Ice Rider
Brave,252/252/4/0/0/0,5.007%,Calyrex Ice Rider
Jolly,4/252/0/0/0/252,2.904%,Calyrex Ice Rider
Adamant,252/252/4/0/0/0,2.697%,Calyrex Ice Rider
Jolly,0/252/4/0/0/252,2.590%,Calyrex Ice Rider
Adamant,252/220/4/0/12/20,2.230%,Calyrex Ice Rider
Brave,252/196/0/0/60/0,2.148%,Calyrex Ice Rider
Adamant,252/124/4/0/108/20,1.558%,Calyrex Ice Rider
Adamant,92/252/0/0/0/164,1.490%,Calyrex Ice Rider
Brave,252/116/0/0/140/0,1.433%,Calyrex Ice Rider
Brave,252/252/0/0/0/0,1.411%,Calyrex Ice Rider
Adamant,252/84/0/0/172/0,1.400%,Calyrex Ice Rider
Adamant,252/196/0/0/60/0,1.381%,Calyrex Ice Rider
Adamant,252/116/4/0/132/4,1.159%,Calyrex Ice Rider
Adamant,252/236/4/0/12/4,0.931%,Calyrex Ice Rider
Brave,252/244/0/0/12/0,0.922%,Calyrex Ice Rider
Brave,252/132/0/0/124/0,0.904%,Calyrex Ice Rider
Modest,252/0/0/252/4/0,9.655%,Palkia
Modest,28/0/52/236/4/188,8.438%,Palkia
Modest,244/0/164/0/100/0,5.697%,Palkia
Modest,252/0/44/76/28/108,5.516%,Palkia
Modest,252/0/4/252/0/0,4.183%,Palkia
Modest,4/0/0/252/0/252,3.650%,Palkia
Modest,12/0/4/236/4/252,3.338%,Palkia
Modest,252/0/4/236/4/12,2.944%,Palkia
Modest,236/0/140/84/4/44,2.325%,Palkia
Quiet,252/0/0/252/4/0,2.217%,Palkia
Quiet,252/0/4/252/0/0,2.211%,Palkia
Modest,204/0/20/252/4/28,2.182%,Palkia
Timid,0/0/0/252/4/252,2.107%,Palkia
Modest,188/0/156/156/4/4,2.070%,Palkia
Modest,244/0/148/12/100/4,1.848%,Palkia
Modest,12/0/4/252/4/236,1.605%,Palkia
Modest,188/0/164/156/0/0,1.426%,Palkia
Modest,204/0/52/236/12/4,1.298%,Palkia
Timid,4/0/0/252/0/252,1.260%,Palkia
Modest,252/0/0/212/44/0,1.253%,Palkia
Modest,244/0/12/252/0/0,14.422%,Porygon2
Sassy,244/0/124/0/140/0,7.870%,Porygon2
Sassy,252/0/4/0/252/0,6.281%,Porygon2
Modest,244/0/0/252/12/0,6.028%,Porygon2
Calm,244/0/140/0/124/0,4.954%,Porygon2
Modest,252/0/108/36/84/28,4.748%,Porygon2
Sassy,252/0/124/0/132/0,2.782%,Porygon2
Modest,244/0/0/252/0/12,2.363%,Porygon2
Sassy,244/0/140/0/124/0,2.272%,Porygon2
Sassy,252/0/0/4/252/0,1.860%,Porygon2
Calm,252/0/220/0/36/0,1.686%,Porygon2
Calm,244/0/156/0/108/0,1.583%,Porygon2
Bold,244/0/156/0/108/0,1.499%,Porygon2
Sassy,252/0/172/0/76/0,1.494%,Porygon2
Sassy,244/0/164/0/100/0,1.433%,Porygon2
Modest,244/0/4/116/44/100,1.312%,Porygon2
Modest,244/0/4/124/44/92,1.193%,Porygon2
Modest,244/0/44/4/212/4,1.156%,Porygon2
Bold,244/0/148/0/116/0,1.132%,Porygon2
Serious,252/0/100/0/156/0,1.075%,Porygon2
Timid,4/0/0/252/0/252,56.982%,Tornadus Incarnate Forme
Timid,0/0/0/252/4/252,22.040%,Tornadus Incarnate Forme
Modest,4/0/0/252/0/252,1.864%,Tornadus Incarnate Forme
Timid,36/0/0/220/0/252,1.542%,Tornadus Incarnate Forme
Timid,4/0/4/244/4/252,1.409%,Tornadus Incarnate Forme
Timid,0/0/0/252/0/252,1.311%,Tornadus Incarnate Forme
Bold,252/0/156/36/60/4,1.174%,Tornadus Incarnate Forme
Timid,60/0/60/132/12/244,1.116%,Tornadus Incarnate Forme
Timid,252/0/0/4/0/252,0.978%,Tornadus Incarnate Forme
Timid,244/0/4/4/4/252,0.964%,Tornadus Incarnate Forme
Timid,252/0/4/0/0/252,0.684%,Tornadus Incarnate Forme
Timid,172/0/28/4/52/252,0.574%,Tornadus Incarnate Forme
Timid,0/0/0/0/0/252,0.532%,Tornadus Incarnate Forme
Calm,252/0/0/4/252/0,0.514%,Tornadus Incarnate Forme
Timid,0/0/4/252/0/252,0.472%,Tornadus Incarnate Forme
Timid,66/0/0/186/4/252,0.421%,Tornadus Incarnate Forme
Hasty,0/0/0/252/0/252,0.372%,Tornadus Incarnate Forme
Timid,252/0/0/0/4/252,0.361%,Tornadus Incarnate Forme
Modest,0/0/124/252/132/0,0.356%,Tornadus Incarnate Forme
Timid,4/0/52/196/4/252,0.314%,Tornadus Incarnate Forme
Timid,0/0/0/252/4/252,25.780%,Zapdos
Timid,4/0/0/252/0/252,15.393%,Zapdos
Timid,28/0/4/220/4/252,14.188%,Zapdos
Timid,28/0/0/228/0/252,4.740%,Zapdos
Timid,4/0/4/244/4/252,4.386%,Zapdos
Timid,4/0/4/180/68/252,3.166%,Zapdos
Calm,252/0/4/4/236/12,3.065%,Zapdos
Timid,20/0/4/188/44/252,2.382%,Zapdos
Modest,28/0/28/196/4/252,2.178%,Zapdos
Modest,172/0/12/116/4/204,1.999%,Zapdos
Modest,156/0/4/116/4/228,1.972%,Zapdos
Timid,204/0/0/52/0/252,1.428%,Zapdos
Timid,204/0/44/4/4/252,1.153%,Zapdos
Timid,204/0/4/44/4/252,1.121%,Zapdos
Timid,52/0/4/196/4/252,0.940%,Zapdos
Modest,100/0/4/196/4/204,0.875%,Zapdos
Timid,172/0/4/76/4/252,0.792%,Zapdos
Modest,76/0/4/196/4/228,0.706%,Zapdos
Modest,252/0/28/196/4/28,0.691%,Zapdos
Timid,0/0/12/244/0/252,0.643%,Zapdos
Jolly,4/4/4/0/244/252,32.284%,Kartana
Jolly,0/252/0/0/4/252,14.378%,Kartana
Jolly,84/4/4/0/164/252,10.253%,Kartana
Jolly,4/252/0/0/0/252,4.702%,Kartana
Jolly,4/0/0/0/252/252,3.690%,Kartana
Jolly,84/4/4/0/252/164,2.650%,Kartana
Jolly,44/28/4/0/244/188,2.261%,Kartana
Brave,252/252/0/0/4/0,2.076%,Kartana
Jolly,12/60/4/0/180/252,1.885%,Kartana
Jolly,12/0/0/0/244/252,1.847%,Kartana
Jolly,4/116/4/0/132/252,1.377%,Kartana
Jolly,0/0/0/252/4/252,1.256%,Kartana
Jolly,60/4/4/0/252/188,1.185%,Kartana
Careful,172/0/0/0/252/84,1.176%,Kartana
Jolly,84/4/4/0/228/188,1.166%,Kartana
Jolly,44/4/4/0/252/204,1.060%,Kartana
Jolly,0/4/0/0/252/252,0.854%,Kartana
Jolly,76/4/4/0/172/252,0.744%,Kartana
Adamant,0/252/0/0/180/76,0.700%,Kartana
Jolly,20/236/0/0/0/252,0.685%,Kartana
Modest,244/0/0/244/20/0,18.696%,Blastoise
Modest,252/0/4/252/0/0,13.331%,Blastoise
Modest,244/0/4/252/4/4,7.960%,Blastoise
Modest,180/0/4/108/148/68,5.407%,Blastoise
Modest,244/0/4/204/52/4,5.211%,Blastoise
Modest,244/0/0/244/0/20,4.242%,Blastoise
Modest,252/0/44/196/12/4,3.610%,Blastoise
Modest,244/0/0/252/12/0,2.637%,Blastoise
Modest,156/0/4/196/4/148,2.322%,Blastoise
Modest,252/0/0/252/4/0,2.259%,Blastoise
Modest,148/0/4/204/4/148,2.153%,Blastoise
Modest,148/0/0/252/0/108,2.069%,Blastoise
Modest,140/0/4/252/4/108,2.062%,Blastoise
Modest,172/0/4/212/4/116,1.821%,Blastoise
Modest,252/0/0/252/0/0,1.768%,Blastoise
Modest,244/0/28/116/36/84,1.755%,Blastoise
Modest,252/0/0/252/0/4,1.669%,Blastoise
Modest,244/0/4/140/4/116,1.198%,Blastoise
Quiet,252/0/4/252/0/0,1.194%,Blastoise
Calm,244/0/4/132/12/116,0.993%,Blastoise
Timid,4/0/0/252/0/252,11.488%,Venusaur
Modest,172/0/196/44/4/92,8.301%,Venusaur
Modest,156/0/0/252/0/100,8.040%,Venusaur
Modest,188/0/148/76/4/92,7.341%,Venusaur
Modest,4/0/0/252/0/252,6.755%,Venusaur
Modest,0/0/0/252/4/252,6.685%,Venusaur
Timid,0/0/0/252/4/252,6.602%,Venusaur
Modest,148/0/4/244/12/100,3.082%,Venusaur
Modest,156/0/52/76/12/212,2.306%,Venusaur
Timid,132/0/44/76/4/252,2.231%,Venusaur
Modest,196/0/172/0/0/140,2.155%,Venusaur
Modest,156/0/4/236/12/100,1.973%,Venusaur
Modest,92/0/4/252/4/156,1.615%,Venusaur
Quiet,252/0/4/252/0/0,1.608%,Venusaur
Modest,156/0/44/156/4/148,1.587%,Venusaur
