Name,Generation,Description
Plus,3,Ups Sp. Atk if another Pokémon has Plus or Minus.
Poison Heal,4,Restores HP if the Pokémon is poisoned.
Poison Point,3,Contact with the Pokémon may poison the attacker.
Poison Touch,5,May poison targets when a Pokémon makes contact.
Power Construct,7,Changes form when HP drops below half.
Power Of Alchemy,7,The Pokémon copies the Ability of a defeated ally.
Power Spot,8,Just being next to the Pokémon powers up moves.
Prankster,5,Gives priority to a status move.
Pressure,3,The Pokémon raises the foe's PP usage.
Primordial Sea,6,Makes it rain heavily when the ability activates.
Prism Armor,7,Reduces damage from super-effective attacks.
Propeller Tail,8,Ignores moves and abilities that draw in moves.
Protean,6,Changes the Pokémon's type to its last used move.
Psychic Surge,7,The Pokémon creates a Psychic Terrain when it enters a battle.
Punk Rock,8,Boosts sound-based moves and halves damage from the same moves.
Pure Power,3,Raises the Pokémon's Attack stat.
Queenly Majesty,7,Prevents use of priority moves.
Quick Draw,8,
Quick Feet,4,Boosts Speed if there is a status problem.
Rain Dish,3,The Pokémon gradually regains HP in rain.
Rattled,5,"Bug, Ghost or Dark type moves scare it and boost its Speed."
Receiver,7,Inherits an ally's ability when it faints.
Reckless,4,Powers up moves that have recoil damage.
Refrigerate,6,Turns Normal-type moves into Ice-type moves.
Regenerator,5,Restores a little HP when withdrawn from battle.
Ripen,8,Doubles the effect of berries.
Rivalry,4,Deals more damage to a Pokémon of same gender.
Rks System,7,Changes type depending on held item.
Rock Head,3,Protects the Pokémon from recoil damage.
Rough Skin,3,Inflicts damage to the attacker on contact.
Run Away,3,Enables a sure getaway from wild Pokémon.
Sand Force,5,Boosts certain moves' power in a sandstorm.
Sand Rush,5,Boosts the Pokémon's Speed in a sandstorm.
Sand Spit,8,Creates a sandstorm when hit by an attack.
Sand Stream,3,The Pokémon summons a sandstorm in battle.
Sand Veil,3,Boosts the Pokémon's evasion in a sandstorm.
Sap Sipper,5,Boosts Attack when hit by a Grass-type move.
Schooling,7,Changes Wishiwashi to School Form.
Scrappy,4,Enables moves to hit Ghost-type Pokémon.
Screen Cleaner,8,"Nullifies effects of Light Screen, Reflect, and Aurora Veil."
Serene Grace,3,Boosts the likelihood of added effects appearing.
Shadow Shield,7,Reduces damage when HP is full.
Shadow Tag,3,Prevents the foe from escaping.
Shed Skin,3,The Pokémon may heal its own status problems.
Sheer Force,5,Removes added effects to increase move damage.
Shell Armor,3,The Pokémon is protected against critical hits.
Shield Dust,3,Blocks the added effects of attacks taken.
Shields Down,7,Changes stats when HP drops below half.
Simple,4,Doubles all stat changes.
Skill Link,4,Increases the frequency of multi-strike moves.
Slow Start,4,Temporarily halves Attack and Speed.
Slush Rush,7,Boosts the Pokémon's Speed stat in a hailstorm.
Sniper,4,Powers up moves if they become critical hits.
Snow Cloak,4,Raises evasion in a hailstorm.
Snow Warning,4,The Pokémon summons a hailstorm in battle.
Solar Power,4,"In sunshine, Sp. Atk is boosted but HP decreases."
Solid Rock,4,Reduces damage from super-effective attacks.
Soul Heart,7,Raises Special Attack when an ally faints.
Soundproof,3,Gives immunity to sound-based moves.
Speed Boost,3,Its Speed stat is gradually boosted.
Stakeout,7,Deals double damage to Pokémon switching in.
Stall,4,The Pokémon moves after all other Pokémon do.
Stalwart,8,Ignores moves and abilities that draw in moves.
Stamina,7,Raises Defense when attacked.
Stance Change,6,Changes form depending on moves used.
Static,3,Contact with the Pokémon may cause paralysis.
Steadfast,4,Raises Speed each time the Pokémon flinches.
Steam Engine,8,Drastically raises Speed when hit by a Fire- or Water-type move.
Steelworker,7,Powers up Steel-type moves.
Steely Spirit,8,Powers up ally Pokémon's Steel-type moves.
Stench,3,The stench may cause the target to flinch.
Sticky Hold,3,Protects the Pokémon from item theft.
Storm Drain,4,Draws in all Water-type moves to up Sp. Attack.
Strong Jaw,6,Boosts the power of biting moves.
Sturdy,3,It cannot be knocked out with one hit.
Suction Cups,3,Negates all moves that force switching out.
Super Luck,4,Heightens the critical-hit ratios of moves.
Surge Surfer,7,Doubles Speed during Electric Terrain.
Swarm,3,Powers up Bug-type moves in a pinch.
Sweet Veil,6,Prevents the Pokémon and allies from falling asleep.
Swift Swim,3,Boosts the Pokémon's Speed in rain.
Symbiosis,6,The Pokémon can pass an item to an ally.
Synchronize,3,"Passes a burn, poison, or paralysis to the foe."
Tangled Feet,4,Raises evasion if the Pokémon is confused.
Tangling Hair,7,Contact with the Pokémon lowers the attacker's Speed stat.
Technician,4,Powers up the Pokémon's weaker moves.
Telepathy,5,Anticipates an ally's attack and dodges it.
Teravolt,5,Moves can be used regardless of Abilities.
Thick Fat,3,Ups resistance to Fire- and Ice-type moves.
Tinted Lens,4,Powers up “not very effective” moves.
Torrent,3,Powers up Water-type moves in a pinch.
Tough Claws,6,Boosts the power of contact moves.
Toxic Boost,5,Powers up physical attacks when poisoned.
Trace,3,The Pokémon copies a foe's Ability.
Transistor,8,Signature ability of Regieleki. Powers up Electric-type moves.
Triage,7,Gives priority to restorative moves.
Truant,3,Pokémon can't attack on consecutive turns.
Turboblaze,5,Moves can be used regardless of Abilities.
Unaware,4,Ignores any stat changes in the Pokémon.
Unburden,4,Raises Speed if a held item is used.
Unnerve,5,Makes the foe nervous and unable to eat Berries.
Unseen Fist,8,Contact moves can strike through Protect/Detect.
Victory Star,5,Boosts the accuracy of its allies and itself.
Vital Spirit,3,Prevents the Pokémon from falling asleep.
Volt Absorb,3,Restores HP if hit by an Electric-type move.
Wandering Spirit,8,Swaps abilities with opponents on contact.
Water Absorb,3,Restores HP if hit by a Water-type move.
Water Bubble,7,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns."
Water Compaction,7,Sharply raises Defense when hit by a Water-type move.
Water Veil,3,Prevents the Pokémon from getting a burn.
Weak Armor,5,Physical attacks lower Defense and raise Speed.
White Smoke,3,Prevents other Pokémon from lowering its stats.
Wimp Out,7,Switches out when HP drops below half.
Wonder Guard,3,Only supereffective moves will hit.
Wonder Skin,5,Makes status-changing moves more likely to miss.
Zen Mode,5,Changes form when HP drops below half.
