,Pokemon,Move,Type,Use_Percentage (%)
171,Palkia,Earth Power,ground,72.407%
172,Palkia,Trick Room,psychic,66.273%
173,Palkia,Protect,normal,41.038%
174,Palkia,Flamethrower,fire,21.259%
175,Palkia,Other,,16.389%
176,Porygon2,Trick Room,psychic,89.721%
177,Porygon2,Recover,normal,67.506%
178,Porygon2,Foul Play,dark,44.718%
179,Porygon2,Shadow Ball,ghost,37.299%
180,Porygon2,Eerie Impulse,electric,34.166%
181,Porygon2,Ice Beam,ice,28.395%
182,Porygon2,Hyper Beam,normal,25.944%
183,Porygon2,Icy Wind,ice,24.594%
184,Porygon2,Tri Attack,normal,22.802%
185,Porygon2,Ally Switch,psychic,16.619%
186,Porygon2,Other,,8.236%
187,Tornadus,Tailwind,flying,99.854%
188,Tornadus,Hurricane,flying,94.991%
189,Tornadus,Protect,normal,72.217%
190,Tornadus,Icy Wind,ice,66.041%
191,Tornadus,Taunt,dark,24.366%
192,Tornadus,Rain Dance,water,12.390%
193,Tornadus,Brutal Swing,dark,9.282%
194,Tornadus,Dark Pulse,dark,5.633%
195,Tornadus,Other,,15.227%
196,Zapdos,Hurricane,flying,96.628%
197,Zapdos,Heat Wave,fire,73.258%
198,Zapdos,Thunderbolt,electric,69.658%
199,Zapdos,Protect,normal,50.897%
200,Zapdos,Detect,fighting,28.526%
201,Zapdos,Thunder,electric,25.838%
202,Zapdos,Eerie Impulse,electric,19.148%
203,Zapdos,Roost,flying,15.034%
204,Zapdos,Weather Ball,normal,13.405%
205,Zapdos,Other,,7.609%
206,Kartana,Leaf Blade,grass,99.828%
207,Kartana,Smart Strike,steel,98.388%
208,Kartana,Aerial Ace,flying,90.580%
209,Kartana,Sacred Sword,fighting,79.657%
210,Kartana,Giga Impact,normal,15.590%
211,Kartana,Other,,15.955%
212,Blastoise,Hydro Cannon,water,85.941%
213,Blastoise,Fake Out,normal,60.240%
214,Blastoise,Yawn,normal,59.178%
215,Blastoise,Blizzard,ice,52.957%
216,Blastoise,Helping Hand,normal,37.541%
217,Blastoise,Dark Pulse,dark,31.218%
218,Blastoise,Icy Wind,ice,19.769%
219,Blastoise,Ice Beam,ice,15.366%
220,Blastoise,Water Spout,water,8.226%
221,Blastoise,Terrain Pulse,normal,7.782%
222,Blastoise,Protect,normal,6.683%
223,Blastoise,Other,,15.100%
224,Venusaur,Sleep Powder,grass,87.975%
225,Venusaur,Weather Ball,normal,74.341%
226,Venusaur,Earth Power,ground,63.727%
227,Venusaur,Leaf Storm,grass,61.615%
228,Venusaur,Sludge Bomb,poison,41.102%
229,Venusaur,Frenzy Plant,grass,29.596%
230,Venusaur,Protect,normal,21.665%
231,Venusaur,Other,,19.978%
232,Ferrothorn,Protect,normal,81.649%
233,Ferrothorn,Body Press,fighting,74.990%
234,Ferrothorn,Leech Seed,grass,71.176%
235,Ferrothorn,Iron Defense,steel,64.478%
236,Ferrothorn,Power Whip,grass,54.295%
237,Ferrothorn,Gyro Ball,steel,33.770%
238,Ferrothorn,Other,,19.641%
239,Ditto,,,300.000%
240,Ditto,Transform,normal,100.000%
241,Urshifu,Wicked Blow,dark,99.409%
242,Urshifu,Close Combat,fighting,98.953%
243,Urshifu,Sucker Punch,dark,98.103%
244,Urshifu,Protect,normal,34.116%
245,Urshifu,Detect,fighting,22.811%
246,Urshifu,U-turn,bug,12.535%
247,Urshifu,Helping Hand,normal,12.099%
248,Urshifu,Poison Jab,poison,7.804%
249,Urshifu,Other,,14.171%
250,Xerneas,Geomancy,fairy,99.830%
251,Xerneas,Protect,normal,98.794%
252,Xerneas,Dazzling Gleam,fairy,88.556%
253,Xerneas,Moonblast,fairy,86.398%
254,Xerneas,Hyper Beam,normal,16.830%
255,Xerneas,Other,,9.592%
256,Dialga,Earth Power,ground,87.838%
257,Dialga,Roar of Time,dragon,83.577%
258,Dialga,Flash Cannon,steel,81.213%
259,Dialga,Trick Room,psychic,34.785%
260,Dialga,Blizzard,ice,24.820%
261,Dialga,Overheat,fire,16.215%
262,Dialga,Steel Beam,steel,14.880%
263,Dialga,Protect,normal,12.815%
264,Dialga,Power Gem,rock,9.049%
265,Dialga,Dragon Pulse,dragon,7.895%
266,Dialga,Flamethrower,fire,7.400%
267,Dialga,Other,,19.513%
268,Shedinja,Shadow Sneak,ghost,98.581%
269,Shedinja,Ally Switch,psychic,96.977%
270,Shedinja,Poltergeist,ghost,91.871%
271,Shedinja,Endure,normal,82.904%
272,Shedinja,Protect,normal,16.046%
273,Shedinja,Other,,13.622%
274,Solgaleo,Sunsteel Strike,steel,99.911%
275,Solgaleo,Earthquake,ground,94.249%
276,Solgaleo,Protect,normal,63.217%
277,Solgaleo,Rock Slide,rock,43.071%
278,Solgaleo,Psychic Fangs,psychic,35.657%
279,Solgaleo,Wild Charge,electric,34.579%
280,Solgaleo,Wide Guard,rock,11.218%
281,Solgaleo,Other,,18.096%
282,Dusclops,Trick Room,psychic,99.720%
283,Dusclops,Night Shade,ghost,67.739%
284,Dusclops,Taunt,dark,66.251%
285,Dusclops,Shadow Sneak,ghost,62.111%
286,Dusclops,Helping Hand,normal,38.375%
287,Dusclops,Pain Split,normal,22.982%
288,Dusclops,Will-O-Wisp,fire,19.226%
289,Dusclops,Haze,ice,9.145%
290,Dusclops,Other,,14.451%
291,Torkoal,Protect,normal,80.649%
292,Torkoal,Yawn,normal,64.405%
293,Torkoal,Eruption,fire,60.986%
294,Torkoal,Heat Wave,fire,47.296%
295,Torkoal,Body Press,fighting,44.194%
296,Torkoal,Burning Jealousy,fire,36.362%
297,Torkoal,Earth Power,ground,23.092%
298,Torkoal,Flamethrower,fire,15.511%
299,Torkoal,Solar Beam,grass,11.089%
300,Torkoal,Other,,16.416%
301,Kingdra,Hurricane,flying,70.551%
302,Kingdra,Draco Meteor,dragon,67.739%
303,Kingdra,Protect,normal,63.421%
304,Kingdra,Hydro Pump,water,57.369%
305,Kingdra,Icy Wind,ice,28.331%
306,Kingdra,Outrage,dragon,27.002%
307,Kingdra,Bounce,flying,26.742%
308,Kingdra,Waterfall,water,26.476%
309,Kingdra,Muddy Water,water,14.093%
310,Kingdra,Other,,18.277%
311,Raichu,Fake Out,normal,98.544%
312,Raichu,Nuzzle,electric,84.644%
313,Raichu,Helping Hand,normal,70.022%
314,Raichu,Electroweb,electric,67.333%
315,Raichu,Volt Switch,electric,32.796%
316,Raichu,Eerie Impulse,electric,12.494%
317,Raichu,Light Screen,psychic,4.519%
318,Raichu,Tail Whip,normal,4.506%
319,Raichu,Feint,normal,3.954%
320,Raichu,Brutal Swing,dark,3.672%
321,Raichu,Other,,17.517%
322,Weezing,Protect,normal,99.905%
323,Weezing,Will-O-Wisp,fire,98.913%
324,Weezing,Taunt,dark,97.786%
325,Weezing,Sludge Bomb,poison,83.793%
326,Weezing,Other,,19.603%
327,Entei,Sacred Fire,fire,88.425%
328,Entei,Stone Edge,rock,77.952%
329,Entei,Flare Blitz,fire,57.003%
330,Entei,Crunch,dark,51.432%
331,Entei,Extreme Speed,normal,40.914%
332,Entei,Snarl,dark,28.703%
333,Entei,Bulldoze,ground,20.967%
334,Entei,Stomping Tantrum,ground,14.102%
335,Entei,Protect,normal,13.979%
336,Entei,Other,,6.524%
337,Lunala,Moongeist Beam,ghost,99.996%
338,Lunala,Meteor Beam,rock,94.444%
339,Lunala,Trick Room,psychic,81.709%
340,Lunala,Protect,normal,58.956%
341,Lunala,Wide Guard,rock,25.756%
342,Lunala,Will-O-Wisp,fire,11.722%
343,Lunala,Moonblast,fairy,6.572%
344,Lunala,Moonlight,fairy,5.311%
345,Lunala,Other,,15.533%
346,Kyurem-White,Earth Power,ground,97.707%
347,Kyurem-White,Draco Meteor,dragon,79.675%
348,Kyurem-White,Protect,normal,67.535%
349,Kyurem-White,Blizzard,ice,57.734%
350,Kyurem-White,Freeze-Dry,ice,39.128%
351,Kyurem-White,Flash Cannon,steel,11.624%
352,Kyurem-White,Helping Hand,normal,11.312%
353,Kyurem-White,Ice Beam,ice,9.322%
354,Kyurem-White,Hyper Beam,normal,8.274%
355,Kyurem-White,Other,,17.689%
356,Tapu Fini,Moonblast,fairy,80.347%
357,Tapu Fini,Protect,normal,66.133%
358,Tapu Fini,Muddy Water,water,58.173%
359,Tapu Fini,Calm Mind,psychic,40.074%
360,Tapu Fini,Heal Pulse,psychic,31.413%
361,Tapu Fini,Nature's Madness,,20.283%
362,Tapu Fini,Blizzard,ice,19.520%
363,Tapu Fini,Icy Wind,ice,15.553%
364,Tapu Fini,Scald,water,14.531%
365,Tapu Fini,Dazzling Gleam,fairy,12.954%
366,Tapu Fini,Surf,water,5.623%
367,Tapu Fini,Grass Knot,grass,5.611%
368,Tapu Fini,Hydro Pump,water,5.338%
369,Tapu Fini,Light Screen,psychic,5.232%
370,Tapu Fini,Other,,19.214%
371,Sableye,Will-O-Wisp,fire,86.776%
372,Sableye,Quash,dark,83.107%
373,Sableye,Fake Out,normal,60.813%
374,Sableye,Shadow Sneak,ghost,36.811%
375,Sableye,Ally Switch,psychic,26.309%
376,Sableye,Sunny Day,fire,24.331%
377,Sableye,Sucker Punch,dark,22.290%
378,Sableye,Trick,psychic,20.679%
379,Sableye,Helping Hand,normal,14.095%
380,Sableye,Foul Play,dark,13.929%
381,Sableye,Other,,10.859%
382,Urshifu-Rapid-Strike,Surging Strikes,water,99.864%
383,Urshifu-Rapid-Strike,Close Combat,fighting,98.438%
384,Urshifu-Rapid-Strike,Aqua Jet,water,91.829%
385,Urshifu-Rapid-Strike,Protect,normal,41.898%
386,Urshifu-Rapid-Strike,Detect,fighting,21.076%
387,Urshifu-Rapid-Strike,U-turn,bug,15.795%
388,Urshifu-Rapid-Strike,Helping Hand,normal,5.870%
389,Urshifu-Rapid-Strike,Poison Jab,poison,5.298%
390,Urshifu-Rapid-Strike,Other,,19.932%
391,Tapu Lele,Moonblast,fairy,91.882%
392,Tapu Lele,Psychic,psychic,82.087%
393,Tapu Lele,Dazzling Gleam,fairy,74.918%
394,Tapu Lele,Shadow Ball,ghost,58.798%
395,Tapu Lele,Taunt,dark,30.703%
396,Tapu Lele,Nature's Madness,,14.898%
397,Tapu Lele,Energy Ball,grass,13.322%
398,Tapu Lele,Psyshock,psychic,10.628%
399,Tapu Lele,Reflect,psychic,7.178%
400,Tapu Lele,Other,,15.588%
401,Mimikyu,Shadow Sneak,ghost,92.864%
402,Mimikyu,Trick Room,psychic,90.227%
403,Mimikyu,Will-O-Wisp,fire,79.992%
404,Mimikyu,Taunt,dark,43.916%
405,Mimikyu,Play Rough,fairy,41.470%
406,Mimikyu,Safeguard,normal,17.912%
407,Mimikyu,Protect,normal,8.373%
408,Mimikyu,Wood Hammer,grass,6.496%
409,Mimikyu,Other,,18.749%
410,Gothitelle,Helping Hand,normal,96.715%
411,Gothitelle,Fake Out,normal,93.331%
412,Gothitelle,Hypnosis,psychic,77.277%
413,Gothitelle,Ally Switch,psychic,74.335%
414,Gothitelle,Trick Room,psychic,26.848%
415,Gothitelle,Protect,normal,10.110%
416,Gothitelle,Taunt,dark,9.664%
417,Gothitelle,Other,,11.720%
418,Seismitoad,Liquidation,water,91.553%
419,Seismitoad,Power Whip,grass,90.577%
420,Seismitoad,Stomping Tantrum,ground,80.505%
421,Seismitoad,Bounce,flying,75.287%
422,Seismitoad,Protect,normal,19.664%
423,Seismitoad,Earthquake,ground,11.265%
424,Seismitoad,Earth Power,ground,7.535%
425,Seismitoad,Hydro Pump,water,6.112%
426,Seismitoad,Other,,17.501%
427,Ho-Oh,Sacred Fire,fire,84.238%
428,Ho-Oh,Brave Bird,flying,81.065%
429,Ho-Oh,Protect,normal,80.609%
430,Ho-Oh,Earthquake,ground,56.709%
431,Ho-Oh,Recover,normal,37.963%
432,Ho-Oh,Air Slash,flying,9.320%
433,Ho-Oh,Earth Power,ground,7.211%
434,Ho-Oh,Burn Up,fire,6.992%
435,Ho-Oh,Calm Mind,psychic,6.149%
436,Ho-Oh,Iron Head,steel,5.768%
437,Ho-Oh,Heat Wave,fire,5.624%
438,Ho-Oh,Other,,18.354%
439,Rotom-Heat,Overheat,fire,99.979%
440,Rotom-Heat,Thunderbolt,electric,98.385%
441,Rotom-Heat,Nasty Plot,dark,60.352%
442,Rotom-Heat,Will-O-Wisp,fire,56.661%
443,Rotom-Heat,Protect,normal,38.355%
444,Rotom-Heat,Helping Hand,normal,27.471%
445,Rotom-Heat,Other,,18.796%
446,Eternatus,Flamethrower,fire,72.593%
447,Eternatus,Dynamax Cannon,dragon,71.187%
448,Eternatus,Sludge Bomb,poison,55.993%
449,Eternatus,Protect,normal,52.181%
450,Eternatus,Recover,normal,34.977%
451,Eternatus,Cosmic Power,psychic,33.131%
452,Eternatus,Mystical Fire,fire,24.637%
453,Eternatus,Toxic,poison,21.734%
454,Eternatus,Meteor Beam,rock,14.663%
455,Eternatus,Other,,18.905%
456,Regigigas,Giga Impact,normal,99.433%
457,Regigigas,High Horsepower,ground,97.573%
458,Regigigas,Ice Punch,ice,74.543%
459,Regigigas,Wide Guard,rock,60.199%
460,Regigigas,Protect,normal,33.156%
461,Regigigas,Darkest Lariat,dark,15.461%
462,Regigigas,Other,,19.635%
463,Cinderace,Sucker Punch,dark,92.159%
464,Cinderace,Bounce,flying,80.270%
465,Cinderace,High Jump Kick,fighting,80.067%
466,Cinderace,Pyro Ball,fire,73.923%
467,Cinderace,Iron Head,steel,29.976%
468,Cinderace,Flare Blitz,fire,10.669%
469,Cinderace,Coaching,fighting,9.529%
470,Cinderace,Protect,normal,7.227%
471,Cinderace,Other,,16.181%
472,Bronzong,Body Press,fighting,90.996%
473,Bronzong,Trick Room,psychic,89.100%
474,Bronzong,Ally Switch,psychic,82.713%
475,Bronzong,Iron Defense,steel,82.208%
476,Bronzong,Speed Swap,psychic,17.598%
477,Bronzong,Hypnosis,psychic,11.070%
478,Bronzong,Iron Head,steel,8.392%
479,Bronzong,Other,,17.924%
480,Togekiss,Follow Me,normal,96.579%
481,Togekiss,Dazzling Gleam,fairy,88.140%
482,Togekiss,Helping Hand,normal,82.768%
483,Togekiss,Yawn,normal,41.331%
484,Togekiss,Air Slash,flying,37.443%
485,Togekiss,Protect,normal,28.780%
486,Togekiss,Ally Switch,psychic,11.747%
487,Togekiss,Other,,13.212%
488,Coalossal,Protect,normal,95.081%
489,Coalossal,Meteor Beam,rock,92.932%
490,Coalossal,Heat Wave,fire,92.384%
491,Coalossal,Solar Beam,grass,91.809%
492,Coalossal,Rock Slide,rock,4.831%
493,Coalossal,Flare Blitz,fire,4.520%
494,Coalossal,Other,,18.443%
495,Dragapult,Dragon Darts,dragon,83.820%
496,Dragapult,Phantom Force,ghost,75.683%
497,Dragapult,Fly,flying,69.188%
498,Dragapult,Will-O-Wisp,fire,48.470%
499,Dragapult,Surf,water,16.923%
500,Dragapult,Protect,normal,15.463%
501,Dragapult,Dragon Dance,dragon,10.912%
502,Dragapult,Light Screen,psychic,8.997%
503,Dragapult,Flamethrower,fire,8.867%
504,Dragapult,Sucker Punch,dark,7.116%
505,Dragapult,Ally Switch,psychic,6.317%
506,Dragapult,Dragon Claw,dragon,5.582%
507,Dragapult,Scald,water,5.434%
508,Dragapult,Reflect,psychic,4.686%
509,Dragapult,Dive,water,4.601%
510,Dragapult,Breaking Swipe,dragon,4.489%
511,Dragapult,Shadow Ball,ghost,3.444%
512,Dragapult,Draco Meteor,dragon,3.283%
513,Dragapult,Other,,16.724%
514,Umbreon,Foul Play,dark,98.973%
515,Umbreon,Yawn,normal,97.716%
516,Umbreon,Snarl,dark,90.784%
517,Umbreon,Moonlight,fairy,79.625%
518,Umbreon,Taunt,dark,17.898%
519,Umbreon,Other,,15.004%
520,Indeedee,Expanding Force,psychic,99.251%
521,Indeedee,Trick Room,psychic,81.248%
522,Indeedee,Imprison,psychic,78.776%
523,Indeedee,Helping Hand,normal,61.219%
524,Indeedee,Shadow Ball,ghost,21.544%
525,Indeedee,Dazzling Gleam,fairy,19.882%
526,Indeedee,Trick,psychic,16.369%
527,Indeedee,After You,normal,11.887%
528,Indeedee,Other,,9.824%
529,Comfey,Floral Healing,fairy,98.635%
530,Comfey,Draining Kiss,fairy,81.263%
531,Comfey,Trick Room,psychic,61.193%
532,Comfey,Ally Switch,psychic,53.806%
533,Comfey,Protect,normal,40.430%
534,Comfey,Giga Drain,grass,37.765%
535,Comfey,Helping Hand,normal,16.849%
536,Comfey,Other,,10.059%
537,Lapras,Hydro Pump,water,93.473%
538,Lapras,Freeze-Dry,ice,89.979%
539,Lapras,Protect,normal,75.603%
540,Lapras,Helping Hand,normal,50.981%
541,Lapras,Blizzard,ice,19.916%
542,Lapras,Thunder,electric,19.911%
543,Lapras,Perish Song,normal,13.826%
544,Lapras,Icy Wind,ice,7.153%
545,Lapras,Ice Shard,ice,6.266%
546,Lapras,Surf,water,3.507%
547,Lapras,Other,,19.387%
548,Rayquaza,Draco Meteor,dragon,58.059%
549,Rayquaza,Earth Power,ground,55.012%
550,Rayquaza,Protect,normal,51.967%
551,Rayquaza,Hurricane,flying,46.563%
552,Rayquaza,Dragon Ascent,flying,41.258%
553,Rayquaza,Surf,water,33.030%
554,Rayquaza,Swords Dance,normal,32.483%
555,Rayquaza,Scale Shot,dragon,24.856%
556,Rayquaza,Extreme Speed,normal,13.041%
557,Rayquaza,Earthquake,ground,10.442%
558,Rayquaza,Air Slash,flying,7.546%
559,Rayquaza,Meteor Beam,rock,4.713%
560,Rayquaza,Overheat,fire,4.594%
561,Rayquaza,Other,,16.436%
562,Spectrier,Shadow Ball,ghost,96.691%
563,Spectrier,Will-O-Wisp,fire,89.432%
564,Spectrier,Snarl,dark,85.823%
565,Spectrier,Taunt,dark,47.284%
566,Spectrier,Bulldoze,ground,38.715%
567,Spectrier,Protect,normal,11.105%
568,Spectrier,Mud Shot,ground,6.835%
569,Spectrier,Hyper Beam,normal,6.680%
570,Spectrier,Other,,17.436%
571,Reshiram,Draco Meteor,dragon,93.071%
572,Reshiram,Earth Power,ground,86.059%
573,Reshiram,Blue Flare,fire,74.391%
574,Reshiram,Protect,normal,50.583%
575,Reshiram,Solar Beam,grass,45.992%
576,Reshiram,Fusion Flare,fire,15.000%
577,Reshiram,Heat Wave,fire,14.955%
578,Reshiram,Other,,19.948%
579,Zygarde,Thousand Arrows,ground,98.354%
580,Zygarde,Coil,poison,95.640%
581,Zygarde,Protect,normal,92.208%
582,Zygarde,Substitute,normal,41.087%
583,Zygarde,Iron Tail,steel,31.525%
584,Zygarde,Outrage,dragon,12.294%
585,Zygarde,Rock Slide,rock,7.469%
586,Zygarde,Breaking Swipe,dragon,4.724%
587,Zygarde,Other,,16.700%
588,Mamoswine,Protect,normal,98.706%
589,Mamoswine,High Horsepower,ground,92.386%
590,Mamoswine,Ice Shard,ice,88.540%
591,Mamoswine,Icicle Crash,ice,78.325%
592,Mamoswine,Icicle Spear,ice,27.808%
593,Mamoswine,Other,,14.234%
594,Necrozma-Dawn-Wings,Moongeist Beam,ghost,99.996%
595,Necrozma-Dawn-Wings,Trick Room,psychic,98.313%
596,Necrozma-Dawn-Wings,Meteor Beam,rock,95.905%
597,Necrozma-Dawn-Wings,Gravity,psychic,67.415%
598,Necrozma-Dawn-Wings,Photon Geyser,psychic,29.646%
599,Necrozma-Dawn-Wings,Other,,8.725%
600,Barraskewda,Liquidation,water,84.181%
601,Barraskewda,Bounce,flying,83.742%
602,Barraskewda,Drill Run,ground,63.825%
603,Barraskewda,Throat Chop,dark,55.040%
604,Barraskewda,Crunch,dark,34.666%
605,Barraskewda,Protect,normal,16.709%
606,Barraskewda,Close Combat,fighting,13.412%
607,Barraskewda,Brick Break,fighting,11.325%
608,Barraskewda,Waterfall,water,10.256%
609,Barraskewda,Flip Turn,water,9.286%
610,Barraskewda,Other,,17.559%
