,Pokemon,Teammate,Use_Percentage (%)
128,Amoonguss,Kartana,12.726%
129,Amoonguss,Porygon2,12.457%
130,Indeedee-F,Kyogre,56.547%
131,Indeedee-F,Zacian-Crowned,43.973%
132,Indeedee-F,Whimsicott,36.740%
133,Indeedee-F,Regieleki,30.412%
134,Indeedee-F,Calyrex-Shadow,27.633%
135,Indeedee-F,Landorus-Therian,24.166%
136,Indeedee-F,Incineroar,23.759%
137,Indeedee-F,Calyrex-Ice,13.515%
138,Indeedee-F,Porygon2,11.406%
139,Indeedee-F,Shedinja,10.976%
140,Whimsicott,Zacian-Crowned,52.199%
141,Whimsicott,Kyogre,52.084%
142,Whimsicott,Indeedee-F,38.753%
143,Whimsicott,Calyrex-Shadow,38.013%
144,Whimsicott,Regieleki,37.898%
145,Whimsicott,Incineroar,22.296%
146,Whimsicott,Thundurus,19.241%
147,Whimsicott,Landorus-Therian,16.249%
148,Whimsicott,Charizard,8.957%
149,Whimsicott,Kartana,8.643%
150,Yveltal,Zacian-Crowned,61.076%
151,Yveltal,Incineroar,58.851%
152,Yveltal,Regieleki,51.634%
153,Yveltal,Landorus-Therian,45.888%
154,Yveltal,Gastrodon,27.077%
155,Yveltal,Grimmsnarl,23.820%
156,Yveltal,Rillaboom,22.524%
157,Yveltal,Amoonguss,19.386%
158,Yveltal,Groudon,10.337%
159,Yveltal,Venusaur,9.203%
160,Calyrex-Ice,Incineroar,72.170%
161,Calyrex-Ice,Amoonguss,51.585%
162,Calyrex-Ice,Palkia,46.625%
163,Calyrex-Ice,Regieleki,36.174%
164,Calyrex-Ice,Dusclops,23.808%
165,Calyrex-Ice,Porygon2,23.465%
166,Calyrex-Ice,Indeedee-F,22.485%
167,Calyrex-Ice,Kyogre,17.536%
168,Calyrex-Ice,Rillaboom,12.540%
169,Calyrex-Ice,Urshifu,10.823%
170,Palkia,Incineroar,72.365%
171,Palkia,Amoonguss,65.320%
172,Palkia,Calyrex-Ice,54.721%
173,Palkia,Regieleki,33.459%
174,Palkia,Zacian-Crowned,29.264%
175,Palkia,Porygon2,20.836%
176,Palkia,Dusclops,20.429%
177,Palkia,Indeedee-F,19.664%
178,Palkia,Thundurus,17.752%
179,Palkia,Rillaboom,9.927%
180,Porygon2,Incineroar,52.601%
181,Porygon2,Zacian-Crowned,43.137%
182,Porygon2,Kyogre,34.875%
183,Porygon2,Calyrex-Ice,28.951%
184,Porygon2,Amoonguss,25.303%
185,Porygon2,Indeedee-F,23.412%
186,Porygon2,Groudon,21.925%
187,Porygon2,Palkia,21.904%
188,Porygon2,Regieleki,20.761%
189,Porygon2,Venusaur,17.286%
190,Tornadus,Kyogre,84.699%
191,Tornadus,Zacian-Crowned,62.536%
192,Tornadus,Kartana,41.763%
193,Tornadus,Amoonguss,40.781%
194,Tornadus,Incineroar,30.613%
195,Tornadus,Landorus-Therian,28.733%
196,Tornadus,Regieleki,19.366%
197,Tornadus,Rillaboom,16.066%
198,Tornadus,Raichu,14.487%
199,Tornadus,Tapu%20Lele,11.706%
200,Zapdos,Kyogre,73.176%
201,Zapdos,Zacian-Crowned,69.785%
202,Zapdos,Incineroar,56.028%
203,Zapdos,Grimmsnarl,47.175%
204,Zapdos,Rillaboom,39.572%
205,Zapdos,Whimsicott,15.045%
206,Zapdos,Ferrothorn,13.824%
207,Zapdos,Amoonguss,11.350%
208,Zapdos,Landorus-Therian,10.598%
209,Zapdos,Calyrex-Shadow,9.062%
210,Kartana,Kyogre,85.397%
211,Kartana,Zacian-Crowned,75.478%
212,Kartana,Tornadus,44.397%
213,Kartana,Incineroar,37.885%
214,Kartana,Amoonguss,31.812%
215,Kartana,Indeedee-F,21.590%
216,Kartana,Whimsicott,20.700%
217,Kartana,Landorus-Therian,18.727%
218,Kartana,Raichu,16.094%
219,Kartana,Tapu%20Lele,12.547%
220,Blastoise,Zacian-Crowned,87.112%
221,Blastoise,Rillaboom,71.924%
222,Blastoise,Calyrex-Shadow,71.101%
223,Blastoise,Incineroar,55.509%
224,Blastoise,Regieleki,38.350%
225,Blastoise,Thundurus,32.156%
226,Blastoise,Grimmsnarl,27.933%
227,Blastoise,Yveltal,13.186%
228,Blastoise,Landorus-Therian,8.942%
229,Blastoise,Ditto,8.883%
230,Venusaur,Incineroar,58.019%
231,Venusaur,Groudon,55.583%
232,Venusaur,Zacian-Crowned,38.214%
233,Venusaur,Torkoal,26.585%
234,Venusaur,Grimmsnarl,26.212%
235,Venusaur,Porygon2,21.989%
236,Venusaur,Thundurus,20.741%
237,Venusaur,Kyogre,17.458%
238,Venusaur,Charizard,14.708%
239,Venusaur,Yveltal,14.262%
240,Ferrothorn,Zacian-Crowned,64.175%
241,Ferrothorn,Kyogre,53.210%
242,Ferrothorn,Incineroar,31.626%
243,Ferrothorn,Regieleki,25.844%
244,Ferrothorn,Grimmsnarl,25.194%
245,Ferrothorn,Whimsicott,24.514%
246,Ferrothorn,Thundurus,20.708%
247,Ferrothorn,Zapdos,20.347%
248,Ferrothorn,Landorus-Therian,18.900%
249,Ferrothorn,Palkia,17.724%
250,Ditto,Zacian-Crowned,64.346%
251,Ditto,Calyrex-Shadow,34.781%
252,Ditto,Grimmsnarl,33.104%
253,Ditto,Rillaboom,31.140%
254,Ditto,Indeedee-F,30.206%
255,Ditto,Whimsicott,28.139%
256,Ditto,Kyogre,26.373%
257,Ditto,Incineroar,20.983%
258,Ditto,Thundurus,19.080%
259,Ditto,Regieleki,17.147%
260,Urshifu,Kyogre,44.607%
261,Urshifu,Regieleki,40.160%
262,Urshifu,Zacian-Crowned,35.025%
263,Urshifu,Whimsicott,26.205%
264,Urshifu,Calyrex-Ice,26.125%
265,Urshifu,Indeedee-F,25.473%
266,Urshifu,Incineroar,20.020%
267,Urshifu,Dialga,18.879%
268,Urshifu,Amoonguss,17.932%
269,Urshifu,Landorus-Therian,14.684%
270,Xerneas,Incineroar,74.256%
271,Xerneas,Groudon,60.273%
272,Xerneas,Grimmsnarl,48.980%
273,Xerneas,Charizard,44.081%
274,Xerneas,Rillaboom,33.574%
275,Xerneas,Venusaur,19.592%
276,Xerneas,Indeedee-F,18.368%
277,Xerneas,Regieleki,15.972%
278,Xerneas,Amoonguss,15.162%
279,Xerneas,Thundurus,14.845%
280,Dialga,Incineroar,42.353%
281,Dialga,Rillaboom,30.748%
282,Dialga,Grimmsnarl,25.678%
283,Dialga,Kyogre,24.807%
284,Dialga,Calyrex-Ice,22.841%
285,Dialga,Whimsicott,21.383%
286,Dialga,Landorus-Therian,21.224%
287,Dialga,Regieleki,20.568%
288,Dialga,Urshifu,20.382%
289,Dialga,Thundurus,16.819%
290,Shedinja,Kyogre,82.039%
291,Shedinja,Zacian-Crowned,76.954%
292,Shedinja,Kingdra,53.761%
293,Shedinja,Indeedee-F,51.639%
294,Shedinja,Porygon2,25.677%
295,Shedinja,Landorus-Therian,24.825%
296,Shedinja,Thundurus,20.065%
297,Shedinja,Incineroar,13.633%
298,Shedinja,Kartana,12.360%
299,Shedinja,Zapdos,10.281%
300,Solgaleo,Kyogre,42.346%
301,Solgaleo,Incineroar,41.476%
302,Solgaleo,Grimmsnarl,36.029%
303,Solgaleo,Rillaboom,29.591%
304,Solgaleo,Tornadus,24.607%
305,Solgaleo,Regieleki,19.283%
306,Solgaleo,Thundurus,17.588%
307,Solgaleo,Zapdos,15.985%
308,Solgaleo,Landorus-Therian,15.982%
309,Solgaleo,Groudon,11.544%
310,Dusclops,Incineroar,76.026%
311,Dusclops,Calyrex-Ice,75.519%
312,Dusclops,Amoonguss,63.232%
313,Dusclops,Palkia,55.215%
314,Dusclops,Regieleki,50.931%
315,Dusclops,Kyogre,19.040%
316,Dusclops,Indeedee-F,18.666%
317,Dusclops,Yveltal,10.944%
318,Dusclops,Zacian-Crowned,7.837%
319,Dusclops,Groudon,6.739%
320,Torkoal,Venusaur,60.940%
321,Torkoal,Zacian-Crowned,51.753%
322,Torkoal,Porygon2,42.770%
323,Torkoal,Incineroar,32.554%
324,Torkoal,Calyrex-Ice,30.138%
325,Torkoal,Kyogre,24.417%
326,Torkoal,Indeedee-F,21.320%
327,Torkoal,Palkia,20.707%
328,Torkoal,Amoonguss,16.603%
329,Torkoal,Yveltal,16.309%
330,Kingdra,Kyogre,86.306%
331,Kingdra,Zacian-Crowned,84.609%
332,Kingdra,Shedinja,68.456%
333,Kingdra,Indeedee-F,61.284%
334,Kingdra,Porygon2,32.271%
335,Kingdra,Landorus-Therian,29.610%
336,Kingdra,Incineroar,14.269%
337,Kingdra,Thundurus,14.258%
338,Kingdra,Weezing,8.428%
339,Kingdra,Rillaboom,6.132%
340,Raichu,Kyogre,74.742%
341,Raichu,Zacian-Crowned,53.881%
342,Raichu,Kartana,42.174%
343,Raichu,Tornadus,40.358%
344,Raichu,Incineroar,37.691%
345,Raichu,Yveltal,31.425%
346,Raichu,Amoonguss,31.299%
347,Raichu,Rillaboom,15.573%
348,Raichu,Landorus-Therian,11.675%
349,Raichu,Shedinja,8.538%
350,Weezing,Zacian-Crowned,70.597%
351,Weezing,Kyogre,42.097%
352,Weezing,Regigigas,37.434%
353,Weezing,Calyrex-Shadow,36.336%
354,Weezing,Whimsicott,32.840%
355,Weezing,Thundurus,29.444%
356,Weezing,Regieleki,20.153%
357,Weezing,Incineroar,16.087%
358,Weezing,Rillaboom,12.186%
359,Weezing,Kingdra,10.494%
360,Entei,Zacian-Crowned,64.292%
361,Entei,Thundurus,40.690%
362,Entei,Palkia,38.769%
363,Entei,Gothitelle,34.043%
364,Entei,Kyogre,30.652%
365,Entei,Ferrothorn,30.174%
366,Entei,Grimmsnarl,22.836%
367,Entei,Rillaboom,18.777%
368,Entei,Whimsicott,17.854%
369,Entei,Indeedee-F,15.781%
370,Lunala,Incineroar,73.243%
371,Lunala,Groudon,49.476%
372,Lunala,Charizard,39.053%
373,Lunala,Regieleki,38.760%
374,Lunala,Amoonguss,36.602%
375,Lunala,Grimmsnarl,24.415%
376,Lunala,Zacian-Crowned,23.460%
377,Lunala,Thundurus,22.984%
378,Lunala,Rillaboom,19.950%
379,Lunala,Venusaur,19.007%
380,Kyurem-White,Whimsicott,45.426%
381,Kyurem-White,Zacian-Crowned,44.355%
382,Kyurem-White,Indeedee-F,40.784%
383,Kyurem-White,Regieleki,31.675%
384,Kyurem-White,Incineroar,29.881%
385,Kyurem-White,Grimmsnarl,24.652%
386,Kyurem-White,Ditto,20.352%
387,Kyurem-White,Thundurus,16.239%
388,Kyurem-White,Amoonguss,14.378%
389,Kyurem-White,Calyrex-Shadow,12.259%
390,Tapu Fini,Incineroar,60.676%
391,Tapu Fini,Groudon,40.072%
392,Tapu Fini,Porygon2,29.802%
393,Tapu Fini,Calyrex-Ice,28.936%
394,Tapu Fini,Thundurus,28.329%
395,Tapu Fini,Charizard,24.874%
396,Tapu Fini,Amoonguss,20.371%
397,Tapu Fini,Necrozma-Dawn-Wings,17.740%
398,Tapu Fini,Palkia,15.861%
399,Tapu Fini,Venusaur,14.457%
400,Sableye,Incineroar,67.992%
401,Sableye,Rillaboom,59.438%
402,Sableye,Zacian-Crowned,44.519%
403,Sableye,Landorus-Therian,31.514%
404,Sableye,Thundurus,27.787%
405,Sableye,Dialga,25.984%
406,Sableye,Calyrex-Ice,24.547%
407,Sableye,Kyogre,21.408%
408,Sableye,Groudon,13.204%
409,Sableye,Charizard,11.781%
410,Urshifu-Rapid-Strike,Incineroar,57.635%
411,Urshifu-Rapid-Strike,Zacian-Crowned,51.567%
412,Urshifu-Rapid-Strike,Calyrex-Shadow,39.911%
413,Urshifu-Rapid-Strike,Rillaboom,39.735%
414,Urshifu-Rapid-Strike,Regieleki,36.819%
415,Urshifu-Rapid-Strike,Coalossal,32.791%
416,Urshifu-Rapid-Strike,Whimsicott,23.148%
417,Urshifu-Rapid-Strike,Yveltal,22.355%
418,Urshifu-Rapid-Strike,Dialga,19.774%
419,Urshifu-Rapid-Strike,Indeedee-F,14.728%
420,Tapu Lele,Kyogre,68.010%
421,Tapu Lele,Zacian-Crowned,62.420%
422,Tapu Lele,Amoonguss,59.037%
423,Tapu Lele,Kartana,51.214%
424,Tapu Lele,Tornadus,50.795%
425,Tapu Lele,Whimsicott,33.412%
426,Tapu Lele,Calyrex-Shadow,23.599%
427,Tapu Lele,Regieleki,18.316%
428,Tapu Lele,Yveltal,14.770%
429,Tapu Lele,Urshifu,13.440%
430,Mimikyu,Incineroar,76.435%
431,Mimikyu,Calyrex-Ice,60.506%
432,Mimikyu,Kyogre,46.358%
433,Mimikyu,Amoonguss,33.916%
434,Mimikyu,Regieleki,33.519%
435,Mimikyu,Solgaleo,19.693%
436,Mimikyu,Palkia,17.314%
437,Mimikyu,Indeedee-F,13.866%
438,Mimikyu,Groudon,12.131%
439,Mimikyu,Seismitoad,10.661%
440,Gothitelle,Zacian-Crowned,64.952%
441,Gothitelle,Thundurus,46.404%
442,Gothitelle,Entei,42.787%
443,Gothitelle,Palkia,42.197%
444,Gothitelle,Ferrothorn,37.437%
445,Gothitelle,Kyogre,30.024%
446,Gothitelle,Incineroar,21.986%
447,Gothitelle,Regieleki,20.880%
448,Gothitelle,Rillaboom,19.516%
449,Gothitelle,Ditto,14.438%
450,Seismitoad,Kyogre,91.167%
451,Seismitoad,Zacian-Crowned,57.494%
452,Seismitoad,Grimmsnarl,52.244%
453,Seismitoad,Incineroar,52.210%
454,Seismitoad,Zapdos,30.989%
455,Seismitoad,Rillaboom,16.504%
456,Seismitoad,Calyrex-Ice,12.778%
457,Seismitoad,Mimikyu,12.383%
458,Seismitoad,Dialga,11.659%
459,Seismitoad,Kartana,11.650%
460,Ho-Oh,Gastrodon,54.263%
461,Ho-Oh,Incineroar,43.664%
462,Ho-Oh,Zacian-Crowned,27.773%
463,Ho-Oh,Thundurus,22.825%
464,Ho-Oh,Rillaboom,22.742%
465,Ho-Oh,Venusaur,18.476%
466,Ho-Oh,Regieleki,17.110%
467,Ho-Oh,Landorus-Therian,16.728%
468,Ho-Oh,Grimmsnarl,14.211%
469,Ho-Oh,Groudon,12.265%
470,Rotom-Heat,Zacian-Crowned,76.144%
471,Rotom-Heat,Gastrodon,53.559%
472,Rotom-Heat,Yveltal,48.354%
473,Rotom-Heat,Rillaboom,47.653%
474,Rotom-Heat,Landorus-Therian,46.956%
475,Rotom-Heat,Grimmsnarl,29.702%
476,Rotom-Heat,Amoonguss,15.683%
477,Rotom-Heat,Kyogre,15.477%
478,Rotom-Heat,Incineroar,14.376%
479,Rotom-Heat,Meowstic,8.865%
480,Eternatus,Incineroar,52.155%
481,Eternatus,Rillaboom,33.037%
482,Eternatus,Grimmsnarl,30.400%
483,Eternatus,Solgaleo,24.922%
484,Eternatus,Blastoise,22.816%
485,Eternatus,Thundurus,22.808%
486,Eternatus,Zacian-Crowned,22.388%
487,Eternatus,Arcanine,21.447%
488,Eternatus,Alcremie,19.432%
489,Eternatus,Regieleki,16.219%
490,Regigigas,Weezing,84.614%
491,Regigigas,Zacian-Crowned,79.060%
492,Regigigas,Calyrex-Shadow,78.613%
493,Regigigas,Whimsicott,47.184%
494,Regigigas,Regieleki,35.065%
495,Regigigas,Thundurus,25.374%
496,Regigigas,Blastoise,20.418%
497,Regigigas,Kyogre,10.733%
498,Regigigas,Comfey,9.790%
499,Regigigas,Rillaboom,7.724%
500,Cinderace,Kyogre,64.007%
501,Cinderace,Whimsicott,49.813%
502,Cinderace,Indeedee-F,42.308%
503,Cinderace,Regieleki,32.880%
504,Cinderace,Zacian-Crowned,26.548%
505,Cinderace,Calyrex-Shadow,23.732%
506,Cinderace,Rillaboom,17.365%
507,Cinderace,Calyrex-Ice,15.534%
508,Cinderace,Grimmsnarl,14.796%
509,Cinderace,Indeedee,14.246%
510,Bronzong,Groudon,69.054%
511,Bronzong,Thundurus,63.749%
512,Bronzong,Venusaur,62.841%
513,Bronzong,Incineroar,61.320%
514,Bronzong,Xerneas,55.543%
515,Bronzong,Landorus-Therian,16.623%
516,Bronzong,Yveltal,13.438%
517,Bronzong,Regieleki,12.016%
518,Bronzong,Charizard,9.394%
519,Bronzong,Tornadus,7.385%
520,Togekiss,Incineroar,42.981%
521,Togekiss,Calyrex-Ice,38.495%
522,Togekiss,Dialga,36.613%
523,Togekiss,Regieleki,35.897%
524,Togekiss,Rillaboom,34.990%
525,Togekiss,Calyrex-Shadow,29.813%
526,Togekiss,Grimmsnarl,28.513%
527,Togekiss,Whimsicott,25.718%
528,Togekiss,Kyogre,23.074%
529,Togekiss,Indeedee-F,20.727%
530,Coalossal,Zacian-Crowned,87.812%
531,Coalossal,Incineroar,81.650%
532,Coalossal,Urshifu-Rapid-Strike,79.309%
533,Coalossal,Rillaboom,75.559%
534,Coalossal,Yveltal,44.173%
535,Coalossal,Rayquaza,25.633%
536,Coalossal,Calyrex-Shadow,12.458%
537,Coalossal,Thundurus,11.860%
538,Coalossal,Dragapult,8.792%
539,Coalossal,Tornadus,5.115%
540,Dragapult,Zacian-Crowned,62.648%
541,Dragapult,Incineroar,48.311%
542,Dragapult,Kyogre,35.079%
543,Dragapult,Rillaboom,26.874%
544,Dragapult,Groudon,22.777%
545,Dragapult,Indeedee-F,21.434%
546,Dragapult,Gastrodon,15.713%
547,Dragapult,Charizard,14.637%
548,Dragapult,Yveltal,13.130%
549,Dragapult,Grimmsnarl,12.015%
550,Umbreon,Thundurus,49.504%
551,Umbreon,Zacian-Crowned,43.745%
552,Umbreon,Groudon,40.685%
553,Umbreon,Whimsicott,37.438%
554,Umbreon,Charizard,32.414%
555,Umbreon,Lunala,30.375%
556,Umbreon,Incineroar,23.530%
557,Umbreon,Kyogre,18.886%
558,Umbreon,Ho-Oh,18.694%
559,Umbreon,Gastrodon,18.389%
560,Indeedee,Regieleki,66.451%
561,Indeedee,Whimsicott,65.836%
562,Indeedee,Calyrex-Shadow,64.363%
563,Indeedee,Dialga,40.852%
564,Indeedee,Urshifu-Rapid-Strike,31.796%
565,Indeedee,Kyogre,27.950%
566,Indeedee,Zacian-Crowned,20.648%
567,Indeedee,Cinderace,19.942%
568,Indeedee,Calyrex-Ice,12.801%
569,Indeedee,Hatterene,11.419%
570,Comfey,Incineroar,41.267%
571,Comfey,Zacian-Crowned,40.260%
572,Comfey,Kyogre,29.929%
573,Comfey,Zekrom,24.434%
574,Comfey,Rillaboom,24.148%
575,Comfey,Regieleki,23.603%
576,Comfey,Grimmsnarl,20.482%
577,Comfey,Zygarde,18.640%
578,Comfey,Blastoise,17.193%
579,Comfey,Calyrex-Shadow,16.019%
580,Lapras,Zacian-Crowned,65.293%
581,Lapras,Incineroar,57.418%
582,Lapras,Regieleki,41.148%
583,Lapras,Yveltal,28.964%
584,Lapras,Amoonguss,28.807%
585,Lapras,Landorus-Therian,21.919%
586,Lapras,Calyrex-Shadow,20.988%
587,Lapras,Rillaboom,17.739%
588,Lapras,Thundurus,16.587%
589,Lapras,Groudon,13.423%
590,Rayquaza,Incineroar,72.361%
591,Rayquaza,Zacian-Crowned,67.541%
592,Rayquaza,Rillaboom,54.323%
593,Rayquaza,Urshifu-Rapid-Strike,31.994%
594,Rayquaza,Coalossal,30.836%
595,Rayquaza,Regieleki,17.116%
596,Rayquaza,Amoonguss,16.543%
597,Rayquaza,Grimmsnarl,15.346%
598,Rayquaza,Whimsicott,13.266%
599,Rayquaza,Gastrodon,11.851%
600,Spectrier,Incineroar,57.375%
601,Spectrier,Zacian-Crowned,49.985%
602,Spectrier,Gastrodon,37.251%
603,Spectrier,Groudon,37.132%
604,Spectrier,Charizard,37.121%
605,Spectrier,Solgaleo,36.327%
606,Spectrier,Kyogre,26.459%
607,Spectrier,Tornadus,19.043%
608,Spectrier,Rillaboom,17.455%
609,Spectrier,Regieleki,17.215%
610,Reshiram,Grimmsnarl,57.213%
611,Reshiram,Gastrodon,48.421%
612,Reshiram,Rillaboom,46.983%
613,Reshiram,Zacian-Crowned,46.420%
614,Reshiram,Incineroar,27.850%
615,Reshiram,Landorus-Therian,25.596%
616,Reshiram,Groudon,23.991%
617,Reshiram,Thundurus,20.355%
618,Reshiram,Porygon2,18.927%
619,Reshiram,Blastoise,14.893%
620,Zygarde,Incineroar,81.782%
621,Zygarde,Zamazenta-Crowned,46.162%
622,Zygarde,Thundurus,32.982%
623,Zygarde,Grimmsnarl,29.822%
624,Zygarde,Tapu%20Fini,29.493%
625,Zygarde,Comfey,21.794%
626,Zygarde,Rillaboom,20.332%
627,Zygarde,Zacian-Crowned,19.164%
628,Zygarde,Metagross,14.193%
629,Zygarde,Zapdos-Galar,13.992%
630,Mamoswine,Calyrex-Shadow,77.049%
631,Mamoswine,Zacian-Crowned,60.699%
632,Mamoswine,Regieleki,48.222%
633,Mamoswine,Incineroar,32.785%
634,Mamoswine,Rillaboom,28.115%
635,Mamoswine,Thundurus,27.615%
636,Mamoswine,Torkoal,25.931%
637,Mamoswine,Venusaur,25.931%
638,Mamoswine,Whimsicott,21.644%
639,Mamoswine,Grimmsnarl,11.207%
640,Necrozma-Dawn-Wings,Thundurus,85.910%
641,Necrozma-Dawn-Wings,Groudon,85.864%
642,Necrozma-Dawn-Wings,Porygon2,85.795%
643,Necrozma-Dawn-Wings,Charizard,85.794%
644,Necrozma-Dawn-Wings,Tapu%20Fini,60.816%
645,Necrozma-Dawn-Wings,Ferrothorn,15.219%
646,Necrozma-Dawn-Wings,Blastoise,9.707%
647,Necrozma-Dawn-Wings,Indeedee-F,3.907%
648,Necrozma-Dawn-Wings,Calyrex-Ice,3.144%
649,Necrozma-Dawn-Wings,Torkoal,2.425%
650,Barraskewda,Zacian-Crowned,68.544%
651,Barraskewda,Kyogre,60.305%
652,Barraskewda,Whimsicott,44.935%
653,Barraskewda,Indeedee-F,39.425%
654,Barraskewda,Kartana,38.175%
655,Barraskewda,Calyrex-Shadow,29.039%
656,Barraskewda,Amoonguss,13.756%
657,Barraskewda,Rillaboom,10.406%
658,Barraskewda,Landorus-Therian,9.412%
659,Barraskewda,Pelipper,9.048%
660,Celesteela,Whimsicott,31.957%
661,Celesteela,Calyrex-Shadow,30.822%
662,Celesteela,Gastrodon,30.066%
663,Celesteela,Ho-Oh,22.680%
664,Celesteela,Yveltal,22.550%
665,Celesteela,Lunala,20.943%
666,Celesteela,Sneasel,20.321%
667,Celesteela,Umbreon,19.157%
