,Ability,Pokemon,Hidden
263,Curious Medicine,slowking-galar,False
264,Cursed Body,gengar,False
265,Cursed Body,shuppet,True
266,Cursed Body,banette,True
267,Cursed Body,froslass,True
268,Cursed Body,frillish,False
269,Cursed Body,jellicent,False
270,Cursed Body,sinistea,True
271,Cursed Body,polteageist,True
272,Cursed Body,dreepy,True
273,Cursed Body,drakloak,True
274,Cursed Body,dragapult,True
275,Cursed Body,marowak-alola,False
276,Cursed Body,marowak-totem,False
277,Cursed Body,corsola-galar,True
278,Cursed Body,gengar-gmax,False
279,Cute Charm,clefairy,False
280,Cute Charm,clefable,False
281,Cute Charm,jigglypuff,False
282,Cute Charm,wigglytuff,False
283,Cute Charm,cleffa,False
284,Cute Charm,igglybuff,False
285,Cute Charm,skitty,False
286,Cute Charm,delcatty,False
287,Cute Charm,milotic,True
288,Cute Charm,lopunny,False
289,Cute Charm,minccino,False
290,Cute Charm,cinccino,False
291,Cute Charm,sylveon,False
292,Cute Charm,stufful,True
293,Damp,paras,True
294,Damp,parasect,True
295,Damp,psyduck,False
296,Damp,golduck,False
297,Damp,poliwag,False
298,Damp,poliwhirl,False
299,Damp,poliwrath,False
300,Damp,horsea,True
301,Damp,seadra,True
302,Damp,politoed,False
303,Damp,wooper,False
304,Damp,quagsire,False
305,Damp,kingdra,True
306,Damp,mudkip,True
307,Damp,marshtomp,True
308,Damp,swampert,True
309,Damp,frillish,True
310,Damp,jellicent,True
311,Dancer,oricorio-baile,False
312,Dancer,oricorio-pom-pom,False
313,Dancer,oricorio-pau,False
314,Dancer,oricorio-sensu,False
315,Dark Aura,yveltal,False
316,Dauntless Shield,zamazenta,False
317,Dauntless Shield,zamazenta-crowned,False
318,Dazzling,bruxish,False
319,Defeatist,archen,False
320,Defeatist,archeops,False
321,Defiant,mankey,True
322,Defiant,primeape,True
323,Defiant,farfetchd,True
324,Defiant,piplup,True
325,Defiant,prinplup,True
326,Defiant,empoleon,True
327,Defiant,purugly,True
328,Defiant,pawniard,False
329,Defiant,bisharp,False
330,Defiant,braviary,True
331,Defiant,tornadus-incarnate,True
332,Defiant,thundurus-incarnate,True
333,Defiant,passimian,True
334,Defiant,obstagoon,True
335,Defiant,falinks,True
336,Defiant,zapdos-galar,False
337,Delta Stream,rayquaza-mega,False
338,Desolate Land,groudon-primal,False
339,Disguise,mimikyu-disguised,False
340,Disguise,mimikyu-busted,False
341,Disguise,mimikyu-totem-disguised,False
342,Disguise,mimikyu-totem-busted,False
343,Download,porygon,False
344,Download,porygon2,False
345,Download,porygon-z,False
346,Download,genesect,False
347,Dragons Maw,regidrago,False
348,Drizzle,politoed,True
349,Drizzle,pelipper,False
350,Drizzle,kyogre,False
351,Drought,vulpix,True
352,Drought,ninetales,True
353,Drought,torkoal,False
354,Drought,groudon,False
355,Drought,charizard-mega-y,False
356,Dry Skin,paras,False
357,Dry Skin,parasect,False
358,Dry Skin,jynx,True
359,Dry Skin,croagunk,False
360,Dry Skin,toxicroak,False
361,Dry Skin,helioptile,False
362,Dry Skin,heliolisk,False
363,Early Bird,doduo,False
364,Early Bird,dodrio,False
365,Early Bird,kangaskhan,False
366,Early Bird,ledyba,False
367,Early Bird,ledian,False
368,Early Bird,natu,False
369,Early Bird,xatu,False
370,Early Bird,sunkern,True
371,Early Bird,sunflora,True
372,Early Bird,girafarig,False
373,Early Bird,houndour,False
374,Early Bird,houndoom,False
375,Early Bird,seedot,False
376,Early Bird,nuzleaf,False
377,Early Bird,shiftry,False
378,Effect Spore,vileplume,True
379,Effect Spore,paras,False
380,Effect Spore,parasect,False
381,Effect Spore,shroomish,False
382,Effect Spore,breloom,False
383,Effect Spore,foongus,False
384,Effect Spore,amoonguss,False
385,Effect Spore,morelull,False
386,Effect Spore,shiinotic,False
387,Effect Spore,gossifleur,True
388,Effect Spore,eldegoss,True
389,Electric Surge,tapu-koko,False
390,Electric Surge,pincurchin,True
391,Emergency Exit,golisopod,False
392,Fairy Aura,xerneas,False
393,Filter,mr-mime,False
394,Filter,mime-jr,False
395,Filter,aggron-mega,False
396,Flame Body,ponyta,True
397,Flame Body,rapidash,True
398,Flame Body,magmar,False
399,Flame Body,moltres,True
400,Flame Body,slugma,False
401,Flame Body,magcargo,False
402,Flame Body,magby,False
403,Flame Body,magmortar,False
404,Flame Body,heatran,True
405,Flame Body,litwick,False
406,Flame Body,lampent,False
407,Flame Body,chandelure,False
408,Flame Body,larvesta,False
409,Flame Body,volcarona,False
410,Flame Body,fletchinder,False
411,Flame Body,talonflame,False
412,Flame Body,carkol,False
413,Flame Body,coalossal,False
414,Flame Body,sizzlipede,True
415,Flame Body,centiskorch,True
416,Flame Body,coalossal-gmax,False
417,Flame Body,centiskorch-gmax,True
418,Flare Boost,drifloon,True
419,Flare Boost,drifblim,True
420,Flash Fire,vulpix,False
421,Flash Fire,ninetales,False
422,Flash Fire,growlithe,False
423,Flash Fire,arcanine,False
424,Flash Fire,ponyta,False
425,Flash Fire,rapidash,False
426,Flash Fire,flareon,False
427,Flash Fire,cyndaquil,True
428,Flash Fire,quilava,True
429,Flash Fire,typhlosion,True
430,Flash Fire,houndour,False
431,Flash Fire,houndoom,False
432,Flash Fire,heatran,False
433,Flash Fire,litwick,False
434,Flash Fire,lampent,False
435,Flash Fire,chandelure,False
436,Flash Fire,heatmor,False
437,Flash Fire,rolycoly,True
438,Flash Fire,carkol,True
439,Flash Fire,coalossal,True
440,Flash Fire,sizzlipede,False
441,Flash Fire,centiskorch,False
442,Flash Fire,coalossal-gmax,True
443,Flash Fire,centiskorch-gmax,False
444,Flower Gift,cherrim,False
445,Flower Veil,flabebe,False
446,Flower Veil,floette,False
447,Flower Veil,florges,False
448,Flower Veil,comfey,False
449,Flower Veil,floette-eternal,False
450,Fluffy,stufful,False
451,Fluffy,bewear,False
452,Fluffy,wooloo,False
453,Fluffy,dubwool,False
454,Forecast,castform,False
455,Forecast,castform-sunny,False
456,Forecast,castform-rainy,False
457,Forecast,castform-snowy,False
458,Forewarn,drowzee,False
459,Forewarn,hypno,False
460,Forewarn,jynx,False
461,Forewarn,smoochum,False
462,Forewarn,munna,False
463,Forewarn,musharna,False
464,Friend Guard,clefairy,True
465,Friend Guard,jigglypuff,True
466,Friend Guard,cleffa,True
467,Friend Guard,igglybuff,True
468,Friend Guard,happiny,True
469,Friend Guard,scatterbug,True
470,Friend Guard,spewpa,True
471,Friend Guard,vivillon,True
472,Frisk,wigglytuff,True
473,Frisk,sentret,True
474,Frisk,furret,True
475,Frisk,yanma,True
476,Frisk,stantler,False
477,Frisk,shuppet,False
478,Frisk,banette,False
479,Frisk,duskull,True
480,Frisk,dusclops,True
481,Frisk,yanmega,True
482,Frisk,dusknoir,True
483,Frisk,gothita,False
484,Frisk,gothorita,False
485,Frisk,gothitelle,False
486,Frisk,phantump,False
487,Frisk,trevenant,False
488,Frisk,pumpkaboo-average,False
489,Frisk,gourgeist-average,False
490,Frisk,noibat,False
491,Frisk,noivern,False
492,Frisk,orbeetle,False
493,Frisk,impidimp,False
494,Frisk,morgrem,False
495,Frisk,grimmsnarl,False
496,Frisk,pumpkaboo-small,False
497,Frisk,pumpkaboo-large,False
498,Frisk,pumpkaboo-super,False
499,Frisk,gourgeist-small,False
500,Frisk,gourgeist-large,False
501,Frisk,gourgeist-super,False
502,Frisk,exeggutor-alola,False
503,Frisk,orbeetle-gmax,False
504,Frisk,grimmsnarl-gmax,False
505,Full Metal Body,solgaleo,False
506,Fur Coat,furfrou,False
507,Fur Coat,persian-alola,False
508,Gale Wings,fletchling,True
509,Gale Wings,fletchinder,True
510,Gale Wings,talonflame,True
511,Galvanize,geodude-alola,True
512,Galvanize,graveler-alola,True
513,Galvanize,golem-alola,True
514,Gluttony,bellsprout,True
515,Gluttony,weepinbell,True
516,Gluttony,victreebel,True
517,Gluttony,snorlax,True
518,Gluttony,shuckle,False
519,Gluttony,zigzagoon,False
520,Gluttony,linoone,False
521,Gluttony,gulpin,True
522,Gluttony,swalot,True
523,Gluttony,spoink,True
524,Gluttony,grumpig,True
525,Gluttony,munchlax,True
526,Gluttony,pansage,False
527,Gluttony,simisage,False
528,Gluttony,pansear,False
529,Gluttony,simisear,False
530,Gluttony,panpour,False
531,Gluttony,simipour,False
532,Gluttony,heatmor,False
533,Gluttony,skwovet,True
534,Gluttony,greedent,True
535,Gluttony,applin,False
536,Gluttony,flapple,False
537,Gluttony,appletun,False
538,Gluttony,rattata-alola,False
539,Gluttony,raticate-alola,False
540,Gluttony,raticate-totem-alola,False
541,Gluttony,grimer-alola,False
542,Gluttony,muk-alola,False
543,Gluttony,slowpoke-galar,False
544,Gluttony,zigzagoon-galar,False
545,Gluttony,linoone-galar,False
546,Gluttony,snorlax-gmax,True
547,Gluttony,flapple-gmax,False
548,Gluttony,appletun-gmax,False
549,Gooey,goomy,True
550,Gooey,sliggoo,True
551,Gooey,goodra,True
552,Gorilla Tactics,darmanitan-galar-standard,False
553,Gorilla Tactics,darmanitan-galar-zen,False
554,Grass Pelt,skiddo,True
555,Grass Pelt,gogoat,True
556,Grassy Surge,tapu-bulu,False
557,Grassy Surge,grookey,True
558,Grassy Surge,thwackey,True
559,Grassy Surge,rillaboom,True
560,Grassy Surge,rillaboom-gmax,True
561,Grim Neigh,spectrier,False
562,Gulp Missile,cramorant,False
563,Gulp Missile,cramorant-gulping,False
564,Gulp Missile,cramorant-gorging,False
565,Guts,rattata,False
566,Guts,raticate,False
567,Guts,machop,False
568,Guts,machoke,False
569,Guts,machamp,False
570,Guts,flareon,True
571,Guts,heracross,False
572,Guts,ursaring,False
573,Guts,tyrogue,False
574,Guts,larvitar,False
575,Guts,taillow,False
576,Guts,swellow,False
577,Guts,makuhita,False
578,Guts,hariyama,False
579,Guts,shinx,True
580,Guts,luxio,True
581,Guts,luxray,True
582,Guts,timburr,False
583,Guts,gurdurr,False
584,Guts,conkeldurr,False
585,Guts,throh,False
586,Guts,obstagoon,False
587,Guts,machamp-gmax,False
588,Harvest,exeggcute,True
589,Harvest,exeggutor,True
590,Harvest,tropius,True
591,Harvest,phantump,True
592,Harvest,trevenant,True
593,Harvest,exeggutor-alola,True
594,Healer,chansey,True
595,Healer,bellossom,True
596,Healer,blissey,True
597,Healer,audino,False
598,Healer,alomomola,False
599,Healer,spritzee,False
600,Healer,aromatisse,False
601,Healer,hatenna,False
602,Healer,hattrem,False
603,Healer,hatterene,False
604,Healer,audino-mega,False
605,Healer,hatterene-gmax,False
606,Heatproof,bronzor,False
607,Heatproof,bronzong,False
608,Heatproof,rolycoly,False
609,Heavy Metal,aron,True
610,Heavy Metal,lairon,True
611,Heavy Metal,aggron,True
612,Heavy Metal,bronzor,True
613,Heavy Metal,bronzong,True
614,Heavy Metal,cufant,True
615,Heavy Metal,copperajah,True
616,Heavy Metal,duraludon,False
617,Heavy Metal,copperajah-gmax,True
618,Heavy Metal,duraludon-gmax,False
619,Honey Gather,teddiursa,True
620,Honey Gather,combee,False
621,Honey Gather,cutiefly,False
622,Honey Gather,ribombee,False
623,Honey Gather,ribombee-totem,False
624,Huge Power,marill,False
625,Huge Power,azumarill,False
626,Huge Power,azurill,False
627,Huge Power,bunnelby,True
628,Huge Power,diggersby,True
629,Huge Power,mawile-mega,False
630,Hunger Switch,morpeko-full-belly,False
631,Hunger Switch,morpeko-hangry,False
632,Hustle,rattata,True
633,Hustle,raticate,True
634,Hustle,nidoran-f,True
635,Hustle,nidorina,True
636,Hustle,nidoran-m,True
637,Hustle,nidorino,True
638,Hustle,togepi,False
639,Hustle,togetic,False
640,Hustle,corsola,False
641,Hustle,remoraid,False
642,Hustle,delibird,False
643,Hustle,combee,True
644,Hustle,togekiss,False
645,Hustle,darumaka,False
646,Hustle,rufflet,True
647,Hustle,durant,False
648,Hustle,deino,False
649,Hustle,zweilous,False
650,Hustle,flapple,True
651,Hustle,dracozolt,False
652,Hustle,rattata-alola,False
653,Hustle,raticate-alola,False
654,Hustle,raticate-totem-alola,False
655,Hustle,darumaka-galar,False
656,Hustle,flapple-gmax,True
657,Hydration,seel,False
658,Hydration,dewgong,False
659,Hydration,lapras,True
660,Hydration,vaporeon,True
661,Hydration,smoochum,True
662,Hydration,wingull,False
663,Hydration,barboach,True
664,Hydration,whiscash,True
665,Hydration,gorebyss,True
666,Hydration,luvdisc,True
667,Hydration,phione,False
668,Hydration,manaphy,False
669,Hydration,tympole,False
670,Hydration,palpitoad,False
671,Hydration,ducklett,True
672,Hydration,swanna,True
673,Hydration,alomomola,False
674,Hydration,shelmet,False
675,Hydration,accelgor,False
676,Hydration,goomy,False
677,Hydration,sliggoo,False
678,Hydration,goodra,False
679,Hydration,lapras-gmax,True
680,Hyper Cutter,krabby,False
681,Hyper Cutter,kingler,False
682,Hyper Cutter,pinsir,False
683,Hyper Cutter,gligar,False
684,Hyper Cutter,mawile,False
685,Hyper Cutter,trapinch,False
686,Hyper Cutter,corphish,False
687,Hyper Cutter,crawdaunt,False
688,Hyper Cutter,gliscor,False
689,Hyper Cutter,crabrawler,False
690,Hyper Cutter,crabominable,False
691,Hyper Cutter,kingler-gmax,False
692,Ice Body,seel,True
693,Ice Body,dewgong,True
694,Ice Body,snorunt,False
695,Ice Body,glalie,False
696,Ice Body,spheal,False
697,Ice Body,sealeo,False
698,Ice Body,walrein,False
699,Ice Body,regice,True
700,Ice Body,glaceon,True
701,Ice Body,vanillite,False
702,Ice Body,vanillish,False
703,Ice Body,vanilluxe,False
704,Ice Body,bergmite,False
705,Ice Body,avalugg,False
706,Ice Body,mr-rime,True
707,Ice Body,arctovish,False
708,Ice Body,mr-mime-galar,True
709,Ice Face,eiscue-ice,False
710,Ice Face,eiscue-noice,False
711,Ice Scales,snom,True
712,Ice Scales,frosmoth,True
713,Illuminate,staryu,False
714,Illuminate,starmie,False
715,Illuminate,chinchou,False
716,Illuminate,lanturn,False
717,Illuminate,volbeat,False
718,Illuminate,watchog,False
719,Illuminate,morelull,False
720,Illuminate,shiinotic,False
721,Illusion,zorua,False
722,Illusion,zoroark,False
723,Immunity,snorlax,False
724,Immunity,gligar,True
725,Immunity,zangoose,False
726,Immunity,snorlax-gmax,False
727,Imposter,ditto,True
728,Infiltrator,zubat,True
729,Infiltrator,golbat,True
730,Infiltrator,crobat,True
731,Infiltrator,hoppip,True
732,Infiltrator,skiploom,True
733,Infiltrator,jumpluff,True
734,Infiltrator,ninjask,True
735,Infiltrator,seviper,True
736,Infiltrator,spiritomb,True
737,Infiltrator,cottonee,False
738,Infiltrator,whimsicott,False
739,Infiltrator,litwick,True
740,Infiltrator,lampent,True
741,Infiltrator,chandelure,True
742,Infiltrator,espurr,False
743,Infiltrator,meowstic-male,False
744,Infiltrator,inkay,True
745,Infiltrator,malamar,True
746,Infiltrator,noibat,False
747,Infiltrator,noivern,False
748,Infiltrator,dreepy,False
749,Infiltrator,drakloak,False
750,Infiltrator,dragapult,False
751,Infiltrator,meowstic-female,False
752,Innards Out,pyukumuku,False
753,Inner Focus,zubat,False
754,Inner Focus,golbat,False
755,Inner Focus,abra,False
756,Inner Focus,kadabra,False
757,Inner Focus,alakazam,False
758,Inner Focus,farfetchd,False
759,Inner Focus,drowzee,True
760,Inner Focus,hypno,True
761,Inner Focus,hitmonchan,True
762,Inner Focus,kangaskhan,True
763,Inner Focus,dragonite,False
764,Inner Focus,crobat,False
765,Inner Focus,umbreon,True
766,Inner Focus,girafarig,False
767,Inner Focus,sneasel,False
768,Inner Focus,raikou,True
769,Inner Focus,entei,True
770,Inner Focus,suicune,True
771,Inner Focus,snorunt,False
772,Inner Focus,glalie,False
773,Inner Focus,riolu,False
774,Inner Focus,lucario,False
775,Inner Focus,throh,False
776,Inner Focus,sawk,False
777,Inner Focus,darumaka,True
778,Inner Focus,mienfoo,False
779,Inner Focus,mienshao,False
780,Inner Focus,pawniard,False
781,Inner Focus,bisharp,False
782,Inner Focus,mudbray,True
783,Inner Focus,mudsdale,True
784,Inner Focus,oranguru,False
785,Inner Focus,indeedee-male,False
786,Inner Focus,kubfu,False
787,Inner Focus,gallade-mega,False
788,Inner Focus,darumaka-galar,True
789,Insomnia,drowzee,False
790,Insomnia,hypno,False
791,Insomnia,hoothoot,False
792,Insomnia,noctowl,False
793,Insomnia,spinarak,False
794,Insomnia,ariados,False
795,Insomnia,murkrow,False
796,Insomnia,delibird,True
797,Insomnia,shuppet,False
798,Insomnia,banette,False
799,Insomnia,honchkrow,False
800,Insomnia,pumpkaboo-average,True
801,Insomnia,gourgeist-average,True
802,Insomnia,pumpkaboo-small,True
803,Insomnia,pumpkaboo-large,True
804,Insomnia,pumpkaboo-super,True
805,Insomnia,gourgeist-small,True
806,Insomnia,gourgeist-large,True
807,Insomnia,gourgeist-super,True
808,Insomnia,mewtwo-mega-y,False
809,Intimidate,ekans,False
810,Intimidate,arbok,False
811,Intimidate,growlithe,False
812,Intimidate,arcanine,False
813,Intimidate,tauros,False
814,Intimidate,gyarados,False
815,Intimidate,snubbull,False
816,Intimidate,granbull,False
817,Intimidate,qwilfish,True
818,Intimidate,stantler,False
819,Intimidate,hitmontop,False
820,Intimidate,mightyena,False
821,Intimidate,masquerain,False
822,Intimidate,mawile,False
823,Intimidate,salamence,False
824,Intimidate,staravia,False
825,Intimidate,staraptor,False
826,Intimidate,shinx,False
827,Intimidate,luxio,False
828,Intimidate,luxray,False
829,Intimidate,herdier,False
830,Intimidate,stoutland,False
831,Intimidate,sandile,False
832,Intimidate,krokorok,False
833,Intimidate,krookodile,False
834,Intimidate,scraggy,True
835,Intimidate,scrafty,True
836,Intimidate,litten,True
837,Intimidate,torracat,True
838,Intimidate,incineroar,True
839,Intimidate,landorus-therian,False
840,Intimidate,manectric-mega,False
841,Intrepid Sword,zacian,False
842,Intrepid Sword,zacian-crowned,False
843,Iron Barbs,ferroseed,False
844,Iron Barbs,ferrothorn,False
845,Iron Barbs,togedemaru,False
846,Iron Barbs,togedemaru-totem,False
847,Iron Fist,hitmonchan,False
848,Iron Fist,ledian,True
849,Iron Fist,chimchar,True
850,Iron Fist,monferno,True
851,Iron Fist,infernape,True
852,Iron Fist,timburr,True
853,Iron Fist,gurdurr,True
854,Iron Fist,conkeldurr,True
855,Iron Fist,golett,False
856,Iron Fist,golurk,False
857,Iron Fist,pancham,False
858,Iron Fist,pangoro,False
859,Iron Fist,crabrawler,False
860,Iron Fist,crabominable,False
861,Iron Fist,melmetal,False
862,Iron Fist,melmetal-gmax,False
863,Justified,growlithe,True
864,Justified,arcanine,True
865,Justified,absol,True
866,Justified,lucario,True
867,Justified,gallade,True
868,Justified,cobalion,False
869,Justified,terrakion,False
870,Justified,virizion,False
871,Justified,keldeo-ordinary,False
872,Justified,keldeo-resolute,False
873,Keen Eye,pidgey,False
874,Keen Eye,pidgeotto,False
875,Keen Eye,pidgeot,False
876,Keen Eye,spearow,False
877,Keen Eye,fearow,False
878,Keen Eye,farfetchd,False
879,Keen Eye,hitmonchan,False
880,Keen Eye,sentret,False
881,Keen Eye,furret,False
882,Keen Eye,hoothoot,False
883,Keen Eye,noctowl,False
884,Keen Eye,sneasel,False
885,Keen Eye,skarmory,False
886,Keen Eye,wingull,False
887,Keen Eye,pelipper,False
888,Keen Eye,sableye,False
889,Keen Eye,starly,False
890,Keen Eye,glameow,True
891,Keen Eye,stunky,True
892,Keen Eye,skuntank,True
893,Keen Eye,chatot,False
894,Keen Eye,skorupi,True
895,Keen Eye,drapion,True
896,Keen Eye,patrat,False
897,Keen Eye,watchog,False
898,Keen Eye,ducklett,False
