,Move,UsePercentage,Pokemon,Name
434,Taunt,36.166,Salazzle,Taunt
435,Taunt,48.955,Emolga,Taunt
436,Taunt,26.599,Toxtricity Low Key Form,Taunt
437,Taunt,27.722,Mr. Mime,Taunt
438,Taunt,17.463,Unfezant,Taunt
439,Taunt,11.065,Perrserker,Taunt
440,Taunt,18.154,Morpeko Full Belly Mode,Taunt
441,Taunt,22.837,Noivern,Taunt
442,Taunt,60.279,Drapion,Taunt
443,Taunt,75.360,Vanilluxe,Taunt
444,Taunt,96.890,Mime Jr.,Taunt
445,Snarl,9.495,Incineroar,Snarl
446,Snarl,22.241,Calyrex Shadow Rider,Snarl
447,Snarl,45.445,Yveltal,Snarl
448,Snarl,28.703,Entei,Snarl
449,Snarl,90.784,Umbreon,Snarl
450,Snarl,85.823,Spectrier,Snarl
451,Snarl,66.137,Arcanine,Snarl
452,Snarl,62.251,Zamazenta Crowned Shield,Snarl
453,Snarl,85.882,Suicune,Snarl
454,Snarl,21.064,Liepard,Snarl
455,Snarl,16.880,Hydreigon,Snarl
456,Snarl,9.429,Glastrier,Snarl
457,Snarl,37.830,Galarian Moltres,Snarl
458,Snarl,7.901,Tyranitar,Snarl
459,Snarl,22.824,Raikou,Snarl
460,Snarl,29.799,Krookodile,Snarl
461,Snarl,36.582,Mandibuzz,Snarl
462,Snarl,56.413,Scrafty,Snarl
463,Snarl,50.590,Boltund,Snarl
464,Snarl,81.685,Manectric,Snarl
465,Snarl,47.343,Drampa,Snarl
466,Snarl,55.109,Zoroark,Snarl
467,Snarl,81.397,Haxorus,Snarl
468,Snarl,81.578,Thievul,Snarl
469,Snarl,45.062,Toxtricity Low Key Form,Snarl
470,Snarl,13.481,Stoutland,Snarl
471,Snarl,11.199,Drapion,Snarl
472,Water Spout,93.603,Kyogre,Water Spout
473,Water Spout,8.226,Blastoise,Water Spout
474,Water Spout,57.229,Jellicent,Water Spout
475,Origin Pulse,77.789,Kyogre,Origin Pulse
476,Ice Beam,77.355,Kyogre,Ice Beam
477,Ice Beam,79.866,Gastrodon,Ice Beam
478,Ice Beam,28.395,Porygon2,Ice Beam
479,Ice Beam,15.366,Blastoise,Ice Beam
480,Ice Beam,9.322,White Kyurem,Ice Beam
481,Ice Beam,17.659,Milotic,Ice Beam
482,Ice Beam,9.049,Mewtwo,Ice Beam
483,Ice Beam,10.220,Inteleon,Ice Beam
484,Ice Beam,6.014,Politoed,Ice Beam
485,Ice Beam,34.866,Ludicolo,Ice Beam
486,Ice Beam,10.837,Primarina,Ice Beam
487,Ice Beam,7.909,Latias,Ice Beam
488,Ice Beam,6.454,Cresselia,Ice Beam
489,Ice Beam,93.187,Wishiwashi Solo Form,Ice Beam
490,Ice Beam,82.954,Mantine,Ice Beam
491,Ice Beam,5.947,Goodra,Ice Beam
492,Ice Beam,38.335,Silvally,Ice Beam
493,Ice Beam,13.248,Starmie,Ice Beam
494,Ice Beam,10.988,Vaporeon,Ice Beam
495,Ice Beam,2.911,Lopunny,Ice Beam
496,Ice Beam,25.410,Golduck,Ice Beam
497,Ice Beam,16.545,Cursola,Ice Beam
498,Ice Beam,50.262,Exploud,Ice Beam
499,Ice Beam,81.730,Seaking,Ice Beam
500,Ice Beam,3.503,Tentacruel,Ice Beam
501,Thunder,54.061,Kyogre,Thunder
502,Thunder,25.838,Zapdos,Thunder
503,Thunder,19.911,Lapras,Thunder
504,Thunder,11.256,Tapu Koko,Thunder
505,Thunder,40.022,Thundurus Therian Forme,Thunder
506,Thunder,10.649,Wash Rotom,Thunder
507,Thunder,14.286,Pikachu,Thunder
508,Thunder,30.286,Raikou,Thunder
509,Thunder,77.345,Heliolisk,Thunder
510,Thunder,36.405,Porygon-Z,Thunder
511,Thunder,28.627,Duraludon,Thunder
512,Thunder,17.204,Vikavolt,Thunder
513,Thunder,16.446,Xurkitree,Thunder
514,Thunder,12.932,Mow Rotom,Thunder
515,Thunder,86.412,Manectric,Thunder
516,Thunder,8.394,Magnezone,Thunder
517,Thunder,39.983,Frost Rotom,Thunder
518,Thunder,37.509,Jolteon,Thunder
519,Thunder,21.356,Reuniclus,Thunder
520,Thunder,39.960,Galvantula,Thunder
521,Thunder,12.558,Dragalge,Thunder
522,Blizzard,12.518,Kyogre,Blizzard
523,Blizzard,52.957,Blastoise,Blizzard
524,Blizzard,24.820,Dialga,Blizzard
525,Blizzard,57.734,White Kyurem,Blizzard
526,Blizzard,19.520,Tapu Fini,Blizzard
527,Blizzard,19.916,Lapras,Blizzard
528,Blizzard,44.307,Milotic,Blizzard
529,Blizzard,14.876,Mewtwo,Blizzard
530,Blizzard,4.901,Ludicolo,Blizzard
531,Blizzard,75.578,Alolan Ninetales,Blizzard
532,Blizzard,13.382,Porygon-Z,Blizzard
533,Blizzard,74.712,Abomasnow,Blizzard
534,Blizzard,11.584,Glaceon,Blizzard
535,Blizzard,3.582,Vaporeon,Blizzard
536,Blizzard,99.999,Frost Rotom,Blizzard
537,Blizzard,8.443,Cursola,Blizzard
538,Blizzard,15.210,Exploud,Blizzard
539,Blizzard,99.833,Vanilluxe,Blizzard
540,Blizzard,30.075,Tentacruel,Blizzard
541,Blizzard,12.533,Dunsparce,Blizzard
542,Reflect,75.872,Grimmsnarl,Reflect
543,Reflect,7.178,Tapu Lele,Reflect
544,Reflect,4.686,Dragapult,Reflect
545,Reflect,74.018,Meowstic Male,Reflect
546,Reflect,47.943,Raikou,Reflect
547,Reflect,55.960,Togedemaru,Reflect
548,Reflect,78.803,Klefki,Reflect
549,Reflect,29.119,Articuno,Reflect
550,Reflect,4.840,Togetic,Reflect
551,Reflect,8.773,Ribombee,Reflect
552,Reflect,13.174,Aromatisse,Reflect
553,Reflect,12.454,Magneton,Reflect
554,Reflect,9.675,Claydol,Reflect
555,Light Screen,63.992,Grimmsnarl,Light Screen
556,Light Screen,4.519,Raichu,Light Screen
557,Light Screen,5.232,Tapu Fini,Light Screen
558,Light Screen,8.997,Dragapult,Light Screen
559,Light Screen,7.671,Tapu Koko,Light Screen
560,Light Screen,80.128,Meowstic Male,Light Screen
561,Light Screen,44.365,Raikou,Light Screen
562,Light Screen,78.689,Klefki,Light Screen
563,Light Screen,94.869,Charjabug,Light Screen
564,Light Screen,13.208,Aromatisse,Light Screen
565,Light Screen,9.695,Claydol,Light Screen
566,Light Screen,9.362,Reuniclus,Light Screen
567,Light Screen,11.406,Galarian Corsola,Light Screen
568,Light Screen,3.514,Orbeetle,Light Screen
569,Thunder Wave,55.346,Grimmsnarl,Thunder Wave
570,Thunder Wave,11.828,Thundurus Incarnate Forme,Thunder Wave
571,Thunder Wave,7.192,Liepard,Thunder Wave
572,Thunder Wave,18.483,Meowstic Male,Thunder Wave
573,Thunder Wave,5.380,Tyranitar,Thunder Wave
574,Thunder Wave,43.625,Raikou,Thunder Wave
575,Thunder Wave,92.238,Klefki,Thunder Wave
576,Thunder Wave,13.820,Cresselia,Thunder Wave
577,Thunder Wave,46.664,Boltund,Thunder Wave
578,Thunder Wave,8.948,Manectric,Thunder Wave
579,Thunder Wave,14.468,Cinccino,Thunder Wave
580,Thunder Wave,12.305,Togetic,Thunder Wave
581,Thunder Wave,5.439,Salazzle,Thunder Wave
582,Thunder Wave,25.247,Mr. Mime,Thunder Wave
583,Thunder Wave,49.450,Lopunny,Thunder Wave
584,Thunder Wave,8.807,Miltank,Thunder Wave
585,Thunder Wave,5.819,Stoutland,Thunder Wave
586,Thunder Wave,28.580,Jolteon,Thunder Wave
587,Spirit Break,52.745,Grimmsnarl,Spirit Break
588,Foul Play,38.453,Grimmsnarl,Foul Play
589,Foul Play,19.228,Thundurus Incarnate Forme,Foul Play
590,Foul Play,10.868,Amoonguss,Foul Play
591,Foul Play,60.609,Yveltal,Foul Play
592,Foul Play,44.718,Porygon2,Foul Play
593,Foul Play,13.929,Sableye,Foul Play
594,Foul Play,98.973,Umbreon,Foul Play
595,Foul Play,53.759,Liepard,Foul Play
596,Foul Play,33.373,Weavile,Foul Play
597,Foul Play,98.558,Alolan Persian,Foul Play
598,Foul Play,16.399,Galarian Moltres,Foul Play
599,Foul Play,4.420,Sneasel,Foul Play
600,Foul Play,15.684,Wash Rotom,Foul Play
601,Foul Play,14.817,Tyranitar,Foul Play
602,Foul Play,20.003,Oranguru,Foul Play
603,Foul Play,29.338,Krookodile,Foul Play
