ID,Name,Attributes,Category,Effect
11,luxury-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': ""Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon's happiness increases, it increases by one extra point.\n\n    If used in a trainer battle, nothing happens and the ball is lost."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.'}]"
12,premier-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.'}]"
13,dusk-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': ""Used in battle\n:   Attempts to catch a wild Pokémon.  If it's currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.'}]"
14,heal-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': ""Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  The caught Pokémon's HP is immediately restored, PP for all its moves is restored, and any status ailment is cured.\n\n    If used in a trainer battle, nothing happens and the ball is lost."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.'}]"
15,quick-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.'}]"
16,cherish-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.'}]"
17,potion,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a friendly Pokémon\n:   Restores 20 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 20 HP.'}]"
18,antidote,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures poison.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures poison.'}]"
19,burn-heal,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures a burn.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures a burn.'}]"
20,ice-heal,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures freezing.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures freezing.'}]"
21,awakening,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures sleep.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures sleep.'}]"
22,paralyze-heal,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures paralysis.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures paralysis.'}]"
23,full-restore,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores HP to full and cures any status ailment and confusion.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores HP to full and cures any status ailment and confusion.'}]"
24,max-potion,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores HP to full.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores HP to full.'}]"
25,hyper-potion,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 200 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 200 HP.'}]"
26,super-potion,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 50 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 50 HP.'}]"
27,full-heal,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures any status ailment and confusion.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures any status ailment and confusion.'}]"
28,revive,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'revival', 'url': 'https://pokeapi.co/api/v2/item-category/29/'}","[{'effect': 'Used on a party Pokémon\n:   Revives the Pokémon and restores half its HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Revives with half HP.'}]"
29,max-revive,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'revival', 'url': 'https://pokeapi.co/api/v2/item-category/29/'}","[{'effect': 'Used on a party Pokémon\n:   Revives the Pokémon and restores its HP to full.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Revives with full HP.'}]"
30,fresh-water,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 50 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 50 HP.'}]"
31,soda-pop,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 60 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 60 HP.'}]"
32,lemonade,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 80 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 80 HP.'}]"
33,moomoo-milk,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 100 HP.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 100 HP.'}]"
34,energy-powder,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 50 HP.  Decreases happiness by 5/5/10.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 50 HP, but lowers happiness.'}]"
35,energy-root,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'healing', 'url': 'https://pokeapi.co/api/v2/item-category/27/'}","[{'effect': 'Used on a party Pokémon\n:   Restores 200 HP.  Decreases happiness by 10/10/15.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Restores 200 HP, but lowers happiness.'}]"
36,heal-powder,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-overworld', 'url': 'https://pokeapi.co/api/v2/item-attribute/3/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'status-cures', 'url': 'https://pokeapi.co/api/v2/item-category/30/'}","[{'effect': 'Used on a party Pokémon\n:   Cures any status ailment.  Decreases happiness by 5/5/10.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Cures any status ailment, but lowers happiness.'}]"
