ID,Name,Varieties,Generation,Evolves_from,Has_gender_diff,Is_baby,Is_legendary,Is_mythical
11,metapod,"[{'is_default': True, 'pokemon': {'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon/11/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}",False,False,False,False
12,butterfree,"[{'is_default': True, 'pokemon': {'name': 'butterfree', 'url': 'https://pokeapi.co/api/v2/pokemon/12/'}}, {'is_default': False, 'pokemon': {'name': 'butterfree-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10198/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}",True,False,False,False
13,weedle,"[{'is_default': True, 'pokemon': {'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon/13/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
14,kakuna,"[{'is_default': True, 'pokemon': {'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon/14/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/13/'}",False,False,False,False
15,beedrill,"[{'is_default': True, 'pokemon': {'name': 'beedrill', 'url': 'https://pokeapi.co/api/v2/pokemon/15/'}}, {'is_default': False, 'pokemon': {'name': 'beedrill-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10090/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon-species/14/'}",False,False,False,False
16,pidgey,"[{'is_default': True, 'pokemon': {'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon/16/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
17,pidgeotto,"[{'is_default': True, 'pokemon': {'name': 'pidgeotto', 'url': 'https://pokeapi.co/api/v2/pokemon/17/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/16/'}",False,False,False,False
18,pidgeot,"[{'is_default': True, 'pokemon': {'name': 'pidgeot', 'url': 'https://pokeapi.co/api/v2/pokemon/18/'}}, {'is_default': False, 'pokemon': {'name': 'pidgeot-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10073/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'pidgeotto', 'url': 'https://pokeapi.co/api/v2/pokemon-species/17/'}",False,False,False,False
19,rattata,"[{'is_default': True, 'pokemon': {'name': 'rattata', 'url': 'https://pokeapi.co/api/v2/pokemon/19/'}}, {'is_default': False, 'pokemon': {'name': 'rattata-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10091/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,True,False,False,False
20,raticate,"[{'is_default': True, 'pokemon': {'name': 'raticate', 'url': 'https://pokeapi.co/api/v2/pokemon/20/'}}, {'is_default': False, 'pokemon': {'name': 'raticate-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10092/'}}, {'is_default': False, 'pokemon': {'name': 'raticate-totem-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10093/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'rattata', 'url': 'https://pokeapi.co/api/v2/pokemon-species/19/'}",True,False,False,False
21,spearow,"[{'is_default': True, 'pokemon': {'name': 'spearow', 'url': 'https://pokeapi.co/api/v2/pokemon/21/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
22,fearow,"[{'is_default': True, 'pokemon': {'name': 'fearow', 'url': 'https://pokeapi.co/api/v2/pokemon/22/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'spearow', 'url': 'https://pokeapi.co/api/v2/pokemon-species/21/'}",False,False,False,False
23,ekans,"[{'is_default': True, 'pokemon': {'name': 'ekans', 'url': 'https://pokeapi.co/api/v2/pokemon/23/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
24,arbok,"[{'is_default': True, 'pokemon': {'name': 'arbok', 'url': 'https://pokeapi.co/api/v2/pokemon/24/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'ekans', 'url': 'https://pokeapi.co/api/v2/pokemon-species/23/'}",False,False,False,False
25,pikachu,"[{'is_default': True, 'pokemon': {'name': 'pikachu', 'url': 'https://pokeapi.co/api/v2/pokemon/25/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-rock-star', 'url': 'https://pokeapi.co/api/v2/pokemon/10080/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-belle', 'url': 'https://pokeapi.co/api/v2/pokemon/10081/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-pop-star', 'url': 'https://pokeapi.co/api/v2/pokemon/10082/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-phd', 'url': 'https://pokeapi.co/api/v2/pokemon/10083/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-libre', 'url': 'https://pokeapi.co/api/v2/pokemon/10084/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-cosplay', 'url': 'https://pokeapi.co/api/v2/pokemon/10085/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-original-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10094/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-hoenn-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10095/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-sinnoh-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10096/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-unova-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10097/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-kalos-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10098/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-alola-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10099/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-partner-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10148/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-starter', 'url': 'https://pokeapi.co/api/v2/pokemon/10158/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-world-cap', 'url': 'https://pokeapi.co/api/v2/pokemon/10160/'}}, {'is_default': False, 'pokemon': {'name': 'pikachu-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10199/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'pichu', 'url': 'https://pokeapi.co/api/v2/pokemon-species/172/'}",True,False,False,False
26,raichu,"[{'is_default': True, 'pokemon': {'name': 'raichu', 'url': 'https://pokeapi.co/api/v2/pokemon/26/'}}, {'is_default': False, 'pokemon': {'name': 'raichu-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10100/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'pikachu', 'url': 'https://pokeapi.co/api/v2/pokemon-species/25/'}",True,False,False,False
27,sandshrew,"[{'is_default': True, 'pokemon': {'name': 'sandshrew', 'url': 'https://pokeapi.co/api/v2/pokemon/27/'}}, {'is_default': False, 'pokemon': {'name': 'sandshrew-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10101/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
28,sandslash,"[{'is_default': True, 'pokemon': {'name': 'sandslash', 'url': 'https://pokeapi.co/api/v2/pokemon/28/'}}, {'is_default': False, 'pokemon': {'name': 'sandslash-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10102/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'sandshrew', 'url': 'https://pokeapi.co/api/v2/pokemon-species/27/'}",False,False,False,False
29,nidoran-f,"[{'is_default': True, 'pokemon': {'name': 'nidoran-f', 'url': 'https://pokeapi.co/api/v2/pokemon/29/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
30,nidorina,"[{'is_default': True, 'pokemon': {'name': 'nidorina', 'url': 'https://pokeapi.co/api/v2/pokemon/30/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'nidoran-f', 'url': 'https://pokeapi.co/api/v2/pokemon-species/29/'}",False,False,False,False
31,nidoqueen,"[{'is_default': True, 'pokemon': {'name': 'nidoqueen', 'url': 'https://pokeapi.co/api/v2/pokemon/31/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'nidorina', 'url': 'https://pokeapi.co/api/v2/pokemon-species/30/'}",False,False,False,False
32,nidoran-m,"[{'is_default': True, 'pokemon': {'name': 'nidoran-m', 'url': 'https://pokeapi.co/api/v2/pokemon/32/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
33,nidorino,"[{'is_default': True, 'pokemon': {'name': 'nidorino', 'url': 'https://pokeapi.co/api/v2/pokemon/33/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'nidoran-m', 'url': 'https://pokeapi.co/api/v2/pokemon-species/32/'}",False,False,False,False
34,nidoking,"[{'is_default': True, 'pokemon': {'name': 'nidoking', 'url': 'https://pokeapi.co/api/v2/pokemon/34/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'nidorino', 'url': 'https://pokeapi.co/api/v2/pokemon-species/33/'}",False,False,False,False
35,clefairy,"[{'is_default': True, 'pokemon': {'name': 'clefairy', 'url': 'https://pokeapi.co/api/v2/pokemon/35/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'cleffa', 'url': 'https://pokeapi.co/api/v2/pokemon-species/173/'}",False,False,False,False
36,clefable,"[{'is_default': True, 'pokemon': {'name': 'clefable', 'url': 'https://pokeapi.co/api/v2/pokemon/36/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'clefairy', 'url': 'https://pokeapi.co/api/v2/pokemon-species/35/'}",False,False,False,False
37,vulpix,"[{'is_default': True, 'pokemon': {'name': 'vulpix', 'url': 'https://pokeapi.co/api/v2/pokemon/37/'}}, {'is_default': False, 'pokemon': {'name': 'vulpix-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10103/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
38,ninetales,"[{'is_default': True, 'pokemon': {'name': 'ninetales', 'url': 'https://pokeapi.co/api/v2/pokemon/38/'}}, {'is_default': False, 'pokemon': {'name': 'ninetales-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10104/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'vulpix', 'url': 'https://pokeapi.co/api/v2/pokemon-species/37/'}",False,False,False,False
39,jigglypuff,"[{'is_default': True, 'pokemon': {'name': 'jigglypuff', 'url': 'https://pokeapi.co/api/v2/pokemon/39/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'igglybuff', 'url': 'https://pokeapi.co/api/v2/pokemon-species/174/'}",False,False,False,False
40,wigglytuff,"[{'is_default': True, 'pokemon': {'name': 'wigglytuff', 'url': 'https://pokeapi.co/api/v2/pokemon/40/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'jigglypuff', 'url': 'https://pokeapi.co/api/v2/pokemon-species/39/'}",False,False,False,False
41,zubat,"[{'is_default': True, 'pokemon': {'name': 'zubat', 'url': 'https://pokeapi.co/api/v2/pokemon/41/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,True,False,False,False
42,golbat,"[{'is_default': True, 'pokemon': {'name': 'golbat', 'url': 'https://pokeapi.co/api/v2/pokemon/42/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'zubat', 'url': 'https://pokeapi.co/api/v2/pokemon-species/41/'}",True,False,False,False
43,oddish,"[{'is_default': True, 'pokemon': {'name': 'oddish', 'url': 'https://pokeapi.co/api/v2/pokemon/43/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
44,gloom,"[{'is_default': True, 'pokemon': {'name': 'gloom', 'url': 'https://pokeapi.co/api/v2/pokemon/44/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'oddish', 'url': 'https://pokeapi.co/api/v2/pokemon-species/43/'}",True,False,False,False
45,vileplume,"[{'is_default': True, 'pokemon': {'name': 'vileplume', 'url': 'https://pokeapi.co/api/v2/pokemon/45/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'gloom', 'url': 'https://pokeapi.co/api/v2/pokemon-species/44/'}",True,False,False,False
46,paras,"[{'is_default': True, 'pokemon': {'name': 'paras', 'url': 'https://pokeapi.co/api/v2/pokemon/46/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
47,parasect,"[{'is_default': True, 'pokemon': {'name': 'parasect', 'url': 'https://pokeapi.co/api/v2/pokemon/47/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'paras', 'url': 'https://pokeapi.co/api/v2/pokemon-species/46/'}",False,False,False,False
48,venonat,"[{'is_default': True, 'pokemon': {'name': 'venonat', 'url': 'https://pokeapi.co/api/v2/pokemon/48/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
49,venomoth,"[{'is_default': True, 'pokemon': {'name': 'venomoth', 'url': 'https://pokeapi.co/api/v2/pokemon/49/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'venonat', 'url': 'https://pokeapi.co/api/v2/pokemon-species/48/'}",False,False,False,False
50,diglett,"[{'is_default': True, 'pokemon': {'name': 'diglett', 'url': 'https://pokeapi.co/api/v2/pokemon/50/'}}, {'is_default': False, 'pokemon': {'name': 'diglett-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10105/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
51,dugtrio,"[{'is_default': True, 'pokemon': {'name': 'dugtrio', 'url': 'https://pokeapi.co/api/v2/pokemon/51/'}}, {'is_default': False, 'pokemon': {'name': 'dugtrio-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10106/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'diglett', 'url': 'https://pokeapi.co/api/v2/pokemon-species/50/'}",False,False,False,False
52,meowth,"[{'is_default': True, 'pokemon': {'name': 'meowth', 'url': 'https://pokeapi.co/api/v2/pokemon/52/'}}, {'is_default': False, 'pokemon': {'name': 'meowth-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10107/'}}, {'is_default': False, 'pokemon': {'name': 'meowth-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10161/'}}, {'is_default': False, 'pokemon': {'name': 'meowth-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10200/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
53,persian,"[{'is_default': True, 'pokemon': {'name': 'persian', 'url': 'https://pokeapi.co/api/v2/pokemon/53/'}}, {'is_default': False, 'pokemon': {'name': 'persian-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10108/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'meowth', 'url': 'https://pokeapi.co/api/v2/pokemon-species/52/'}",False,False,False,False
54,psyduck,"[{'is_default': True, 'pokemon': {'name': 'psyduck', 'url': 'https://pokeapi.co/api/v2/pokemon/54/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
55,golduck,"[{'is_default': True, 'pokemon': {'name': 'golduck', 'url': 'https://pokeapi.co/api/v2/pokemon/55/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'psyduck', 'url': 'https://pokeapi.co/api/v2/pokemon-species/54/'}",False,False,False,False
56,mankey,"[{'is_default': True, 'pokemon': {'name': 'mankey', 'url': 'https://pokeapi.co/api/v2/pokemon/56/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
57,primeape,"[{'is_default': True, 'pokemon': {'name': 'primeape', 'url': 'https://pokeapi.co/api/v2/pokemon/57/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'mankey', 'url': 'https://pokeapi.co/api/v2/pokemon-species/56/'}",False,False,False,False
58,growlithe,"[{'is_default': True, 'pokemon': {'name': 'growlithe', 'url': 'https://pokeapi.co/api/v2/pokemon/58/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
59,arcanine,"[{'is_default': True, 'pokemon': {'name': 'arcanine', 'url': 'https://pokeapi.co/api/v2/pokemon/59/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'growlithe', 'url': 'https://pokeapi.co/api/v2/pokemon-species/58/'}",False,False,False,False
60,poliwag,"[{'is_default': True, 'pokemon': {'name': 'poliwag', 'url': 'https://pokeapi.co/api/v2/pokemon/60/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
61,poliwhirl,"[{'is_default': True, 'pokemon': {'name': 'poliwhirl', 'url': 'https://pokeapi.co/api/v2/pokemon/61/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'poliwag', 'url': 'https://pokeapi.co/api/v2/pokemon-species/60/'}",False,False,False,False
62,poliwrath,"[{'is_default': True, 'pokemon': {'name': 'poliwrath', 'url': 'https://pokeapi.co/api/v2/pokemon/62/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'poliwhirl', 'url': 'https://pokeapi.co/api/v2/pokemon-species/61/'}",False,False,False,False
63,abra,"[{'is_default': True, 'pokemon': {'name': 'abra', 'url': 'https://pokeapi.co/api/v2/pokemon/63/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
64,kadabra,"[{'is_default': True, 'pokemon': {'name': 'kadabra', 'url': 'https://pokeapi.co/api/v2/pokemon/64/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'abra', 'url': 'https://pokeapi.co/api/v2/pokemon-species/63/'}",True,False,False,False
65,alakazam,"[{'is_default': True, 'pokemon': {'name': 'alakazam', 'url': 'https://pokeapi.co/api/v2/pokemon/65/'}}, {'is_default': False, 'pokemon': {'name': 'alakazam-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10037/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'kadabra', 'url': 'https://pokeapi.co/api/v2/pokemon-species/64/'}",True,False,False,False
66,machop,"[{'is_default': True, 'pokemon': {'name': 'machop', 'url': 'https://pokeapi.co/api/v2/pokemon/66/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
67,machoke,"[{'is_default': True, 'pokemon': {'name': 'machoke', 'url': 'https://pokeapi.co/api/v2/pokemon/67/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'machop', 'url': 'https://pokeapi.co/api/v2/pokemon-species/66/'}",False,False,False,False
68,machamp,"[{'is_default': True, 'pokemon': {'name': 'machamp', 'url': 'https://pokeapi.co/api/v2/pokemon/68/'}}, {'is_default': False, 'pokemon': {'name': 'machamp-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10201/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'machoke', 'url': 'https://pokeapi.co/api/v2/pokemon-species/67/'}",False,False,False,False
69,bellsprout,"[{'is_default': True, 'pokemon': {'name': 'bellsprout', 'url': 'https://pokeapi.co/api/v2/pokemon/69/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
70,weepinbell,"[{'is_default': True, 'pokemon': {'name': 'weepinbell', 'url': 'https://pokeapi.co/api/v2/pokemon/70/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'bellsprout', 'url': 'https://pokeapi.co/api/v2/pokemon-species/69/'}",False,False,False,False
71,victreebel,"[{'is_default': True, 'pokemon': {'name': 'victreebel', 'url': 'https://pokeapi.co/api/v2/pokemon/71/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'weepinbell', 'url': 'https://pokeapi.co/api/v2/pokemon-species/70/'}",False,False,False,False
72,tentacool,"[{'is_default': True, 'pokemon': {'name': 'tentacool', 'url': 'https://pokeapi.co/api/v2/pokemon/72/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
73,tentacruel,"[{'is_default': True, 'pokemon': {'name': 'tentacruel', 'url': 'https://pokeapi.co/api/v2/pokemon/73/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'tentacool', 'url': 'https://pokeapi.co/api/v2/pokemon-species/72/'}",False,False,False,False
74,geodude,"[{'is_default': True, 'pokemon': {'name': 'geodude', 'url': 'https://pokeapi.co/api/v2/pokemon/74/'}}, {'is_default': False, 'pokemon': {'name': 'geodude-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10109/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
75,graveler,"[{'is_default': True, 'pokemon': {'name': 'graveler', 'url': 'https://pokeapi.co/api/v2/pokemon/75/'}}, {'is_default': False, 'pokemon': {'name': 'graveler-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10110/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'geodude', 'url': 'https://pokeapi.co/api/v2/pokemon-species/74/'}",False,False,False,False
76,golem,"[{'is_default': True, 'pokemon': {'name': 'golem', 'url': 'https://pokeapi.co/api/v2/pokemon/76/'}}, {'is_default': False, 'pokemon': {'name': 'golem-alola', 'url': 'https://pokeapi.co/api/v2/pokemon/10111/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'graveler', 'url': 'https://pokeapi.co/api/v2/pokemon-species/75/'}",False,False,False,False
