,Pokemon,Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%)
84,Regieleki,Jolly,4/252/0/0/0/252,2.820%
85,Regieleki,Jolly,188/252/0/0/0/68,2.430%
86,Regieleki,Jolly,0/252/0/0/4/252,2.216%
87,Regieleki,Adamant,4/188/196/0/4/116,2.118%
88,Regieleki,Jolly,52/252/4/0/116/84,2.047%
89,Regieleki,Adamant,52/252/84/0/4/116,1.778%
90,Regieleki,Timid,4/0/36/212/4/252,1.764%
91,Regieleki,Modest,16/0/116/252/0/124,1.371%
92,Regieleki,Modest,4/0/0/252/0/252,1.241%
93,Regieleki,Hasty,0/4/0/252/0/252,1.220%
94,Regieleki,Modest,0/0/0/252/4/252,1.142%
95,Regieleki,Jolly,0/252/4/0/0/252,1.082%
96,Regieleki,Adamant,20/212/148/0/4/124,0.927%
97,Regieleki,Modest,28/0/116/236/4/124,0.908%
98,Regieleki,Jolly,4/252/140/0/36/76,0.781%
99,Regieleki,Timid,100/0/4/148/4/252,0.770%
100,Rillaboom,Adamant,244/196/4/0/60/4,13.944%
101,Rillaboom,Adamant,228/196/4/0/4/76,4.381%
102,Rillaboom,Adamant,252/252/0/0/4/0,3.924%
103,Rillaboom,Adamant,252/252/0/0/0/4,3.480%
104,Rillaboom,Adamant,132/116/68/0/188/4,2.530%
105,Rillaboom,Adamant,228/252/28/0/0/0,2.305%
106,Rillaboom,Adamant,220/252/36/0/0/0,2.095%
107,Rillaboom,Adamant,252/172/12/0/4/68,1.913%
108,Rillaboom,Adamant,236/116/4/0/148/4,1.860%
109,Rillaboom,Adamant,196/116/100/0/36/60,1.756%
110,Rillaboom,Careful,252/100/0/0/156/0,1.437%
111,Rillaboom,Adamant,252/148/12/0/4/92,1.393%
112,Rillaboom,Adamant,252/196/0/0/60/0,1.180%
113,Rillaboom,Adamant,188/196/12/0/108/4,1.147%
114,Rillaboom,Adamant,140/164/204/0/0/0,1.114%
115,Rillaboom,Brave,228/252/4/0/20/4,1.109%
116,Rillaboom,Adamant,220/116/28/0/76/68,1.052%
117,Rillaboom,Adamant,164/252/4/0/84/4,1.035%
118,Rillaboom,Adamant,132/252/4/0/68/52,0.962%
119,Rillaboom,Adamant,252/116/52/0/84/4,0.928%
120,Groudon,Adamant,164/204/4/0/108/28,12.989%
121,Groudon,Adamant,244/76/4/0/100/84,6.821%
122,Groudon,Jolly,0/252/0/0/4/252,4.918%
123,Groudon,Adamant,252/156/4/0/60/36,3.303%
124,Groudon,Jolly,60/164/4/0/28/252,2.654%
125,Groudon,Adamant,252/156/4/0/76/20,2.635%
126,Groudon,Brave,252/76/0/0/180/0,2.371%
127,Groudon,Adamant,252/4/4/0/116/132,2.050%
128,Groudon,Adamant,236/252/0/0/0/20,1.611%
129,Groudon,Adamant,196/180/4/0/92/36,1.586%
130,Groudon,Adamant,244/156/4/0/84/20,1.438%
131,Groudon,Adamant,244/156/4/0/28/76,1.428%
132,Groudon,Adamant,212/76/148/0/44/28,1.352%
133,Groudon,Adamant,252/236/0/0/0/20,1.327%
134,Groudon,Adamant,252/156/12/0/60/28,1.290%
135,Groudon,Adamant,228/156/20/0/28/76,1.285%
136,Groudon,Adamant,252/4/4/0/108/140,1.253%
137,Groudon,Careful,244/4/4/0/212/44,1.159%
138,Groudon,Adamant,212/156/4/0/100/36,1.115%
139,Groudon,Adamant,244/92/20/0/76/76,1.115%
140,Calyrex-Shadow,Timid,4/0/0/252/0/252,49.392%
141,Calyrex-Shadow,Timid,0/0/0/252/4/252,24.406%
142,Calyrex-Shadow,Timid,0/0/4/252/0/252,10.479%
143,Calyrex-Shadow,Timid,28/0/4/220/4/252,2.327%
144,Calyrex-Shadow,Timid,4/0/4/244/4/252,1.380%
145,Calyrex-Shadow,Timid,132/0/4/116/4/252,1.150%
146,Calyrex-Shadow,Timid,0/0/0/252/0/252,0.926%
147,Calyrex-Shadow,Modest,100/0/164/36/4/204,0.919%
148,Calyrex-Shadow,Timid,124/0/148/132/4/100,0.822%
149,Calyrex-Shadow,Timid,124/0/108/20/4/252,0.818%
150,Calyrex-Shadow,Timid,12/0/4/236/4/252,0.585%
151,Calyrex-Shadow,Timid,28/0/12/212/4/252,0.553%
152,Calyrex-Shadow,Timid,0/0/12/244/0/252,0.539%
153,Calyrex-Shadow,Modest,92/0/156/4/4/252,0.409%
154,Calyrex-Shadow,Modest,0/0/4/252/0/252,0.404%
155,Calyrex-Shadow,Timid,0/0/28/228/0/252,0.383%
156,Calyrex-Shadow,Timid,12/0/0/244/0/252,0.348%
157,Calyrex-Shadow,Timid,28/0/196/28/4/252,0.326%
158,Calyrex-Shadow,Modest,4/0/0/252/0/252,0.270%
159,Calyrex-Shadow,Timid,36/0/4/180/36/252,0.258%
160,Thundurus,Jolly,4/252/0/0/0/252,14.442%
161,Thundurus,Calm,228/0/148/52/76/4,7.700%
162,Thundurus,Jolly,84/164/4/0/4/252,6.563%
163,Thundurus,Jolly,0/252/0/0/4/252,4.459%
164,Thundurus,Jolly,164/84/4/0/4/252,3.547%
165,Thundurus,Jolly,36/172/108/0/4/188,2.928%
166,Thundurus,Timid,252/0/156/4/76/20,2.792%
167,Thundurus,Jolly,148/180/4/0/4/172,2.699%
168,Thundurus,Jolly,84/252/0/0/0/172,2.609%
169,Thundurus,Adamant,0/252/0/0/4/252,2.559%
170,Thundurus,Timid,252/0/12/68/4/172,2.363%
171,Thundurus,Brave,252/252/4/0/0/0,2.158%
172,Thundurus,Jolly,36/148/28/0/44/252,1.762%
173,Thundurus,Jolly,164/4/84/0/4/252,1.712%
174,Thundurus,Jolly,92/148/4/0/12/252,1.610%
175,Thundurus,Jolly,36/212/4/0/4/252,1.597%
176,Thundurus,Jolly,52/164/0/36/4/252,1.518%
177,Thundurus,Calm,236/0/148/4/76/44,1.497%
178,Thundurus,Calm,252/0/164/4/76/12,1.462%
179,Thundurus,Jolly,0/252/4/0/0/252,1.366%
180,Landorus-Therian,Jolly,4/252/0/0/0/252,24.569%
181,Landorus-Therian,Jolly,0/252/0/0/4/252,8.922%
182,Landorus-Therian,Jolly,36/220/0/0/0/252,7.815%
183,Landorus-Therian,Jolly,60/36/156/0/4/252,4.658%
184,Landorus-Therian,Adamant,252/36/20/0/20/180,3.446%
185,Landorus-Therian,Jolly,36/204/4/0/12/252,2.552%
186,Landorus-Therian,Jolly,124/116/4/0/12/252,2.372%
187,Landorus-Therian,Adamant,212/116/52/0/12/116,2.235%
188,Landorus-Therian,Jolly,68/252/0/0/0/188,2.026%
189,Landorus-Therian,Jolly,116/196/0/0/0/196,1.615%
190,Landorus-Therian,Naive,164/0/4/12/76/252,1.601%
191,Landorus-Therian,Adamant,252/36/28/0/188/4,1.394%
192,Landorus-Therian,Jolly,4/244/4/0/4/252,1.251%
193,Landorus-Therian,Jolly,4/196/52/0/4/252,1.237%
194,Landorus-Therian,Jolly,84/92/76/0/4/252,1.186%
195,Landorus-Therian,Adamant,212/36/28/0/108/124,1.137%
196,Landorus-Therian,Adamant,212/116/4/0/36/140,1.081%
197,Landorus-Therian,Adamant,164/36/76/0/4/228,0.960%
198,Landorus-Therian,Jolly,84/156/4/0/12/252,0.949%
199,Landorus-Therian,Jolly,44/252/4/0/4/204,0.924%
200,Gastrodon,Bold,180/0/204/0/124/0,17.042%
201,Gastrodon,Modest,244/0/172/60/28/4,8.543%
202,Gastrodon,Modest,180/0/252/60/12/4,5.769%
203,Gastrodon,Bold,180/0/204/4/116/4,5.223%
204,Gastrodon,Modest,172/0/100/140/92/4,4.814%
205,Gastrodon,Bold,220/0/252/0/0/36,4.054%
206,Gastrodon,Bold,172/0/204/0/132/0,2.639%
207,Gastrodon,Relaxed,180/0/204/0/124/0,2.590%
208,Gastrodon,Modest,172/0/172/4/156/4,2.377%
209,Gastrodon,Bold,172/0/204/4/124/4,2.113%
210,Gastrodon,Relaxed,172/0/148/44/140/0,2.080%
211,Gastrodon,Relaxed,180/0/148/52/124/0,1.777%
212,Gastrodon,Modest,212/0/156/28/108/4,1.466%
213,Gastrodon,Sassy,252/0/196/0/60/0,1.448%
214,Gastrodon,Bold,172/0/212/0/124/0,1.442%
215,Gastrodon,Calm,252/0/196/0/60/0,1.354%
216,Gastrodon,Modest,252/0/60/116/76/4,1.245%
217,Gastrodon,Bold,204/0/220/4/76/4,1.190%
218,Gastrodon,Calm,204/0/204/0/100/0,1.131%
219,Gastrodon,Calm,252/0/0/4/252/0,1.115%
220,Charizard,Timid,4/0/0/252/0/252,34.734%
221,Charizard,Timid,0/0/0/252/4/252,22.381%
222,Charizard,Timid,0/0/4/252/0/252,9.913%
223,Charizard,Timid,44/0/44/164/4/252,3.929%
224,Charizard,Timid,44/0/0/212/0/252,3.406%
225,Charizard,Timid,28/0/0/228/0/252,3.183%
226,Charizard,Quiet,252/0/4/252/0/0,2.920%
227,Charizard,Timid,44/0/12/196/4/252,2.555%
228,Charizard,Timid,12/0/44/196/4/252,2.244%
229,Charizard,Timid,36/0/4/212/4/252,1.932%
230,Charizard,Timid,36/0/0/220/0/252,1.477%
231,Charizard,Timid,44/0/4/204/4/252,1.417%
232,Charizard,Timid,4/0/4/244/4/252,1.203%
233,Charizard,Timid,4/0/12/236/4/252,0.983%
234,Charizard,Quiet,4/0/252/252/0/0,0.867%
235,Charizard,Timid,12/0/12/228/4/252,0.781%
236,Charizard,Timid,60/0/20/164/12/252,0.769%
237,Charizard,Timid,44/0/52/156/4/252,0.721%
238,Charizard,Quiet,172/0/84/252/0/0,0.412%
239,Charizard,Timid,0/0/0/252/0/252,0.401%
240,Amoonguss,Sassy,236/0/116/0/156/0,12.975%
241,Amoonguss,Sassy,252/0/100/0/156/0,6.631%
242,Amoonguss,Relaxed,252/0/156/0/100/0,6.104%
243,Amoonguss,Relaxed,236/0/252/0/20/0,5.527%
244,Amoonguss,Careful,236/0/172/0/100/0,4.212%
245,Amoonguss,Calm,236/0/116/0/156/0,4.080%
246,Amoonguss,Calm,236/0/172/0/100/0,3.842%
247,Amoonguss,Careful,236/0/116/0/156/0,3.313%
248,Amoonguss,Adamant,4/252/0/0/252/0,2.890%
249,Amoonguss,Sassy,252/0/164/0/92/0,2.277%
250,Amoonguss,Sassy,252/0/4/0/252/0,2.202%
251,Amoonguss,Sassy,236/0/172/0/100/0,1.971%
252,Amoonguss,Bold,236/0/156/0/116/0,1.931%
253,Amoonguss,Sassy,236/0/20/0/252/0,1.914%
254,Amoonguss,Sassy,252/0/180/0/76/0,1.767%
255,Amoonguss,Relaxed,236/0/156/0/116/0,1.454%
256,Amoonguss,Sassy,252/0/156/0/100/0,1.416%
257,Amoonguss,Careful,252/0/84/0/172/0,1.382%
258,Amoonguss,Sassy,188/0/188/0/132/0,1.345%
259,Amoonguss,Calm,252/0/20/0/236/0,1.302%
260,Indeedee-F,Bold,252/0/252/0/4/0,21.561%
261,Indeedee-F,Relaxed,252/0/252/0/4/0,19.764%
262,Indeedee-F,Timid,0/0/0/252/4/252,9.702%
263,Indeedee-F,Bold,236/0/252/0/20/0,5.599%
264,Indeedee-F,Timid,4/0/0/252/0/252,4.027%
265,Indeedee-F,Bold,252/0/252/4/0/0,2.936%
266,Indeedee-F,Bold,252/0/244/0/12/0,2.629%
267,Indeedee-F,Relaxed,236/0/252/0/20/0,2.589%
268,Indeedee-F,Bold,252/0/236/0/20/0,2.224%
269,Indeedee-F,Timid,0/0/4/252/0/252,1.786%
270,Indeedee-F,Quiet,252/0/4/252/0/0,1.680%
271,Indeedee-F,Bold,244/0/252/0/12/0,1.573%
272,Indeedee-F,Bold,204/0/188/36/76/4,1.391%
273,Indeedee-F,Modest,252/0/4/252/0/0,1.339%
274,Indeedee-F,Bold,244/0/244/0/20/0,1.149%
275,Indeedee-F,Relaxed,252/0/244/0/12/0,1.101%
276,Indeedee-F,Sassy,252/0/4/0/252/0,1.006%
277,Indeedee-F,Relaxed,244/0/244/0/20/0,0.941%
278,Indeedee-F,Relaxed,252/0/252/4/0/0,0.751%
279,Indeedee-F,Bold,236/0/252/0/0/20,0.628%
280,Whimsicott,Timid,4/0/0/252/0/252,49.006%
281,Whimsicott,Timid,0/0/0/252/4/252,15.275%
282,Whimsicott,Timid,12/0/0/244/0/252,4.665%
283,Whimsicott,Timid,252/0/0/4/0/252,4.120%
284,Whimsicott,Timid,0/0/0/252/0/252,4.015%
285,Whimsicott,Timid,244/0/4/4/4/252,2.470%
286,Whimsicott,Modest,4/0/0/252/0/252,1.895%
287,Whimsicott,Timid,0/0/4/252/0/252,1.625%
288,Whimsicott,Modest,252/0/4/116/116/20,1.568%
289,Whimsicott,Timid,252/0/0/0/4/252,1.434%
290,Whimsicott,Modest,0/0/0/252/4/252,1.267%
291,Whimsicott,Timid,4/0/4/244/4/252,0.953%
292,Whimsicott,Timid,60/0/4/100/92/252,0.791%
293,Whimsicott,Timid,124/0/4/140/20/220,0.730%
294,Whimsicott,Timid,164/0/0/0/92/252,0.651%
295,Whimsicott,Calm,228/0/0/100/180/0,0.624%
296,Whimsicott,Timid,252/0/4/0/0/252,0.614%
297,Whimsicott,Timid,60/0/4/140/52/252,0.591%
298,Whimsicott,Calm,252/0/4/0/252/0,0.547%
299,Whimsicott,Modest,252/0/4/252/0/0,0.522%
300,Yveltal,Timid,4/0/0/252/0/252,13.167%
301,Yveltal,Modest,172/0/4/68/12/252,6.312%
302,Yveltal,Modest,172/0/20/68/12/236,6.094%
303,Yveltal,Timid,60/0/4/188/4/252,5.721%
304,Yveltal,Timid,0/0/0/252/4/252,5.598%
305,Yveltal,Modest,148/0/44/68/4/244,5.266%
306,Yveltal,Modest,28/0/4/228/4/244,4.404%
307,Yveltal,Timid,236/0/0/20/0/252,3.042%
308,Yveltal,Timid,20/0/28/204/4/252,2.589%
309,Yveltal,Adamant,20/252/0/0/0/236,1.712%
310,Yveltal,Modest,4/0/0/252/0/252,1.672%
311,Yveltal,Modest,36/0/4/204/12/252,1.486%
312,Yveltal,Modest,4/0/12/244/4/244,1.474%
313,Yveltal,Modest,4/0/12/252/4/236,1.321%
314,Yveltal,Jolly,172/0/68/12/4/252,1.147%
315,Yveltal,Timid,4/0/4/252/4/244,1.066%
316,Yveltal,Timid,124/0/116/20/4/244,1.029%
317,Yveltal,Mild,252/4/0/252/0/0,0.937%
318,Yveltal,Modest,44/0/196/4/12/252,0.921%
319,Yveltal,Modest,188/0/0/84/0/236,0.900%
320,Calyrex-Ice,Brave,252/252/0/0/4/0,22.715%
321,Calyrex-Ice,Adamant,252/252/0/0/4/0,11.137%
322,Calyrex-Ice,Impish,252/4/156/0/84/12,8.734%
323,Calyrex-Ice,Impish,252/4/156/0/76/20,5.513%
324,Calyrex-Ice,Brave,252/252/4/0/0/0,5.007%
325,Calyrex-Ice,Jolly,4/252/0/0/0/252,2.904%
326,Calyrex-Ice,Adamant,252/252/4/0/0/0,2.697%
327,Calyrex-Ice,Jolly,0/252/4/0/0/252,2.590%
328,Calyrex-Ice,Adamant,252/220/4/0/12/20,2.230%
329,Calyrex-Ice,Brave,252/196/0/0/60/0,2.148%
330,Calyrex-Ice,Adamant,252/124/4/0/108/20,1.558%
331,Calyrex-Ice,Adamant,92/252/0/0/0/164,1.490%
332,Calyrex-Ice,Brave,252/116/0/0/140/0,1.433%
333,Calyrex-Ice,Brave,252/252/0/0/0/0,1.411%
334,Calyrex-Ice,Adamant,252/84/0/0/172/0,1.400%
335,Calyrex-Ice,Adamant,252/196/0/0/60/0,1.381%
336,Calyrex-Ice,Adamant,252/116/4/0/132/4,1.159%
337,Calyrex-Ice,Adamant,252/236/4/0/12/4,0.931%
338,Calyrex-Ice,Brave,252/244/0/0/12/0,0.922%
339,Calyrex-Ice,Brave,252/132/0/0/124/0,0.904%
340,Palkia,Modest,252/0/0/252/4/0,9.655%
341,Palkia,Modest,28/0/52/236/4/188,8.438%
342,Palkia,Modest,244/0/164/0/100/0,5.697%
343,Palkia,Modest,252/0/44/76/28/108,5.516%
344,Palkia,Modest,252/0/4/252/0/0,4.183%
345,Palkia,Modest,4/0/0/252/0/252,3.650%
346,Palkia,Modest,12/0/4/236/4/252,3.338%
347,Palkia,Modest,252/0/4/236/4/12,2.944%
348,Palkia,Modest,236/0/140/84/4/44,2.325%
349,Palkia,Quiet,252/0/0/252/4/0,2.217%
350,Palkia,Quiet,252/0/4/252/0/0,2.211%
351,Palkia,Modest,204/0/20/252/4/28,2.182%
352,Palkia,Timid,0/0/0/252/4/252,2.107%
353,Palkia,Modest,188/0/156/156/4/4,2.070%
354,Palkia,Modest,244/0/148/12/100/4,1.848%
355,Palkia,Modest,12/0/4/252/4/236,1.605%
356,Palkia,Modest,188/0/164/156/0/0,1.426%
357,Palkia,Modest,204/0/52/236/12/4,1.298%
358,Palkia,Timid,4/0/0/252/0/252,1.260%
359,Palkia,Modest,252/0/0/212/44/0,1.253%
360,Porygon2,Modest,244/0/12/252/0/0,14.422%
361,Porygon2,Sassy,244/0/124/0/140/0,7.870%
362,Porygon2,Sassy,252/0/4/0/252/0,6.281%
363,Porygon2,Modest,244/0/0/252/12/0,6.028%
364,Porygon2,Calm,244/0/140/0/124/0,4.954%
365,Porygon2,Modest,252/0/108/36/84/28,4.748%
366,Porygon2,Sassy,252/0/124/0/132/0,2.782%
367,Porygon2,Modest,244/0/0/252/0/12,2.363%
368,Porygon2,Sassy,244/0/140/0/124/0,2.272%
369,Porygon2,Sassy,252/0/0/4/252/0,1.860%
370,Porygon2,Calm,252/0/220/0/36/0,1.686%
371,Porygon2,Calm,244/0/156/0/108/0,1.583%
372,Porygon2,Bold,244/0/156/0/108/0,1.499%
373,Porygon2,Sassy,252/0/172/0/76/0,1.494%
374,Porygon2,Sassy,244/0/164/0/100/0,1.433%
375,Porygon2,Modest,244/0/4/116/44/100,1.312%
376,Porygon2,Modest,244/0/4/124/44/92,1.193%
377,Porygon2,Modest,244/0/44/4/212/4,1.156%
378,Porygon2,Bold,244/0/148/0/116/0,1.132%
379,Porygon2,Serious,252/0/100/0/156/0,1.075%
380,Tornadus,Timid,4/0/0/252/0/252,56.982%
381,Tornadus,Timid,0/0/0/252/4/252,22.040%
382,Tornadus,Modest,4/0/0/252/0/252,1.864%
383,Tornadus,Timid,36/0/0/220/0/252,1.542%
384,Tornadus,Timid,4/0/4/244/4/252,1.409%
385,Tornadus,Timid,0/0/0/252/0/252,1.311%
386,Tornadus,Bold,252/0/156/36/60/4,1.174%
387,Tornadus,Timid,60/0/60/132/12/244,1.116%
388,Tornadus,Timid,252/0/0/4/0/252,0.978%
389,Tornadus,Timid,244/0/4/4/4/252,0.964%
390,Tornadus,Timid,252/0/4/0/0/252,0.684%
391,Tornadus,Timid,172/0/28/4/52/252,0.574%
392,Tornadus,Timid,0/0/0/0/0/252,0.532%
393,Tornadus,Calm,252/0/0/4/252/0,0.514%
394,Tornadus,Timid,0/0/4/252/0/252,0.472%
395,Tornadus,Timid,66/0/0/186/4/252,0.421%
396,Tornadus,Hasty,0/0/0/252/0/252,0.372%
397,Tornadus,Timid,252/0/0/0/4/252,0.361%
398,Tornadus,Modest,0/0/124/252/132/0,0.356%
399,Tornadus,Timid,4/0/52/196/4/252,0.314%
400,Zapdos,Timid,0/0/0/252/4/252,25.780%
401,Zapdos,Timid,4/0/0/252/0/252,15.393%
402,Zapdos,Timid,28/0/4/220/4/252,14.188%
403,Zapdos,Timid,28/0/0/228/0/252,4.740%
404,Zapdos,Timid,4/0/4/244/4/252,4.386%
405,Zapdos,Timid,4/0/4/180/68/252,3.166%
406,Zapdos,Calm,252/0/4/4/236/12,3.065%
407,Zapdos,Timid,20/0/4/188/44/252,2.382%
408,Zapdos,Modest,28/0/28/196/4/252,2.178%
409,Zapdos,Modest,172/0/12/116/4/204,1.999%
410,Zapdos,Modest,156/0/4/116/4/228,1.972%
411,Zapdos,Timid,204/0/0/52/0/252,1.428%
412,Zapdos,Timid,204/0/44/4/4/252,1.153%
413,Zapdos,Timid,204/0/4/44/4/252,1.121%
414,Zapdos,Timid,52/0/4/196/4/252,0.940%
415,Zapdos,Modest,100/0/4/196/4/204,0.875%
416,Zapdos,Timid,172/0/4/76/4/252,0.792%
417,Zapdos,Modest,76/0/4/196/4/228,0.706%
418,Zapdos,Modest,252/0/28/196/4/28,0.691%
419,Zapdos,Timid,0/0/12/244/0/252,0.643%
420,Kartana,Jolly,4/4/4/0/244/252,32.284%
421,Kartana,Jolly,0/252/0/0/4/252,14.378%
422,Kartana,Jolly,84/4/4/0/164/252,10.253%
423,Kartana,Jolly,4/252/0/0/0/252,4.702%
424,Kartana,Jolly,4/0/0/0/252/252,3.690%
425,Kartana,Jolly,84/4/4/0/252/164,2.650%
426,Kartana,Jolly,44/28/4/0/244/188,2.261%
427,Kartana,Brave,252/252/0/0/4/0,2.076%
428,Kartana,Jolly,12/60/4/0/180/252,1.885%
429,Kartana,Jolly,12/0/0/0/244/252,1.847%
430,Kartana,Jolly,4/116/4/0/132/252,1.377%
431,Kartana,Jolly,0/0/0/252/4/252,1.256%
432,Kartana,Jolly,60/4/4/0/252/188,1.185%
433,Kartana,Careful,172/0/0/0/252/84,1.176%
434,Kartana,Jolly,84/4/4/0/228/188,1.166%
435,Kartana,Jolly,44/4/4/0/252/204,1.060%
436,Kartana,Jolly,0/4/0/0/252/252,0.854%
437,Kartana,Jolly,76/4/4/0/172/252,0.744%
438,Kartana,Adamant,0/252/0/0/180/76,0.700%
439,Kartana,Jolly,20/236/0/0/0/252,0.685%
440,Blastoise,Modest,244/0/0/244/20/0,18.696%
441,Blastoise,Modest,252/0/4/252/0/0,13.331%
442,Blastoise,Modest,244/0/4/252/4/4,7.960%
443,Blastoise,Modest,180/0/4/108/148/68,5.407%
444,Blastoise,Modest,244/0/4/204/52/4,5.211%
445,Blastoise,Modest,244/0/0/244/0/20,4.242%
446,Blastoise,Modest,252/0/44/196/12/4,3.610%
447,Blastoise,Modest,244/0/0/252/12/0,2.637%
448,Blastoise,Modest,156/0/4/196/4/148,2.322%
449,Blastoise,Modest,252/0/0/252/4/0,2.259%
450,Blastoise,Modest,148/0/4/204/4/148,2.153%
451,Blastoise,Modest,148/0/0/252/0/108,2.069%
452,Blastoise,Modest,140/0/4/252/4/108,2.062%
453,Blastoise,Modest,172/0/4/212/4/116,1.821%
454,Blastoise,Modest,252/0/0/252/0/0,1.768%
455,Blastoise,Modest,244/0/28/116/36/84,1.755%
456,Blastoise,Modest,252/0/0/252/0/4,1.669%
457,Blastoise,Modest,244/0/4/140/4/116,1.198%
