,NationalPokedexNumber,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,image_url,Vgc2022Rules,MonthlyUsageMarch2022,UsagePercentMarch2022,MonthlyRankMarch2022
44,28,Alolan Sandslash,Sandslash,Alolan,7,Common,Ice,Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,,-,-,-
45,29,Nidoran♀,Nidoran♀,,1,Common,Poison,,275.0,55.0,47.0,52.0,40.0,40.0,41.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,,,,
46,30,Nidorina,Nidorina,,1,Common,Poison,,365.0,70.0,62.0,67.0,55.0,55.0,56.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Permitted,,,
47,31,Nidoqueen,Nidoqueen,,1,Common,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Permitted,,,
48,32,Nidoran♂,Nidoran♂,,1,Common,Poison,,273.0,46.0,57.0,40.0,40.0,40.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,,,,
49,33,Nidorino,Nidorino,,1,Common,Poison,,365.0,61.0,72.0,57.0,55.0,55.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Permitted,,,
50,34,Nidoking,Nidoking,,1,Common,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Permitted,,,
51,35,Clefairy,Clefairy,,1,Common,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Permitted,25,0,73
52,36,Clefable,Clefable,,1,Common,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7,0,180
53,37,Vulpix,Vulpix,,1,Common,Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Permitted,,,
54,37,Alolan Vulpix,Vulpix,Alolan,7,Common,Ice,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,,,,
55,38,Ninetales,Ninetales,,1,Common,Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Permitted,-,-,-
56,38,Alolan Ninetales,Ninetales,Alolan,7,Common,Ice,Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,,16,0,120
57,39,Jigglypuff,Jigglypuff,,1,Common,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Permitted,,,
58,40,Wigglytuff,Wigglytuff,,1,Common,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Permitted,-,-,-
59,41,Zubat,Zubat,,1,Common,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Permitted,,,
60,42,Golbat,Golbat,,1,Common,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Permitted,,,
61,43,Oddish,Oddish,,1,Common,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Permitted,,,
62,44,Gloom,Gloom,,1,Common,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Permitted,,,
63,45,Vileplume,Vileplume,,1,Common,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Permitted,-,-,-
64,46,Paras,Paras,,1,Common,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,,,,
65,47,Parasect,Parasect,,1,Common,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,,,,
66,48,Venonat,Venonat,,1,Common,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,,,,
67,49,Venomoth,Venomoth,,1,Common,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,,,,
68,50,Alolan Diglett,Diglett,Alolan,7,Common,Ground,Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,,,,
69,50,Diglett,Diglett,,1,Common,Ground,,265.0,10.0,55.0,25.0,35.0,45.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Permitted,,,
70,51,Alolan Dugtrio,Dugtrio,Alolan,7,Common,Ground,Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,,,,
71,51,Dugtrio,Dugtrio,,1,Common,Ground,,425.0,35.0,100.0,50.0,50.0,70.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Permitted,3,0,212
72,52,Meowth,Meowth,,1,Common,Normal,,290.0,40.0,45.0,35.0,40.0,40.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,,,,
73,52,Alolan Meowth,Meowth,Alolan,7,Common,Dark,,290.0,40.0,35.0,35.0,50.0,40.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,,,,
74,52,Galarian Meowth,Meowth,Galarian,8,Common,Steel,,290.0,50.0,65.0,55.0,40.0,40.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Permitted,,,
75,52,Meowth Gigantamax,Meowth,Gigantamax,8,,Normal,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png,Gigantamax Allowed,,,
76,53,Persian,Persian,,1,Common,Normal,,440.0,65.0,70.0,60.0,65.0,65.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,Permitted,,,
77,53,Alolan Persian,Persian,Alolan,7,Common,Dark,,440.0,65.0,60.0,60.0,75.0,65.0,115.0,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,,19,0,96
78,54,Psyduck,Psyduck,,1,Common,Water,,320.0,50.0,52.0,48.0,65.0,50.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,Permitted,,,
79,55,Golduck,Golduck,,1,Common,Water,,500.0,80.0,82.0,78.0,95.0,80.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,Permitted,-,-,-
80,56,Mankey,Mankey,,1,Common,Fighting,,305.0,40.0,80.0,35.0,35.0,45.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,,,,
81,57,Primeape,Primeape,,1,Common,Fighting,,455.0,65.0,105.0,60.0,60.0,70.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,,,,
82,58,Hisuian Growlithe,Growlithe,Hisuian,1,Common,Fire,Rock,350.0,60.0,75.0,45.0,65.0,50.0,55.0,https://img.pokemondb.net/s.png,,,,
83,58,Growlithe,Growlithe,,1,Common,Fire,,350.0,55.0,70.0,45.0,70.0,50.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,Permitted,,,
84,59,Hisuian Arcanine,Arcanine,Hisuian,1,Common,Fire,Rock,555.0,95.0,115.0,80.0,95.0,80.0,90.0,https://img.pokemondb.net/s.png,,,,
85,59,Arcanine,Arcanine,,1,Common,Fire,,555.0,90.0,110.0,80.0,100.0,80.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Permitted,23,0,71
86,60,Poliwag,Poliwag,,1,Common,Water,,300.0,40.0,50.0,40.0,40.0,40.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,Permitted,,,
87,61,Poliwhirl,Poliwhirl,,1,Common,Water,,385.0,65.0,65.0,65.0,50.0,50.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,Permitted,,,
88,62,Poliwrath,Poliwrath,,1,Common,Water,Fighting,510.0,90.0,95.0,95.0,70.0,90.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,Permitted,-,-,-
89,63,Abra,Abra,,1,Common,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,Permitted,,,
90,64,Kadabra,Kadabra,,1,Common,Psychic,,400.0,40.0,35.0,30.0,120.0,70.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,Permitted,,,
91,65,Alakazam,Alakazam,,1,Common,Psychic,,500.0,55.0,50.0,45.0,135.0,95.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,Permitted,-,-,-
92,65,Mega Alakazam,Alakazam,Mega,6,Common,Psychic,,600.0,55.0,50.0,65.0,175.0,105.0,150.0,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,Banned,,,
93,66,Machop,Machop,,1,Common,Fighting,,305.0,70.0,80.0,50.0,35.0,35.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,Permitted,,,
94,67,Machoke,Machoke,,1,Common,Fighting,,405.0,80.0,100.0,70.0,50.0,60.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,Permitted,,,
95,68,Machamp Gigantamax,Machamp,Gigantamax,8,,Fighting,,,,,,,,,https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png,Gigantamax Allowed,,,
96,68,Machamp,Machamp,,1,Common,Fighting,,505.0,90.0,130.0,80.0,65.0,85.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Permitted,4,0,204
97,69,Bellsprout,Bellsprout,,1,Common,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,,,,
98,70,Weepinbell,Weepinbell,,1,Common,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,,,,
99,71,Victreebel,Victreebel,,1,Common,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,,,,
100,72,Tentacool,Tentacool,,1,Common,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,Permitted,,,
101,73,Tentacruel,Tentacruel,,1,Common,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,Permitted,-,-,-
102,74,Geodude,Geodude,,1,Common,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,,,,
103,74,Alolan Geodude,Geodude,Alolan,7,Common,Rock,Electric,300.0,40.0,80.0,100.0,30.0,30.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,,,,
104,75,Graveler,Graveler,,1,Common,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,,,,
105,75,Alolan Graveler,Graveler,Alolan,7,Common,Rock,Electric,390.0,55.0,95.0,115.0,45.0,45.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,,,,
106,76,Golem,Golem,,1,Common,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,,,,
107,76,Alolan Golem,Golem,Alolan,7,Common,Rock,Electric,495.0,80.0,120.0,130.0,55.0,65.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,,,,
108,77,Ponyta,Ponyta,,1,Common,Fire,,410.0,50.0,85.0,55.0,65.0,65.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Permitted,,,
109,77,Galarian Ponyta,Ponyta,Galarian,8,Common,Psychic,,410.0,50.0,85.0,55.0,65.0,65.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Permitted,,,
110,78,Rapidash,Rapidash,,1,Common,Fire,,500.0,65.0,100.0,70.0,80.0,80.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Permitted,,,
111,78,Galarian Rapidash,Rapidash,Galarian,8,Common,Psychic,Fairy,500.0,65.0,100.0,70.0,80.0,80.0,105.0,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Permitted,,,
112,79,Galarian Slowpoke,Slowpoke,Galarian,8,Common,Psychic,,315.0,90.0,65.0,65.0,40.0,40.0,15.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Permitted,,,
113,79,Slowpoke,Slowpoke,,1,Common,Water,Psychic,315.0,90.0,65.0,65.0,40.0,40.0,15.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,,,,
114,80,Mega Slowbro,Slowbro,Mega,6,Common,Water,Psychic,590.0,95.0,75.0,180.0,130.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Banned,,,
115,80,Galarian Slowbro,Slowbro,Galarian,8,Common,Poison,Psychic,490.0,95.0,100.0,95.0,100.0,70.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Permitted,-,-,-
116,80,Slowbro,Slowbro,,1,Common,Water,Psychic,490.0,95.0,75.0,110.0,100.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,,4,0,122
117,81,Magnemite,Magnemite,,1,Common,Electric,Steel,325.0,25.0,35.0,70.0,95.0,55.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Permitted,,,
118,82,Magneton,Magneton,,1,Common,Electric,Steel,465.0,50.0,60.0,95.0,120.0,70.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Permitted,-,-,-
119,83,Farfetch'd,Farfetch'd,,1,Common,Normal,Flying,377.0,52.0,90.0,55.0,58.0,62.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Permitted,,,
120,83,Galarian Farfetch'd,Farfetch'd,Galarian,8,Common,Fighting,,377.0,52.0,95.0,55.0,58.0,62.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,,,,
121,84,Doduo,Doduo,,1,Common,Normal,Flying,310.0,35.0,85.0,45.0,35.0,35.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,,,,
122,85,Dodrio,Dodrio,,1,Common,Normal,Flying,470.0,60.0,110.0,70.0,60.0,60.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,,,,
123,86,Seel,Seel,,1,Common,Water,,325.0,65.0,45.0,55.0,45.0,70.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,,,,
124,87,Dewgong,Dewgong,,1,Common,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,,,,
125,88,Grimer,Grimer,,1,Common,Poison,,325.0,80.0,80.0,50.0,40.0,50.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,,,,
126,88,Alolan Grimer,Grimer,Alolan,7,Common,Poison,Dark,325.0,80.0,80.0,50.0,40.0,50.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,,,,
127,89,Alolan Muk,Muk,Alolan,7,Common,Poison,Dark,500.0,105.0,105.0,75.0,65.0,100.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,,,,
128,89,Muk,Muk,,1,Common,Poison,,500.0,105.0,105.0,75.0,65.0,100.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,,,,
129,90,Shellder,Shellder,,1,Common,Water,,305.0,30.0,65.0,100.0,45.0,25.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Permitted,,,
130,91,Cloyster,Cloyster,,1,Common,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Permitted,2,0,224
131,92,Gastly,Gastly,,1,Common,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Permitted,,,
132,93,Haunter,Haunter,,1,Common,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Permitted,,,
133,94,Gengar,Gengar,,1,Common,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Permitted,10,0,214
134,94,Gengar Gigantamax,Gengar,Gigantamax,8,,Ghost,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/094GiMS8.png,Gigantamax Allowed,,,
135,94,Mega Gengar,Gengar,Mega,6,Common,Ghost,Poison,600.0,60.0,65.0,80.0,170.0,95.0,130.0,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Banned,,,
136,95,Onix,Onix,,1,Common,Rock,Ground,385.0,35.0,45.0,160.0,30.0,45.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Permitted,,,
137,96,Drowzee,Drowzee,,1,Common,Psychic,,328.0,60.0,48.0,45.0,43.0,90.0,42.0,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,,,,
138,97,Hypno,Hypno,,1,Common,Psychic,,483.0,85.0,73.0,70.0,73.0,115.0,67.0,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,,,,
139,98,Krabby,Krabby,,1,Common,Water,,325.0,30.0,105.0,90.0,25.0,25.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Permitted,,,
140,99,Kingler Gigantamax,Kingler,Gigantamax,8,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/3/33/099GiMS8.png,Gigantamax Allowed,,,
