,Name,IntroductedIn,Type,Power,Acc,PP,DamageClass,Effect,ProbPercentage
57,Body Press,8,Fighting,80.0,100,10.0,Physical,"The higher the user's Defense, the stronger the attack.",
58,Body Slam,1,Normal,85.0,100,15.0,Physical,May paralyze opponent.,30.0
59,Bolt Beak,8,Electric,85.0,100,10.0,Physical,"If the user attacks before the target, the power of this move is doubled.",
60,Bolt Strike,5,Electric,130.0,85,5.0,Physical,May paralyze opponent.,20.0
61,Bone Club,1,Ground,65.0,85,20.0,Physical,May cause flinching.,10.0
62,Bone Rush,2,Ground,25.0,90,10.0,Physical,Hits 2-5 times in one turn.,
63,Bonemerang,1,Ground,50.0,90,10.0,Physical,Hits twice in one turn.,
64,Boomburst,6,Normal,140.0,100,10.0,Special,Hits all adjacent Pokémon.,
65,Bounce,3,Flying,85.0,85,5.0,Physical,"Springs up on first turn, attacks on second. May paralyze opponent.",30.0
66,Bouncy Bubble,7,Water,90.0,100,15.0,Special,User recovers half the HP inflicted on opponent.,
67,Branch Poke,8,Grass,40.0,100,40.0,Physical,,
68,Brave Bird,4,Flying,120.0,100,15.0,Physical,User receives recoil damage.,
69,Breaking Swipe,8,Dragon,60.0,100,15.0,Physical,Hits multiple opponents and lowers their attack.,100.0
70,Brick Break,3,Fighting,75.0,100,15.0,Physical,Breaks through Reflect and Light Screen barriers.,
71,Brine,4,Water,65.0,100,10.0,Special,Power doubles if opponent's HP is less than 50%.,
72,Brutal Swing,7,Dark,60.0,100,20.0,Physical,The user swings its body around violently to inflict damage on everything in its vicinity.,
73,Bubble,1,Water,40.0,100,30.0,Special,May lower opponent's Speed.,10.0
74,Bubble Beam,1,Water,65.0,100,20.0,Special,May lower opponent's Speed.,10.0
75,Bug Bite,4,Bug,60.0,100,20.0,Physical,Receives the effect from the opponent's held berry.,
76,Bug Buzz,4,Bug,90.0,100,10.0,Special,May lower opponent's Special Defense.,10.0
77,Bulk Up,3,Fighting,,,20.0,Status,Raises user's Attack and Defense.,
78,Bulldoze,5,Ground,60.0,100,20.0,Physical,Lowers opponent's Speed.,100.0
79,Bullet Punch,4,Steel,40.0,100,30.0,Physical,User attacks first.,
80,Bullet Seed,3,Grass,25.0,100,30.0,Physical,Hits 2-5 times in one turn.,
81,Burn Up,7,Fire,130.0,100,5.0,Special,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",
82,Burning Jealousy,8,Fire,70.0,100,5.0,Special,"Hits all opponents, and burns any that have had their stats boosted.",
83,Buzzy Buzz,7,Electric,90.0,100,15.0,Special,Paralyzes the opponent.,100.0
84,Calm Mind,3,Psychic,,,20.0,Status,Raises user's Special Attack and Special Defense.,
85,Camouflage,3,Normal,,,20.0,Status,Changes user's type according to the location.,
86,Captivate,4,Normal,,100,20.0,Status,Sharply lowers opponent's Special Attack if opposite gender.,
87,Catastropika,7,Electric,210.0,,1.0,Physical,Pikachu-exclusive Z-Move.,
88,Celebrate,6,Normal,,,40.0,Status,The Pokémon congratulates you on your special day. No battle effect.,
89,Charge,3,Electric,,,20.0,Status,Raises user's Special Defense and next Electric move's power increases.,
90,Charge Beam,4,Electric,50.0,90,10.0,Special,May raise user's Special Attack.,70.0
91,Charm,2,Fairy,,100,20.0,Status,Sharply lowers opponent's Attack.,
92,Chatter,4,Flying,65.0,100,20.0,Special,Confuses opponent.,100.0
93,Chip Away,5,Normal,70.0,100,20.0,Physical,Ignores opponent's stat changes.,
94,Circle Throw,5,Fighting,60.0,90,10.0,Physical,"In battles, the opponent switches. In the wild, the Pokémon runs.",
95,Clamp,1,Water,35.0,85,15.0,Physical,"Traps opponent, damaging them for 4-5 turns.",100.0
96,Clanging Scales,7,Dragon,110.0,100,5.0,Special,Lowers user's Defense.,100.0
97,Clangorous Soul,8,Dragon,,100,5.0,Status,Raises all user's stats but loses HP.,100.0
98,Clangorous Soulblaze,7,Dragon,185.0,,1.0,Special,Kommo-o exclusive Z-Move.,
99,Clear Smog,5,Poison,50.0,,15.0,Special,Removes all of the target's stat changes.,
100,Close Combat,4,Fighting,120.0,100,5.0,Physical,Lowers user's Defense and Special Defense.,100.0
101,Coaching,8,Fighting,,,10.0,Status,Boosts Attack and Defense of a teammate.,
102,Coil,5,Poison,,,20.0,Status,"Raises user's Attack, Defense and Accuracy.",
103,Comet Punch,1,Normal,18.0,85,15.0,Physical,Hits 2-5 times in one turn.,
104,Confide,6,Normal,,,20.0,Status,Lowers opponent's Special Attack.,100.0
105,Confuse Ray,1,Ghost,,100,10.0,Status,Confuses opponent.,
106,Confusion,1,Psychic,50.0,100,25.0,Special,May confuse opponent.,10.0
107,Constrict,1,Normal,10.0,100,35.0,Physical,May lower opponent's Speed by one stage.,10.0
108,Conversion,1,Normal,,,30.0,Status,Changes user's type to that of its first move.,
109,Conversion 2,2,Normal,,,30.0,Status,User changes type to become resistant to opponent's last move.,
110,Copycat,4,Normal,,,20.0,Status,Copies opponent's last move.,
111,Core Enforcer,7,Dragon,100.0,100,10.0,Special,Suppresses the target's ability if the target has already moved.,
112,Corrosive Gas,8,Poison,,100,40.0,Status,Removes opponent's items.,
113,Cosmic Power,3,Psychic,,,20.0,Status,Raises user's Defense and Special Defense.,
114,Cotton Guard,5,Grass,,,10.0,Status,Drastically raises user's Defense.,
115,Cotton Spore,2,Grass,,100,40.0,Status,Sharply lowers opponent's Speed.,
116,Counter,1,Fighting,,100,20.0,Physical,"When hit by a Physical Attack, user strikes back with 2x power.",
117,Court Change,8,Normal,,100,10.0,Status,Swaps the effects on either side of the field.,
118,Covet,3,Normal,60.0,100,25.0,Physical,Opponent's item is stolen by the user.,
119,Crabhammer,1,Water,100.0,90,10.0,Physical,High critical hit ratio.,
120,Crafty Shield,6,Fairy,,,10.0,Status,Protects the Pokémon from status moves.,
121,Cross Chop,2,Fighting,100.0,80,5.0,Physical,High critical hit ratio.,
122,Cross Poison,4,Poison,70.0,100,20.0,Physical,High critical hit ratio. May poison opponent.,10.0
123,Crunch,2,Dark,80.0,100,15.0,Physical,May lower opponent's Defense.,20.0
124,Crush Claw,3,Normal,75.0,95,10.0,Physical,May lower opponent's Defense.,50.0
125,Crush Grip,4,Normal,,100,5.0,Physical,More powerful when opponent has higher HP.,
126,Curse,2,Ghost,,,10.0,Status,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",
127,Cut,1,Normal,50.0,95,30.0,Physical,,
128,Dark Pulse,4,Dark,80.0,100,15.0,Special,May cause flinching.,20.0
129,Dark Void,4,Dark,,50,10.0,Status,Puts all adjacent opponents to sleep.,
130,Darkest Lariat,7,Dark,85.0,100,10.0,Physical,Ignores opponent's stat changes.,
131,Dazzling Gleam,6,Fairy,80.0,100,10.0,Special,Hits all adjacent opponents.,
132,Decorate,8,Fairy,,,15.0,Status,Sharply raises target's Attack and Special Attack.,100.0
133,Defend Order,4,Bug,,,10.0,Status,Raises user's Defense and Special Defense.,
134,Defense Curl,1,Normal,,,40.0,Status,Raises user's Defense.,
135,Defog,4,Flying,,,15.0,Status,Lowers opponent's Evasiveness and clears fog.,
136,Destiny Bond,2,Ghost,,,5.0,Status,"If the user faints, the opponent also faints.",
137,Detect,2,Fighting,,,5.0,Status,"Protects the user, but may fail if used consecutively.",
138,Diamond Storm,6,Rock,100.0,95,5.0,Physical,May sharply raise user's Defense.,50.0
139,Dig,1,Ground,80.0,100,10.0,Physical,"Digs underground on first turn, attacks on second. Can also escape from caves.",
140,Disable,1,Normal,,100,20.0,Status,Opponent can't use its last attack for a few turns.,
141,Disarming Voice,6,Fairy,40.0,∞,15.0,Special,Ignores Accuracy and Evasiveness.,
142,Discharge,4,Electric,80.0,100,15.0,Special,May paralyze opponent.,30.0
143,Dive,3,Water,80.0,100,10.0,Physical,"Dives underwater on first turn, attacks on second turn.",
144,Dizzy Punch,1,Normal,70.0,100,10.0,Physical,May confuse opponent.,20.0
145,Doom Desire,3,Steel,140.0,100,5.0,Special,Damage occurs 2 turns later.,
146,Double Edge,1,Normal,120.0,100,15.0,Physical,User receives recoil damage.,
147,Double Hit,4,Normal,35.0,90,10.0,Physical,Hits twice in one turn.,
148,Double Iron Bash,7,Steel,60.0,100,5.0,Physical,Hits twice in one turn; may cause flinching.,30.0
149,Double Kick,1,Fighting,30.0,100,30.0,Physical,Hits twice in one turn.,
150,Double Slap,1,Normal,15.0,85,10.0,Physical,Hits 2-5 times in one turn.,
151,Double Team,1,Normal,,,15.0,Status,Raises user's Evasiveness.,
152,Draco Meteor,4,Dragon,130.0,90,5.0,Special,Sharply lowers user's Special Attack.,100.0
153,Dragon Ascent,6,Flying,120.0,100,5.0,Physical,Lowers user's Defense and Special Defense.,100.0
154,Dragon Breath,2,Dragon,60.0,100,20.0,Special,May paralyze opponent.,30.0
155,Dragon Claw,3,Dragon,80.0,100,15.0,Physical,,
156,Dragon Dance,3,Dragon,,,20.0,Status,Raises user's Attack and Speed.,
157,Dragon Darts,8,Dragon,50.0,100,10.0,Physical,User attacks twice.,
158,Dragon Energy,8,Dragon,150.0,100,5.0,Special,"The higher the user's HP, the higher the power.",
159,Dragon Hammer,7,Dragon,90.0,100,15.0,Physical,The user uses its body like a hammer to attack the target and inflict damage.,
160,Dragon Pulse,4,Dragon,85.0,100,10.0,Special,,
161,Dragon Rage,1,Dragon,,100,10.0,Special,Always inflicts 40 HP.,
162,Dragon Rush,4,Dragon,100.0,75,10.0,Physical,May cause flinching.,20.0
163,Dragon Tail,5,Dragon,60.0,90,10.0,Physical,"In battles, the opponent switches. In the wild, the Pokémon runs.",
164,Drain Punch,4,Fighting,75.0,100,10.0,Physical,User recovers half the HP inflicted on opponent.,
165,Draining Kiss,6,Fairy,50.0,100,10.0,Special,User recovers most the HP inflicted on opponent.,
166,Dream Eater,1,Psychic,100.0,100,15.0,Special,User recovers half the HP inflicted on a sleeping opponent.,
167,Drill Peck,1,Flying,80.0,100,20.0,Physical,,
168,Drill Run,5,Ground,80.0,95,10.0,Physical,High critical hit ratio.,
169,Drum Beating,8,Grass,80.0,100,10.0,Physical,Lowers opponent's Speed.,100.0
170,Dual Chop,5,Dragon,40.0,90,15.0,Physical,Hits twice in one turn.,
171,Dual Wingbeat,8,Flying,40.0,90,10.0,Physical,The user slams the target with its wings. The target is hit twice in a row.,
172,Dynamax Cannon,8,Dragon,100.0,100,5.0,Special,Damage doubles if opponent is Dynamaxed.,
173,Dynamic Punch,2,Fighting,100.0,50,5.0,Physical,Confuses opponent.,100.0
174,Earth Power,4,Ground,90.0,100,10.0,Special,May lower opponent's Special Defense.,10.0
175,Earthquake,1,Ground,100.0,100,10.0,Physical,Power is doubled if opponent is underground from using Dig.,
176,Echoed Voice,5,Normal,40.0,100,15.0,Special,Power increases each turn.,
177,Eerie Impulse,6,Electric,,100,15.0,Status,Sharply lowers opponent's Special Attack.,
178,Eerie Spell,8,Psychic,80.0,100,5.0,Special,Deals damage and reduces opponent's PP.,
179,Egg Bomb,1,Normal,100.0,75,10.0,Physical,,
180,Electric Terrain,6,Electric,,,10.0,Status,Prevents all Pokémon from falling asleep for 5 turns.,
181,Electrify,6,Electric,,,20.0,Status,Changes the target's move to Electric type.,
182,Electro Ball,5,Electric,,100,10.0,Special,"The faster the user, the stronger the attack.",
183,Electroweb,5,Electric,55.0,95,15.0,Special,Lowers opponent's Speed.,100.0
184,Embargo,4,Dark,,100,15.0,Status,Opponent cannot use items.,
185,Ember,1,Fire,40.0,100,25.0,Special,May burn opponent.,10.0
186,Encore,2,Normal,,100,5.0,Status,Forces opponent to keep using its last move for 3 turns.,
187,Endeavor,3,Normal,,100,5.0,Physical,Reduces opponent's HP to same as user's.,
188,Endure,2,Normal,,,10.0,Status,"Always left with at least 1 HP, but may fail if used consecutively.",
189,Energy Ball,4,Grass,90.0,100,10.0,Special,May lower opponent's Special Defense.,10.0
190,Entrainment,5,Normal,,100,15.0,Status,Makes target's ability same as user's.,
191,Eruption,3,Fire,150.0,100,5.0,Special,Stronger when the user's HP is higher.,
192,Eternabeam,8,Dragon,160.0,90,5.0,Special,User can't move on the next turn.,
193,Expanding Force,8,Psychic,80.0,100,10.0,Special,Increases power and hits all opponents on Psychic Terrain.,
194,Explosion,1,Normal,250.0,100,5.0,Physical,User faints.,
195,Extrasensory,3,Psychic,80.0,100,20.0,Special,May cause flinching.,10.0
196,Extreme Evoboost,7,Normal,,,1.0,Status,Eevee-exclusive Z-Move. Sharply raises all stats.,100.0
197,Extreme Speed,2,Normal,80.0,100,5.0,Physical,User attacks first.,
198,Facade,3,Normal,70.0,100,20.0,Physical,"Power doubles if user is burned, poisoned, or paralyzed.",
199,Fairy Lock,6,Fairy,,,10.0,Status,Prevents fleeing in the next turn.,
200,Fairy Wind,6,Fairy,40.0,100,30.0,Special,,
201,Fake Out,3,Normal,40.0,100,10.0,Physical,"User attacks first, foe flinches. Only usable on first turn.",100.0
202,Fake Tears,3,Dark,,100,20.0,Status,Sharply lowers opponent's Special Defense.,
203,False Surrender,8,Dark,80.0,∞,10.0,Physical,Ignores Accuracy and Evasiveness.,
204,False Swipe,2,Normal,40.0,100,40.0,Physical,Always leaves opponent with at least 1 HP.,
205,Feather Dance,3,Flying,,100,15.0,Status,Sharply lowers opponent's Attack.,
206,Feint,4,Normal,30.0,100,10.0,Physical,Only hits if opponent uses Protect or Detect in the same turn.,
207,Feint Attack,2,Dark,60.0,∞,20.0,Physical,Ignores Accuracy and Evasiveness.,
208,Fell Stinger,6,Bug,50.0,100,25.0,Physical,Drastically raises user's Attack if target is KO'd.,
209,Fiery Dance,5,Fire,80.0,100,10.0,Special,May raise user's Special Attack.,50.0
210,Fiery Wrath,8,Dark,90.0,100,10.0,Special,May cause flinching.,20.0
211,Final Gambit,5,Fighting,,100,5.0,Special,Inflicts damage equal to the user's remaining HP. User faints.,
212,Fire Blast,1,Fire,110.0,85,5.0,Special,May burn opponent.,10.0
213,Fire Fang,4,Fire,65.0,95,15.0,Physical,May cause flinching and/or burn opponent.,10.0
214,Fire Lash,7,Fire,80.0,100,15.0,Physical,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100.0
215,Fire Pledge,5,Fire,80.0,100,10.0,Special,Added effects appear if combined with Grass Pledge or Water Pledge.,
216,Fire Punch,1,Fire,75.0,100,15.0,Physical,May burn opponent.,10.0
217,Fire Spin,1,Fire,35.0,85,15.0,Special,"Traps opponent, damaging them for 4-5 turns.",100.0
218,First Impression,7,Bug,90.0,100,10.0,Physical,"Although this move has great power, it only works the first turn the user is in battle.",
219,Fishious Rend,8,Water,85.0,100,10.0,Physical,"If the user attacks before the target, the power of this move is doubled.",
220,Fissure,1,Ground,,30,5.0,Physical,"One-Hit-KO, if it hits.",
221,Flail,2,Normal,,100,15.0,Physical,"The lower the user's HP, the higher the power.",
222,Flame Burst,5,Fire,70.0,100,15.0,Special,May also injure nearby Pokémon.,
223,Flame Charge,5,Fire,50.0,100,20.0,Physical,Raises user's Speed.,100.0
224,Flame Wheel,2,Fire,60.0,100,25.0,Physical,May burn opponent.,10.0
225,Flamethrower,1,Fire,90.0,100,15.0,Special,May burn opponent.,10.0
226,Flare Blitz,4,Fire,120.0,100,15.0,Physical,User receives recoil damage. May burn opponent.,10.0
227,Flash,1,Normal,,100,20.0,Status,Lowers opponent's Accuracy.,
228,Flash Cannon,4,Steel,80.0,100,10.0,Special,May lower opponent's Special Defense.,10.0
229,Flatter,3,Dark,,100,15.0,Status,"Confuses opponent, but raises its Special Attack.",
230,Fleur Cannon,7,Fairy,130.0,90,5.0,Special,Sharply lowers user's Special Attack.,100.0
231,Fling,4,Dark,,100,10.0,Physical,Power depends on held item.,
232,Flip Turn,8,Water,60.0,100,20.0,Physical,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",
233,Floaty Fall,7,Flying,90.0,95,15.0,Physical,May cause flinching.,30.0
234,Floral Healing,7,Fairy,,,10.0,Status,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,
235,Flower Shield,6,Fairy,,,10.0,Status,Sharply raises Defense of all Grass-type Pokémon on the field.,100.0
236,Fly,1,Flying,90.0,95,15.0,Physical,"Flies up on first turn, attacks on second turn.",
237,Flying Press,6,Fighting,100.0,95,10.0,Physical,Deals Fighting and Flying type damage.,
238,Focus Blast,4,Fighting,120.0,70,5.0,Special,May lower opponent's Special Defense.,10.0
239,Focus Energy,1,Normal,,,30.0,Status,Increases critical hit ratio.,
240,Focus Punch,3,Fighting,150.0,100,20.0,Physical,"If the user is hit before attacking, it flinches instead.",
241,Follow Me,3,Normal,,,20.0,Status,"In Double Battle, the user takes all the attacks.",
242,Force Palm,4,Fighting,60.0,100,10.0,Physical,May paralyze opponent.,30.0
243,Foresight,2,Normal,,,40.0,Status,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",
244,Forest'S Curse,6,Grass,,100,20.0,Status,Adds Grass type to opponent.,
245,Foul Play,5,Dark,95.0,100,15.0,Physical,Uses the opponent's Attack stat.,
246,Freeze Dry,6,Ice,70.0,100,20.0,Special,May freeze opponent. Super-effective against Water types.,10.0
247,Freeze Shock,5,Ice,140.0,90,5.0,Physical,"Charges on first turn, attacks on second. May paralyze opponent.",30.0
248,Freezing Glare,8,Psychic,90.0,100,10.0,Special,May freeze opponent.,10.0
249,Freezy Frost,7,Ice,90.0,100,15.0,Special,Resets all stat changes.,
250,Frenzy Plant,3,Grass,150.0,90,5.0,Special,User must recharge next turn.,
251,Frost Breath,5,Ice,60.0,90,10.0,Special,Always results in a critical hit.,100.0
252,Frustration,2,Normal,,100,20.0,Physical,Power decreases with higher Friendship.,
253,Fury Attack,1,Normal,15.0,85,20.0,Physical,Hits 2-5 times in one turn.,
254,Fury Cutter,2,Bug,40.0,95,20.0,Physical,Power increases each turn.,
255,Fury Swipes,1,Normal,18.0,80,15.0,Physical,Hits 2-5 times in one turn.,
256,Fusion Bolt,5,Electric,100.0,100,5.0,Physical,Power increases if Fusion Flare is used in the same turn.,
257,Fusion Flare,5,Fire,100.0,100,5.0,Special,Power increases if Fusion Bolt is used in the same turn.,
258,Future Sight,2,Psychic,120.0,100,10.0,Special,Damage occurs 2 turns later.,
259,Gastro Acid,4,Poison,,100,10.0,Status,Cancels out the effect of the opponent's Ability.,
260,Gear Grind,5,Steel,50.0,85,15.0,Physical,Hits twice in one turn.,
261,Gear Up,7,Steel,,,20.0,Status,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,
262,Genesis Supernova,7,Psychic,185.0,,1.0,Special,Mew-exclusive Z-Move.,
263,Geomancy,6,Fairy,,,10.0,Status,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",
264,Giga Drain,2,Grass,75.0,100,10.0,Special,User recovers half the HP inflicted on opponent.,
265,Giga Impact,4,Normal,150.0,90,5.0,Physical,User must recharge next turn.,
266,Glacial Lance,8,Ice,130.0,100,5.0,Physical,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,
267,Glaciate,5,Ice,65.0,95,10.0,Special,Lowers opponent's Speed.,100.0
268,Glare,1,Normal,,100,30.0,Status,Paralyzes opponent.,
269,Glitzy Glow,7,Psychic,90.0,100,15.0,Special,Reduces damage from Special attacks.,
270,Grass Knot,4,Grass,,100,20.0,Special,"The heavier the opponent, the stronger the attack.",
271,Grass Pledge,5,Grass,80.0,100,10.0,Special,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,
272,Grass Whistle,3,Grass,,55,15.0,Status,Puts opponent to sleep.,
273,Grassy Glide,8,Grass,70.0,100,20.0,Physical,High priority during Grassy Terrain.,
274,Grassy Terrain,6,Grass,,,10.0,Status,Restores a little HP of all Pokémon for 5 turns.,
275,Grav Apple,8,Grass,80.0,100,10.0,Physical,Lowers the opponent's Defense stat.,100.0
276,Gravity,4,Psychic,,,5.0,Status,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,
277,Growl,1,Normal,,100,40.0,Status,Lowers opponent's Attack.,
278,Growth,1,Normal,,,20.0,Status,Raises user's Attack and Special Attack.,
279,Grudge,3,Ghost,,,5.0,Status,"If the users faints after using this move, the PP for the opponent's last move is depleted.",
280,Guard Split,5,Psychic,,,10.0,Status,Averages Defense and Special Defense with the target.,
281,Guard Swap,4,Psychic,,,10.0,Status,User and opponent swap Defense and Special Defense.,
282,Guardian Of Alola,7,Fairy,,,1.0,Special,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,
283,Guillotine,1,Normal,,30,5.0,Physical,"One-Hit-KO, if it hits.",
284,Gunk Shot,4,Poison,120.0,80,5.0,Physical,May poison opponent.,30.0
285,Gust,1,Flying,40.0,100,35.0,Special,Hits Pokémon using Fly/Bounce with double power.,
286,Gyro Ball,4,Steel,,100,5.0,Physical,"The slower the user, the stronger the attack.",
287,Hail,3,Ice,,,10.0,Status,Non-Ice types are damaged for 5 turns.,
288,Hammer Arm,4,Fighting,100.0,90,10.0,Physical,Lowers user's Speed.,100.0
289,Happy Hour,6,Normal,,,30.0,Status,Doubles prize money from trainer battles.,
290,Harden,1,Normal,,,30.0,Status,Raises user's Defense.,
291,Haze,1,Ice,,,30.0,Status,Resets all stat changes.,
292,Head Charge,5,Normal,120.0,100,15.0,Physical,User receives recoil damage.,
293,Head Smash,4,Rock,150.0,80,5.0,Physical,User receives recoil damage.,
294,Headbutt,1,Normal,70.0,100,15.0,Physical,May cause flinching.,30.0
295,Heal Bell,2,Normal,,,5.0,Status,Heals the user's party's status conditions.,
296,Heal Block,4,Psychic,,100,15.0,Status,Prevents the opponent from restoring HP for 5 turns.,
297,Heal Order,4,Bug,,,10.0,Status,User recovers half its max HP.,
298,Heal Pulse,5,Psychic,,,10.0,Status,Restores half the target's max HP.,
299,Healing Wish,4,Psychic,,,10.0,Status,The user faints and the next Pokémon released is fully healed.,
300,Heart Stamp,5,Psychic,60.0,100,25.0,Physical,May cause flinching.,30.0
301,Heart Swap,4,Psychic,,,10.0,Status,Stat changes are swapped with the opponent.,
302,Heat Crash,5,Fire,,100,10.0,Physical,"The heavier the user, the stronger the attack.",
303,Heat Wave,3,Fire,95.0,90,10.0,Special,May burn opponent.,10.0
304,Heavy Slam,5,Steel,,100,10.0,Physical,"The heavier the user, the stronger the attack.",
305,Helping Hand,3,Normal,,,20.0,Status,"In Double Battles, boosts the power of the partner's move.",
306,Hex,5,Ghost,65.0,100,10.0,Special,Inflicts more damage if the target has a status condition.,
307,Hidden Power,2,Normal,60.0,100,15.0,Special,Type and power depends on user's IVs.,
308,High Horsepower,7,Ground,95.0,95,10.0,Physical,The user fiercely attacks the target using its entire body.,
309,High Jump Kick,1,Fighting,130.0,90,10.0,Physical,"If it misses, the user loses half their HP.",
