Move,Pokemon
Flash,Paras
Frustration,Paras
Fury Cutter,Paras
Fury Swipes,Paras
Giga Drain,Paras
Grass Knot,Paras
Grassy Terrain,Paras
Growth,Paras
Headbutt,Paras
Hidden Power,Paras
Hone Claws,Paras
Knock Off,Paras
Leech Life,Paras
Leech Seed,Paras
Light Screen,Paras
Mega Drain,Paras
Metal Claw,Paras
Mimic,Paras
Natural Gift,Paras
Nature Power,Paras
Poison Powder,Paras
Protect,Paras
Psybeam,Paras
Pursuit,Paras
Rage,Paras
Rage Powder,Paras
Reflect,Paras
Rest,Paras
Return,Paras
Rock Smash,Paras
Rototiller,Paras
Round,Paras
Scratch,Paras
Screech,Paras
Secret Power,Paras
Seed Bomb,Paras
Skull Bash,Paras
Slash,Paras
Sleep Powder,Paras
Sleep Talk,Paras
Sludge Bomb,Paras
Snore,Paras
Solar Beam,Paras
Spore,Paras
String Shot,Paras
Struggle Bug,Paras
Stun Spore,Paras
Substitute,Paras
Sunny Day,Paras
Swagger,Paras
Sweet Scent,Paras
Swords Dance,Paras
Synthesis,Paras
Take Down,Paras
Thief,Paras
Toxic,Paras
Venoshock,Paras
Wide Guard,Paras
Worry Seed,Paras
X Scissor,Paras
Absorb,Parasect
Aerial Ace,Parasect
After You,Parasect
Aromatherapy,Parasect
Attract,Parasect
Bide,Parasect
Body Slam,Parasect
Brick Break,Parasect
Bug Bite,Parasect
Bullet Seed,Parasect
Captivate,Parasect
Confide,Parasect
Counter,Parasect
Cross Poison,Parasect
Curse,Parasect
Cut,Parasect
Dig,Parasect
Double Edge,Parasect
Double Team,Parasect
Endure,Parasect
Energy Ball,Parasect
Facade,Parasect
False Swipe,Parasect
Flash,Parasect
Frustration,Parasect
Fury Cutter,Parasect
Fury Swipes,Parasect
Giga Drain,Parasect
Giga Impact,Parasect
Grass Knot,Parasect
Growth,Parasect
Headbutt,Parasect
Hidden Power,Parasect
Hone Claws,Parasect
Hyper Beam,Parasect
Knock Off,Parasect
Leech Life,Parasect
Leech Seed,Parasect
Light Screen,Parasect
Mega Drain,Parasect
Mimic,Parasect
Natural Gift,Parasect
Nature Power,Parasect
Poison Powder,Parasect
Protect,Parasect
Rage,Parasect
Rage Powder,Parasect
Reflect,Parasect
Rest,Parasect
Return,Parasect
Rock Smash,Parasect
Round,Parasect
Scratch,Parasect
Screech,Parasect
Secret Power,Parasect
Seed Bomb,Parasect
Skull Bash,Parasect
Slash,Parasect
Sleep Powder,Parasect
Sleep Talk,Parasect
Sludge Bomb,Parasect
Snore,Parasect
Solar Beam,Parasect
Spore,Parasect
String Shot,Parasect
Struggle Bug,Parasect
Stun Spore,Parasect
Substitute,Parasect
Sunny Day,Parasect
Swagger,Parasect
Sweet Scent,Parasect
Swords Dance,Parasect
Synthesis,Parasect
Take Down,Parasect
Thief,Parasect
Throat Chop,Parasect
Toxic,Parasect
Venoshock,Parasect
Worry Seed,Parasect
X Scissor,Parasect
Absorb,Exeggcute
Ancient Power,Exeggcute
Attract,Exeggcute
Barrage,Exeggcute
Bestow,Exeggcute
Bide,Exeggcute
Block,Exeggcute
Bullet Seed,Exeggcute
Captivate,Exeggcute
Confide,Exeggcute
Confusion,Exeggcute
Curse,Exeggcute
Double Edge,Exeggcute
Double Team,Exeggcute
Dream Eater,Exeggcute
Egg Bomb,Exeggcute
Endure,Exeggcute
Energy Ball,Exeggcute
Explosion,Exeggcute
Extrasensory,Exeggcute
Facade,Exeggcute
Flash,Exeggcute
Frustration,Exeggcute
Giga Drain,Exeggcute
Grass Knot,Exeggcute
Grassy Glide,Exeggcute
Grassy Terrain,Exeggcute
Gravity,Exeggcute
Headbutt,Exeggcute
Hidden Power,Exeggcute
Hypnosis,Exeggcute
Infestation,Exeggcute
Ingrain,Exeggcute
Leaf Storm,Exeggcute
Leech Seed,Exeggcute
Light Screen,Exeggcute
Lucky Chant,Exeggcute
Mega Drain,Exeggcute
Mimic,Exeggcute
Moonlight,Exeggcute
Natural Gift,Exeggcute
Nature Power,Exeggcute
Nightmare,Exeggcute
Poison Powder,Exeggcute
Power Swap,Exeggcute
Protect,Exeggcute
Psybeam,Exeggcute
Psych Up,Exeggcute
Psychic,Exeggcute
Psywave,Exeggcute
Rage,Exeggcute
Reflect,Exeggcute
Rest,Exeggcute
Return,Exeggcute
Rollout,Exeggcute
Round,Exeggcute
Secret Power,Exeggcute
Seed Bomb,Exeggcute
Self Destruct,Exeggcute
Skill Swap,Exeggcute
Sleep Powder,Exeggcute
Sleep Talk,Exeggcute
Sludge Bomb,Exeggcute
Snore,Exeggcute
Solar Beam,Exeggcute
Strength,Exeggcute
Stun Spore,Exeggcute
Substitute,Exeggcute
Sunny Day,Exeggcute
Swagger,Exeggcute
Swords Dance,Exeggcute
Synthesis,Exeggcute
Take Down,Exeggcute
Telekinesis,Exeggcute
Teleport,Exeggcute
Thief,Exeggcute
Toxic,Exeggcute
Trick Room,Exeggcute
Uproar,Exeggcute
Worry Seed,Exeggcute
Absorb,Exeggutor
Ancient Power,Exeggutor
Attract,Exeggutor
Barrage,Exeggutor
Bide,Exeggutor
Block,Exeggutor
Bulldoze,Exeggutor
Bullet Seed,Exeggutor
Calm Mind,Exeggutor
Captivate,Exeggutor
Confide,Exeggutor
Confusion,Exeggutor
Curse,Exeggutor
Double Edge,Exeggutor
Double Team,Exeggutor
Dream Eater,Exeggutor
Egg Bomb,Exeggutor
Endure,Exeggutor
Energy Ball,Exeggutor
Expanding Force,Exeggutor
Explosion,Exeggutor
Extrasensory,Exeggutor
Facade,Exeggutor
Flash,Exeggutor
Frustration,Exeggutor
Future Sight,Exeggutor
Giga Drain,Exeggutor
Giga Impact,Exeggutor
Grass Knot,Exeggutor
Grassy Glide,Exeggutor
Grassy Terrain,Exeggutor
Gravity,Exeggutor
Headbutt,Exeggutor
Hidden Power,Exeggutor
Hyper Beam,Exeggutor
Hypnosis,Exeggutor
Infestation,Exeggutor
Leaf Storm,Exeggutor
Leech Seed,Exeggutor
Light Screen,Exeggutor
Low Kick,Exeggutor
Magical Leaf,Exeggutor
Mega Drain,Exeggutor
Mimic,Exeggutor
Natural Gift,Exeggutor
Nature Power,Exeggutor
Nightmare,Exeggutor
Power Swap,Exeggutor
Power Whip,Exeggutor
Protect,Exeggutor
Psych Up,Exeggutor
Psychic,Exeggutor
Psycho Cut,Exeggutor
Psyshock,Exeggutor
Psywave,Exeggutor
Rage,Exeggutor
Reflect,Exeggutor
Rest,Exeggutor
Return,Exeggutor
Rollout,Exeggutor
Round,Exeggutor
Secret Power,Exeggutor
Seed Bomb,Exeggutor
Self Destruct,Exeggutor
Skill Swap,Exeggutor
Sleep Talk,Exeggutor
Sludge Bomb,Exeggutor
Snore,Exeggutor
Solar Beam,Exeggutor
Stomp,Exeggutor
Stomping Tantrum,Exeggutor
Strength,Exeggutor
Stun Spore,Exeggutor
Substitute,Exeggutor
Sunny Day,Exeggutor
Swagger,Exeggutor
Swords Dance,Exeggutor
Synthesis,Exeggutor
Take Down,Exeggutor
Telekinesis,Exeggutor
Teleport,Exeggutor
Terrain Pulse,Exeggutor
Thief,Exeggutor
Toxic,Exeggutor
Trick Room,Exeggutor
Uproar,Exeggutor
Wood Hammer,Exeggutor
Worry Seed,Exeggutor
Zen Headbutt,Exeggutor
Absorb,Tangela
Amnesia,Tangela
Ancient Power,Tangela
Attract,Tangela
Bide,Tangela
Bind,Tangela
Body Slam,Tangela
Bullet Seed,Tangela
Captivate,Tangela
Confide,Tangela
Confusion,Tangela
Constrict,Tangela
Curse,Tangela
Cut,Tangela
Double Edge,Tangela
Double Team,Tangela
Endeavor,Tangela
Endure,Tangela
Energy Ball,Tangela
Facade,Tangela
Flail,Tangela
Flash,Tangela
Frustration,Tangela
Giga Drain,Tangela
Giga Impact,Tangela
Grass Knot,Tangela
Grassy Glide,Tangela
Grassy Terrain,Tangela
Growth,Tangela
Headbutt,Tangela
Hidden Power,Tangela
Hyper Beam,Tangela
Infestation,Tangela
Ingrain,Tangela
Knock Off,Tangela
Leaf Storm,Tangela
Leech Seed,Tangela
Mega Drain,Tangela
Mimic,Tangela
Natural Gift,Tangela
Nature Power,Tangela
Pain Split,Tangela
Poison Powder,Tangela
Power Swap,Tangela
Power Whip,Tangela
Protect,Tangela
Psych Up,Tangela
Rage,Tangela
Rage Powder,Tangela
Reflect,Tangela
Rest,Tangela
Return,Tangela
Rock Smash,Tangela
Round,Tangela
Secret Power,Tangela
Seed Bomb,Tangela
Shock Wave,Tangela
Skull Bash,Tangela
Slam,Tangela
Sleep Powder,Tangela
Sleep Talk,Tangela
Sludge Bomb,Tangela
Snore,Tangela
Solar Beam,Tangela
Stun Spore,Tangela
Substitute,Tangela
Sunny Day,Tangela
Swagger,Tangela
Sweet Scent,Tangela
Swords Dance,Tangela
Synthesis,Tangela
Take Down,Tangela
Thief,Tangela
Tickle,Tangela
Toxic,Tangela
Vine Whip,Tangela
Wake Up Slap,Tangela
Worry Seed,Tangela
Wring Out,Tangela
Absorb,Kabuto
Aerial Ace,Kabuto
Ancient Power,Kabuto
Aqua Jet,Kabuto
Attract,Kabuto
Aurora Beam,Kabuto
Bide,Kabuto
Blizzard,Kabuto
Body Slam,Kabuto
Brine,Kabuto
Bubble Beam,Kabuto
Captivate,Kabuto
Confide,Kabuto
Confuse Ray,Kabuto
Curse,Kabuto
Dig,Kabuto
Double Edge,Kabuto
Double Team,Kabuto
Earth Power,Kabuto
Endure,Kabuto
Facade,Kabuto
Flail,Kabuto
Foresight,Kabuto
Frustration,Kabuto
Giga Drain,Kabuto
Hail,Kabuto
Harden,Kabuto
Headbutt,Kabuto
Hidden Power,Kabuto
Hone Claws,Kabuto
Hydro Pump,Kabuto
Ice Beam,Kabuto
Icy Wind,Kabuto
Iron Defense,Kabuto
Knock Off,Kabuto
Leech Life,Kabuto
Leer,Kabuto
Liquidation,Kabuto
Mega Drain,Kabuto
Metal Sound,Kabuto
Meteor Beam,Kabuto
Mimic,Kabuto
Mud Shot,Kabuto
Mud Slap,Kabuto
Natural Gift,Kabuto
Protect,Kabuto
Rage,Kabuto
Rain Dance,Kabuto
Rapid Spin,Kabuto
Reflect,Kabuto
Rest,Kabuto
Return,Kabuto
Rock Blast,Kabuto
Rock Polish,Kabuto
Rock Slide,Kabuto
Rock Smash,Kabuto
Rock Throw,Kabuto
Rock Tomb,Kabuto
Rollout,Kabuto
Round,Kabuto
Sand Attack,Kabuto
Sandstorm,Kabuto
Scald,Kabuto
Scratch,Kabuto
Screech,Kabuto
Secret Power,Kabuto
Slash,Kabuto
Sleep Talk,Kabuto
Smack Down,Kabuto
Snore,Kabuto
Stealth Rock,Kabuto
Stone Edge,Kabuto
Substitute,Kabuto
Surf,Kabuto
Swagger,Kabuto
Take Down,Kabuto
Thief,Kabuto
Toxic,Kabuto
Water Gun,Kabuto
Water Pulse,Kabuto
Waterfall,Kabuto
Whirlpool,Kabuto
Wring Out,Kabuto
Absorb,Kabutops
Aerial Ace,Kabutops
Ancient Power,Kabutops
Aqua Jet,Kabutops
Aqua Tail,Kabutops
Attract,Kabutops
Bide,Kabutops
Blizzard,Kabutops
Body Slam,Kabutops
Brick Break,Kabutops
Brine,Kabutops
Bubble Beam,Kabutops
Captivate,Kabutops
Confide,Kabutops
Confuse Ray,Kabutops
Cross Poison,Kabutops
Curse,Kabutops
Cut,Kabutops
Dig,Kabutops
Dive,Kabutops
Double Edge,Kabutops
Double Team,Kabutops
Earth Power,Kabutops
Endure,Kabutops
Facade,Kabutops
Feint,Kabutops
Flip Turn,Kabutops
Frustration,Kabutops
Fury Cutter,Kabutops
Giga Drain,Kabutops
Giga Impact,Kabutops
Hail,Kabutops
Harden,Kabutops
Headbutt,Kabutops
Hidden Power,Kabutops
Hone Claws,Kabutops
Hydro Pump,Kabutops
Hyper Beam,Kabutops
Ice Beam,Kabutops
Icy Wind,Kabutops
Iron Defense,Kabutops
Knock Off,Kabutops
Leech Life,Kabutops
Leer,Kabutops
Liquidation,Kabutops
Low Kick,Kabutops
Mega Drain,Kabutops
Mega Kick,Kabutops
Metal Sound,Kabutops
Meteor Beam,Kabutops
Mimic,Kabutops
Mud Shot,Kabutops
Mud Slap,Kabutops
Natural Gift,Kabutops
Nature Power,Kabutops
Night Slash,Kabutops
Protect,Kabutops
Psycho Cut,Kabutops
Rage,Kabutops
Rain Dance,Kabutops
Razor Shell,Kabutops
Razor Wind,Kabutops
Reflect,Kabutops
Rest,Kabutops
Return,Kabutops
Rock Blast,Kabutops
Rock Climb,Kabutops
Rock Polish,Kabutops
Rock Slide,Kabutops
Rock Smash,Kabutops
Rock Throw,Kabutops
Rock Tomb,Kabutops
Rollout,Kabutops
Round,Kabutops
Sand Attack,Kabutops
Sandstorm,Kabutops
Scald,Kabutops
Scratch,Kabutops
Screech,Kabutops
Secret Power,Kabutops
Seismic Toss,Kabutops
Skull Bash,Kabutops
Slash,Kabutops
Sleep Talk,Kabutops
Smack Down,Kabutops
Snore,Kabutops
Stealth Rock,Kabutops
Stone Edge,Kabutops
Submission,Kabutops
Substitute,Kabutops
Superpower,Kabutops
Surf,Kabutops
Swagger,Kabutops
Swords Dance,Kabutops
Take Down,Kabutops
Thief,Kabutops
Toxic,Kabutops
Water Gun,Kabutops
Water Pulse,Kabutops
Waterfall,Kabutops
Whirlpool,Kabutops
Wring Out,Kabutops
X Scissor,Kabutops
Absorb,Spinarak
Agility,Spinarak
Attract,Spinarak
Baton Pass,Spinarak
Body Slam,Spinarak
Bounce,Spinarak
Bug Bite,Spinarak
Captivate,Spinarak
Confide,Spinarak
Constrict,Spinarak
Cross Poison,Spinarak
Curse,Spinarak
Dig,Spinarak
Disable,Spinarak
Double Edge,Spinarak
Double Team,Spinarak
Electroweb,Spinarak
Endure,Spinarak
Facade,Spinarak
Flash,Spinarak
Foul Play,Spinarak
Frustration,Spinarak
Fury Swipes,Spinarak
Giga Drain,Spinarak
Hidden Power,Spinarak
Hone Claws,Spinarak
Infestation,Spinarak
Leech Life,Spinarak
Lunge,Spinarak
Megahorn,Spinarak
Mimic,Spinarak
Natural Gift,Spinarak
Night Shade,Spinarak
Night Slash,Spinarak
Pin Missile,Spinarak
Poison Jab,Spinarak
Poison Sting,Spinarak
Protect,Spinarak
Psybeam,Spinarak
Psychic,Spinarak
Pursuit,Spinarak
Rage Powder,Spinarak
Rest,Spinarak
Return,Spinarak
Round,Spinarak
Scary Face,Spinarak
Screech,Spinarak
Secret Power,Spinarak
Shadow Sneak,Spinarak
Signal Beam,Spinarak
Sleep Talk,Spinarak
Sludge Bomb,Spinarak
Snore,Spinarak
Solar Beam,Spinarak
Sonic Boom,Spinarak
Spider Web,Spinarak
Sticky Web,Spinarak
String Shot,Spinarak
Struggle Bug,Spinarak
Substitute,Spinarak
Sucker Punch,Spinarak
Sunny Day,Spinarak
Swagger,Spinarak
Thief,Spinarak
Toxic,Spinarak
Toxic Spikes,Spinarak
Toxic Thread,Spinarak
Twineedle,Spinarak
Venoshock,Spinarak
X Scissor,Spinarak
Absorb,Ariados
Agility,Ariados
Attract,Ariados
Body Slam,Ariados
Bounce,Ariados
Bug Bite,Ariados
Captivate,Ariados
Confide,Ariados
Constrict,Ariados
Cross Poison,Ariados
Curse,Ariados
Dig,Ariados
Double Edge,Ariados
Double Team,Ariados
Electroweb,Ariados
Endure,Ariados
Facade,Ariados
Fell Stinger,Ariados
Flash,Ariados
Focus Energy,Ariados
Foul Play,Ariados
Frustration,Ariados
Fury Swipes,Ariados
Giga Drain,Ariados
Giga Impact,Ariados
Hidden Power,Ariados
Hone Claws,Ariados
Hyper Beam,Ariados
Infestation,Ariados
Leech Life,Ariados
Mimic,Ariados
Natural Gift,Ariados
Night Shade,Ariados
Pin Missile,Ariados
Poison Jab,Ariados
Poison Sting,Ariados
Protect,Ariados
Psychic,Ariados
Rest,Ariados
Return,Ariados
Round,Ariados
Scary Face,Ariados
Screech,Ariados
Secret Power,Ariados
Shadow Sneak,Ariados
Signal Beam,Ariados
Sleep Talk,Ariados
Sludge Bomb,Ariados
Smart Strike,Ariados
Snore,Ariados
Solar Beam,Ariados
Spider Web,Ariados
Sticky Web,Ariados
Stomping Tantrum,Ariados
String Shot,Ariados
Struggle Bug,Ariados
Substitute,Ariados
Sucker Punch,Ariados
Sunny Day,Ariados
Swagger,Ariados
Swords Dance,Ariados
Thief,Ariados
Throat Chop,Ariados
Toxic,Ariados
Toxic Thread,Ariados
Venom Drench,Ariados
Venoshock,Ariados
X Scissor,Ariados
Absorb,Crobat
Acrobatics,Crobat
Aerial Ace,Crobat
Agility,Crobat
Air Cutter,Crobat
Air Slash,Crobat
Assurance,Crobat
Astonish,Crobat
Attract,Crobat
Bite,Crobat
Brave Bird,Crobat
Captivate,Crobat
Confide,Crobat
Confuse Ray,Crobat
Cross Poison,Crobat
Crunch,Crobat
Curse,Crobat
Dark Pulse,Crobat
Defog,Crobat
Detect,Crobat
Double Edge,Crobat
Double Team,Crobat
Dual Wingbeat,Crobat
Endure,Crobat
Facade,Crobat
Fly,Crobat
Frustration,Crobat
Giga Drain,Crobat
Giga Impact,Crobat
Haze,Crobat
Heat Wave,Crobat
Hex,Crobat
Hidden Power,Crobat
Hurricane,Crobat
Hyper Beam,Crobat
Leech Life,Crobat
Mean Look,Crobat
Mimic,Crobat
Nasty Plot,Crobat
Natural Gift,Crobat
Ominous Wind,Crobat
Payback,Crobat
Pluck,Crobat
Poison Fang,Crobat
Protect,Crobat
Quick Guard,Crobat
Rain Dance,Crobat
Rest,Crobat
Return,Crobat
Roost,Crobat
Round,Crobat
Screech,Crobat
Secret Power,Crobat
Shadow Ball,Crobat
Sky Attack,Crobat
Sleep Talk,Crobat
Sludge Bomb,Crobat
Snatch,Crobat
Snore,Crobat
Steel Wing,Crobat
Substitute,Crobat
Sunny Day,Crobat
Super Fang,Crobat
Supersonic,Crobat
Swagger,Crobat
Swift,Crobat
Tailwind,Crobat
Taunt,Crobat
Thief,Crobat
Torment,Crobat
Toxic,Crobat
Twister,Crobat
U Turn,Crobat
Uproar,Crobat
Venom Drench,Crobat
Venoshock,Crobat
Wing Attack,Crobat
X Scissor,Crobat
Zen Headbutt,Crobat
Absorb,Bellossom
Acid,Bellossom
After You,Bellossom
Attract,Bellossom
Baton Pass,Bellossom
Bullet Seed,Bellossom
Captivate,Bellossom
Charm,Bellossom
Confide,Bellossom
Curse,Bellossom
Cut,Bellossom
Dazzling Gleam,Bellossom
Double Edge,Bellossom
Double Team,Bellossom
Drain Punch,Bellossom
Endure,Bellossom
Energy Ball,Bellossom
Facade,Bellossom
Flash,Bellossom
Fling,Bellossom
Frustration,Bellossom
Gastro Acid,Bellossom
Giga Drain,Bellossom
Giga Impact,Bellossom
Grass Knot,Bellossom
Grassy Glide,Bellossom
Grassy Terrain,Bellossom
Growth,Bellossom
Helping Hand,Bellossom
Hidden Power,Bellossom
Hyper Beam,Bellossom
Infestation,Bellossom
Laser Focus,Bellossom
Leaf Blade,Bellossom
Leaf Storm,Bellossom
Magical Leaf,Bellossom
Mega Drain,Bellossom
Mimic,Bellossom
Moonblast,Bellossom
Moonlight,Bellossom
Natural Gift,Bellossom
Nature Power,Bellossom
Petal Blizzard,Bellossom
Petal Dance,Bellossom
Play Rough,Bellossom
