,Name,Category,Effect
200,Fire Stone,General items,Evolves certain species of Pokémon.
201,Firium Z,Hold items,"Allows the use of Inferno Overdrive, the Fire type Z-Move."
202,Fist Plate,Hold items,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.
203,Flame Orb,Hold items,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.
204,Flame Plate,Hold items,Increases power of Fire-type moves. Changes Arceus' type to Fire.
205,Float Stone,Hold items,A very light stone. It reduces the weight of a Pokémon when held.
206,Flower Sweet,Hold items,Evolves Milcery into Flower Flavor Alcremie.
207,Fluffy Tail,General items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
208,Flying Gem,Hold items,Increases the power of a Flying-type move only once.
209,Flying Memory,Hold items,Changes Silvally and its move Multi-Attack to Flying type.
210,Flyinium Z,Hold items,"Allows the use of Supersonic Skystrike, the Flying type Z-Move."
211,Focus Band,Hold items,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP."
212,Focus Sash,Hold items,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP."
213,Fossilized Bird,General items,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.
214,Fossilized Dino,General items,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
215,Fossilized Drake,General items,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.
216,Fossilized Fish,General items,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
217,Fresh Cream,General items,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.
218,Fresh Water,Medicine,Restores 30 HP.
219,Fried Food,General items,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy."
220,Friend Ball,Pokeballs,A Poké Ball that makes caught Pokémon more friendly.
221,Fruit Bunch,General items,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.
222,Full Heal,Medicine,A spray-type medicine. It heals all the status problems of a single Pokémon.
223,Full Incense,Hold items,Holder always attacks last. Breeding Snorlax produces Munchlax when held.
224,Full Restore,Medicine,A medicine that fully restores the HP and heals any status problems of a single Pokémon.
225,Galarica Cuff,General items,Evolves Galarian Slowpoke into Galarian Slowbro.
226,Galarica Twig,General items,NA
227,Galarica Wreath,General items,Evolves Galarian Slowpoke into Galarian Slowking.
228,Galladite,Hold items,Enables Gallade to Mega Evolve during battle.
229,Ganlon Berry,Berries,Raises Defense when HP is low.
230,Garchompite,Hold items,Enables Garchomp to Mega Evolve during battle.
231,Gardevoirite,Hold items,Enables Gardevoir to Mega Evolve during battle.
232,Gengarite,Hold items,Enables Gengar to Mega Evolve during battle.
233,Genius Wing,Medicine,Increases Special Attack EVs by 1.
234,Gentle Mint,Battle items,Changes the Pokémon's stats to match the Gentle nature.
235,Ghost Gem,Hold items,Increases the power of a Ghost-type move only once.
236,Ghost Memory,Hold items,Changes Silvally and its move Multi-Attack to Ghost type.
237,Ghostium Z,Hold items,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move."
238,Gigantamix,General items,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.
239,Gigaton Ball,Pokeballs,NA
240,Glalitite,Hold items,Enables Glalie to Mega Evolve during battle.
241,Gold Bottle Cap,General items,Maximizes all of a Pokémon's IV stats in Hyper Training.
242,Gold Leaf,General items,NA
243,Golden Nanab Berry,Berries,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
244,Golden Pinap Berry,Berries,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go."
245,Golden Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.
246,Gooey Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
247,Grain Cake,General items,NA
248,Grass Gem,Hold items,Increases the power of a Grass-type move only once.
249,Grass Memory,Hold items,Changes Silvally and its move Multi-Attack to Grass type.
250,Grassium Z,Hold items,"Allows the use of Bloom Doom, the Grass type Z-Move."
251,Grassy Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
252,Great Ball,Pokeballs,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball."
253,Green Apricorn,General items,"A green Apricorn. It has a mysterious, aromatic scent."
254,Green Scarf,General items,Raises holder's Smart aspect in a Contest.
255,Green Shard,General items,A small green shard. It appears to be from some sort of implement made long ago.
256,Grepa Berry,Berries,Increases Friendship but lowers Special Defense EVs.
257,Grip Claw,Hold items,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.
258,Griseous Core,Hold items,NA
259,Griseous Orb,Hold items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme."
260,Grit Dust,Hold items,NA
261,Grit Gravel,Hold items,NA
262,Grit Pebble,Hold items,NA
263,Grit Rock,Hold items,NA
264,Ground Gem,Hold items,Increases the power of a Ground-type move only once.
265,Ground Memory,Hold items,Changes Silvally and its move Multi-Attack to Ground type.
266,Groundium Z,Hold items,"Allows the use of Tectonic Rage, the Ground type Z-Move."
267,Growth Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
268,Grubby Hanky,Hold items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.
269,Guard Spec.,Battle items,Prevents stat reduction for five turns.
270,Gyaradosite,Hold items,Enables Gyarados to Mega Evolve during battle.
271,Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pokémon.
272,Hard Stone,Hold items,Increases the power of Rock-type moves.
273,Hasty Mint,Battle items,Changes the Pokémon's stats to match the Hasty nature.
274,Heal Ball,Pokeballs,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.
275,Heal Powder,Medicine,"Heals all status problems, but lowers Friendship."
276,Health Candy,Medicine,Increases a Pokémon's HP stat by 1.
277,Health Candy L,Medicine,Increases a Pokémon's HP stat.
278,Health Candy XL,Medicine,Increases a Pokémon's HP stat.
279,Health Wing,Medicine,Increases HP EVs by 1.
280,Heart Scale,General items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow."
281,Hearty Grains,General items,NA
282,Heat Rock,Hold items,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.
283,Heavy Ball,Pokeballs,A Poké Ball for catching very heavy Pokémon.
284,Heavy-Duty Boots,Hold items,Protects the holder from traps set on the battlefield.
285,Helix Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.
286,Heracronite,Hold items,Enables Heracross to Mega Evolve during battle.
287,Hi-tech Earbuds,Hold items,Strange earbuds that allow you to freely control the volume of various sounds.
288,HM01,Machines,Teaches the move Cut.
289,HM02,Machines,Teaches the move Fly.
290,HM03,Machines,Teaches the move Surf.
291,HM04,Machines,Teaches the move Strength.
292,HM05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.
293,HM06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.
294,HM07,Machines,Teaches the move Waterfall.
295,HM08,Machines,Teaches the move Dive/Rock Climb.
296,Hometown Muffin,General items,NA
297,Hondew Berry,Berries,Increases Friendship but lowers Special Attack EVs.
298,Honey,General items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees."
299,Honey Cake,General items,NA
300,Honor Of Kalos,Hold items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
301,Hopo Berry,General items,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled."
302,Houndoominite,Hold items,Enables Houndoom to Mega Evolve during battle.
303,HP Up,Medicine,Increases HP EVs by 10.
304,Hyper Potion,Medicine,Restores 120 HP.
305,Iapapa Berry,Berries,"Restores HP if it's low, but may cause confusion."
306,Ice Gem,Hold items,Increases the power of an Ice-type move only once.
307,Ice Heal,Medicine,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.
308,Ice Memory,Hold items,Changes Silvally and its move Multi-Attack to Ice type.
309,Ice Stone,General items,Evolves certain species of Pokémon.
310,Iceroot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.
311,Icicle Plate,Hold items,Increases power of Ice-type moves. Changes Arceus' type to Ice.
312,Icium Z,Hold items,"Allows the use of Subzero Slammer, the Ice type Z-Move."
313,Icy Rock,Hold items,A Pokémon held item that extends the duration of the move Hail used by the holder.
314,Impish Mint,Battle items,Changes the Pokémon's stats to match the Impish nature.
315,Incinium Z,Hold items,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault."
316,Insect Plate,Hold items,Increases power of Bug-type moves. Changes Arceus' type to Bug.
317,Instant Noodles,General items,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry."
318,Intriguing Stone,Hold items,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.
319,Iron,Medicine,Increases Defense EVs by 10.
320,Iron Ball,Hold items,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
321,Iron Barktongue,General items,NA
322,Iron Chunk,General items,NA
323,Iron Plate,Hold items,Increases power of Steel-type moves. Changes Arceus' type to Steel.
324,Item Drop,Battle items,"When used, it causes an ally Pokémon to drop a held item."
325,Item Urge,Battle items,"When used, it causes an ally Pokémon to use its held item."
326,Jaboca Berry,Berries,"If held by a Pokémon and a physical attack lands, the attacker also takes damage."
327,Jet Ball,Pokeballs,NA
328,Jolly Mint,Battle items,Changes the Pokémon's stats to match the Jolly nature.
329,Jubilife Muffin,General items,NA
330,Kangaskhanite,Hold items,Enables Kangaskhan to Mega Evolve during battle.
331,Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pokémon.
332,Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pokémon.
333,Kee Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move."
334,Kelpsy Berry,Berries,Increases Friendship but lowers Attack EVs.
335,King’s Leaf,General items,NA
336,King's Rock,Hold items,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.
337,Kommonium Z,Hold items,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze."
338,Lagging Tail,Hold items,Holder always attacks last.
339,Lansat Berry,Berries,Increases critical-hit ratio when HP is low.
340,Large Leek,General items,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.
341,Latiasite,Hold items,Enables Latias to Mega Evolve during battle.
342,Latiosite,Hold items,Enables Latios to Mega Evolve during battle.
343,Lava Cookie,Medicine,Heals all major status conditions.
344,Lax Incense,Hold items,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.
345,Lax Mint,Battle items,Changes the Pokémon's stats to match the Lax nature.
346,Leaden Ball,Pokeballs,NA
347,Leaf Letter,General items,A letter written on a leaf. Something is written using Eevee's footprints.
348,Leaf Stone,General items,Evolves certain species of Pokémon.
349,Leek,Hold items,Increases critical-hit ratio when held by Farfetch'd.
350,Leftovers,Hold items,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.
351,Legend Plate,Hold items,NA
352,Lemonade,Medicine,Restores 70 HP.
353,Leppa Berry,Berries,"If held by a Pokémon, it restores a move's PP by 10."
354,Level Ball,Pokeballs,A Poké Ball for catching Pokémon that are a lower level than your own.
355,Liechi Berry,Berries,Raises Attack when HP is low.
356,Life Orb,Hold items,"Increases the power of moves, but loses HP each turn."
357,Light Ball,Hold items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.
358,Light Clay,Hold items,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
359,Linking Cord,General items,A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.
360,Lone Earring,General items,NA
361,Lonely Mint,Battle items,Changes the Pokémon's stats to match the Lonely nature.
362,Looker Ticket,Hold items,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.
363,Lopunnite,Hold items,Enables Lopunny to Mega Evolve during battle.
364,Lost Satchel,General items,NA
365,Love Ball,Pokeballs,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.
366,Love Sweet,Hold items,Evolves Milcery into Heart Flavor Alcremie.
367,Lucarionite,Hold items,Enables Lucario to Mega Evolve during battle.
368,Luck Incense,Hold items,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.
369,Lucky Egg,Hold items,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.
370,Lucky Punch,Hold items,Increases critical-hit ratio when held by Chansey.
