,Name,Pokémon,Description,Gen.
42,Defiant,17,Sharply raises Attack when the Pokémon's stats are lowered.,5
43,Delta Stream,1,Creates strong winds when the ability activates.,6
44,Desolate Land,1,Turns the sunlight extremely harsh when the ability activates.,6
45,Disguise,1,Avoids damage for one turn.,7
46,Download,4,Adjusts power according to a foe's defenses.,4
47,Dragon's Maw,1,Signature ability of Regidrago. Powers up Dragon-type moves.,8
48,Drizzle,3,The Pokémon makes it rain when it enters a battle.,3
49,Drought,5,Turns the sunlight harsh when the Pokémon enters a battle.,3
50,Dry Skin,7,Reduces HP if it is hot. Water restores HP.,4
51,Early Bird,15,The Pokémon awakens quickly from sleep.,3
52,Effect Spore,11,Contact may poison or cause paralysis or sleep.,3
53,Electric Surge,2,The Pokémon creates an Electric Terrain when it enters a battle.,7
54,Emergency Exit,1,Switches out when HP falls below 50%.,7
55,Fairy Aura,1,Raises power of Fairy type moves for all Pokémon in battle.,6
56,Filter,3,Reduces damage from super-effective attacks.,4
57,Flame Body,20,Contact with the Pokémon may burn the attacker.,3
58,Flare Boost,2,Powers up special attacks when burned.,5
59,Flash Fire,25,It powers up Fire-type moves if it's hit by one.,3
60,Flower Gift,1,Powers up party Pokémon when it is sunny.,4
61,Flower Veil,4,Prevents lowering of ally Grass-type Pokémon's stats.,6
62,Fluffy,4,"Halves damage from contact moves, but doubles damage from Fire-type moves.",7
63,Forecast,4,Castform transforms with the weather.,3
64,Forewarn,6,Determines what moves a foe has.,4
65,Friend Guard,8,Reduces damage done to allies.,5
66,Frisk,32,The Pokémon can check a foe's held item.,4
67,Full Metal Body,1,Prevents other Pokémon from lowering its stats.,7
68,Fur Coat,2,Reduces damage from physical moves.,6
69,Gale Wings,3,Gives priority to Flying-type moves.,6
70,Galvanize,3,Normal-type moves become Electric-type moves and their power boosted.,7
71,Gluttony,31,Encourages the early use of a held Berry.,4
72,Gooey,5,Contact with the Pokémon lowers the attacker's Speed stat.,6
73,Gorilla Tactics,2,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,8
74,Grass Pelt,2,Boosts the Defense stat in Grassy Terrain.,6
75,Grassy Surge,4,The Pokémon creates a Grassy Terrain when it enters a battle.,7
76,Grim Neigh,1,Boosts Special Attack after knocking out a Pokémon.,8
77,Gulp Missile,1,Returns with a catch in its mouth after using Surf or Dive.,8
78,Guts,23,Boosts Attack if there is a status problem.,3
79,Harvest,6,May create another Berry after one is used.,5
80,Healer,12,May heal an ally's status conditions.,5
81,Heatproof,3,Weakens the power of Fire-type moves.,4
82,Heavy Metal,8,Doubles the Pokémon's weight.,5
83,Honey Gather,4,The Pokémon may gather Honey from somewhere.,4
84,Huge Power,6,Raises the Pokémon's Attack stat.,3
85,Hunger Switch,2,Changes forms each turn.,8
86,Hustle,24,"Boosts the Attack stat, but lowers accuracy.",3
87,Hydration,22,Heals status problems if it is raining.,4
88,Hyper Cutter,11,Prevents other Pokémon from lowering Attack stat.,3
89,Ice Body,18,The Pokémon gradually regains HP in a hailstorm.,4
90,Ice Face,2,Avoids damage from Physical moves for one turn.,8
91,Ice Scales,2,Halves damage from Special moves.,8
92,Illuminate,8,Raises the likelihood of meeting wild Pokémon.,3
93,Illusion,4,Enters battle disguised as the last Pokémon in the party.,5
94,Immunity,3,Prevents the Pokémon from getting poisoned.,3
95,Imposter,1,It transforms itself into the Pokémon it is facing.,5
96,Infiltrator,24,Passes through the foe's barrier and strikes.,5
97,Innards Out,1,Deals damage upon fainting.,7
98,Inner Focus,37,The Pokémon is protected from flinching.,3
99,Insomnia,20,Prevents the Pokémon from falling asleep.,3
100,Intimidate,37,Lowers the foe's Attack stat.,3
101,Intrepid Sword,2,Boosts Attack in battle.,8
102,Iron Barbs,3,Inflicts damage to the Pokémon on contact.,5
103,Iron Fist,15,Boosts the power of punching moves.,4
104,Justified,12,Raises Attack when hit by a Dark-type move.,5
105,Keen Eye,42,Prevents other Pokémon from lowering accuracy.,3
106,Klutz,10,The Pokémon can't use any held items.,4
107,Leaf Guard,21,Prevents problems with status in sunny weather.,4
108,Levitate,41,Gives immunity to Ground type moves.,3
109,Libero,3,Changes the Pokémon's type to its last used move.,8
110,Light Metal,6,Halves the Pokémon's weight.,5
111,Lightning Rod,19,Draws in all Electric-type moves to up Sp. Attack.,3
112,Limber,14,The Pokémon is protected from paralysis.,3
113,Liquid Ooze,4,Damages attackers using any draining move.,3
114,Liquid Voice,3,All sound-based moves become Water-type moves.,7
115,Long Reach,4,The Pokémon uses its moves without making contact with the target.,7
116,Magic Bounce,9,Reflects status- changing moves.,5
117,Magic Guard,10,Protects the Pokémon from indirect damage.,4
118,Magician,6,The Pokémon steals the held item of a Pokémon it hits with a move.,6
119,Magma Armor,3,Prevents the Pokémon from becoming frozen.,3
120,Magnet Pull,9,Prevents Steel-type Pokémon from escaping.,3
121,Marvel Scale,3,Ups Defense if there is a status problem.,3
122,Mega Launcher,3,Boosts the power of aura and pulse moves.,6
123,Merciless,2,The Pokémon's attacks become critical hits if the target is poisoned.,7
124,Mimicry,1,Changes type depending on the terrain.,8
125,Minus,7,Ups Sp. Atk if another Pokémon has Plus or Minus.,3
126,Mirror Armor,1,Reflects any stat-lowering effects.,8
127,Misty Surge,2,The Pokémon creates a Misty Terrain when it enters a battle.,7
128,Mold Breaker,21,Moves can be used regardless of Abilities.,4
129,Moody,7,Raises one stat and lowers another.,5
130,Motor Drive,4,Raises Speed if hit by an Electric-type move.,4
131,Moxie,13,Boosts Attack after knocking out any Pokémon.,5
132,Multiscale,2,Reduces damage when HP is full.,5
133,Multitype,1,Changes type to match the held Plate.,4
134,Mummy,2,Contact with this Pokémon spreads this Ability.,5
135,Natural Cure,16,All status problems heal when it switches out.,3
136,Neuroforce,1,Powers up moves that are super effective.,7
137,Neutralizing Gas,3,Neutralizes abilities of all Pokémon in battle.,8
138,No Guard,10,Ensures attacks by or against the Pokémon land.,4
139,Normalize,2,All the Pokémon's moves become the Normal type.,4
140,Oblivious,24,Prevents it from becoming infatuated.,3
141,Overcoat,27,Protects the Pokémon from weather damage.,5
142,Overgrow,28,Powers up Grass-type moves in a pinch.,3
143,Own Tempo,27,Prevents the Pokémon from becoming confused.,3
144,Parental Bond,1,Allows the Pokémon to attack twice.,6
145,Pastel Veil,2,Prevents the Pokémon and its allies from being poisoned.,8
146,Perish Body,1,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",8
147,Pickpocket,10,Steals an item when hit by another Pokémon.,5
148,Pickup,27,The Pokémon may pick up items.,3
149,Pixilate,3,Turns Normal-type moves into Fairy-type moves.,6
150,Plus,9,Ups Sp. Atk if another Pokémon has Plus or Minus.,3
151,Poison Heal,3,Restores HP if the Pokémon is poisoned.,4
152,Poison Point,18,Contact with the Pokémon may poison the attacker.,3
153,Poison Touch,11,May poison targets when a Pokémon makes contact.,5
154,Power Construct,3,Changes form when HP drops below half.,7
155,Power of Alchemy,2,The Pokémon copies the Ability of a defeated ally.,7
156,Power Spot,1,Just being next to the Pokémon powers up moves.,8
157,Prankster,17,Gives priority to a status move.,5
158,Pressure,33,The Pokémon raises the foe's PP usage.,3
159,Primordial Sea,1,Makes it rain heavily when the ability activates.,6
160,Prism Armor,3,Reduces damage from super-effective attacks.,7
161,Propeller Tail,2,Ignores moves and abilities that draw in moves.,8
162,Protean,4,Changes the Pokémon's type to its last used move.,6
163,Psychic Surge,3,The Pokémon creates a Psychic Terrain when it enters a battle.,7
164,Punk Rock,2,Boosts sound-based moves and halves damage from the same moves.,8
165,Pure Power,3,Raises the Pokémon's Attack stat.,3
166,Queenly Majesty,1,Prevents use of priority moves.,7
167,Quick Draw,1,NA,8
168,Quick Feet,11,Boosts Speed if there is a status problem.,4
169,Rain Dish,13,The Pokémon gradually regains HP in rain.,3
170,Rattled,18,"Bug, Ghost or Dark type moves scare it and boost its Speed.",5
171,Receiver,1,Inherits an ally's ability when it faints.,7
172,Reckless,13,Powers up moves that have recoil damage.,4
173,Refrigerate,3,Turns Normal-type moves into Ice-type moves.,6
174,Regenerator,24,Restores a little HP when withdrawn from battle.,5
175,Ripen,3,Doubles the effect of berries.,8
176,Rivalry,18,Deals more damage to a Pokémon of same gender.,4
177,RKS System,1,Changes type depending on held item.,7
178,Rock Head,21,Protects the Pokémon from recoil damage.,3
179,Rough Skin,6,Inflicts damage to the attacker on contact.,3
180,Run Away,29,Enables a sure getaway from wild Pokémon.,3
181,Sand Force,18,Boosts certain moves' power in a sandstorm.,5
182,Sand Rush,9,Boosts the Pokémon's Speed in a sandstorm.,5
183,Sand Spit,2,Creates a sandstorm when hit by an attack.,8
184,Sand Stream,5,The Pokémon summons a sandstorm in battle.,3
185,Sand Veil,26,Boosts the Pokémon's evasion in a sandstorm.,3
186,Sap Sipper,20,Boosts Attack when hit by a Grass-type move.,5
187,Schooling,2,Changes Wishiwashi to School Form.,7
188,Scrappy,13,Enables moves to hit Ghost-type Pokémon.,4
189,Screen Cleaner,2,"Nullifies effects of Light Screen, Reflect, and Aurora Veil.",8
190,Serene Grace,13,Boosts the likelihood of added effects appearing.,3
191,Shadow Shield,1,Reduces damage when HP is full.,7
192,Shadow Tag,6,Prevents the foe from escaping.,3
193,Shed Skin,20,The Pokémon may heal its own status problems.,3
194,Sheer Force,31,Removes added effects to increase move damage.,5
195,Shell Armor,26,The Pokémon is protected against critical hits.,3
196,Shield Dust,11,Blocks the added effects of attacks taken.,3
197,Shields Down,2,Changes stats when HP drops below half.,7
198,Simple,5,Doubles all stat changes.,4
199,Skill Link,10,Increases the frequency of multi-strike moves.,4
200,Slow Start,1,Temporarily halves Attack and Speed.,4
201,Slush Rush,6,Boosts the Pokémon's Speed stat in a hailstorm.,7
202,Sniper,17,Powers up moves if they become critical hits.,4
203,Snow Cloak,14,Raises evasion in a hailstorm.,4
204,Snow Warning,8,The Pokémon summons a hailstorm in battle.,4
205,Solar Power,9,"In sunshine, Sp. Atk is boosted but HP decreases.",4
206,Solid Rock,4,Reduces damage from super-effective attacks.,4
207,Soul-Heart,1,Raises Special Attack when an ally faints.,7
208,Soundproof,17,Gives immunity to sound-based moves.,3
209,Speed Boost,12,Its Speed stat is gradually boosted.,3
210,Stakeout,4,Deals double damage to Pokémon switching in.,7
211,Stall,1,The Pokémon moves after all other Pokémon do.,4
212,Stalwart,1,Ignores moves and abilities that draw in moves.,8
213,Stamina,2,Raises Defense when attacked.,7
214,Stance Change,2,Changes form depending on moves used.,6
215,Static,19,Contact with the Pokémon may cause paralysis.,3
216,Steadfast,16,Raises Speed each time the Pokémon flinches.,4
217,Steam Engine,3,Drastically raises Speed when hit by a Fire- or Water-type move.,8
218,Steelworker,1,Powers up Steel-type moves.,7
219,Steely Spirit,1,Powers up ally Pokémon's Steel-type moves.,8
220,Stench,9,The stench may cause the target to flinch.,3
221,Sticky Hold,8,Protects the Pokémon from item theft.,3
222,Storm Drain,7,Draws in all Water-type moves to up Sp. Attack.,4
223,Strong Jaw,11,Boosts the power of biting moves.,6
224,Sturdy,42,It cannot be knocked out with one hit.,3
225,Suction Cups,5,Negates all moves that force switching out.,3
226,Super Luck,9,Heightens the critical-hit ratios of moves.,4
227,Surge Surfer,1,Doubles Speed during Electric Terrain.,7
228,Swarm,29,Powers up Bug-type moves in a pinch.,3
229,Sweet Veil,9,Prevents the Pokémon and allies from falling asleep.,6
230,Swift Swim,45,Boosts the Pokémon's Speed in rain.,3
231,Symbiosis,4,The Pokémon can pass an item to an ally.,6
232,Synchronize,17,"Passes a burn, poison, or paralysis to the foe.",3
233,Tangled Feet,8,Raises evasion if the Pokémon is confused.,4
234,Tangling Hair,2,Contact with the Pokémon lowers the attacker's Speed stat.,7
235,Technician,22,Powers up the Pokémon's weaker moves.,4
236,Telepathy,26,Anticipates an ally's attack and dodges it.,5
237,Teravolt,2,Moves can be used regardless of Abilities.,5
238,Thick Fat,25,Ups resistance to Fire- and Ice-type moves.,3
239,Tinted Lens,9,Powers up “not very effective” moves.,4
240,Torrent,28,Powers up Water-type moves in a pinch.,3
241,Tough Claws,8,Boosts the power of contact moves.,6
242,Toxic Boost,1,Powers up physical attacks when poisoned.,5
243,Trace,6,The Pokémon copies a foe's Ability.,3
244,Transistor,1,Signature ability of Regieleki. Powers up Electric-type moves.,8
245,Triage,1,Gives priority to restorative moves.,7
246,Truant,3,Pokémon can't attack on consecutive turns.,3
247,Turboblaze,2,Moves can be used regardless of Abilities.,5
248,Unaware,9,Ignores any stat changes in the Pokémon.,4
249,Unburden,14,Raises Speed if a held item is used.,4
250,Unnerve,26,Makes the foe nervous and unable to eat Berries.,5
251,Unseen Fist,2,Contact moves can strike through Protect/Detect.,8
252,Victory Star,1,Boosts the accuracy of its allies and itself.,5
253,Vital Spirit,15,Prevents the Pokémon from falling asleep.,3
254,Volt Absorb,9,Restores HP if hit by an Electric-type move.,3
255,Wandering Spirit,2,Swaps abilities with opponents on contact.,8
256,Water Absorb,25,Restores HP if hit by a Water-type move.,3
257,Water Bubble,2,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.",7
258,Water Compaction,2,Sharply raises Defense when hit by a Water-type move.,7
259,Water Veil,11,Prevents the Pokémon from getting a burn.,3
260,Weak Armor,22,Physical attacks lower Defense and raise Speed.,5
261,White Smoke,4,Prevents other Pokémon from lowering its stats.,3
262,Wimp Out,1,Switches out when HP drops below half.,7
263,Wonder Guard,1,Only supereffective moves will hit.,3
264,Wonder Skin,5,Makes status-changing moves more likely to miss.,5
265,Zen Mode,4,Changes form when HP drops below half.,5
