,Move,Pokemon
223,Acrobatics,simisear
224,Acrobatics,panpour
225,Acrobatics,simipour
226,Acrobatics,woobat
227,Acrobatics,swoobat
228,Acrobatics,archen
229,Acrobatics,archeops
230,Acrobatics,emolga
231,Acrobatics,eelektrik
232,Acrobatics,eelektross
233,Acrobatics,cryogonal
234,Acrobatics,mienfoo
235,Acrobatics,mienshao
236,Acrobatics,hydreigon
237,Acrobatics,larvesta
238,Acrobatics,volcarona
239,Acrobatics,tornadus-incarnate
240,Acrobatics,meloetta-aria
241,Acrobatics,froakie
242,Acrobatics,frogadier
243,Acrobatics,greninja
244,Acrobatics,fletchling
245,Acrobatics,fletchinder
246,Acrobatics,talonflame
247,Acrobatics,vivillon
248,Acrobatics,hawlucha
249,Acrobatics,noibat
250,Acrobatics,noivern
251,Acrobatics,yveltal
252,Acrobatics,decidueye
253,Acrobatics,litten
254,Acrobatics,torracat
255,Acrobatics,incineroar
256,Acrobatics,popplio
257,Acrobatics,brionne
258,Acrobatics,primarina
259,Acrobatics,grubbin
260,Acrobatics,charjabug
261,Acrobatics,vikavolt
262,Acrobatics,oricorio-baile
263,Acrobatics,cutiefly
264,Acrobatics,ribombee
265,Acrobatics,salazzle
266,Acrobatics,tsareena
267,Acrobatics,comfey
268,Acrobatics,passimian
269,Acrobatics,minior-red-meteor
270,Acrobatics,komala
271,Acrobatics,tapu-koko
272,Acrobatics,lunala
273,Acrobatics,celesteela
274,Acrobatics,marshadow
275,Acrobatics,naganadel
276,Acrobatics,zeraora
277,Acrobatics,grookey
278,Acrobatics,thwackey
279,Acrobatics,rillaboom
280,Acrobatics,scorbunny
281,Acrobatics,raboot
282,Acrobatics,cinderace
283,Acrobatics,inteleon
284,Acrobatics,thievul
285,Acrobatics,flapple
286,Acrobatics,frosmoth
287,Acrobatics,drakloak
288,Acrobatics,dragapult
289,Acrobatics,kubfu
290,Acrobatics,urshifu-single-strike
291,Acrobatics,zarude
292,Acrobatics,regieleki
293,Acrobatics,meloetta-pirouette
294,Acrobatics,tornadus-therian
295,Acrobatics,scizor-mega
296,Acrobatics,blaziken-mega
297,Acrobatics,sceptile-mega
298,Acrobatics,beedrill-mega
299,Acrobatics,greninja-battle-bond
300,Acrobatics,greninja-ash
301,Acrobatics,vikavolt-totem
302,Acrobatics,oricorio-pom-pom
303,Acrobatics,oricorio-pau
304,Acrobatics,oricorio-sensu
305,Acrobatics,salazzle-totem
306,Acrobatics,minior-orange-meteor
307,Acrobatics,minior-yellow-meteor
308,Acrobatics,minior-green-meteor
309,Acrobatics,minior-blue-meteor
310,Acrobatics,minior-indigo-meteor
311,Acrobatics,minior-violet-meteor
312,Acrobatics,minior-red
313,Acrobatics,minior-orange
314,Acrobatics,minior-yellow
315,Acrobatics,minior-green
316,Acrobatics,minior-blue
317,Acrobatics,minior-indigo
318,Acrobatics,minior-violet
319,Acrobatics,ribombee-totem
320,Acrobatics,zapdos-galar
321,Acrobatics,urshifu-rapid-strike
322,Acrobatics,zarude-dada
323,Acupressure,tentacool
324,Acupressure,doduo
325,Acupressure,dodrio
326,Acupressure,goldeen
327,Acupressure,qwilfish
328,Acupressure,shuckle
329,Acupressure,meditite
330,Acupressure,medicham
331,Acupressure,skorupi
332,Acupressure,drapion
333,Acupressure,croagunk
334,Acupressure,maractus
335,Acupressure,inkay
336,Acupressure,bounsweet
337,Acupressure,arrokuda
338,Acupressure,pincurchin
339,Acupressure,medicham-mega
340,Aerial Ace,charmander
341,Aerial Ace,charmeleon
342,Aerial Ace,charizard
343,Aerial Ace,butterfree
344,Aerial Ace,beedrill
345,Aerial Ace,pidgey
346,Aerial Ace,pidgeotto
347,Aerial Ace,pidgeot
348,Aerial Ace,spearow
349,Aerial Ace,fearow
350,Aerial Ace,sandshrew
351,Aerial Ace,sandslash
352,Aerial Ace,nidoran-f
353,Aerial Ace,nidorina
354,Aerial Ace,nidoqueen
355,Aerial Ace,zubat
356,Aerial Ace,golbat
357,Aerial Ace,paras
358,Aerial Ace,parasect
359,Aerial Ace,venomoth
360,Aerial Ace,diglett
361,Aerial Ace,dugtrio
362,Aerial Ace,meowth
363,Aerial Ace,persian
364,Aerial Ace,psyduck
365,Aerial Ace,golduck
366,Aerial Ace,mankey
367,Aerial Ace,primeape
368,Aerial Ace,growlithe
369,Aerial Ace,arcanine
370,Aerial Ace,slowbro
371,Aerial Ace,farfetchd
372,Aerial Ace,doduo
373,Aerial Ace,dodrio
374,Aerial Ace,cubone
375,Aerial Ace,marowak
376,Aerial Ace,kangaskhan
377,Aerial Ace,mr-mime
378,Aerial Ace,scyther
379,Aerial Ace,porygon
380,Aerial Ace,kabuto
381,Aerial Ace,kabutops
382,Aerial Ace,aerodactyl
383,Aerial Ace,articuno
384,Aerial Ace,zapdos
385,Aerial Ace,moltres
386,Aerial Ace,dragonite
387,Aerial Ace,mewtwo
388,Aerial Ace,mew
389,Aerial Ace,cyndaquil
390,Aerial Ace,quilava
391,Aerial Ace,typhlosion
392,Aerial Ace,totodile
393,Aerial Ace,croconaw
394,Aerial Ace,feraligatr
395,Aerial Ace,hoothoot
396,Aerial Ace,noctowl
397,Aerial Ace,ledyba
398,Aerial Ace,ledian
399,Aerial Ace,crobat
400,Aerial Ace,togepi
401,Aerial Ace,togetic
402,Aerial Ace,natu
403,Aerial Ace,xatu
404,Aerial Ace,hoppip
405,Aerial Ace,skiploom
406,Aerial Ace,jumpluff
407,Aerial Ace,aipom
408,Aerial Ace,yanma
409,Aerial Ace,murkrow
410,Aerial Ace,misdreavus
411,Aerial Ace,gligar
412,Aerial Ace,scizor
413,Aerial Ace,heracross
414,Aerial Ace,sneasel
415,Aerial Ace,teddiursa
416,Aerial Ace,ursaring
417,Aerial Ace,delibird
418,Aerial Ace,mantine
419,Aerial Ace,skarmory
420,Aerial Ace,porygon2
421,Aerial Ace,hitmontop
422,Aerial Ace,tyranitar
423,Aerial Ace,lugia
424,Aerial Ace,ho-oh
425,Aerial Ace,celebi
426,Aerial Ace,treecko
427,Aerial Ace,grovyle
428,Aerial Ace,sceptile
429,Aerial Ace,torchic
430,Aerial Ace,combusken
431,Aerial Ace,blaziken
432,Aerial Ace,beautifly
433,Aerial Ace,dustox
434,Aerial Ace,shiftry
435,Aerial Ace,taillow
436,Aerial Ace,swellow
437,Aerial Ace,wingull
438,Aerial Ace,pelipper
439,Aerial Ace,masquerain
440,Aerial Ace,slakoth
441,Aerial Ace,vigoroth
442,Aerial Ace,slaking
443,Aerial Ace,nincada
444,Aerial Ace,ninjask
445,Aerial Ace,shedinja
446,Aerial Ace,sableye
447,Aerial Ace,aron
448,Aerial Ace,lairon
449,Aerial Ace,aggron
450,Aerial Ace,volbeat
451,Aerial Ace,illumise
452,Aerial Ace,flygon
453,Aerial Ace,swablu
454,Aerial Ace,altaria
455,Aerial Ace,zangoose
456,Aerial Ace,corphish
457,Aerial Ace,crawdaunt
458,Aerial Ace,anorith
459,Aerial Ace,armaldo
460,Aerial Ace,kecleon
461,Aerial Ace,tropius
462,Aerial Ace,absol
463,Aerial Ace,bagon
464,Aerial Ace,shelgon
465,Aerial Ace,salamence
466,Aerial Ace,metang
467,Aerial Ace,metagross
468,Aerial Ace,registeel
469,Aerial Ace,latias
470,Aerial Ace,latios
471,Aerial Ace,groudon
472,Aerial Ace,rayquaza
473,Aerial Ace,jirachi
474,Aerial Ace,deoxys-normal
475,Aerial Ace,chimchar
476,Aerial Ace,monferno
477,Aerial Ace,infernape
478,Aerial Ace,piplup
479,Aerial Ace,prinplup
480,Aerial Ace,empoleon
481,Aerial Ace,starly
482,Aerial Ace,staravia
483,Aerial Ace,staraptor
484,Aerial Ace,kricketune
485,Aerial Ace,mothim
486,Aerial Ace,vespiquen
487,Aerial Ace,ambipom
488,Aerial Ace,mismagius
489,Aerial Ace,honchkrow
490,Aerial Ace,glameow
491,Aerial Ace,purugly
492,Aerial Ace,chatot
493,Aerial Ace,gible
494,Aerial Ace,gabite
495,Aerial Ace,garchomp
496,Aerial Ace,skorupi
497,Aerial Ace,drapion
498,Aerial Ace,mantyke
499,Aerial Ace,weavile
500,Aerial Ace,tangrowth
501,Aerial Ace,togekiss
502,Aerial Ace,yanmega
503,Aerial Ace,leafeon
504,Aerial Ace,gliscor
505,Aerial Ace,porygon-z
506,Aerial Ace,gallade
507,Aerial Ace,dialga
508,Aerial Ace,palkia
509,Aerial Ace,regigigas
510,Aerial Ace,giratina-altered
511,Aerial Ace,darkrai
512,Aerial Ace,arceus
513,Aerial Ace,snivy
514,Aerial Ace,servine
515,Aerial Ace,serperior
516,Aerial Ace,oshawott
517,Aerial Ace,dewott
518,Aerial Ace,samurott
519,Aerial Ace,lillipup
520,Aerial Ace,herdier
521,Aerial Ace,stoutland
522,Aerial Ace,purrloin
523,Aerial Ace,liepard
524,Aerial Ace,pidove
525,Aerial Ace,tranquill
526,Aerial Ace,unfezant
527,Aerial Ace,woobat
528,Aerial Ace,swoobat
529,Aerial Ace,drilbur
530,Aerial Ace,excadrill
531,Aerial Ace,leavanny
532,Aerial Ace,krookodile
533,Aerial Ace,maractus
534,Aerial Ace,dwebble
535,Aerial Ace,crustle
536,Aerial Ace,sigilyph
537,Aerial Ace,archen
538,Aerial Ace,archeops
539,Aerial Ace,zorua
540,Aerial Ace,zoroark
541,Aerial Ace,ducklett
542,Aerial Ace,swanna
543,Aerial Ace,emolga
544,Aerial Ace,karrablast
545,Aerial Ace,escavalier
546,Aerial Ace,ferrothorn
547,Aerial Ace,axew
548,Aerial Ace,fraxure
549,Aerial Ace,haxorus
550,Aerial Ace,cubchoo
551,Aerial Ace,beartic
552,Aerial Ace,mienfoo
553,Aerial Ace,mienshao
554,Aerial Ace,druddigon
555,Aerial Ace,pawniard
556,Aerial Ace,bisharp
557,Aerial Ace,bouffalant
558,Aerial Ace,rufflet
559,Aerial Ace,braviary
560,Aerial Ace,vullaby
561,Aerial Ace,mandibuzz
562,Aerial Ace,heatmor
563,Aerial Ace,durant
564,Aerial Ace,volcarona
565,Aerial Ace,cobalion
566,Aerial Ace,terrakion
567,Aerial Ace,virizion
568,Aerial Ace,tornadus-incarnate
569,Aerial Ace,keldeo-ordinary
570,Aerial Ace,genesect
571,Aerial Ace,chespin
572,Aerial Ace,quilladin
573,Aerial Ace,chesnaught
574,Aerial Ace,froakie
575,Aerial Ace,frogadier
576,Aerial Ace,greninja
577,Aerial Ace,fletchling
578,Aerial Ace,fletchinder
579,Aerial Ace,talonflame
580,Aerial Ace,vivillon
581,Aerial Ace,gogoat
582,Aerial Ace,pancham
583,Aerial Ace,pangoro
584,Aerial Ace,honedge
585,Aerial Ace,doublade
586,Aerial Ace,aegislash-shield
587,Aerial Ace,inkay
588,Aerial Ace,malamar
589,Aerial Ace,binacle
590,Aerial Ace,barbaracle
591,Aerial Ace,tyrunt
592,Aerial Ace,tyrantrum
593,Aerial Ace,hawlucha
594,Aerial Ace,dedenne
595,Aerial Ace,noibat
596,Aerial Ace,noivern
597,Aerial Ace,yveltal
598,Aerial Ace,pikipek
599,Aerial Ace,trumbeak
600,Aerial Ace,toucannon
601,Aerial Ace,oricorio-baile
602,Aerial Ace,cutiefly
603,Aerial Ace,ribombee
604,Aerial Ace,lurantis
605,Aerial Ace,stufful
606,Aerial Ace,bewear
607,Aerial Ace,passimian
608,Aerial Ace,golisopod
609,Aerial Ace,type-null
610,Aerial Ace,silvally
611,Aerial Ace,bruxish
612,Aerial Ace,dhelmise
613,Aerial Ace,jangmo-o
614,Aerial Ace,hakamo-o
615,Aerial Ace,kommo-o
616,Aerial Ace,tapu-koko
617,Aerial Ace,lunala
618,Aerial Ace,kartana
619,Aerial Ace,necrozma
620,Aerial Ace,naganadel
621,Aerial Ace,zeraora
622,Aerial Ace,cramorant
623,Aerial Ace,dracozolt
624,Aerial Ace,kubfu
625,Aerial Ace,urshifu-single-strike
626,Aerial Ace,deoxys-attack
627,Aerial Ace,deoxys-defense
628,Aerial Ace,deoxys-speed
629,Aerial Ace,giratina-origin
630,Aerial Ace,tornadus-therian
631,Aerial Ace,keldeo-resolute
632,Aerial Ace,aegislash-blade
633,Aerial Ace,charizard-mega-x
634,Aerial Ace,charizard-mega-y
635,Aerial Ace,kangaskhan-mega
636,Aerial Ace,aerodactyl-mega
637,Aerial Ace,mewtwo-mega-x
638,Aerial Ace,mewtwo-mega-y
639,Aerial Ace,scizor-mega
640,Aerial Ace,heracross-mega
641,Aerial Ace,tyranitar-mega
642,Aerial Ace,blaziken-mega
643,Aerial Ace,aggron-mega
644,Aerial Ace,absol-mega
645,Aerial Ace,garchomp-mega
646,Aerial Ace,latias-mega
647,Aerial Ace,latios-mega
648,Aerial Ace,sceptile-mega
649,Aerial Ace,sableye-mega
650,Aerial Ace,altaria-mega
651,Aerial Ace,gallade-mega
652,Aerial Ace,slowbro-mega
653,Aerial Ace,pidgeot-mega
654,Aerial Ace,metagross-mega
655,Aerial Ace,groudon-primal
656,Aerial Ace,rayquaza-mega
657,Aerial Ace,salamence-mega
658,Aerial Ace,beedrill-mega
659,Aerial Ace,sandshrew-alola
660,Aerial Ace,sandslash-alola
661,Aerial Ace,diglett-alola
662,Aerial Ace,dugtrio-alola
663,Aerial Ace,meowth-alola
664,Aerial Ace,persian-alola
665,Aerial Ace,marowak-alola
666,Aerial Ace,greninja-battle-bond
667,Aerial Ace,greninja-ash
668,Aerial Ace,oricorio-pom-pom
669,Aerial Ace,oricorio-pau
670,Aerial Ace,oricorio-sensu
671,Aerial Ace,lurantis-totem
672,Aerial Ace,kommo-o-totem
673,Aerial Ace,marowak-totem
674,Aerial Ace,ribombee-totem
675,Aerial Ace,necrozma-dusk
676,Aerial Ace,necrozma-dawn
677,Aerial Ace,necrozma-ultra
678,Aerial Ace,cramorant-gulping
679,Aerial Ace,cramorant-gorging
680,Aerial Ace,urshifu-rapid-strike
681,Aeroblast,lugia
682,After You,clefairy
683,After You,clefable
684,After You,oddish
685,After You,gloom
686,After You,vileplume
687,After You,paras
688,After You,parasect
689,After You,slowpoke
690,After You,slowbro
691,After You,snorlax
692,After You,mew
693,After You,cleffa
694,After You,togepi
695,After You,togetic
696,After You,mareep
697,After You,flaaffy
698,After You,ampharos
699,After You,bellossom
700,After You,sudowoodo
701,After You,sunkern
702,After You,sunflora
703,After You,wooper
704,After You,quagsire
705,After You,slowking
706,After You,shuckle
707,After You,slugma
708,After You,magcargo
709,After You,miltank
710,After You,slakoth
711,After You,vigoroth
712,After You,slaking
713,After You,numel
714,After You,camerupt
715,After You,torkoal
716,After You,kecleon
717,After You,buneary
718,After You,lopunny
719,After You,bonsly
720,After You,munchlax
721,After You,togekiss
722,After You,patrat
723,After You,watchog
724,After You,lillipup
725,After You,herdier
726,After You,stoutland
727,After You,munna
728,After You,musharna
729,After You,woobat
730,After You,swoobat
731,After You,audino
732,After You,tympole
733,After You,palpitoad
734,After You,seismitoad
735,After You,petilil
736,After You,lilligant
737,After You,maractus
738,After You,yamask
739,After You,cofagrigus
740,After You,minccino
741,After You,cinccino
742,After You,solosis
743,After You,duosion
744,After You,reuniclus
745,After You,foongus
746,After You,amoonguss
747,After You,elgyem
748,After You,beheeyem
749,After You,flabebe
750,After You,floette
751,After You,florges
752,After You,honedge
753,After You,doublade
754,After You,aegislash-shield
755,After You,spritzee
756,After You,aromatisse
757,After You,swirlix
758,After You,slurpuff
759,After You,carbink
760,After You,bergmite
761,After You,avalugg
762,After You,diancie
763,After You,cutiefly
764,After You,ribombee
765,After You,mareanie
766,After You,toxapex
767,After You,morelull
768,After You,shiinotic
769,After You,comfey
770,After You,oranguru
771,After You,sandygast
772,After You,palossand
773,After You,togedemaru
774,After You,mimikyu-disguised
775,After You,bruxish
776,After You,magearna
777,After You,blacephalon
778,After You,orbeetle
779,After You,hatenna
780,After You,mr-rime
781,After You,indeedee-male
782,After You,aegislash-blade
783,After You,ampharos-mega
784,After You,floette-eternal
785,After You,audino-mega
786,After You,slowbro-mega
787,After You,diancie-mega
788,After You,camerupt-mega
789,After You,lopunny-mega
790,After You,mimikyu-busted
791,After You,mimikyu-totem-disguised
792,After You,mimikyu-totem-busted
793,After You,magearna-original
794,After You,ribombee-totem
795,After You,togedemaru-totem
796,After You,moltres-galar
797,Agility,beedrill
798,Agility,pidgey
799,Agility,pidgeotto
800,Agility,pidgeot
801,Agility,spearow
802,Agility,fearow
803,Agility,pikachu
804,Agility,raichu
805,Agility,sandshrew
806,Agility,sandslash
807,Agility,vulpix
808,Agility,ninetales
809,Agility,zubat
810,Agility,golbat
811,Agility,paras
812,Agility,venonat
813,Agility,venomoth
814,Agility,diglett
815,Agility,dugtrio
816,Agility,growlithe
817,Agility,arcanine
818,Agility,ponyta
819,Agility,rapidash
820,Agility,farfetchd
821,Agility,doduo
822,Agility,dodrio
823,Agility,krabby
824,Agility,kingler
825,Agility,hitmonchan
826,Agility,horsea
827,Agility,seadra
828,Agility,goldeen
829,Agility,seaking
830,Agility,starmie
831,Agility,scyther
832,Agility,jolteon
833,Agility,porygon
834,Agility,aerodactyl
835,Agility,articuno
836,Agility,zapdos
837,Agility,moltres
838,Agility,dratini
839,Agility,dragonair
840,Agility,dragonite
841,Agility,mewtwo
842,Agility,mew
843,Agility,feraligatr
844,Agility,furret
845,Agility,hoothoot
846,Agility,noctowl
847,Agility,ledyba
848,Agility,ledian
849,Agility,spinarak
850,Agility,ariados
851,Agility,crobat
852,Agility,chinchou
853,Agility,lanturn
854,Agility,mareep
855,Agility,aipom
856,Agility,girafarig
857,Agility,dunsparce
858,Agility,gligar
859,Agility,scizor
860,Agility,sneasel
861,Agility,delibird
862,Agility,mantine
863,Agility,skarmory
864,Agility,kingdra
865,Agility,porygon2
866,Agility,hitmontop
867,Agility,raikou
868,Agility,entei
869,Agility,suicune
870,Agility,treecko
871,Agility,grovyle
872,Agility,sceptile
873,Agility,torchic
874,Agility,combusken
875,Agility,blaziken
876,Agility,taillow
877,Agility,swellow
878,Agility,wingull
879,Agility,pelipper
880,Agility,surskit
881,Agility,ninjask
882,Agility,shedinja
883,Agility,electrike
884,Agility,manectric
885,Agility,plusle
886,Agility,minun
887,Agility,carvanha
888,Agility,sharpedo
889,Agility,swablu
890,Agility,altaria
891,Agility,gorebyss
892,Agility,luvdisc
893,Agility,metang
894,Agility,metagross
895,Agility,latias
896,Agility,latios
897,Agility,piplup
898,Agility,starly
899,Agility,staravia
900,Agility,staraptor
901,Agility,luxray
902,Agility,buizel
903,Agility,floatzel
904,Agility,ambipom
905,Agility,buneary
906,Agility,lopunny
907,Agility,chatot
908,Agility,riolu
909,Agility,lucario
910,Agility,skorupi
911,Agility,drapion
912,Agility,finneon
913,Agility,mantyke
914,Agility,weavile
915,Agility,porygon-z
916,Agility,pidove
917,Agility,tranquill
918,Agility,unfezant
919,Agility,blitzle
920,Agility,zebstrika
921,Agility,sewaddle
922,Agility,venipede
923,Agility,whirlipede
924,Agility,scolipede
925,Agility,basculin-red-striped
926,Agility,archen
927,Agility,archeops
928,Agility,zorua
929,Agility,zoroark
930,Agility,deerling
931,Agility,emolga
932,Agility,escavalier
933,Agility,joltik
934,Agility,galvantula
935,Agility,elgyem
936,Agility,beheeyem
937,Agility,accelgor
938,Agility,mienfoo
939,Agility,mienshao
940,Agility,rufflet
941,Agility,braviary
942,Agility,durant
943,Agility,tornadus-incarnate
944,Agility,thundurus-incarnate
945,Agility,bunnelby
946,Agility,diggersby
947,Agility,fletchling
948,Agility,fletchinder
949,Agility,talonflame
950,Agility,helioptile
951,Agility,heliolisk
952,Agility,hawlucha
953,Agility,noibat
954,Agility,noivern
955,Agility,vikavolt
956,Agility,oricorio-baile
957,Agility,lycanroc-midday
958,Agility,togedemaru
959,Agility,tapu-koko
960,Agility,solgaleo
961,Agility,lunala
962,Agility,pheromosa
963,Agility,magearna
964,Agility,marshadow
965,Agility,zeraora
966,Agility,scorbunny
967,Agility,raboot
968,Agility,cinderace
969,Agility,inteleon
970,Agility,rookidee
971,Agility,corvisquire
972,Agility,corviknight
973,Agility,orbeetle
974,Agility,nickit
975,Agility,thievul
976,Agility,wooloo
977,Agility,dubwool
978,Agility,boltund
979,Agility,cramorant
980,Agility,arrokuda
981,Agility,barraskewda
982,Agility,falinks
983,Agility,eiscue-ice
984,Agility,morpeko-full-belly
985,Agility,drakloak
986,Agility,dragapult
987,Agility,zacian
988,Agility,zamazenta
989,Agility,eternatus
990,Agility,regieleki
991,Agility,spectrier
992,Agility,calyrex
993,Agility,deoxys-speed
994,Agility,basculin-blue-striped
995,Agility,tornadus-therian
996,Agility,thundurus-therian
997,Agility,aerodactyl-mega
998,Agility,mewtwo-mega-x
999,Agility,mewtwo-mega-y
1000,Agility,scizor-mega
1001,Agility,sceptile-mega
1002,Agility,sharpedo-mega
1003,Agility,pidgeot-mega
1004,Agility,metagross-mega
1005,Agility,pikachu-rock-star
1006,Agility,pikachu-belle
1007,Agility,pikachu-pop-star
1008,Agility,pikachu-phd
1009,Agility,pikachu-libre
1010,Agility,pikachu-cosplay
1011,Agility,lopunny-mega
1012,Agility,beedrill-mega
1013,Agility,pikachu-original-cap
1014,Agility,pikachu-hoenn-cap
1015,Agility,pikachu-sinnoh-cap
1016,Agility,pikachu-unova-cap
1017,Agility,pikachu-kalos-cap
1018,Agility,pikachu-alola-cap
1019,Agility,raichu-alola
1020,Agility,sandslash-alola
1021,Agility,vulpix-alola
1022,Agility,ninetales-alola
1023,Agility,diglett-alola
1024,Agility,dugtrio-alola
1025,Agility,vikavolt-totem
1026,Agility,oricorio-pom-pom
1027,Agility,oricorio-pau
1028,Agility,oricorio-sensu
1029,Agility,magearna-original
1030,Agility,pikachu-partner-cap
1031,Agility,pikachu-starter
1032,Agility,pikachu-world-cap
1033,Agility,ponyta-galar
1034,Agility,rapidash-galar
1035,Agility,articuno-galar
1036,Agility,zapdos-galar
1037,Agility,moltres-galar
1038,Agility,cramorant-gulping
1039,Agility,cramorant-gorging
1040,Agility,eiscue-noice
1041,Agility,morpeko-hangry
1042,Agility,zacian-crowned
1043,Agility,zamazenta-crowned
1044,Agility,eternatus-eternamax
