,Name,Type
611,Skill Swap,psychic
612,Skitter Smack,bug
613,Skull Bash,normal
614,Sky Attack,flying
615,Sky Drop,flying
616,Sky Uppercut,fighting
617,Slack Off,normal
618,Slam,normal
619,Slash,normal
620,Sleep Powder,grass
621,Sleep Talk,normal
622,Sludge,poison
623,Sludge Bomb,poison
624,Sludge Wave,poison
625,Smack Down,rock
626,Smart Strike,steel
627,Smelling Salts,normal
628,Smog,poison
629,Smokescreen,normal
630,Snap Trap,grass
631,Snarl,dark
632,Snatch,dark
633,Snipe Shot,water
634,Snore,normal
635,Soak,water
636,Soft Boiled,normal
637,Solar Beam,grass
638,Solar Blade,grass
639,Sonic Boom,normal
640,Soul Stealing 7 Star Strike,ghost
641,Spacial Rend,dragon
642,Spark,electric
643,Sparkling Aria,water
644,Sparkly Swirl,fairy
645,Spectral Thief,ghost
646,Speed Swap,psychic
647,Spider Web,bug
648,Spike Cannon,normal
649,Spikes,ground
650,Spiky Shield,grass
651,Spirit Break,fairy
652,Spirit Shackle,ghost
653,Spit Up,normal
654,Spite,ghost
655,Splash,normal
656,Splintered Stormshards,rock
657,Splishy Splash,water
658,Spore,grass
659,Spotlight,normal
660,Stealth Rock,rock
661,Steam Eruption,water
662,Steamroller,bug
663,Steel Beam,steel
664,Steel Roller,steel
665,Steel Wing,steel
666,Sticky Web,bug
667,Stockpile,normal
668,Stoked Sparksurfer,electric
669,Stomp,normal
670,Stomping Tantrum,ground
671,Stone Edge,rock
672,Stored Power,psychic
673,Storm Throw,fighting
674,Strange Steam,fairy
675,Strength,normal
676,Strength Sap,grass
677,String Shot,bug
678,Struggle,normal
679,Struggle Bug,bug
680,Stuff Cheeks,normal
681,Stun Spore,grass
682,Submission,fighting
683,Substitute,normal
684,Sucker Punch,dark
685,Sunny Day,fire
686,Sunsteel Strike,steel
687,Super Fang,normal
688,Superpower,fighting
689,Supersonic,normal
690,Surf,water
691,Surging Strikes,water
692,Swagger,normal
693,Swallow,normal
694,Sweet Kiss,fairy
695,Sweet Scent,normal
696,Swift,normal
697,Switcheroo,dark
698,Swords Dance,normal
699,Synchronoise,psychic
700,Synthesis,grass
701,Tackle,normal
702,Tail Glow,bug
703,Tail Slap,normal
704,Tail Whip,normal
705,Tailwind,flying
706,Take Down,normal
707,Tar Shot,rock
708,Taunt,dark
709,Tearful Look,normal
710,Teatime,normal
711,Techno Blast,normal
712,Teeter Dance,normal
713,Telekinesis,psychic
714,Teleport,psychic
715,Terrain Pulse,normal
716,Thief,dark
717,Thousand Arrows,ground
718,Thousand Waves,ground
719,Thrash,normal
720,Throat Chop,dark
721,Thunder,electric
722,Thunder Cage,electric
723,Thunder Fang,electric
724,Thunder Punch,electric
725,Thunder Shock,electric
726,Thunder Wave,electric
727,Thunderbolt,electric
728,Thunderous Kick,fighting
729,Tickle,normal
730,Topsy Turvy,dark
731,Torment,dark
732,Toxic,poison
733,Toxic Spikes,poison
734,Toxic Thread,poison
735,Transform,normal
736,Tri Attack,normal
737,Trick,psychic
738,Trick Or Treat,ghost
739,Trick Room,psychic
740,Triple Axel,ice
741,Triple Kick,fighting
742,Trop Kick,grass
743,Trump Card,normal
744,Twineedle,bug
745,Twister,dragon
746,U Turn,bug
747,Uproar,normal
748,V Create,fire
749,Vacuum Wave,fighting
750,Veevee Volley,normal
751,Venom Drench,poison
752,Venoshock,poison
753,Vine Whip,grass
754,Vise Grip,normal
755,Vital Throw,fighting
756,Volt Switch,electric
757,Volt Tackle,electric
758,Wake Up Slap,fighting
759,Water Gun,water
760,Water Pledge,water
761,Water Pulse,water
762,Water Shuriken,water
763,Water Sport,water
764,Water Spout,water
765,Waterfall,water
766,Weather Ball,normal
767,Whirlpool,water
768,Whirlwind,normal
769,Wicked Blow,dark
770,Wide Guard,rock
771,Wild Charge,electric
772,Will O Wisp,fire
773,Wing Attack,flying
774,Wish,normal
775,Withdraw,water
776,Wonder Room,psychic
777,Wood Hammer,grass
778,Work Up,normal
779,Worry Seed,grass
780,Wrap,normal
781,Wring Out,normal
782,X Scissor,bug
783,Yawn,normal
784,Zap Cannon,electric
785,Zen Headbutt,psychic
786,Zing Zap,electric
787,Zippy Zap,electric
788,G-Max Vine Lash,grass
789,G-Max Wildfire,fire
790,G-Max Cannonade,water
791,G-Max Befuddle,bug
792,G-Max Volt Crash,electric
793,G-Max Gold Rush,normal
794,G-Max Chi Strike,fighting
795,G-Max Terror,ghost
796,G-Max Foam Burst,water
797,G-Max Resonance,ice
798,G-Max Cuddle,normal
799,G-Max Replenish,normal
800,G-Max Malodor,poison
801,G-Max Meltdown,steel
802,G-Max Drum Solo,grass
803,G-Max Fireball,fire
804,G-Max Hydrosnipe,water
805,G-Max Wind Rage,flying
806,G-Max Gravitas,psychic
807,G-Max Stonesurge,water
808,G-Max Volcalith,rock
809,G-Max Tartness,grass
810,G-Max Sweetness,grass
811,G-Max Sandblast,ground
812,G-Max Stun Shock,electric
813,G-Max Centiferno,fire
814,G-Max Smite,fairy
815,G-Max Snooze,dark
816,G-Max Finale,fairy
817,G-Max Steelsurge,steel
818,G-Max Depletion,dragon
819,G-Max One Blow,dark
820,G-Max Rapid Flow,water
