,Pokemon,HP,Atk,Def,SpA,SpD,Spe
227,Kyogre,100,100,90,150,140,90
228,Grimmsnarl,95,120,65,95,75,60
229,Regieleki,80,100,50,100,50,200
230,Rillaboom,100,125,90,60,70,85
231,Groudon,100,150,140,100,90,90
232,Zacian-Crowned,92,170,115,80,115,148
233,Incineroar,95,115,90,80,90,60
234,Kyogre,100,100,90,150,140,90
235,Grimmsnarl,95,120,65,95,75,60
236,Regieleki,80,100,50,100,50,200
237,Rillaboom,100,125,90,60,70,85
238,Groudon,100,150,140,100,90,90
239,Zacian-Crowned,92,170,115,80,115,148
240,Incineroar,95,115,90,80,90,60
241,Kyogre,100,100,90,150,140,90
242,Grimmsnarl,95,120,65,95,75,60
243,Regieleki,80,100,50,100,50,200
244,Rillaboom,100,125,90,60,70,85
245,Groudon,100,150,140,100,90,90
246,Zacian-Crowned,92,170,115,80,115,148
247,Incineroar,95,115,90,80,90,60
248,Kyogre,100,100,90,150,140,90
249,Grimmsnarl,95,120,65,95,75,60
250,Regieleki,80,100,50,100,50,200
251,Rillaboom,100,125,90,60,70,85
252,Groudon,100,150,140,100,90,90
253,Zacian-Crowned,92,170,115,80,115,148
254,Incineroar,95,115,90,80,90,60
255,Kyogre,100,100,90,150,140,90
256,Grimmsnarl,95,120,65,95,75,60
257,Regieleki,80,100,50,100,50,200
258,Rillaboom,100,125,90,60,70,85
259,Groudon,100,150,140,100,90,90
260,Zacian-Crowned,92,170,115,80,115,148
261,Incineroar,95,115,90,80,90,60
262,Kyogre,100,100,90,150,140,90
263,Grimmsnarl,95,120,65,95,75,60
264,Regieleki,80,100,50,100,50,200
265,Rillaboom,100,125,90,60,70,85
266,Groudon,100,150,140,100,90,90
267,Zacian-Crowned,92,170,115,80,115,148
268,Incineroar,95,115,90,80,90,60
269,Kyogre,100,100,90,150,140,90
270,Grimmsnarl,95,120,65,95,75,60
271,Regieleki,80,100,50,100,50,200
272,Rillaboom,100,125,90,60,70,85
273,Groudon,100,150,140,100,90,90
274,Zacian-Crowned,92,170,115,80,115,148
275,Zacian-Crowned,92,170,115,80,115,148
276,Incineroar,95,115,90,80,90,60
277,Kyogre,100,100,90,150,140,90
278,Grimmsnarl,95,120,65,95,75,60
279,Regieleki,80,100,50,100,50,200
280,Rillaboom,100,125,90,60,70,85
281,Groudon,100,150,140,100,90,90
282,Zacian-Crowned,92,170,115,80,115,148
283,Incineroar,95,115,90,80,90,60
284,Kyogre,100,100,90,150,140,90
285,Grimmsnarl,95,120,65,95,75,60
286,Regieleki,80,100,50,100,50,200
287,Rillaboom,100,125,90,60,70,85
288,Groudon,100,150,140,100,90,90
289,Zacian-Crowned,92,170,115,80,115,148
290,Zacian-Crowned,92,170,115,80,115,148
291,Zacian-Crowned,92,170,115,80,115,148
292,Zacian-Crowned,92,170,115,80,115,148
293,Zacian-Crowned,92,170,115,80,115,148
294,Zacian-Crowned,92,170,115,80,115,148
295,Zacian-Crowned,92,170,115,80,115,148
296,Zacian-Crowned,92,170,115,80,115,148
297,Incineroar,95,115,90,80,90,60
298,Kyogre,100,100,90,150,140,90
299,Grimmsnarl,95,120,65,95,75,60
300,Regieleki,80,100,50,100,50,200
301,Rillaboom,100,125,90,60,70,85
302,Groudon,100,150,140,100,90,90
303,Zacian-Crowned,92,170,115,80,115,148
304,Incineroar,95,115,90,80,90,60
305,Kyogre,100,100,90,150,140,90
306,Grimmsnarl,95,120,65,95,75,60
307,Regieleki,80,100,50,100,50,200
308,Rillaboom,100,125,90,60,70,85
309,Groudon,100,150,140,100,90,90
310,Zacian-Crowned,92,170,115,80,115,148
311,Incineroar,95,115,90,80,90,60
312,Kyogre,100,100,90,150,140,90
313,Grimmsnarl,95,120,65,95,75,60
314,Regieleki,80,100,50,100,50,200
315,Rillaboom,100,125,90,60,70,85
316,Groudon,100,150,140,100,90,90
317,Zacian-Crowned,92,170,115,80,115,148
318,Incineroar,95,115,90,80,90,60
319,Kyogre,100,100,90,150,140,90
320,Grimmsnarl,95,120,65,95,75,60
321,Regieleki,80,100,50,100,50,200
322,Rillaboom,100,125,90,60,70,85
323,Groudon,100,150,140,100,90,90
324,Calyrex-Shadow,100,85,80,165,100,150
325,Zacian-Crowned,92,170,115,80,115,148
326,Incineroar,95,115,90,80,90,60
327,Kyogre,100,100,90,150,140,90
328,Grimmsnarl,95,120,65,95,75,60
329,Regieleki,80,100,50,100,50,200
330,Rillaboom,100,125,90,60,70,85
331,Groudon,100,150,140,100,90,90
332,Calyrex-Shadow,100,85,80,165,100,150
333,Zacian-Crowned,92,170,115,80,115,148
334,Incineroar,95,115,90,80,90,60
335,Kyogre,100,100,90,150,140,90
336,Grimmsnarl,95,120,65,95,75,60
337,Regieleki,80,100,50,100,50,200
338,Rillaboom,100,125,90,60,70,85
339,Groudon,100,150,140,100,90,90
340,Calyrex-Shadow,100,85,80,165,100,150
341,Thundurus,79,115,70,125,80,111
342,Landorus-Therian,89,145,90,105,80,91
343,Gastrodon,111,83,68,92,82,39
344,Charizard,78,84,78,109,85,100
345,Amoonguss,114,85,70,85,80,30
346,Indeedee-F,70,55,65,95,105,85
347,Whimsicott,60,67,85,77,75,116
348,Zacian-Crowned,92,170,115,80,115,148
349,Incineroar,95,115,90,80,90,60
350,Kyogre,100,100,90,150,140,90
351,Grimmsnarl,95,120,65,95,75,60
352,Regieleki,80,100,50,100,50,200
353,Rillaboom,100,125,90,60,70,85
354,Groudon,100,150,140,100,90,90
355,Calyrex-Shadow,100,85,80,165,100,150
356,Thundurus,79,115,70,125,80,111
357,Landorus-Therian,89,145,90,105,80,91
358,Gastrodon,111,83,68,92,82,39
359,Charizard,78,84,78,109,85,100
360,Amoonguss,114,85,70,85,80,30
361,Indeedee-F,70,55,65,95,105,85
362,Whimsicott,60,67,85,77,75,116
363,Yveltal,126,131,95,131,98,99
364,Calyrex-Ice,100,165,150,85,130,50
365,Palkia,90,120,100,150,120,100
366,Porygon2,85,80,90,105,95,60
367,Tornadus,79,115,70,125,80,111
368,Zapdos,90,90,85,125,90,100
369,Kartana,59,181,131,59,31,109
370,Blastoise,79,83,100,85,105,78
371,Venusaur,80,82,83,100,100,80
372,Ferrothorn,74,94,131,54,116,20
373,Ditto,48,48,48,48,48,48
374,Urshifu,100,130,100,63,60,97
375,Xerneas,126,131,95,131,98,99
376,Dialga,100,120,120,150,100,90
377,Shedinja,1,90,45,30,30,40
378,Solgaleo,137,137,107,113,89,97
379,Dusclops,40,70,130,60,130,25
380,Torkoal,70,85,140,85,70,20
381,Kingdra,75,95,95,95,95,85
382,Raichu,60,90,55,90,80,110
383,Weezing,65,90,120,85,70,60
384,Entei,115,115,85,90,75,100
385,Lunala,137,113,89,137,107,97
386,Kyurem-White,125,120,90,170,100,95
387,Tapu Fini,70,75,115,95,130,85
388,Sableye,50,75,75,65,65,50
389,Urshifu-Rapid-Strike,100,130,100,63,60,97
390,Tapu Lele,70,85,75,130,115,95
391,Mimikyu,55,90,80,50,105,96
392,Gothitelle,70,55,95,95,110,65
393,Seismitoad,105,95,75,85,75,74
394,Ho-Oh,106,130,90,110,154,90
395,Rotom-Heat,50,65,107,105,107,86
396,Eternatus,140,85,95,145,95,130
397,Regigigas,110,160,110,80,110,100
398,Cinderace,80,116,75,65,75,119
399,Bronzong,67,89,116,79,116,33
400,Togekiss,85,50,95,120,115,80
401,Coalossal,110,80,120,80,90,30
402,Dragapult,88,120,75,100,75,142
403,Umbreon,95,65,110,60,130,65
404,Indeedee,60,65,55,105,95,95
405,Comfey,51,52,90,82,110,100
406,Lapras,130,85,80,85,95,60
407,Rayquaza,105,150,90,150,90,95
408,Spectrier,100,65,60,145,80,130
409,Reshiram,100,120,100,150,120,90
410,Zygarde,108,100,121,81,95,95
411,Mamoswine,110,130,80,70,60,80
412,Necrozma-Dawn-Wings,97,113,109,157,127,77
413,Barraskewda,61,123,60,60,50,136
414,Celesteela,97,101,103,107,101,61
415,Metagross,80,135,130,95,90,70
416,Araquanid,68,70,92,50,132,42
417,Pheromosa,71,137,37,137,37,151
418,Arcanine,90,110,80,100,80,95
419,Zamazenta-Crowned,92,130,145,80,145,128
420,Clefairy,70,45,48,60,65,35
421,Mienshao,65,125,60,95,60,105
422,Lugia,106,90,130,90,154,110
423,Chansey,250,5,5,35,105,50
424,Suicune,100,75,115,90,115,85
425,Landorus,89,125,90,115,80,101
426,Necrozma-Dusk-Mane,97,157,127,113,109,77
427,Alcremie,65,60,75,110,121,64
428,Tapu Koko,70,115,85,95,75,130
429,Liepard,64,88,50,88,50,106
430,Hydreigon,92,105,90,125,90,98
431,Weavile,70,120,65,45,85,125
432,Tsareena,72,120,98,50,98,72
433,Glastrier,100,145,130,65,110,30
434,Dracovish,90,90,100,70,80,75
435,Regidrago,200,100,50,100,50,80
436,Hitmontop,50,95,95,35,110,70
437,Darmanitan-Galar,105,140,55,30,55,95
438,Zekrom,100,150,120,120,100,90
439,Shuckle,20,10,230,10,230,5
440,Zapdos-Galar,90,125,90,85,90,100
441,Volcarona,85,60,65,135,105,100
442,Meowstic,74,48,76,83,81,104
443,Persian-Alola,65,60,60,75,65,115
444,Snorlax,160,110,65,65,110,30
445,Stakataka,61,131,211,53,101,13
446,Thundurus-Therian,79,105,70,145,80,101
447,Moltres-Galar,90,85,90,100,125,90
448,Talonflame,78,81,71,74,69,126
449,Milotic,95,60,79,100,125,81
450,Mewtwo,106,110,90,154,90,130
451,Klinklang,60,100,115,70,85,90
452,Inteleon,70,85,65,125,65,120
453,Salamence,95,135,80,110,80,100
454,Hatterene,57,90,95,136,103,29
455,Sneasel,55,95,55,35,75,115
456,Escavalier,70,135,105,60,105,20
457,Rotom-Wash,50,65,107,105,107,86
458,Politoed,90,75,75,90,100,70
459,Ludicolo,80,70,70,90,100,70
460,Slowking,95,75,80,100,110,30
461,Swampert,100,110,90,85,90,60
462,Azumarill,100,50,80,60,80,50
463,Scizor,70,130,100,55,80,65
464,Articuno-Galar,90,85,85,125,100,95
465,Tyranitar,100,134,110,95,100,61
466,Pikachu,35,55,40,50,50,90
467,Ninetales-Alola,73,67,75,81,100,109
468,Marowak-Alola,60,80,110,50,80,45
469,Slowbro,95,75,110,100,80,30
470,Giratina-Origin,150,120,100,120,100,90
471,Toxapex,50,63,152,53,142,35
472,Raikou,90,85,75,115,100,115
473,Pelipper,60,50,100,95,70,65
474,Weezing-Galar,65,90,120,85,70,60
475,Kingler,55,130,115,50,50,75
476,Oranguru,90,60,80,90,110,60
477,Nihilego,109,53,47,127,131,103
478,Togedemaru,65,98,63,40,73,96
479,Gyarados,95,125,79,60,100,81
480,Garchomp,108,130,95,80,85,102
481,Heliolisk,62,55,52,109,94,109
482,Tapu Bulu,70,130,115,85,95,75
483,Kangaskhan,105,95,80,40,80,90
484,Moltres,90,100,90,125,85,90
485,Krookodile,95,117,80,65,70,92
486,Drifblim,150,80,44,90,54,80
487,Excadrill,110,135,60,50,65,88
488,Primarina,80,74,74,126,116,60
489,Shiftry,90,100,60,90,60,80
490,Chandelure,60,55,90,145,90,80
491,Toxicroak,83,106,65,86,65,85
492,Dracozolt,90,100,90,80,70,75
493,Sceptile,70,85,65,105,85,120
494,Pincurchin,48,101,95,91,85,15
495,Aegislash,60,50,140,50,140,60
496,Centiskorch,100,115,65,90,90,65
497,Greedent,120,95,95,55,75,20
498,Porygon-Z,85,80,70,135,75,90
499,Butterfree,60,45,50,90,80,70
500,Lucario,70,110,70,115,70,90
501,Mudsdale,100,125,100,55,85,35
502,Cherrim,70,60,70,87,78,85
503,Exeggutor,95,95,85,125,75,55
504,Altaria,75,70,90,70,105,80
505,Klefki,57,80,91,80,87,75
506,Froslass,70,80,70,80,70,110
507,Gigalith,85,135,130,60,80,25
508,Jellicent,100,60,70,85,105,60
509,Riolu,40,70,40,35,40,60
510,Mandibuzz,110,65,105,55,95,80
511,Lurantis,70,105,90,80,90,45
512,Latias,80,80,90,110,130,110
513,Exeggutor-Alola,95,105,85,125,75,45
514,Dragonite,91,134,95,100,100,80
515,Darmanitan,105,140,55,30,55,95
516,Cradily,86,81,97,81,107,43
517,Obstagoon,93,90,101,60,81,95
518,Scrafty,65,90,115,45,115,58
519,Aerodactyl,80,105,65,60,75,130
520,Kabutops,60,115,105,65,70,80
521,Articuno,90,85,100,95,125,85
522,Blacephalon,53,127,53,151,79,107
523,Duraludon,70,95,115,120,50,85
524,Trevenant,85,110,76,65,82,56
525,Drednaw,90,115,90,48,68,74
526,Heatran,91,90,106,130,106,77
527,Clefable,95,70,73,95,90,60
528,Appletun,110,85,80,100,80,30
529,Bisharp,65,125,100,60,70,70
530,Registeel,80,75,150,75,150,50
531,Rhyperior,115,140,130,55,55,40
532,Stonjourner,100,125,135,20,20,70
533,Electivire,75,123,67,95,85,95
534,Leafeon,65,110,130,60,65,95
535,Abomasnow,90,92,75,92,85,60
536,Diggersby,85,56,77,50,77,78
537,Giratina,150,100,120,100,120,90
538,Swoobat,67,57,55,77,55,114
539,Corviknight,98,87,105,53,85,67
540,Vikavolt,77,70,90,145,75,43
541,Durant,58,109,112,48,48,109
542,Cresselia,120,70,120,75,130,85
543,Mr. Rime,80,85,75,110,100,70
544,Wishiwashi,45,20,20,25,25,40
545,Conkeldurr,105,140,95,55,65,45
546,Boltund,69,90,60,90,60,121
547,Terrakion,91,129,90,72,90,108
548,Cobalion,91,90,129,90,72,108
549,Kyurem-Black,125,170,100,120,90,95
550,Mantine,85,40,70,80,140,70
551,Machamp,90,130,80,65,85,55
552,Goodra,90,100,70,110,150,80
553,Silvally,95,95,95,95,95,95
554,Accelgor,80,70,40,100,60,145
555,Xurkitree,83,89,71,173,71,83
556,Tauros,75,100,95,40,70,110
557,Garbodor,80,95,82,60,82,75
558,Luxray,80,120,79,95,79,70
559,Dugtrio,35,100,50,50,70,120
560,Rotom-Mow,50,65,107,105,107,86
561,Gengar,60,65,60,130,75,110
562,Glaceon,65,60,110,130,95,65
563,Manectric,70,75,60,105,60,105
564,Palossand,85,75,110,100,75,35
565,Espeon,65,65,60,130,95,110
566,Crobat,85,90,80,70,80,130
567,Tyrantrum,82,121,119,69,59,71
568,Cinccino,75,95,60,65,60,115
569,Kommo-o,75,110,125,100,105,85
570,Blissey,255,10,10,75,135,55
571,Cloyster,50,95,180,85,45,70
572,Blaziken,80,120,70,110,70,80
573,Drampa,78,60,85,135,91,36
574,Hawlucha,78,92,75,74,63,118
575,Mr. Mime-Galar,50,65,65,90,90,100
576,Mr. Mime-Galar,50,65,65,90,90,100
577,Grapploct,80,118,90,70,80,42
578,Mr. Mime-Galar,50,65,65,90,90,100
579,Grapploct,80,118,90,70,80,42
580,Mr. Mime-Galar,50,65,65,90,90,100
581,Grapploct,80,118,90,70,80,42
582,Mr. Mime-Galar,50,65,65,90,90,100
583,Grapploct,80,118,90,70,80,42
584,Zoroark,60,105,60,120,60,105
585,Lilligant,70,60,75,110,75,90
586,Clawitzer,71,73,88,120,89,59
587,Qwilfish,65,95,85,55,55,85
588,Haxorus,76,147,90,60,70,97
589,Dhelmise,70,131,100,86,90,40
590,Zacian-Crowned,92,170,115,80,115,148
591,Incineroar,95,115,90,80,90,60
592,Kyogre,100,100,90,150,140,90
593,Grimmsnarl,95,120,65,95,75,60
594,Regieleki,80,100,50,100,50,200
595,Rillaboom,100,125,90,60,70,85
596,Groudon,100,150,140,100,90,90
597,Calyrex-Shadow,100,85,80,165,100,150
598,Thundurus,79,115,70,125,80,111
599,Landorus-Therian,89,145,90,105,80,91
600,Gastrodon,111,83,68,92,82,39
601,Charizard,78,84,78,109,85,100
602,Amoonguss,114,85,70,85,80,30
603,Indeedee-F,70,55,65,95,105,85
604,Whimsicott,60,67,85,77,75,116
605,Yveltal,126,131,95,131,98,99
606,Calyrex-Ice,100,165,150,85,130,50
607,Palkia,90,120,100,150,120,100
608,Porygon2,85,80,90,105,95,60
609,Tornadus,79,115,70,125,80,111
610,Zapdos,90,90,85,125,90,100
611,Kartana,59,181,131,59,31,109
612,Blastoise,79,83,100,85,105,78
613,Venusaur,80,82,83,100,100,80
614,Ferrothorn,74,94,131,54,116,20
615,Ditto,48,48,48,48,48,48
616,Urshifu,100,130,100,63,60,97
617,Xerneas,126,131,95,131,98,99
618,Dialga,100,120,120,150,100,90
619,Shedinja,1,90,45,30,30,40
620,Solgaleo,137,137,107,113,89,97
621,Dusclops,40,70,130,60,130,25
622,Torkoal,70,85,140,85,70,20
623,Kingdra,75,95,95,95,95,85
624,Raichu,60,90,55,90,80,110
625,Weezing,65,90,120,85,70,60
626,Entei,115,115,85,90,75,100
627,Lunala,137,113,89,137,107,97
628,Kyurem-White,125,120,90,170,100,95
629,Tapu Fini,70,75,115,95,130,85
630,Sableye,50,75,75,65,65,50
631,Urshifu-Rapid-Strike,100,130,100,63,60,97
632,Tapu Lele,70,85,75,130,115,95
633,Mimikyu,55,90,80,50,105,96
634,Gothitelle,70,55,95,95,110,65
635,Seismitoad,105,95,75,85,75,74
636,Ho-Oh,106,130,90,110,154,90
637,Rotom-Heat,50,65,107,105,107,86
638,Eternatus,140,85,95,145,95,130
639,Regigigas,110,160,110,80,110,100
640,Cinderace,80,116,75,65,75,119
641,Bronzong,67,89,116,79,116,33
642,Togekiss,85,50,95,120,115,80
643,Coalossal,110,80,120,80,90,30
644,Dragapult,88,120,75,100,75,142
645,Umbreon,95,65,110,60,130,65
646,Indeedee,60,65,55,105,95,95
647,Comfey,51,52,90,82,110,100
648,Lapras,130,85,80,85,95,60
649,Rayquaza,105,150,90,150,90,95
650,Spectrier,100,65,60,145,80,130
651,Reshiram,100,120,100,150,120,90
652,Zygarde,108,100,121,81,95,95
653,Mamoswine,110,130,80,70,60,80
654,Necrozma-Dawn-Wings,97,113,109,157,127,77
655,Barraskewda,61,123,60,60,50,136
656,Celesteela,97,101,103,107,101,61
657,Metagross,80,135,130,95,90,70
658,Araquanid,68,70,92,50,132,42
659,Pheromosa,71,137,37,137,37,151
660,Arcanine,90,110,80,100,80,95
661,Zamazenta-Crowned,92,130,145,80,145,128
662,Clefairy,70,45,48,60,65,35
663,Mienshao,65,125,60,95,60,105
664,Lugia,106,90,130,90,154,110
665,Chansey,250,5,5,35,105,50
