,UsePercentage,Pokemon,Teammate
234,24.417,Torkoal,Kyogre
235,86.306,Kingdra,Kyogre
236,74.742,Raichu,Kyogre
237,42.097,Weezing,Kyogre
238,30.652,Entei,Kyogre
239,21.408,Sableye,Kyogre
240,68.010,Tapu Lele,Kyogre
241,46.358,Mimikyu,Kyogre
242,30.024,Gothitelle,Kyogre
243,91.167,Seismitoad,Kyogre
244,15.477,Heat Rotom,Kyogre
245,10.733,Regigigas,Kyogre
246,64.007,Cinderace,Kyogre
247,23.074,Togekiss,Kyogre
248,35.079,Dragapult,Kyogre
249,18.886,Umbreon,Kyogre
250,27.950,Indeedee Male,Kyogre
251,29.929,Comfey,Kyogre
252,26.459,Spectrier,Kyogre
253,60.305,Barraskewda,Kyogre
254,18.816,Metagross,Kyogre
255,35.977,Pheromosa,Kyogre
256,22.761,Arcanine,Kyogre
257,15.893,Mienshao,Kyogre
258,12.448,Landorus Incarnate Forme,Kyogre
259,37.885,Dusk Mane Necrozma,Kyogre
260,26.058,Tapu Koko,Kyogre
261,32.987,Hydreigon,Kyogre
262,75.017,Weavile,Kyogre
263,74.266,Tsareena,Kyogre
264,56.785,Glastrier,Kyogre
265,45.216,Dracovish,Kyogre
266,70.156,Regidrago,Kyogre
267,53.048,Hitmontop,Kyogre
268,31.186,Darmanitan Galarian Standard Mode,Kyogre
269,39.912,Zekrom,Kyogre
270,15.205,Galarian Zapdos,Kyogre
271,28.964,Volcarona,Kyogre
272,41.020,Meowstic Male,Kyogre
273,68.736,Alolan Persian,Kyogre
274,31.403,Snorlax,Kyogre
275,14.742,Stakataka,Kyogre
276,60.480,Thundurus Therian Forme,Kyogre
277,20.153,Galarian Moltres,Kyogre
278,56.995,Talonflame,Kyogre
279,64.526,Klinklang,Kyogre
280,76.628,Inteleon,Kyogre
281,83.233,Salamence,Kyogre
282,15.218,Hatterene,Kyogre
283,42.177,Escavalier,Kyogre
284,61.151,Ludicolo,Kyogre
285,27.456,Slowking,Kyogre
286,3.511,Swampert,Kyogre
287,11.578,Scizor,Kyogre
288,32.941,Galarian Articuno,Kyogre
289,21.292,Tyranitar,Kyogre
290,42.692,Pikachu,Kyogre
291,30.067,Alolan Marowak,Kyogre
292,63.249,Raikou,Kyogre
293,70.934,Galarian Weezing,Kyogre
294,37.864,Oranguru,Kyogre
295,61.593,Garchomp,Kyogre
296,75.471,Heliolisk,Kyogre
297,82.735,Moltres,Kyogre
298,94.128,Drifblim,Kyogre
299,10.770,Primarina,Kyogre
300,93.443,Toxicroak,Kyogre
301,13.740,Dracozolt,Kyogre
302,18.445,Sceptile,Kyogre
303,86.757,Pincurchin,Kyogre
304,56.814,Aegislash Shield Forme,Kyogre
305,43.542,Porygon-Z,Kyogre
306,30.843,Butterfree,Kyogre
307,57.711,Lucario,Kyogre
308,77.955,Mudsdale,Kyogre
309,15.063,Klefki,Kyogre
310,55.217,Gigalith,Kyogre
311,25.310,Jellicent,Kyogre
312,16.017,Riolu,Kyogre
313,55.634,Mandibuzz,Kyogre
314,71.771,Lurantis,Kyogre
315,76.800,Alolan Exeggutor,Kyogre
316,38.102,Dragonite,Kyogre
317,24.048,Darmanitan Standard Mode,Kyogre
318,53.337,Cradily,Kyogre
319,8.219,Kabutops,Kyogre
320,53.393,Articuno,Kyogre
321,16.115,Blacephalon,Kyogre
322,88.723,Drednaw,Kyogre
323,81.847,Clefable,Kyogre
324,32.975,Appletun,Kyogre
325,9.615,Registeel,Kyogre
326,12.887,Rhyperior,Kyogre
327,54.207,Electivire,Kyogre
328,31.543,Abomasnow,Kyogre
329,49.969,Diggersby,Kyogre
330,13.923,Giratina Altered Forme,Kyogre
331,13.503,Corviknight,Kyogre
332,17.182,Vikavolt,Kyogre
333,43.683,Durant,Kyogre
334,17.060,Cresselia,Kyogre
335,1.185,Mr. Rime,Kyogre
336,48.455,Cobalion,Kyogre
337,34.978,Black Kyurem,Kyogre
338,69.748,Mantine,Kyogre
339,47.126,Goodra,Kyogre
340,3.230,Tauros,Kyogre
341,8.603,Luxray,Kyogre
342,35.422,Mow Rotom,Kyogre
343,39.333,Gengar,Kyogre
344,81.848,Manectric,Kyogre
345,28.369,Crobat,Kyogre
346,86.268,Tyrantrum,Kyogre
347,65.255,Blissey,Kyogre
348,38.729,Blaziken,Kyogre
349,19.961,Hawlucha,Kyogre
350,63.643,Mime Galarian Mr. Mime,Kyogre
351,31.148,Zacian Crowned Sword,Grimmsnarl
352,28.706,Incineroar,Grimmsnarl
353,20.356,Kyogre,Grimmsnarl
354,17.311,Regieleki,Grimmsnarl
355,34.450,Rillaboom,Grimmsnarl
356,52.588,Groudon,Grimmsnarl
357,18.584,Thundurus Incarnate Forme,Grimmsnarl
358,22.976,Landorus Therian Forme,Grimmsnarl
359,46.379,Gastrodon,Grimmsnarl
360,57.381,Charizard,Grimmsnarl
361,23.820,Yveltal,Grimmsnarl
362,47.175,Zapdos,Grimmsnarl
363,27.933,Blastoise,Grimmsnarl
364,26.212,Venusaur,Grimmsnarl
365,25.194,Ferrothorn,Grimmsnarl
366,33.104,Ditto,Grimmsnarl
367,48.980,Xerneas,Grimmsnarl
368,25.678,Dialga,Grimmsnarl
369,36.029,Solgaleo,Grimmsnarl
370,22.836,Entei,Grimmsnarl
371,24.415,Lunala,Grimmsnarl
372,24.652,White Kyurem,Grimmsnarl
373,52.244,Seismitoad,Grimmsnarl
374,14.211,Ho-oh,Grimmsnarl
375,29.702,Heat Rotom,Grimmsnarl
376,30.400,Eternatus,Grimmsnarl
377,14.796,Cinderace,Grimmsnarl
378,28.513,Togekiss,Grimmsnarl
379,12.015,Dragapult,Grimmsnarl
380,20.482,Comfey,Grimmsnarl
381,15.346,Rayquaza,Grimmsnarl
382,57.213,Reshiram,Grimmsnarl
383,29.822,Zygarde Complete Forme,Grimmsnarl
384,11.207,Mamoswine,Grimmsnarl
385,30.746,Metagross,Grimmsnarl
386,18.887,Araquanid,Grimmsnarl
387,48.835,Arcanine,Grimmsnarl
388,20.889,Zamazenta Crowned Shield,Grimmsnarl
389,37.848,Lugia,Grimmsnarl
390,12.597,Suicune,Grimmsnarl
391,9.301,Landorus Incarnate Forme,Grimmsnarl
392,66.455,Alcremie,Grimmsnarl
393,19.505,Hydreigon,Grimmsnarl
394,12.311,Tsareena,Grimmsnarl
395,31.699,Darmanitan Galarian Standard Mode,Grimmsnarl
396,37.419,Zekrom,Grimmsnarl
397,12.046,Thundurus Therian Forme,Grimmsnarl
398,23.495,Milotic,Grimmsnarl
399,82.297,Salamence,Grimmsnarl
400,21.194,Wash Rotom,Grimmsnarl
401,28.057,Slowking,Grimmsnarl
402,78.150,Swampert,Grimmsnarl
403,15.482,Galarian Articuno,Grimmsnarl
404,80.748,Toxapex,Grimmsnarl
405,19.928,Kingler,Grimmsnarl
406,35.287,Nihilego,Grimmsnarl
407,15.109,Butterfree,Grimmsnarl
408,6.159,Lucario,Grimmsnarl
409,36.666,Mudsdale,Grimmsnarl
410,28.457,Cherrim,Grimmsnarl
411,66.433,Exeggutor,Grimmsnarl
412,57.336,Froslass,Grimmsnarl
413,27.275,Mandibuzz,Grimmsnarl
414,14.428,Duraludon,Grimmsnarl
415,1.604,Trevenant,Grimmsnarl
416,19.942,Bisharp,Grimmsnarl
417,75.194,Registeel,Grimmsnarl
418,81.961,Diggersby,Grimmsnarl
419,71.586,Vikavolt,Grimmsnarl
420,38.906,Boltund,Grimmsnarl
421,59.729,Black Kyurem,Grimmsnarl
422,73.662,Tauros,Grimmsnarl
423,43.514,Mow Rotom,Grimmsnarl
424,22.467,Crobat,Grimmsnarl
425,24.932,Cinccino,Grimmsnarl
426,12.116,Cloyster,Grimmsnarl
427,21.986,Hawlucha,Grimmsnarl
428,1.160,Qwilfish,Grimmsnarl
429,11.568,Togetic,Grimmsnarl
430,82.833,Torracat,Grimmsnarl
431,19.669,Salazzle,Grimmsnarl
432,33.108,Shiinotic,Grimmsnarl
433,11.118,Tangrowth,Grimmsnarl
434,12.491,Sandaconda,Grimmsnarl
435,16.931,Heracross,Grimmsnarl
436,26.774,Drapion,Grimmsnarl
437,17.695,Lycanroc Midday Form,Grimmsnarl
438,81.296,Bewear,Grimmsnarl
439,48.386,Lycanroc Midnight Form,Grimmsnarl
440,45.779,Lickilicky,Grimmsnarl
441,29.083,Zacian Crowned Sword,Rillaboom
442,27.822,Incineroar,Rillaboom
443,23.349,Kyogre,Rillaboom
444,30.482,Grimmsnarl,Rillaboom
445,8.941,Groudon,Rillaboom
446,36.442,Calyrex Shadow Rider,Rillaboom
447,28.737,Thundurus Incarnate Forme,Rillaboom
448,24.992,Landorus Therian Forme,Rillaboom
449,16.050,Gastrodon,Rillaboom
450,10.515,Charizard,Rillaboom
451,22.524,Yveltal,Rillaboom
452,12.540,Calyrex Ice Rider,Rillaboom
453,9.927,Palkia,Rillaboom
454,16.066,Tornadus Incarnate Forme,Rillaboom
455,39.572,Zapdos,Rillaboom
456,71.924,Blastoise,Rillaboom
457,31.140,Ditto,Rillaboom
458,33.574,Xerneas,Rillaboom
459,30.748,Dialga,Rillaboom
460,29.591,Solgaleo,Rillaboom
461,6.132,Kingdra,Rillaboom
462,15.573,Raichu,Rillaboom
463,12.186,Weezing,Rillaboom
464,18.777,Entei,Rillaboom
465,19.950,Lunala,Rillaboom
466,59.438,Sableye,Rillaboom
467,39.735,Urshifu Rapid Strike Style,Rillaboom
468,19.516,Gothitelle,Rillaboom
469,16.504,Seismitoad,Rillaboom
470,22.742,Ho-oh,Rillaboom
471,47.653,Heat Rotom,Rillaboom
472,33.037,Eternatus,Rillaboom
473,7.724,Regigigas,Rillaboom
474,17.365,Cinderace,Rillaboom
475,34.990,Togekiss,Rillaboom
476,75.559,Coalossal,Rillaboom
477,26.874,Dragapult,Rillaboom
478,24.148,Comfey,Rillaboom
479,17.739,Lapras,Rillaboom
480,54.323,Rayquaza,Rillaboom
481,17.455,Spectrier,Rillaboom
482,46.983,Reshiram,Rillaboom
483,20.332,Zygarde Complete Forme,Rillaboom
484,28.115,Mamoswine,Rillaboom
485,10.406,Barraskewda,Rillaboom
486,23.602,Araquanid,Rillaboom
487,27.962,Arcanine,Rillaboom
488,13.961,Zamazenta Crowned Shield,Rillaboom
489,32.496,Clefairy,Rillaboom
490,27.416,Lugia,Rillaboom
491,31.470,Chansey,Rillaboom
492,16.347,Suicune,Rillaboom
493,46.501,Landorus Incarnate Forme,Rillaboom
494,20.685,Dusk Mane Necrozma,Rillaboom
495,16.614,Dracovish,Rillaboom
496,51.195,Regidrago,Rillaboom
497,14.450,Zekrom,Rillaboom
498,41.223,Volcarona,Rillaboom
499,48.354,Meowstic Male,Rillaboom
500,29.514,Stakataka,Rillaboom
501,11.440,Thundurus Therian Forme,Rillaboom
502,11.939,Galarian Moltres,Rillaboom
503,32.389,Talonflame,Rillaboom
504,29.986,Escavalier,Rillaboom
505,13.529,Wash Rotom,Rillaboom
506,38.336,Politoed,Rillaboom
507,81.632,Swampert,Rillaboom
508,42.292,Galarian Articuno,Rillaboom
509,20.913,Slowbro,Rillaboom
510,47.383,Raikou,Rillaboom
511,24.344,Togedemaru,Rillaboom
512,34.633,Gyarados,Rillaboom
513,73.007,Heliolisk,Rillaboom
514,84.706,Toxicroak,Rillaboom
515,84.354,Greedent,Rillaboom
516,44.620,Porygon-Z,Rillaboom
517,36.231,Butterfree,Rillaboom
518,55.613,Lucario,Rillaboom
519,17.192,Mudsdale,Rillaboom
520,47.550,Altaria,Rillaboom
521,42.866,Gigalith,Rillaboom
522,22.492,Riolu,Rillaboom
523,33.684,Mandibuzz,Rillaboom
524,12.200,Dragonite,Rillaboom
525,24.355,Scrafty,Rillaboom
526,21.155,Blacephalon,Rillaboom
527,14.335,Duraludon,Rillaboom
528,43.255,Heatran,Rillaboom
529,32.908,Bisharp,Rillaboom
530,14.984,Rhyperior,Rillaboom
531,52.230,Electivire,Rillaboom
532,24.483,Abomasnow,Rillaboom
533,44.025,Diggersby,Rillaboom
534,5.670,Swoobat,Rillaboom
535,14.415,Durant,Rillaboom
536,26.056,Cresselia,Rillaboom
537,28.369,Conkeldurr,Rillaboom
538,38.753,Boltund,Rillaboom
539,30.956,Terrakion,Rillaboom
540,17.762,Cobalion,Rillaboom
541,60.234,Mantine,Rillaboom
542,58.584,Dugtrio,Rillaboom
543,38.114,Crobat,Rillaboom
544,65.075,Cinccino,Rillaboom
545,62.071,Cloyster,Rillaboom
546,43.090,Drampa,Rillaboom
547,23.777,Zoroark,Rillaboom
548,58.057,Clawitzer,Rillaboom
549,83.979,Qwilfish,Rillaboom
550,21.549,Dhelmise,Rillaboom
551,11.812,Runerigus,Rillaboom
552,22.691,Braviary,Rillaboom
553,21.625,Beartic,Rillaboom
554,20.434,Copperajah,Rillaboom
555,15.322,Flapple,Rillaboom
556,23.537,Sylveon,Rillaboom
557,37.859,Slurpuff,Rillaboom
558,35.095,Hippowdon,Rillaboom
559,16.525,Alakazam,Rillaboom
560,4.436,Torracat,Rillaboom
561,22.363,Thievul,Rillaboom
562,17.315,Arctozolt,Rillaboom
563,15.257,Cofagrigus,Rillaboom
564,16.679,Starmie,Rillaboom
565,21.625,Salazzle,Rillaboom
566,69.314,Emolga,Rillaboom
567,5.273,Charjabug,Rillaboom
568,44.127,Toxtricity Low Key Form,Rillaboom
569,53.254,Magnezone,Rillaboom
570,25.161,Lopunny,Rillaboom
571,53.120,Gourgeist Small Size,Rillaboom
572,38.370,Malamar,Rillaboom
573,14.935,Golisopod,Rillaboom
574,42.866,Lycanroc Dusk Form,Rillaboom
575,58.594,Unfezant,Rillaboom
576,15.722,Perrserker,Rillaboom
577,12.019,Galarian Slowbro,Rillaboom
578,64.139,Frost Rotom,Rillaboom
579,20.694,Sandaconda,Rillaboom
580,63.902,Morpeko Full Belly Mode,Rillaboom
581,64.419,Miltank,Rillaboom
582,20.941,Crawdaunt,Rillaboom
583,20.781,Heracross,Rillaboom
584,40.322,Magneton,Rillaboom
585,38.342,Stoutland,Rillaboom
586,16.867,Noivern,Rillaboom
587,26.851,Claydol,Rillaboom
588,22.965,Falinks,Rillaboom
589,16.652,Reuniclus,Rillaboom
590,39.289,Dusknoir,Rillaboom
591,26.636,Drapion,Rillaboom
592,4.884,Vanilluxe,Rillaboom
593,8.081,Sigilyph,Rillaboom
594,11.007,Galvantula,Rillaboom
595,14.215,Orbeetle,Rillaboom
596,22.774,Passimian,Rillaboom
597,61.065,Ninjask,Rillaboom
598,1.200,Druddigon,Rillaboom
599,48.597,Marowak,Rillaboom
600,49.922,Tentacruel,Rillaboom
601,47.360,Dragalge,Rillaboom
602,81.398,Bewear,Rillaboom
603,25.652,Alolan Sandslash,Rillaboom
604,24.532,Poliwrath,Rillaboom
605,52.476,Lycanroc Midnight Form,Rillaboom
606,12.817,Lickilicky,Rillaboom
607,88.324,Fan Rotom,Rillaboom
608,39.724,Hitmonlee,Rillaboom
609,14.708,Scolipede,Rillaboom
610,14.652,Sandslash,Rillaboom
611,17.229,Steelix,Rillaboom
612,26.808,Noctowl,Rillaboom
613,24.347,Zacian Crowned Sword,Gastrodon
614,24.016,Incineroar,Gastrodon
615,30.726,Grimmsnarl,Gastrodon
616,12.018,Rillaboom,Gastrodon
617,42.181,Groudon,Gastrodon
618,20.673,Calyrex Shadow Rider,Gastrodon
619,27.273,Thundurus Incarnate Forme,Gastrodon
620,47.798,Charizard,Gastrodon
621,27.077,Yveltal,Gastrodon
622,54.263,Ho-oh,Gastrodon
623,53.559,Heat Rotom,Gastrodon
624,15.713,Dragapult,Gastrodon
625,18.389,Umbreon,Gastrodon
626,11.851,Rayquaza,Gastrodon
627,37.251,Spectrier,Gastrodon
628,48.421,Reshiram,Gastrodon
629,30.066,Celesteela,Gastrodon
630,10.857,Pheromosa,Gastrodon
631,17.425,Lugia,Gastrodon
632,37.071,Tapu Koko,Gastrodon
633,8.949,Weavile,Gastrodon
634,79.393,Sneasel,Gastrodon
635,16.163,Tyranitar,Gastrodon
636,38.665,Pikachu,Gastrodon
637,17.332,Nihilego,Gastrodon
638,8.490,Garchomp,Gastrodon
639,12.102,Heliolisk,Gastrodon
640,71.795,Tapu Bulu,Gastrodon
641,17.988,Excadrill,Gastrodon
642,5.132,Toxicroak,Gastrodon
643,73.678,Centiskorch,Gastrodon
644,43.308,Gigalith,Gastrodon
645,47.427,Cradily,Gastrodon
646,42.584,Obstagoon,Gastrodon
647,19.188,Scrafty,Gastrodon
648,1.572,Trevenant,Gastrodon
649,32.173,Appletun,Gastrodon
650,27.546,Leafeon,Gastrodon
651,70.142,Vikavolt,Gastrodon
652,23.251,Cresselia,Gastrodon
653,97.288,Mr. Rime,Gastrodon
654,46.817,Boltund,Gastrodon
655,21.411,Terrakion,Gastrodon
656,4.309,Machamp,Gastrodon
657,38.686,Goodra,Gastrodon
658,50.968,Kommo-o,Gastrodon
659,25.741,Sirfetch'd,Gastrodon
660,13.370,Aromatisse,Gastrodon
661,23.085,Zacian Crowned Sword,Thundurus Incarnate Forme
662,20.813,Incineroar,Thundurus Incarnate Forme
663,13.280,Grimmsnarl,Thundurus Incarnate Forme
664,23.208,Rillaboom,Thundurus Incarnate Forme
665,18.902,Groudon,Thundurus Incarnate Forme
666,35.361,Calyrex Shadow Rider,Thundurus Incarnate Forme
667,29.417,Gastrodon,Thundurus Incarnate Forme
668,15.430,Charizard,Thundurus Incarnate Forme
669,19.241,Whimsicott,Thundurus Incarnate Forme
670,17.752,Palkia,Thundurus Incarnate Forme
671,32.156,Blastoise,Thundurus Incarnate Forme
672,20.741,Venusaur,Thundurus Incarnate Forme
673,20.708,Ferrothorn,Thundurus Incarnate Forme
674,19.080,Ditto,Thundurus Incarnate Forme
675,14.845,Xerneas,Thundurus Incarnate Forme
676,16.819,Dialga,Thundurus Incarnate Forme
677,20.065,Shedinja,Thundurus Incarnate Forme
678,17.588,Solgaleo,Thundurus Incarnate Forme
679,14.258,Kingdra,Thundurus Incarnate Forme
680,29.444,Weezing,Thundurus Incarnate Forme
681,40.690,Entei,Thundurus Incarnate Forme
682,22.984,Lunala,Thundurus Incarnate Forme
683,16.239,White Kyurem,Thundurus Incarnate Forme
684,28.329,Tapu Fini,Thundurus Incarnate Forme
685,27.787,Sableye,Thundurus Incarnate Forme
686,46.404,Gothitelle,Thundurus Incarnate Forme
687,22.825,Ho-oh,Thundurus Incarnate Forme
688,22.808,Eternatus,Thundurus Incarnate Forme
689,25.374,Regigigas,Thundurus Incarnate Forme
690,63.749,Bronzong,Thundurus Incarnate Forme
691,11.860,Coalossal,Thundurus Incarnate Forme
692,49.504,Umbreon,Thundurus Incarnate Forme
693,16.587,Lapras,Thundurus Incarnate Forme
694,20.355,Reshiram,Thundurus Incarnate Forme
695,32.982,Zygarde Complete Forme,Thundurus Incarnate Forme
696,27.615,Mamoswine,Thundurus Incarnate Forme
