,Nature,UsePercentage,Pokemon,Hp,Atk,Def,SpA,SpD,Spe
118,Adamant,0.962,Rillaboom,132,252,4,0,68,52
119,Adamant,0.928,Rillaboom,252,116,52,0,84,4
120,Adamant,12.989,Groudon,164,204,4,0,108,28
121,Adamant,6.821,Groudon,244,76,4,0,100,84
122,Jolly,4.918,Groudon,0,252,0,0,4,252
123,Adamant,3.303,Groudon,252,156,4,0,60,36
124,Jolly,2.654,Groudon,60,164,4,0,28,252
125,Adamant,2.635,Groudon,252,156,4,0,76,20
126,Brave,2.371,Groudon,252,76,0,0,180,0
127,Adamant,2.050,Groudon,252,4,4,0,116,132
128,Adamant,1.611,Groudon,236,252,0,0,0,20
129,Adamant,1.586,Groudon,196,180,4,0,92,36
130,Adamant,1.438,Groudon,244,156,4,0,84,20
131,Adamant,1.428,Groudon,244,156,4,0,28,76
132,Adamant,1.352,Groudon,212,76,148,0,44,28
133,Adamant,1.327,Groudon,252,236,0,0,0,20
134,Adamant,1.290,Groudon,252,156,12,0,60,28
135,Adamant,1.285,Groudon,228,156,20,0,28,76
136,Adamant,1.253,Groudon,252,4,4,0,108,140
137,Careful,1.159,Groudon,244,4,4,0,212,44
138,Adamant,1.115,Groudon,212,156,4,0,100,36
139,Adamant,1.115,Groudon,244,92,20,0,76,76
140,Timid,49.392,Calyrex Shadow Rider,4,0,0,252,0,252
141,Timid,24.406,Calyrex Shadow Rider,0,0,0,252,4,252
142,Timid,10.479,Calyrex Shadow Rider,0,0,4,252,0,252
143,Timid,2.327,Calyrex Shadow Rider,28,0,4,220,4,252
144,Timid,1.380,Calyrex Shadow Rider,4,0,4,244,4,252
145,Timid,1.150,Calyrex Shadow Rider,132,0,4,116,4,252
146,Timid,0.926,Calyrex Shadow Rider,0,0,0,252,0,252
147,Modest,0.919,Calyrex Shadow Rider,100,0,164,36,4,204
148,Timid,0.822,Calyrex Shadow Rider,124,0,148,132,4,100
149,Timid,0.818,Calyrex Shadow Rider,124,0,108,20,4,252
150,Timid,0.585,Calyrex Shadow Rider,12,0,4,236,4,252
151,Timid,0.553,Calyrex Shadow Rider,28,0,12,212,4,252
152,Timid,0.539,Calyrex Shadow Rider,0,0,12,244,0,252
153,Modest,0.409,Calyrex Shadow Rider,92,0,156,4,4,252
154,Modest,0.404,Calyrex Shadow Rider,0,0,4,252,0,252
155,Timid,0.383,Calyrex Shadow Rider,0,0,28,228,0,252
156,Timid,0.348,Calyrex Shadow Rider,12,0,0,244,0,252
157,Timid,0.326,Calyrex Shadow Rider,28,0,196,28,4,252
158,Modest,0.270,Calyrex Shadow Rider,4,0,0,252,0,252
159,Timid,0.258,Calyrex Shadow Rider,36,0,4,180,36,252
160,Jolly,14.442,Thundurus Incarnate Forme,4,252,0,0,0,252
161,Calm,7.700,Thundurus Incarnate Forme,228,0,148,52,76,4
162,Jolly,6.563,Thundurus Incarnate Forme,84,164,4,0,4,252
163,Jolly,4.459,Thundurus Incarnate Forme,0,252,0,0,4,252
164,Jolly,3.547,Thundurus Incarnate Forme,164,84,4,0,4,252
165,Jolly,2.928,Thundurus Incarnate Forme,36,172,108,0,4,188
166,Timid,2.792,Thundurus Incarnate Forme,252,0,156,4,76,20
167,Jolly,2.699,Thundurus Incarnate Forme,148,180,4,0,4,172
168,Jolly,2.609,Thundurus Incarnate Forme,84,252,0,0,0,172
169,Adamant,2.559,Thundurus Incarnate Forme,0,252,0,0,4,252
170,Timid,2.363,Thundurus Incarnate Forme,252,0,12,68,4,172
171,Brave,2.158,Thundurus Incarnate Forme,252,252,4,0,0,0
172,Jolly,1.762,Thundurus Incarnate Forme,36,148,28,0,44,252
173,Jolly,1.712,Thundurus Incarnate Forme,164,4,84,0,4,252
174,Jolly,1.610,Thundurus Incarnate Forme,92,148,4,0,12,252
175,Jolly,1.597,Thundurus Incarnate Forme,36,212,4,0,4,252
176,Jolly,1.518,Thundurus Incarnate Forme,52,164,0,36,4,252
177,Calm,1.497,Thundurus Incarnate Forme,236,0,148,4,76,44
178,Calm,1.462,Thundurus Incarnate Forme,252,0,164,4,76,12
179,Jolly,1.366,Thundurus Incarnate Forme,0,252,4,0,0,252
180,Jolly,24.569,Landorus Therian Forme,4,252,0,0,0,252
181,Jolly,8.922,Landorus Therian Forme,0,252,0,0,4,252
182,Jolly,7.815,Landorus Therian Forme,36,220,0,0,0,252
183,Jolly,4.658,Landorus Therian Forme,60,36,156,0,4,252
184,Adamant,3.446,Landorus Therian Forme,252,36,20,0,20,180
185,Jolly,2.552,Landorus Therian Forme,36,204,4,0,12,252
186,Jolly,2.372,Landorus Therian Forme,124,116,4,0,12,252
187,Adamant,2.235,Landorus Therian Forme,212,116,52,0,12,116
188,Jolly,2.026,Landorus Therian Forme,68,252,0,0,0,188
189,Jolly,1.615,Landorus Therian Forme,116,196,0,0,0,196
190,Naive,1.601,Landorus Therian Forme,164,0,4,12,76,252
191,Adamant,1.394,Landorus Therian Forme,252,36,28,0,188,4
192,Jolly,1.251,Landorus Therian Forme,4,244,4,0,4,252
193,Jolly,1.237,Landorus Therian Forme,4,196,52,0,4,252
194,Jolly,1.186,Landorus Therian Forme,84,92,76,0,4,252
195,Adamant,1.137,Landorus Therian Forme,212,36,28,0,108,124
196,Adamant,1.081,Landorus Therian Forme,212,116,4,0,36,140
197,Adamant,0.960,Landorus Therian Forme,164,36,76,0,4,228
198,Jolly,0.949,Landorus Therian Forme,84,156,4,0,12,252
199,Jolly,0.924,Landorus Therian Forme,44,252,4,0,4,204
200,Bold,17.042,Gastrodon,180,0,204,0,124,0
201,Modest,8.543,Gastrodon,244,0,172,60,28,4
202,Modest,5.769,Gastrodon,180,0,252,60,12,4
203,Bold,5.223,Gastrodon,180,0,204,4,116,4
204,Modest,4.814,Gastrodon,172,0,100,140,92,4
205,Bold,4.054,Gastrodon,220,0,252,0,0,36
206,Bold,2.639,Gastrodon,172,0,204,0,132,0
207,Relaxed,2.590,Gastrodon,180,0,204,0,124,0
208,Modest,2.377,Gastrodon,172,0,172,4,156,4
209,Bold,2.113,Gastrodon,172,0,204,4,124,4
210,Relaxed,2.080,Gastrodon,172,0,148,44,140,0
211,Relaxed,1.777,Gastrodon,180,0,148,52,124,0
212,Modest,1.466,Gastrodon,212,0,156,28,108,4
213,Sassy,1.448,Gastrodon,252,0,196,0,60,0
214,Bold,1.442,Gastrodon,172,0,212,0,124,0
215,Calm,1.354,Gastrodon,252,0,196,0,60,0
216,Modest,1.245,Gastrodon,252,0,60,116,76,4
217,Bold,1.190,Gastrodon,204,0,220,4,76,4
218,Calm,1.131,Gastrodon,204,0,204,0,100,0
219,Calm,1.115,Gastrodon,252,0,0,4,252,0
220,Timid,34.734,Charizard,4,0,0,252,0,252
221,Timid,22.381,Charizard,0,0,0,252,4,252
222,Timid,9.913,Charizard,0,0,4,252,0,252
223,Timid,3.929,Charizard,44,0,44,164,4,252
224,Timid,3.406,Charizard,44,0,0,212,0,252
225,Timid,3.183,Charizard,28,0,0,228,0,252
226,Quiet,2.920,Charizard,252,0,4,252,0,0
227,Timid,2.555,Charizard,44,0,12,196,4,252
228,Timid,2.244,Charizard,12,0,44,196,4,252
229,Timid,1.932,Charizard,36,0,4,212,4,252
230,Timid,1.477,Charizard,36,0,0,220,0,252
231,Timid,1.417,Charizard,44,0,4,204,4,252
232,Timid,1.203,Charizard,4,0,4,244,4,252
233,Timid,0.983,Charizard,4,0,12,236,4,252
234,Quiet,0.867,Charizard,4,0,252,252,0,0
235,Timid,0.781,Charizard,12,0,12,228,4,252
236,Timid,0.769,Charizard,60,0,20,164,12,252
237,Timid,0.721,Charizard,44,0,52,156,4,252
238,Quiet,0.412,Charizard,172,0,84,252,0,0
239,Timid,0.401,Charizard,0,0,0,252,0,252
240,Sassy,12.975,Amoonguss,236,0,116,0,156,0
241,Sassy,6.631,Amoonguss,252,0,100,0,156,0
242,Relaxed,6.104,Amoonguss,252,0,156,0,100,0
243,Relaxed,5.527,Amoonguss,236,0,252,0,20,0
244,Careful,4.212,Amoonguss,236,0,172,0,100,0
245,Calm,4.080,Amoonguss,236,0,116,0,156,0
246,Calm,3.842,Amoonguss,236,0,172,0,100,0
247,Careful,3.313,Amoonguss,236,0,116,0,156,0
248,Adamant,2.890,Amoonguss,4,252,0,0,252,0
249,Sassy,2.277,Amoonguss,252,0,164,0,92,0
250,Sassy,2.202,Amoonguss,252,0,4,0,252,0
251,Sassy,1.971,Amoonguss,236,0,172,0,100,0
252,Bold,1.931,Amoonguss,236,0,156,0,116,0
253,Sassy,1.914,Amoonguss,236,0,20,0,252,0
254,Sassy,1.767,Amoonguss,252,0,180,0,76,0
255,Relaxed,1.454,Amoonguss,236,0,156,0,116,0
256,Sassy,1.416,Amoonguss,252,0,156,0,100,0
257,Careful,1.382,Amoonguss,252,0,84,0,172,0
258,Sassy,1.345,Amoonguss,188,0,188,0,132,0
259,Calm,1.302,Amoonguss,252,0,20,0,236,0
260,Bold,21.561,Indeedee Female,252,0,252,0,4,0
261,Relaxed,19.764,Indeedee Female,252,0,252,0,4,0
262,Timid,9.702,Indeedee Female,0,0,0,252,4,252
263,Bold,5.599,Indeedee Female,236,0,252,0,20,0
264,Timid,4.027,Indeedee Female,4,0,0,252,0,252
265,Bold,2.936,Indeedee Female,252,0,252,4,0,0
266,Bold,2.629,Indeedee Female,252,0,244,0,12,0
267,Relaxed,2.589,Indeedee Female,236,0,252,0,20,0
268,Bold,2.224,Indeedee Female,252,0,236,0,20,0
269,Timid,1.786,Indeedee Female,0,0,4,252,0,252
270,Quiet,1.680,Indeedee Female,252,0,4,252,0,0
271,Bold,1.573,Indeedee Female,244,0,252,0,12,0
272,Bold,1.391,Indeedee Female,204,0,188,36,76,4
273,Modest,1.339,Indeedee Female,252,0,4,252,0,0
274,Bold,1.149,Indeedee Female,244,0,244,0,20,0
275,Relaxed,1.101,Indeedee Female,252,0,244,0,12,0
276,Sassy,1.006,Indeedee Female,252,0,4,0,252,0
277,Relaxed,0.941,Indeedee Female,244,0,244,0,20,0
278,Relaxed,0.751,Indeedee Female,252,0,252,4,0,0
279,Bold,0.628,Indeedee Female,236,0,252,0,0,20
280,Timid,49.006,Whimsicott,4,0,0,252,0,252
281,Timid,15.275,Whimsicott,0,0,0,252,4,252
282,Timid,4.665,Whimsicott,12,0,0,244,0,252
283,Timid,4.120,Whimsicott,252,0,0,4,0,252
284,Timid,4.015,Whimsicott,0,0,0,252,0,252
285,Timid,2.470,Whimsicott,244,0,4,4,4,252
286,Modest,1.895,Whimsicott,4,0,0,252,0,252
287,Timid,1.625,Whimsicott,0,0,4,252,0,252
288,Modest,1.568,Whimsicott,252,0,4,116,116,20
289,Timid,1.434,Whimsicott,252,0,0,0,4,252
290,Modest,1.267,Whimsicott,0,0,0,252,4,252
291,Timid,0.953,Whimsicott,4,0,4,244,4,252
292,Timid,0.791,Whimsicott,60,0,4,100,92,252
293,Timid,0.730,Whimsicott,124,0,4,140,20,220
294,Timid,0.651,Whimsicott,164,0,0,0,92,252
295,Calm,0.624,Whimsicott,228,0,0,100,180,0
296,Timid,0.614,Whimsicott,252,0,4,0,0,252
297,Timid,0.591,Whimsicott,60,0,4,140,52,252
298,Calm,0.547,Whimsicott,252,0,4,0,252,0
299,Modest,0.522,Whimsicott,252,0,4,252,0,0
300,Timid,13.167,Yveltal,4,0,0,252,0,252
301,Modest,6.312,Yveltal,172,0,4,68,12,252
302,Modest,6.094,Yveltal,172,0,20,68,12,236
303,Timid,5.721,Yveltal,60,0,4,188,4,252
304,Timid,5.598,Yveltal,0,0,0,252,4,252
305,Modest,5.266,Yveltal,148,0,44,68,4,244
306,Modest,4.404,Yveltal,28,0,4,228,4,244
307,Timid,3.042,Yveltal,236,0,0,20,0,252
308,Timid,2.589,Yveltal,20,0,28,204,4,252
309,Adamant,1.712,Yveltal,20,252,0,0,0,236
310,Modest,1.672,Yveltal,4,0,0,252,0,252
311,Modest,1.486,Yveltal,36,0,4,204,12,252
312,Modest,1.474,Yveltal,4,0,12,244,4,244
313,Modest,1.321,Yveltal,4,0,12,252,4,236
314,Jolly,1.147,Yveltal,172,0,68,12,4,252
315,Timid,1.066,Yveltal,4,0,4,252,4,244
316,Timid,1.029,Yveltal,124,0,116,20,4,244
317,Mild,0.937,Yveltal,252,4,0,252,0,0
318,Modest,0.921,Yveltal,44,0,196,4,12,252
319,Modest,0.900,Yveltal,188,0,0,84,0,236
320,Brave,22.715,Calyrex Ice Rider,252,252,0,0,4,0
321,Adamant,11.137,Calyrex Ice Rider,252,252,0,0,4,0
322,Impish,8.734,Calyrex Ice Rider,252,4,156,0,84,12
323,Impish,5.513,Calyrex Ice Rider,252,4,156,0,76,20
324,Brave,5.007,Calyrex Ice Rider,252,252,4,0,0,0
325,Jolly,2.904,Calyrex Ice Rider,4,252,0,0,0,252
326,Adamant,2.697,Calyrex Ice Rider,252,252,4,0,0,0
327,Jolly,2.590,Calyrex Ice Rider,0,252,4,0,0,252
328,Adamant,2.230,Calyrex Ice Rider,252,220,4,0,12,20
329,Brave,2.148,Calyrex Ice Rider,252,196,0,0,60,0
330,Adamant,1.558,Calyrex Ice Rider,252,124,4,0,108,20
331,Adamant,1.490,Calyrex Ice Rider,92,252,0,0,0,164
332,Brave,1.433,Calyrex Ice Rider,252,116,0,0,140,0
333,Brave,1.411,Calyrex Ice Rider,252,252,0,0,0,0
334,Adamant,1.400,Calyrex Ice Rider,252,84,0,0,172,0
335,Adamant,1.381,Calyrex Ice Rider,252,196,0,0,60,0
336,Adamant,1.159,Calyrex Ice Rider,252,116,4,0,132,4
337,Adamant,0.931,Calyrex Ice Rider,252,236,4,0,12,4
338,Brave,0.922,Calyrex Ice Rider,252,244,0,0,12,0
339,Brave,0.904,Calyrex Ice Rider,252,132,0,0,124,0
340,Modest,9.655,Palkia,252,0,0,252,4,0
341,Modest,8.438,Palkia,28,0,52,236,4,188
342,Modest,5.697,Palkia,244,0,164,0,100,0
343,Modest,5.516,Palkia,252,0,44,76,28,108
344,Modest,4.183,Palkia,252,0,4,252,0,0
345,Modest,3.650,Palkia,4,0,0,252,0,252
346,Modest,3.338,Palkia,12,0,4,236,4,252
347,Modest,2.944,Palkia,252,0,4,236,4,12
348,Modest,2.325,Palkia,236,0,140,84,4,44
349,Quiet,2.217,Palkia,252,0,0,252,4,0
350,Quiet,2.211,Palkia,252,0,4,252,0,0
351,Modest,2.182,Palkia,204,0,20,252,4,28
352,Timid,2.107,Palkia,0,0,0,252,4,252
353,Modest,2.070,Palkia,188,0,156,156,4,4
354,Modest,1.848,Palkia,244,0,148,12,100,4
355,Modest,1.605,Palkia,12,0,4,252,4,236
356,Modest,1.426,Palkia,188,0,164,156,0,0
357,Modest,1.298,Palkia,204,0,52,236,12,4
358,Timid,1.260,Palkia,4,0,0,252,0,252
359,Modest,1.253,Palkia,252,0,0,212,44,0
360,Modest,14.422,Porygon2,244,0,12,252,0,0
361,Sassy,7.870,Porygon2,244,0,124,0,140,0
362,Sassy,6.281,Porygon2,252,0,4,0,252,0
363,Modest,6.028,Porygon2,244,0,0,252,12,0
364,Calm,4.954,Porygon2,244,0,140,0,124,0
365,Modest,4.748,Porygon2,252,0,108,36,84,28
366,Sassy,2.782,Porygon2,252,0,124,0,132,0
367,Modest,2.363,Porygon2,244,0,0,252,0,12
368,Sassy,2.272,Porygon2,244,0,140,0,124,0
369,Sassy,1.860,Porygon2,252,0,0,4,252,0
370,Calm,1.686,Porygon2,252,0,220,0,36,0
371,Calm,1.583,Porygon2,244,0,156,0,108,0
372,Bold,1.499,Porygon2,244,0,156,0,108,0
373,Sassy,1.494,Porygon2,252,0,172,0,76,0
374,Sassy,1.433,Porygon2,244,0,164,0,100,0
375,Modest,1.312,Porygon2,244,0,4,116,44,100
376,Modest,1.193,Porygon2,244,0,4,124,44,92
377,Modest,1.156,Porygon2,244,0,44,4,212,4
378,Bold,1.132,Porygon2,244,0,148,0,116,0
379,Serious,1.075,Porygon2,252,0,100,0,156,0
380,Timid,56.982,Tornadus Incarnate Forme,4,0,0,252,0,252
381,Timid,22.040,Tornadus Incarnate Forme,0,0,0,252,4,252
382,Modest,1.864,Tornadus Incarnate Forme,4,0,0,252,0,252
383,Timid,1.542,Tornadus Incarnate Forme,36,0,0,220,0,252
384,Timid,1.409,Tornadus Incarnate Forme,4,0,4,244,4,252
385,Timid,1.311,Tornadus Incarnate Forme,0,0,0,252,0,252
386,Bold,1.174,Tornadus Incarnate Forme,252,0,156,36,60,4
387,Timid,1.116,Tornadus Incarnate Forme,60,0,60,132,12,244
388,Timid,0.978,Tornadus Incarnate Forme,252,0,0,4,0,252
389,Timid,0.964,Tornadus Incarnate Forme,244,0,4,4,4,252
390,Timid,0.684,Tornadus Incarnate Forme,252,0,4,0,0,252
391,Timid,0.574,Tornadus Incarnate Forme,172,0,28,4,52,252
392,Timid,0.532,Tornadus Incarnate Forme,0,0,0,0,0,252
393,Calm,0.514,Tornadus Incarnate Forme,252,0,0,4,252,0
394,Timid,0.472,Tornadus Incarnate Forme,0,0,4,252,0,252
395,Timid,0.421,Tornadus Incarnate Forme,66,0,0,186,4,252
396,Hasty,0.372,Tornadus Incarnate Forme,0,0,0,252,0,252
397,Timid,0.361,Tornadus Incarnate Forme,252,0,0,0,4,252
398,Modest,0.356,Tornadus Incarnate Forme,0,0,124,252,132,0
399,Timid,0.314,Tornadus Incarnate Forme,4,0,52,196,4,252
400,Timid,25.780,Zapdos,0,0,0,252,4,252
401,Timid,15.393,Zapdos,4,0,0,252,0,252
402,Timid,14.188,Zapdos,28,0,4,220,4,252
403,Timid,4.740,Zapdos,28,0,0,228,0,252
404,Timid,4.386,Zapdos,4,0,4,244,4,252
405,Timid,3.166,Zapdos,4,0,4,180,68,252
406,Calm,3.065,Zapdos,252,0,4,4,236,12
407,Timid,2.382,Zapdos,20,0,4,188,44,252
408,Modest,2.178,Zapdos,28,0,28,196,4,252
409,Modest,1.999,Zapdos,172,0,12,116,4,204
410,Modest,1.972,Zapdos,156,0,4,116,4,228
411,Timid,1.428,Zapdos,204,0,0,52,0,252
412,Timid,1.153,Zapdos,204,0,44,4,4,252
413,Timid,1.121,Zapdos,204,0,4,44,4,252
414,Timid,0.940,Zapdos,52,0,4,196,4,252
415,Modest,0.875,Zapdos,100,0,4,196,4,204
416,Timid,0.792,Zapdos,172,0,4,76,4,252
417,Modest,0.706,Zapdos,76,0,4,196,4,228
418,Modest,0.691,Zapdos,252,0,28,196,4,28
419,Timid,0.643,Zapdos,0,0,12,244,0,252
420,Jolly,32.284,Kartana,4,4,4,0,244,252
421,Jolly,14.378,Kartana,0,252,0,0,4,252
422,Jolly,10.253,Kartana,84,4,4,0,164,252
423,Jolly,4.702,Kartana,4,252,0,0,0,252
424,Jolly,3.690,Kartana,4,0,0,0,252,252
425,Jolly,2.650,Kartana,84,4,4,0,252,164
426,Jolly,2.261,Kartana,44,28,4,0,244,188
427,Brave,2.076,Kartana,252,252,0,0,4,0
428,Jolly,1.885,Kartana,12,60,4,0,180,252
429,Jolly,1.847,Kartana,12,0,0,0,244,252
430,Jolly,1.377,Kartana,4,116,4,0,132,252
431,Jolly,1.256,Kartana,0,0,0,252,4,252
432,Jolly,1.185,Kartana,60,4,4,0,252,188
433,Careful,1.176,Kartana,172,0,0,0,252,84
434,Jolly,1.166,Kartana,84,4,4,0,228,188
435,Jolly,1.060,Kartana,44,4,4,0,252,204
436,Jolly,0.854,Kartana,0,4,0,0,252,252
437,Jolly,0.744,Kartana,76,4,4,0,172,252
438,Adamant,0.700,Kartana,0,252,0,0,180,76
439,Jolly,0.685,Kartana,20,236,0,0,0,252
440,Modest,18.696,Blastoise,244,0,0,244,20,0
441,Modest,13.331,Blastoise,252,0,4,252,0,0
442,Modest,7.960,Blastoise,244,0,4,252,4,4
443,Modest,5.407,Blastoise,180,0,4,108,148,68
444,Modest,5.211,Blastoise,244,0,4,204,52,4
445,Modest,4.242,Blastoise,244,0,0,244,0,20
446,Modest,3.610,Blastoise,252,0,44,196,12,4
447,Modest,2.637,Blastoise,244,0,0,252,12,0
448,Modest,2.322,Blastoise,156,0,4,196,4,148
449,Modest,2.259,Blastoise,252,0,0,252,4,0
450,Modest,2.153,Blastoise,148,0,4,204,4,148
451,Modest,2.069,Blastoise,148,0,0,252,0,108
452,Modest,2.062,Blastoise,140,0,4,252,4,108
453,Modest,1.821,Blastoise,172,0,4,212,4,116
454,Modest,1.768,Blastoise,252,0,0,252,0,0
455,Modest,1.755,Blastoise,244,0,28,116,36,84
456,Modest,1.669,Blastoise,252,0,0,252,0,4
457,Modest,1.198,Blastoise,244,0,4,140,4,116
